Healthy_species	Unhealthy_species
Megasphaera_sp_MJR8396C	
Meiothermus_silvanus	
Methanobrevibacter_arboriphilus	
Methanosphaera_cuniculi	
Mogibacterium_diversum	
Monoglobus_pectinilyticus	
Moraxella_osloensis	
Mycolicibacterium_obuense	
Mycoplasma_bovis	
Neisseria_elongata	
Neisseria_macacae	
Neisseria_perflava	
Odoribacter_laneus	
Parabacteroides_chinchillae	
Parvimonas_micra	
Peptococcus_niger	
Porphyromonas_asaccharolytica	
Porphyromonas_endodontalis	
Porphyromonas_gingivalis	
Porphyromonas_uenonis	
Prevotella_denticola	
Prevotella_histicola	
Prevotella_intermedia	
Prevotella_melaninogenica	
Prevotella_nigrescens	
Prevotella_oralis	
Prevotella_pallens	
Prevotella_salivae	
Prevotella_sp_885	
Prevotella_sp_CAG_1092	
Prevotella_sp_CAG_485	
Prevotella_sp_CAG_5226	
Prevotella_sp_F0091	
Prevotella_sp_oral_taxon_306	
Prevotella_sp_oral_taxon_473	
Prevotella_timonensis	
Propionibacterium_freudenreichii	
Proteus_hauseri	
Proteus_vulgaris	
Providencia_rettgeri	
Pseudoalteromonas_tetraodonis	
Pseudomonas_fluorescens_group	
Pseudomonas_fragi	
Pseudomonas_lundensis	
Pseudomonas_yamanorum	
Pyrococcus_yayanosii	
Raoultella_planticola	
Rhodococcus_erythropolis	
Rhodococcus_qingshengii	
Roseburia_sp_831b	
Roseburia_sp_CAG_471	
Rothia_dentocariosa	
Ruminococcus_champanellensis	
Ruminococcus_sp_CAG_579	
Ruminococcus_sp_CAG_624	
Selenomonas_flueggei	
Selenomonas_sputigena	
Sharpea_azabuensis	
Staphylococcus_equorum	
Staphylococcus_hominis	
Staphylococcus_sciuri	
Staphylococcus_xylosus	
Stenotrophomonas_maltophilia	
Stenotrophomonas_rhizophila	
Streptococcus_downei	
Streptococcus_equinus	
Streptococcus_massiliensis	
Streptococcus_pyogenes	
Streptococcus_sp_HMSC034E03	
Streptococcus_thermophilus	
Synergistes_jonesii	
Terrisporobacter_othiniensis	
Treponema_berlinense	
Treponema_porcinum	
Treponema_succinifaciens	
Tyzzerella_sp_An114	
Variovorax_paradoxus	
Veillonella_sp_CAG_933	
[Collinsella]_massiliensis	
