Healthy_species	Unhealthy_species
	Jonquetella_anthropi
	Kingella_oralis
	Klebsiella_oxytoca
	Kosakonia_oryzae
	Lachnoanaerobaculum_saburreum
	Lachnoclostridium_sp_An196
	Lactobacillus_agilis
	Lactobacillus_alimentarius
	Lactobacillus_animalis
	Lactobacillus_antri
	Lactobacillus_brevis
	Lactobacillus_coryniformis
	Lactobacillus_curvatus
	Lactobacillus_dextrinicus
	Lactobacillus_equicursoris
	Lactobacillus_fermentum
	Lactobacillus_fuchuensis
	Lactobacillus_gasseri
	Lactobacillus_helveticus
	Lactobacillus_iners
	Lactobacillus_ingluviei
	Lactobacillus_oris
	Lactobacillus_panis
	Lactobacillus_paragasseri
	Lactobacillus_paraplantarum
	Lactobacillus_reuteri
	Lactobacillus_salivarius
	Lactobacillus_vaginalis
	Lactobacillus_versmoldensis
	Leptotrichia_hofstadii
	Leptotrichia_sp_oral_taxon_212
	Leptotrichia_sp_oral_taxon_215
	Leptotrichia_sp_oral_taxon_225
	Leptotrichia_sp_oral_taxon_498
	Leptotrichia_sp_oral_taxon_879
	Leptotrichia_wadei
	Mageeibacillus_indolicus
	Megasphaera_sp_MJR8396C
	Methanobacterium_formicicum
	Methanobrevibacter_arboriphilus
	Methanosphaera_sp_SHI1033
	Mitsuokella_jalaludinii
	Mogibacterium_pumilum
	Moraxella_catarrhalis
	Morococcus_cerebrosus
	Muribaculum_intestinale
	Negativicoccus_succinicivorans
	Neisseria_mucosa
	Neisseria_perflava
	Neisseria_sicca
	Neisseria_sp_oral_taxon_014
	Neisseria_subflava
	Olsenella_profusa
	Oribacterium_sp_oral_taxon_078
	Paeniclostridium_sordellii
	Parvimonas_sp_oral_taxon_110
	Parvimonas_sp_oral_taxon_393
	Peptoniphilus_coxii
	Peptoniphilus_grossensis
	Peptoniphilus_harei
	Peptoniphilus_lacrimalis
	Peptoniphilus_sp_DNF00840
	Peptoniphilus_sp_HMSC062D09
	Peptostreptococcus_anaerobius
	Peptostreptococcus_sp_MV1
	Peptostreptococcus_stomatis
	Phascolarctobacterium_sp
	Porphyromonas_somerae
	Prevotella_baroniae
	Prevotella_bergensis
	Prevotella_buccae
	Prevotella_colorans
	Prevotella_dentalis
	Prevotella_denticola
	Prevotella_histicola
	Prevotella_intermedia
	Prevotella_jejuni
	Prevotella_melaninogenica
	Prevotella_multiformis
	Prevotella_multisaccharivorax
	Prevotella_oris
	Prevotella_oulorum
	Prevotella_pallens
	Prevotella_salivae
	Prevotella_scopos
	Prevotella_sp_CAG_1320
	Prevotella_sp_CAG_617
	Prevotella_sp_CAG_873
	Prevotella_sp_S7_1_8
	Prevotella_sp_oral_taxon_306
	Prevotella_sp_oral_taxon_376
	Prevotella_veroralis
	Propionibacterium_acidifaciens
	Propionibacterium_namnetense
	Proteus_penneri
	Proteus_vulgaris
	Pseudomonas_helleri
	Pyramidobacter_sp_C12_8
	Raoultella_ornithinolytica
	Raoultella_terrigena
	Robinsoniella_sp_RHS
	Romboutsia_hominis
	Schwartzia_succinivorans
	Sediminibacterium_sp_FEMGT703S
	Selenomonas_artemidis
	Selenomonas_noxia
	Selenomonas_sp_FOBRC6
	Selenomonas_sp_oral_taxon_126
	Selenomonas_sp_oral_taxon_138
	Selenomonas_sp_oral_taxon_920
	Slackia_exigua
	Slackia_isoflavoniconvertens
	Staphylococcus_argenteus
	Staphylococcus_warneri
	Stomatobaculum_longum
	Streptococcus_gallolyticus
	Streptococcus_lutetiensis
	Streptococcus_macedonicus
	Streptococcus_milleri
	Streptococcus_mutans
	Streptococcus_parauberis
	Streptococcus_peroris
	Streptococcus_pneumoniae
	Streptococcus_sp_HMSC070B10
	Streptococcus_sp_HPH0090
	Streptococcus_sp_SK643
	Streptococcus_sp_oral_taxon_058
	Streptococcus_viridans
	Subdoligranulum_variabile
	Tannerella_forsythia
	Tetragenococcus_halophilus
	Treponema_denticola
	Treponema_medium
	Treponema_socranskii
	Treponema_vincentii
	Tropheryma_whipplei
	Varibaculum_cambriense
	Veillonella_denticariosi
	Veillonella_rodentium
	Veillonella_seminalis
	Veillonellaceae_bacterium_DNF00626
	Vibrio_cholerae
