Healthy_species	Unhealthy_species
Carnobacterium_maltaromaticum	Haemophilus_quentini
Christensenella_minuta	Haemophilus_sputorum
Cloacibacillus_evryensis	Lachnoanaerobaculum_saburreum
Cloacibacillus_porcorum	Lactobacillus_coryniformis
Clostridium_asparagiforme	Lactobacillus_curvatus
Clostridium_leptum	Lactobacillus_equicursoris
Clostridium_sp_CAG_253	Lactobacillus_fermentum
Clostridium_sp_CAG_411	Lactobacillus_gasseri
Clostridium_sp_CAG_413	Lactobacillus_helveticus
Clostridium_sp_CAG_510	Lactobacillus_iners
Clostridium_sp_CAG_590	Lactobacillus_ingluviei
Clostridium_sp_CAG_632	Lactobacillus_mucosae
Clostridium_sp_CAG_964	Lactobacillus_nodensis
Clostridium_sp_SY8519	Lactobacillus_oris
Collinsella_massiliensis	Lactobacillus_panis
Coprobacillus_cateniformis	Lactobacillus_pentosus
Coprobacter_sp	Lactobacillus_salivarius
Coprococcus_eutactus	Lactobacillus_versmoldensis
Corynebacterium_argentoratense	Lautropia_mirabilis
Corynebacterium_casei	Leptotrichia_hofstadii
Corynebacterium_durum	Leptotrichia_sp_oral_taxon_215
Corynebacterium_variabile	Leptotrichia_sp_oral_taxon_225
Criibacterium_bergeronii	Leptotrichia_sp_oral_taxon_498
Cutibacterium_acnes	Leptotrichia_sp_oral_taxon_847
Desulfovibrio_piger	Leptotrichia_sp_oral_taxon_879
Desulfovibrio_sp_An276	Leptotrichia_wadei
Dialister_sp_CAG_357	Leuconostoc_carnosum
Dialister_succinatiphilus	Limnochorda_pilosa
Eisenbergiella_tayi	Megamonas_funiformis_CAG_377
Enorma_massiliensis	Megasphaera_micronuciformis
Enterobacter_mori	Morococcus_cerebrosus
Enterococcus_asini	Mycoplasma_hominis
Enterococcus_avium	Neisseria_elongata
Enterococcus_durans	Neisseria_flavescens
Enterococcus_gilvus	Neisseria_macacae
Enterococcus_hirae	Neisseria_mucosa
Enterococcus_malodoratus	Neisseria_perflava
Enterococcus_pseudoavium	Neisseria_sicca
Escherichia_fergusonii	Neisseria_sp_oral_taxon_014
Escherichia_marmotae	Neisseria_subflava
Eubacterium_brachy	Paeniclostridium_sordellii
Eubacterium_callanderi	Paraclostridium_bifermentans
Eubacterium_coprostanoligenes	Parvimonas_sp_oral_taxon_110
Eubacterium_infirmum	Peptoniphilus_coxii
Eubacterium_limosum	Peptoniphilus_harei
Eubacterium_nodatum	Peptoniphilus_sp_HMSC062D09
Eubacterium_siraeum	Peptostreptococcus_anaerobius
Eubacterium_sp_CAG_274	Porphyromonas_somerae
Eubacterium_sp_CAG_786	Prevotella_baroniae
Faecalicatena_orotica	Prevotella_buccae
Filifactor_alocis	Prevotella_dentalis
Firmicutes_bacterium_CAG_110	Prevotella_denticola
Firmicutes_bacterium_CAG_170	Prevotella_histicola
Firmicutes_bacterium_CAG_238	Prevotella_intermedia
Firmicutes_bacterium_CAG_534	Prevotella_jejuni
Firmicutes_bacterium_CAG_555	Prevotella_melaninogenica
Firmicutes_bacterium_CAG_95	Prevotella_multiformis
Fusobacterium_naviforme	Prevotella_multisaccharivorax
Fusobacterium_sp_CAG_439	Prevotella_oralis
Geobacillus_stearothermophilus	Prevotella_oris
Granulicatella_adiacens	Prevotella_oulorum
Haemophilus_pittmaniae	Prevotella_pallens
Hafnia_paralvei	Prevotella_salivae
Harryflintia_acetispora	Prevotella_scopos
Helicobacter_cinaedi	Prevotella_sp_F0091
Holdemania_filiformis	Prevotella_sp_oral_taxon_306
Hungatella_effluvii	Prevotella_veroralis
Intestinimonas_butyriciproducens	Providencia_alcalifaciens
Lactobacillus_farciminis	Romboutsia_hominis
Lactobacillus_gallinarum	Selenomonas_flueggei
Lactobacillus_parabuchneri	Selenomonas_noxia
Lactobacillus_plantarum	Selenomonas_sp_FOBRC6
Lactobacillus_rhamnosus	Selenomonas_sp_oral_taxon_126
Lactobacillus_sanfranciscensis	Selenomonas_sp_oral_taxon_138
Lactococcus_garvieae	Selenomonas_sp_oral_taxon_920
Lactococcus_petauri	Sneathia_amnii
Lactococcus_piscium	Staphylococcus_gallinarum
Lactococcus_raffinolactis	Stomatobaculum_longum
Leuconostoc_garlicum	Streptococcus_macedonicus
Leuconostoc_pseudomesenteroides	Streptococcus_mutans
Marvinbryantia_formatexigens	Streptococcus_peroris
Megamonas_rupellensis	Streptococcus_sp_HMSC070B10
Megasphaera_cerevisiae	Streptococcus_sp_oral_taxon_058
Megasphaera_elsdenii	Streptococcus_viridans
Megasphaera_sp_DISK_18	Subdoligranulum_variabile
Megasphaera_sp_MJR8396C	Veillonella_denticariosi
Megasphaera_stantonii	Veillonella_rodentium
Meiothermus_silvanus	Veillonella_rogosae
Methanobrevibacter_arboriphilus	Veillonella_seminalis
Methanobrevibacter_smithii	Veillonella_sp_CAG_933
Methanosphaera_cuniculi	Veillonella_sp_T11011_6
Methanosphaera_stadtmanae	Veillonella_tobetsuensis
Mitsuokella_jalaludinii	
Mitsuokella_multacida	
Mogibacterium_timidum	
Mycoplasma_bovis	
Odoribacter_laneus	
Oribacterium_asaccharolyticum	
Oribacterium_parvum	
Oribacterium_sinus	
Oscillibacter_sp_CAG_241	
Oscillibacter_sp_PC13	
Oxalobacter_formigenes	
Parabacteroides_chinchillae	
Parabacteroides_goldsteinii	
Parabacteroides_sp_426_9	
Parascardovia_denticolens	
Parvimonas_micra	
Pediococcus_pentosaceus	
Peptococcus_niger	
Porphyromonas_gingivalis	
Porphyromonas_sp_HMSC065F10	
Prevotella_buccalis	
Prevotella_sp_885	
Prevotella_sp_CAG_1031	
Prevotella_sp_CAG_1058	
Prevotella_sp_CAG_1092	
Prevotella_sp_CAG_1124	
Prevotella_sp_CAG_1320	
Prevotella_sp_CAG_755	
Prevotella_sp_CAG_873	
Prevotella_sp_CAG_924	
Prevotella_sp_oral_taxon_473	
Providencia_rettgeri	
Pseudoflavonifractor_capillosus	
Pseudoflavonifractor_sp_An184	
Pseudomonas_aeruginosa_group	
Pseudomonas_fluorescens_group	
Pseudomonas_fragi	
Pseudomonas_lundensis	
Pseudomonas_yamanorum	
Pseudopropionibacterium_propionicum	
Rhodococcus_erythropolis	
Rikenella_microfusus	
Roseburia_sp_831b	
Roseburia_sp_CAG_182	
Roseburia_sp_CAG_309	
Rothia_mucilaginosa	
Ruminococcaceae_bacterium_D5	
Ruminococcus_champanellensis	
Ruminococcus_sp_CAG_403	
Ruminococcus_sp_CAG_488	
Ruminococcus_sp_CAG_563	
Ruminococcus_sp_CAG_579	
Ruminococcus_sp_CAG_624	
Sanguibacteroides_justesenii	
Scardovia_inopinata	
Scardovia_wiggsiae	
Sellimonas_intestinalis	
Staphylococcus_hominis	
Staphylococcus_sciuri	
Staphylococcus_xylosus	
Streptococcus_agalactiae	
Streptococcus_equinus	
Streptococcus_massiliensis	
Streptococcus_pyogenes	
Succinatimonas_hippei	
Synergistes_jonesii	
Terrisporobacter_othiniensis	
Thermus_scotoductus	
Treponema_berlinense	
Treponema_porcinum	
Treponema_succinifaciens	
Tyzzerella_sp_An114	
Variovorax_paradoxus	
Vibrio_fluvialis	
Victivallis_vadensis	
