Healthy_species	Unhealthy_species
	Leuconostoc_pseudomesenteroides
	Megasphaera_micronuciformis
	Megasphaera_sp_DISK_18
	Megasphaera_sp_MJR8396C
	Methanosphaera_sp_SHI1033
	Mogibacterium_diversum
	Mogibacterium_pumilum
	Mogibacterium_timidum
	Moraxella_catarrhalis
	Morganella_morganii
	Negativicoccus_succinicivorans
	Neisseria_flavescens
	Neisseria_mucosa
	Neisseria_perflava
	Neisseria_sp_oral_taxon_014
	Neisseria_subflava
	Olsenella_profusa
	Olsenella_scatoligenes
	Olsenella_uli
	Oribacterium_parvum
	Oribacterium_sinus
	Parabacteroides_sp_CAG_409
	Parascardovia_denticolens
	Parvimonas_micra
	Parvimonas_sp_KA00067
	Parvimonas_sp_oral_taxon_110
	Parvimonas_sp_oral_taxon_393
	Pediococcus_acidilactici
	Peptococcus_niger
	Peptoniphilus_coxii
	Peptoniphilus_harei
	Peptoniphilus_lacrimalis
	Peptoniphilus_sp_HMSC062D09
	Peptostreptococcus_anaerobius
	Peptostreptococcus_sp_MV1
	Peptostreptococcus_stomatis
	Phascolarctobacterium_sp
	Pluralibacter_gergoviae
	Porphyromonas_asaccharolytica
	Porphyromonas_endodontalis
	Porphyromonas_gingivalis
	Porphyromonas_somerae
	Porphyromonas_uenonis
	Prevotella_bergensis
	Prevotella_denticola
	Prevotella_histicola
	Prevotella_intermedia
	Prevotella_jejuni
	Prevotella_melaninogenica
	Prevotella_multiformis
	Prevotella_multisaccharivorax
	Prevotella_nigrescens
	Prevotella_oris
	Prevotella_pallens
	Prevotella_salivae
	Prevotella_sp_CAG_1124
	Prevotella_sp_CAG_1320
	Prevotella_sp_CAG_617
	Prevotella_sp_oral_taxon_306
	Prevotella_sp_oral_taxon_473
	Prevotella_veroralis
	Propionibacterium_acidifaciens
	Propionibacterium_freudenreichii
	Proteus_hauseri
	Proteus_mirabilis
	Proteus_vulgaris
	Pseudoflavonifractor_sp_An184
	Pseudomonas_aeruginosa_group
	Pyramidobacter_sp_C12_8
	Ralstonia_pickettii
	Raoultella_ornithinolytica
	Raoultella_planticola
	Raoultella_terrigena
	Robinsoniella_sp_RHS
	Rothia_dentocariosa
	Rothia_mucilaginosa
	Saccharomyces_cerevisiae
	Scardovia_wiggsiae
	Schwartzia_succinivorans
	Selenomonas_sp_oral_taxon_126
	Selenomonas_sp_oral_taxon_920
	Selenomonas_sputigena
	Serratia_liquefaciens
	Slackia_exigua
	Slackia_isoflavoniconvertens
	Solobacterium_moorei
	Staphylococcus_aureus
	Stomatobaculum_longum
	Streptococcus_agalactiae
	Streptococcus_anginosus_group
	Streptococcus_cristatus
	Streptococcus_downei
	Streptococcus_gallolyticus
	Streptococcus_gordonii
	Streptococcus_infantis
	Streptococcus_milleri
	Streptococcus_mitis
	Streptococcus_mutans
	Streptococcus_oralis
	Streptococcus_peroris
	Streptococcus_pneumoniae
	Streptococcus_sanguinis
	Streptococcus_sobrinus
	Streptococcus_sp_HMSC070B10
	Streptococcus_sp_HPH0090
	Streptococcus_sp_M334
	Streptococcus_sp_NLAE_zl_C503
	Streptococcus_sp_oral_taxon_058
	Streptococcus_vestibularis
	Streptococcus_viridans
	Subdoligranulum_variabile
	Synergistes_jonesii
	Treponema_denticola
	Treponema_maltophilum
	Treponema_medium
	Treponema_socranskii
	Treponema_vincentii
	Tropheryma_whipplei
	Veillonella_sp_CAG_933
	Weissella_viridescens
	[Collinsella]_massiliensis
