"","SRR5946876","ERR210545","SRR5946645","ERR209072","ERR210091","SRR5935784","ERR209671","ERR210263","SRR5983317","SRR5946831","SRR5983279","SRR5947052","SRR5983355","SRR5935743","ERR209439","SRR5935905","SRR5936141","ERR209160","SRR5946864","SRR5983264","SRR5936196","SRR5946686","SRR5946947","SRR5936188","SRR5946620","SRR5946853","SRR5935777","ERR209748","ERR209432","ERR210255","SRR5946981","SRR5946625","SRR5946933","SRR5983294","SRR5946755","SRR5936099","SRR5935825","SRR5947027","SRR5935797","SRR5936098","SRR5983479","SRR5946873","SRR5983434","SRR5947028","SRR5935832","ERR209701","ERR209266","SRR5947079","SRR5946682","ERR210283","ERR209749","SRR5947070","SRR5946912","SRR5983315","SRR5946758","SRR5947879","SRR5947008","SRR5935899","ERR209164","SRR5946971","SRR5983297","SRR5936218","SRR5946935","SRR5983384","SRR5983475","ERR209162","SRR5947101","SRR5946851","SRR5947838","ERR209226","SRR5946677","SRR5935817","ERR209732","SRR5946923","SRR5983377","ERR209287"
"Prevotella_sp_P4_51",0,0,0,2.54711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_AF34_10BH",1.25528,0,0.07859,1.40594,0,0,1.08317,6.25981,0.02377,1.60437,0,0.3069,0.15053,0,0.06128,0,0.00491,0.18492,0,0.00869,0,0,0.00274,0,0,0,0.35414,0,1.00331,0.46923,0.35204,0,0,0.22356,0,0.47247,0.16364,0.03436,0,0.00643,0,1.26268,0.05816,0.22138,0,0,0,0,0.113,1.13385,0,0.07135,0,0.52899,0,0.02885,0,0,0.05917,1.62816,4.16386,0,0,0.0016,0.02217,0,0.07648,0.0345,0,0,0,0.03133,0,2.17927,0.05806,0
"GGB4569_SGB6310",0,0,0,0.69135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65849,0,0,0,0,0,0.5427
"GGB4750_SGB6579",0,0,0,0.60421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55681,0,0,0,0,0,0
"Phascolarctobacterium_succinatutens",0,0,0,1.52758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64146,0,0
"Faecalibacterium_prausnitzii",2.34623,8.08321,4.52736,1.50418,0,0.53852,5.73472,2.8037,22.61759,13.14365,10.12558,8.73106,2.57367,0,0.78401,0,3.25977,0.08345,0,2.18963,8.52609,0,1.31918,0.00456,0.10941,0,50.14569,0,3.40423,1.47269,0.81368,5.93777,2.17106,20.62452,0,15.41982,14.89152,12.29899,2.9562,6.40968,1.14525,0,8.23264,0.27985,15.03249,1.43906,0.5224,0,0.25429,2.12453,0,1.14137,0,4.95905,1.23565,4.29626,0,9.72831,0.59644,6.49765,7.84984,0,0,1.71828,1.39484,0.03393,1.54568,7.88085,11.62731,0,0,4.10636,0,18.16754,4.64401,0
"Firmicutes_bacterium_AF16_15",0.05279,0,0.64256,1.18108,0.80936,0,2.2695,10.19063,0.44747,1.00461,0.0182,0.86445,0,0,0.54197,0,0.95177,0,0,0,0,0,0.05829,0,0,0,0,0,0.97369,0,0.02076,0.01718,0,0,0,0.47448,0.09361,0.60879,0.1833,0.02869,0.00066,0,0.41676,0.0393,0,0,0.67616,0,0.00117,0.51772,0,0.00405,0,0,0,0.8988,0,0,0.25385,1.22866,0.01409,0,0,0.54574,0.41623,0,0.71763,0.2745,0.00335,0,0,0.09826,0,0.12986,0,0
"Alistipes_putredinis",1.46404,0,2.33422,1.99963,0,0,1.45952,1.3955,0,1.27731,2.78051,4.30803,0,0,0.75566,0,0,1.02107,0,0.0198,0,0,12.14275,0,0,0,0,0.84275,0,4.26085,3.09072,4.17722,0,0.19214,0,2.23105,0.9688,3.68824,1.07673,4.12567,0,0,0.6764,3.69094,0,0,0,0,2.07036,0,0.74911,3.70576,0,7.40261,0.60051,0,0,0,0,1.35159,7.51824,0,0,3.84619,0,0.58087,0,4.17827,8.15883,0,0,7.7532,0.0014,2.11832,10.01287,1.04162
"GGB3619_SGB4894",0.07118,0,0,0.88056,0,0,0,0,0,0,0,0,0,0,0.07905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00049,0,0,0.04013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10003,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0.18259,0,0,0,0,0,0.03276
"Prevotella_pectinovora",0,0,0,1.19514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4569_SGB6312",0,0,0,0.44968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrio_SGB5077",0.19838,0,0,0.55085,0,0,0,0,0,0,0,0.3155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00748,0,1.78481,0,0,1.12602,0.51158,0.47396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04437,0,0.58617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3363_SGB4448",0,0,0,0.48989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2644,0,0,0,0,0,0,0,0,0.10979,0,0,0,0,0,0,0,0,0,0,0,0,2.15349,0,0,0
"Bacteroides_eggerthii",0.20021,0,0,0.84258,0,0,0,3.6909,0,4.21349,0,0,0,0,0,0,0,0.11848,0,6.28128,0,0,0.0035,0.00287,0,0,0,0.00017,0,0,0,0,0,0,0,5.53735,0.47512,0,0,0,0,0,0,0,0,0,0.58015,0,0,0,0.00218,0,0,0,0,6.77786,0,0,0,0.01353,0.01756,0,0,0,0,0,0.00728,0,0,0.06515,0,0.00021,0,0,0,0
"Roseburia_sp_AF02_12",0.48491,0,0.45189,0.60739,6.41563,0,3.39353,0,0,0,0,0.00098,0,0,0.25304,0,0,0.22577,0,0,0,0,0,0,0,0,0.03997,2.14265,3.89499,0,0.03129,0,0,0,0,0.58939,0.03525,0,0.01919,0.02035,0,0,0,0.00454,0,0,0,0,0.0011,3.62551,2.42561,0,0,0,0,0,0,0,5.26468,0.00251,0,0,0,0,0,0.02096,0,0,0,0,0,0,0,0,0,0
"Lachnospira_eligens",0.63901,1.60967,0.25386,0.49724,0,0,3.50523,0,5.73185,0,0.36748,0.28874,0,0,2.32999,0,0.06913,0,0,0.29936,0,0,0,0.58761,0,0,2.63252,0,0.12184,1.239,0.12878,1.13597,0,0.00189,0,0.49042,0.06484,1.56556,0.65934,1.02639,0.01177,0,0,0.05729,0,0,0,0,0.14225,0,0,0,0,0.88544,0,0.00995,0,0,0.62519,0.16624,0.60248,0,0,0.91985,0,0.05484,0.01117,0.32338,1.37499,2.74125,0,0.05836,0,0.55981,0,0.05316
"GGB4657_SGB6444",0,0,0,0.44257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia_wexlerae",0.01116,0.84739,0,0.62099,8.87445,0.84367,2.81653,1.41319,0.25466,0.53205,0.02197,0.17704,0.00683,0,0.36102,0,0,0.02922,0,0.00739,0.4987,0,0.02414,0,0.01123,0.80479,0.27817,18.51727,0.5966,0,0.13482,0.05267,0.83648,0.31721,0,0.27084,0.01971,0.00314,0.20908,0.0091,0.01563,0,0.00375,0.30918,0.87637,2.37213,0.27625,0,0.59164,0,20.56264,0.07794,0,0,0,0.03224,0,5.65274,0.15025,0.07681,0.02297,0.00661,0,0.00637,0.12322,0.06887,0.00985,0.15445,0.44927,0.04681,0,0.01325,21.62645,0.05602,0,0.0791
"GGB4558_SGB6289",0,0,0,0.39916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9677_SGB15180",0,0,0,0.79844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32386
"Clostridium_sp_AM22_11AC",0.0111,0,0,0.60613,0,0.12385,0.39219,0,0.0031,0.60129,0,0.00704,0,0,0.27897,0,0,0.00693,0,0,0,0,0,0,0,0,0,0,0.3148,0,0,0,0,0.03932,0,0.00782,0.00937,0.0021,0,0.00945,0,0.05934,0.01399,0,0,1.36981,0.37955,0,0,0,0,0,0,0,0.04319,0.09436,0,0,0.04429,0.79872,0,0,0,0.03498,0,0,0,0.27699,0,0,0,0,0,0.00045,0,0.06119
"Candidatus_Gastranaerophilales_bacterium",0.9547,0,0,0.41582,4.85286,0,0,0,0,0,0,0,0,0,8.98464,0,0,1.37943,0,0,0,0,0,0,0.66923,0,0,0,0,0,0.08365,0,0,0,0.03824,0.01765,0,0,0,0,0,0,0,0.18022,0,0,0,0,0.0121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30301
"GGB9045_SGB13947",0,0,0,0.55033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41001,0,0,0,0,0,0
"Clostridium_SGB4648",0.03039,0,0,0.52717,0,0,0,0,0,0,0,0,0,0,0.34675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286,0,0,0,0,0,0,0,0,0.03693,0.1264,0,0,0,0.07481,0,0.01861
"Faecalibacillus_intestinalis",0.00216,0,0,0.31078,0,0,0.22038,0,0.05885,0.04127,0.03416,0.00414,0,0,0.36796,0,0,0,0,0.02248,0,0,0,0,0,0,0,0,0.09026,0,0,0.0095,0,0,0,0.01167,0,0,0.03282,0,0,0,0,0,0,0,0.931,0,0,0,0,0,0,0,0,0,0,0,0,0.0542,0,0,0,0.04195,0,1.13819,0,0.00486,0,0,0,0,0.40636,0.00822,0,0
"Roseburia_inulinivorans",1.1661,0,0.5034,0.46605,0,0.1274,1.14019,4.94603,0.00925,0.20421,0.25225,0.10934,0,0,0.22383,0,0.09419,0,0,0.12549,0,0,0,0,0.11334,0,0,0,4.55816,0.28924,0,0,0,0.67708,0,0.09918,0,0.07935,0.13522,0.24405,0,0,0.20841,0,0.96435,0.24779,1.02214,0,0,5.40099,0,0,0,0.07267,0,0.13057,0,2.18827,1.48406,0.90596,0.15636,0,0,0.02311,0.10512,0,0.00255,0.65119,0.05736,0.02931,0,0.06842,0.09561,0.3429,0,0.16359
"GGB3612_SGB4882",0.01434,0,0,0.38897,0,0,0.03362,0,0,0,0,0,0,0,0.17306,0,0,0,0,0,0.64823,0,0,0,0,0,0,0,0,0.6517,0,0,0,0,0,0.02045,0,0,0,0.17786,0.64707,0,0,0,0,0,0,0,0,0,0,0,0,0.90612,0,0,0,0,0,0.0468,0,0,0,0,0.07839,0,0,0,0,0,0,0,0,0.06644,0,0.03232
"Anaerostipes_hadrus",0,1.42575,0,0.30702,3.07966,0.24169,1.31357,0,0.84883,0.02585,0.25748,1.29153,0.49471,0,0.17248,0,0,0.02856,0,0.07903,0,0,0.09192,0,0.14042,0,0,5.68415,0.08166,0,0.70492,0.07029,0.01181,0.59139,0.38986,0.22531,0.01914,0.0928,0.61699,0.05301,0.01904,0,0,0.16734,0,1.97153,0.12207,0,0.96853,0,6.64276,0.25854,0,0,0.05362,0.10857,0,0,0.95258,0.3325,0.1969,0.02491,0,0.05785,0.12061,0.44076,0.03152,0.13654,0.78789,0.04621,0,0,6.68152,0.19302,0.09906,0.17153
"GGB4768_SGB6601",0,0,0,0.27328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03926,0,0,0,0,0,2.56895,0,0,0,0,0,0,0,0,0,1.90006
"GGB51269_SGB5062",0.27527,0,0,0.35008,0,0,0.01267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55251,0,0,0,0,0,0,0,0,0,0,0,0.2151,0,0,0,0,0,0,0,0,0,0
"GGB6612_SGB9346",0,0,0,0.52237,0,0,0,0,0,0,0,0,0,0,0.49751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11631,0,0,0,0,0,0,0,0,0,0.11257,0,0,0,0,0,0
"Blautia_SGB6487",0,0,0,0.19933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9059_SGB13976",0,0,0,0.45936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19806,0,0,0,0,0,0
"GGB4558_SGB6290",0,0,0,0.22434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50631,0,0,0,0,0,0
"Clostridium_sp_AM33_3",0.00338,0,0.01052,0.4784,0,0,0,0,0.02116,0,0,0,0,0,0.02714,0,0,0,0,0,0,0,0,0,0,0,0.14848,0,0.08283,0,0,0,0,0,0,0,0.01213,0.00635,0,0.00708,0,0,0.03183,0,0,0,0,0,0,0,0,0,0,0.00423,0,0,0,0,0,0.08034,0,0,0,0,0,0,0,0.02933,0.02964,0,0,0,0,0.02368,0,0
"Barnesiella_intestinihominis",3.43982,0,0,0.38225,0.33452,0,0.74654,1.25038,1.96881,0.36688,0,0,0,0,0.36711,0,0,0.80101,0,0.00757,0,0,0,0,0,0,0,0.3027,0,2.09268,2.86888,0,0,0.00182,0,0.53478,0.25958,0,0,0,0,0,0,4.46307,0,5.2913,0.39329,0,2.33314,0,0.32337,0,0,0,0,0,0,0,0.14989,0.7826,0,0,0,0,0,0.724,0,0.78216,0,2.58737,0,2.54075,0,1.28526,0,0.21376
"Faecalibacillus_faecis",0.01139,0,0,0.23036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04285,0,0,0,0,0,0,0,0,0,0
"GGB1123_SGB1437",0,0,0,0.62777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea_longicatena",0.00483,0,0,0.2795,0,0,1.00019,0,0.05025,1.20133,0.12404,0.05204,0.2979,0,0.33984,0,0,0,0,0,0,0,0.10326,0,0.01493,0.15707,0,0,0.04573,0,0,0.03794,0,0,0,0.48251,0.04622,0.01281,0.62037,0.05754,1.59674,0.24012,0.01864,0,0.32624,2.70272,0.1409,0,0,0,0,0,0,0,0.00224,0.26497,0,2.55799,0.09539,0.54945,0,0.22397,0,0.07121,0.07206,0.19022,0.02017,0.14599,0.10785,0.18342,0,0,1.66051,0.3291,0.02377,0.13919
"GGB79634_SGB101324",0,0,0,0.38067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3637_SGB4930",0,0,0,0.25502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odoribacter_splanchnicus",0.54424,0.04406,0.11985,0.27788,0,0.16998,0.65571,0,0.53123,0.16724,1.30997,0.54545,0,0,0.59127,0,0,0.24584,0,0,0,0,0.87027,0,0,0,0,0.1106,0.48005,0,0,1.74252,0,0.01258,0,0.34603,0.24192,0.65056,0.10261,0,0,0,0.2385,0,0,0,0.08157,0,0,0.1159,0.1259,0.33928,0,0,0,0,0,0,0.24077,0.23437,0,0,0,3.15725,1.77698,0.05101,0,0,0,0.77017,0,0,0.08341,0.33999,1.20565,0.53677
"Butyricimonas_faecalis",0,0,0,0.28017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Catenibacterium_tridentinum",0,0,0,0.17902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_xylanisolvens",0,0,0,0.21629,0,2.01123,2.45282,0,0.03412,0,0,7.34991,0.0092,0,0.53122,0,0,0,0,0.91236,0,0,1.93821,0,0,0.00489,0,0.14912,0.04101,0,0,0.55759,7.42882,0.06178,0,1.7269,1.1385,2.9677,0.97784,0,1.06823,0,6.10637,0,0,0,0.77231,0,0,0,0.15879,3.47905,0,0,0.3068,0,0,0,0,0,0.01392,6.34645,0,16.21376,9.27032,0.09986,0.00269,4.38112,0.03589,0,0,10.86202,0,1.84142,3.85931,0
"Coprococcus_comes",0.00169,0,0.00414,0.26528,0,0,0.12809,2.31954,0.00393,0.09116,0,0.07355,0.25739,0,0.22642,0,0,0.00337,0,0.0082,0,0,0,0,0,0,0,2.59864,0.10236,0,0,0.26202,0,0,0,0.10844,0.06293,0.03147,0.15315,0.03547,0,0,0.02882,0,0,0.79512,0.06105,0,0,0,2.88071,0,0,0,0,0.05653,0,0,0.22762,0.16993,0.00571,0,0,0.04856,0,0,0,0,0,0,0,0,3.26855,0.00449,0.25721,0.31007
"Coprobacter_fastidiosus",0.0025,0,0,0.23008,0,0,0,0,0,0.18212,0,0,0,0,0.32287,0,0,0.03679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63621,0,0,0,0,0.14067,0,0,0,0,0,0,0,0,0,0
"Alistipes_finegoldii",0.51504,0,0,0.85429,0,0.2945,0.00118,0,0.70984,0.00974,2.3333,0.21769,0,0,0,0,0,0,0,0,0,0,3.73082,0,0,0,0,0.01506,0,0,0.06013,1.47901,0,0,0,0.74468,0,0.73905,0.0813,0,0,0,0.38984,0.19839,0,0,0,0,0.07507,0,0.01112,1.7222,0,0,0,2.14384,0,0,0.11856,0.0356,0.15041,0,0,1.26197,1.64506,0,0,0,2.59109,0,0,0,0,0,0,0.10074
"GGB6565_SGB9274",0,0,0,0.69296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerobutyricum_hallii",0,0,0,0.19382,0,0.33184,0.02537,0,0.08813,0.27503,0,0.07296,0.069,0,0.23316,0,0,0.03695,0,0.01049,0,0,0.04118,0,0.03711,0,1.16176,0,0.15285,0,0,0.06872,0,0,0.49464,0.01583,0,0.00772,0.05835,0,0,0,0,0.00129,0,0.61094,0,0,0.00626,0,0,0,0,0,0,0.05983,0,0,0.02353,0.11671,0,0.01768,0,0,0,0.28874,0,0.06522,0,0,0,0,0,0.11373,0.05568,0.04702
