"","train_4034","train_4036","train_4038","train_4041","train_4042","train_4047","train_4053","train_4055","train_4058","train_4059","train_4060","train_4061","train_4062","train_4064","train_4067","train_4069","train_4080","train_4116","train_4121","train_4125","train_4128","train_4129","train_4131","train_4132","train_4135","train_4144","train_4145"
"Streptococcus_salivarius",2.70946,0.02542,0.84411,0.08225,0.00837,0.00023,0.19111,0.13866,0.29923,0.06827,0.28804,0.13484,0.05854,1.13091,1.08193,0,0.00357,0.09783,2.12379,0.0294,0.36168,0.05717,0.05141,1.43137,0.02929,0.54815,0.07433
"Clostridium_clostridioforme",0,0,0,0.06527,0,0.00428,0,0,0.0491,0,0,0,0,0,0,0,0,0,0.21161,0,0.08374,0,0,0,0,0,0.16446
"Clostridium_celatum",0,0,0.00565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0.00511,0,0,0.00974,0.00415,0,0,0,0,0,0,0,0.00422,0,0,0,0.04741,0,0,0,0,0,0,0,0,0,0
"Eggerthella_lenta",0.04229,0,0.21537,1.17841,0.11003,0.06025,0.00314,0.4467,0.01077,0,0.07159,0,0.03288,0,0.05801,0.0997,0.24363,0.39304,0.31239,0.13368,0,0.0041,0.13719,0.08946,0,0.04116,0.42925
"Dorea_sp_CAG_317",0.05899,0,0,0.21904,0,0,0,0,0,0,0,0,0,0,0,0,1.1647,0,0,0,0,0,0,0.74698,0.01711,0,0
"Propionibacterium_freudenreichii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_innocuum",0.01675,0,0.02243,0.03372,0,0.00733,0,0.06398,0.08688,0,0.00526,0,0,0,0.00147,0.00681,0,0.2465,0.26513,0.21107,0,0,0,0.09782,0,0.00017,0.02593
"Actinomyces_sp_oral_taxon_181",0,0.01782,0.00092,0,0,0,0.00078,0,0.00516,0,0.00128,0,0,0,0,0,0,0,0.0063,0,0,0,0,0,0,0,0.002
"Streptococcus_oralis",0.10258,0.15484,0.02335,0,0,0.16767,0,0,0.01492,0.00256,0.00336,0,0.02162,0.01651,2e-04,0,0,0.00226,0.00422,0,0,0.02876,0,0.1684,0.02755,0,0.03501
"Klebsiella_pneumoniae",11.80347,0.51969,3.5483,0.22433,6.16613,0.87785,0,0,1.13869,0.15012,0.00909,0,0.05394,0.00701,0,1.56277,0.00283,0.03976,0,0.01638,0.01649,0.04025,0,0,0.04781,0.00462,2.65065
"Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00666,0,0,0,0,0,0,0,0.00041
"Lachnoclostridium_sp_An118",0,0,0,0,0,0,0.00047,0,0,0,0.00466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mitis",0.03583,0.03382,0.0521,0,0,0.02009,0,0,0.0391,0.00649,0.0019,0,0.0095,0.00471,0,0.00315,0,0,0,0,0,0.00612,0,0.01866,0,0,0.00372
"Ruthenibacterium_lactatiformans",0.24193,0.1293,6.48509,0.35188,0.56147,0.0435,0.53179,0.62518,0.21456,0.0803,2.93411,0.12343,2.40482,0.01516,0.329,1.66619,1.0638,3.5432,0.08624,0.37329,0.14288,0.00942,0.21465,0.74099,0.11775,0.11032,1.94791
"Atopobium_parvulum",0,0,0.00265,0,0,0,0,0,0.00262,0,0,0,0,0,0,0,0,0,0.00147,0,0,0,0,0,0,0,0
"Prevotella_copri",0.01736,29.52524,0,0.00059,0,0,0.00083,0.00493,0.59069,25.62315,0.00395,0.0017,0.01212,48.36665,7.19806,0,0,0,0,0,0.01284,59.07923,0.0292,0.03182,20.30439,1.91522,0
"Actinomyces_sp_S6_Spd3",0,0.00041,0.0021,0,0,0,0,0,0.00468,0,0.00492,0,0.00127,0,0,0,0,0,0,0,0,0,0,0.00587,0,0.0011,0.00952
"Collinsella_aerofaciens",0.74216,0.42926,1.97783,0.00396,0.39351,0.01359,0.06608,10.7307,5.86718,3.81722,3.65368,0.34333,8.12069,1.27433,3.00719,3.76283,0.89502,0.86237,5.28266,3.25734,5.12296,0.61661,1.28107,3.55242,0.30635,2.78567,10.63018
"Romboutsia_ilealis",0,0,0.00549,0,0,0,0,0,0.00225,0.00033,0,0,0.00729,0,0.00115,0.00656,0,0,0,0,0,0,0,0,0,0,0
"Clostridiales_bacterium_CHKCI006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_520",0.00032,0,0,0,0,0,1.49042,0,0,0,0,0,0,0,0.7344,0,0,0,0,0,0,0,0,0,10.23488,0,0
"Eubacterium_siraeum",0,0,0,0,0,0,0,0,0,0.01058,1.5247,0,0,0.09661,0.09384,0.86105,0,0,0,0,0.17637,1.85141,0,2.27716,1.29105,0.21818,0
"Bacteroides_uniformis",3.28963,5.86598,0.18865,0,12.85419,1.91116,9.78755,6.98308,9.09219,0.27785,1.53411,6.70565,5.1621,0.01669,0.63198,12.98497,2.02943,5.615,1.99996,0.31478,11.44453,0.92742,5.40384,1.34208,5.90946,2.40647,0.16823
"Prevotella_sp_CAG_279",0,0,0,0,0,0,0,0,0,0,0,0,0,0.59062,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_bromii",1.22254,0.45534,0,3.0933,0.50978,0.8641,0,0.03471,1.7634,0.00299,15.51826,0,0,0.13869,12.10127,5.99461,6e-04,14.20761,0,1.32189,0,0.92942,0.04483,25.88212,0.20802,5.56808,0.00197
"Phascolarctobacterium_succinatutens",0,0,0,0,1.02062,0,0,0,0,0,0,1.90792,0,2.30243,0,0,0,0,0,0,0,0,1.65512,0.5067,0,0,0
"Prevotella_sp_CAG_873",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6159,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_inulinivorans",2.45026,1.23033,0.02409,0.45806,0,0.00354,0.3769,0.19,0.57457,8.14493,0.3334,0.10927,0.53854,1.37796,0.08867,1.84358,0.45403,0.17943,0,0.0064,0.04408,1.10017,0.69203,0.29982,0.1069,1.6096,0
"Ruminococcus_torques",0,0.09877,2.63518,0.86043,0.92968,0,0.07331,0.36855,0,2.86858,0.10117,0.46707,1.82406,0.04132,0.05202,0.62137,0,0.45318,0,0,0.41215,0,0,0,0.3526,2.98704,0
"Bacteroides_stercoris",7.62782,0.41584,2.31001,0,0.63953,0.00532,38.07934,1.58394,0,0.70031,0.71614,1.6346,0.58495,0.2271,0.12656,0,8.7715,1.31753,0.56178,4.26862,4.91557,1.13918,0.02173,0.02575,1.83122,0.17683,0.46691
"Eubacterium_sp_CAG_251",0.00233,0.00307,0,0,0.53577,0,0,0,0,0,0.00106,0,0,1.46559,0,0,0,0.00025,0,1.73489,0,0,0,0,0.00093,0,0
"Alistipes_inops",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96861,0,0,0,0,0,0,0.01992
"Oscillibacter_sp_57_20",0.10203,0.21874,0.01706,0.39413,0.04412,0.31653,0.00314,0,0,1.12801,0,0.43594,0.03491,0.71247,0.00058,0.01538,0.4951,0.4234,0,0.64103,0.97809,0.64618,0.84334,0.1797,0,0.25805,0
"Bacteroides_dorei",0.0498,0.02472,0.283,22.28867,0,14.58873,0.19524,1.35905,0,0.18248,0.00038,0,0.46386,0.27387,0.01741,0,0,0,0,0,0,0.35131,0,0,0,0.58227,0
"Lachnospira_pectinoschiza",0.00601,0,0.58154,0.094,0,0.11658,0,0,0,3.47754,0,0.94638,0.80287,1.55028,0.79809,0.52364,0,0,0.00868,1.25215,0.03202,0,1.72149,0.35783,0.21354,0,0
"Prevotella_stercorea",14.23937,0.01111,0,0,0,0,0.09378,0,0,0,0,0,0,1.99396,0.06993,0,0,0,0,0,0,0,0,0.1403,0.62932,0,0
"Bacteroides_caccae",2.48337,0.10636,0.32931,3.39314,0.34035,2.30649,2.18409,2.82305,0.00194,4.57978,0,1.10392,0.49951,0.17807,0.44316,4.87824,0,0.2747,1.84667,0.21521,1.56742,0.59395,5.44476,1.21266,1.66012,0.80168,0.56525
"Parabacteroides_distasonis",2.74774,0.22348,0.28621,9.96939,1.07752,21.26828,3.04597,0.64543,0.41033,0.52187,2.41716,1.74608,0.25606,0.10275,0.28184,1.7706,3.41398,2.73337,0.86927,4.83832,1.7393,0.3345,2.33772,1.75078,2.2009,0.38569,0.14413
"Haemophilus_parainfluenzae",0.74987,0.00908,0,0.00099,0,0,0,0,0.02061,0,0,0,0,0.01554,0,0.00109,0.00486,0,0,0,0,0.14997,0,0,0.03275,0,0
"Odoribacter_splanchnicus",0,0.12946,0.07597,0,0.05416,0.19898,0.31482,0.1434,0,0.31869,0.23004,0.23597,0.35591,0.16966,0.07374,0.63909,0,0.4787,0,0,0.09634,0.12585,0,0.06277,12.59475,0.06734,0.02505
"Firmicutes_bacterium_CAG_110",0,0.0663,0,0.00343,0,0,0,0,0,0,0.06608,0.12868,0.56696,0.00733,0,1.77142,0,1.9428,0,0,3.38425,0.60445,0,0.00962,0,0.18654,0
"Coprococcus_eutactus",0,0.03016,0,0,0,0,0,0,0,0,0.00077,0,0,0.98252,0,0,0,0,0,0,1.40481,0.00484,0,0,0,9.60856,0.00271
"Paraprevotella_xylaniphila",0,0.22925,0,0,0,0,0,0,0,0,0,0,0,0.0415,0.11299,0,0,0,0,0.21645,0,0.26015,0,0,0,0,0
"Slackia_isoflavoniconvertens",0,0.01542,0.00059,0,0,0,0,0.00068,0,0.00563,0,0,0,0.07703,0,0,0,0.00077,0,0,0.00083,0,0,0.00905,0,0,0.00069
"Bacteroides_ovatus",0.07444,0.14821,0.53482,0,1.40025,2.43247,3.54055,1.03486,0.07187,0.02156,0.04551,0,0.06351,0.01714,0.77675,0.02363,2.41795,0.12858,0,0.15515,0.32366,0.01519,1.79156,0.33367,0.11309,0.35708,0
"Bacteroides_sp_CAG_144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_58",0,0.0051,0,0,0.14758,0.29029,0,0,0,0.19858,0.89074,0.30021,0.69276,0,0.25404,1.57572,0,0,0,0,0,0,0,0.62896,1.14458,0.18179,0
"Roseburia_hominis",0.64073,0.17926,4.95002,0,0.60963,0.08377,0,0.05792,0.01501,0.49421,0.07153,0.04684,0.44002,0.03398,0.02706,0.05977,0,0.04726,0,0.24212,0.1716,0.41282,0.83106,0.14236,0.0873,0.11905,0.14895
"Dorea_longicatena",0.40936,0.15705,1.61014,0.00072,0.15787,0.51414,0,1.68672,0,1.04922,0.85963,0.13716,0.66727,0.20106,3.64706,0.102,0,0.16506,0,0.38384,0.4199,0.32447,1.48189,0,0.13524,1.75532,3.95612
"Eubacterium_sp_CAG_38",0,0.02046,0.00808,0,0,0.03808,0.73436,0,0.01374,0.17311,0.02989,0.03239,0.05043,0.47517,0,0.00399,0,0,0,0.01061,0.00803,0.1289,0,0.04997,0.02108,0.77371,0
"Parabacteroides_merdae",2.1025,0.17816,0.18943,0,0.25719,0,1.31187,1.17869,0,0.5531,0,1.50581,0,0.0554,1.17671,4.12383,0,1.31086,0,4.7073,1.20394,2.08777,1.73616,0.15622,0.68077,0.43736,0.33759
"Ruminococcus_lactaris",0,1.01168,1.58023,0.34295,0,0,0.18382,0,0,0,2.27452,0,0,0,0,0,0,0.24449,0,0,0.02982,0.05014,5.00906,0.02729,0,0,0
"Gemmiger_formicilis",0.4398,0.14277,0.56182,0,0.0036,0.03907,0.00627,0,0,0.14991,0,0.08976,1.10985,0.04221,0.24109,0.0617,0,0.11701,0,0.08817,0.0669,0.04005,0.02152,0.11593,0.08424,0.37088,0
"Bifidobacterium_dentium",0.02867,0,0,0,0,0,0,0,0.00362,0,0.01393,0,0.02393,0.18638,0,0,0,0,0.06751,0,0.00104,0,0,0,0,0,0.0027
"Blautia_obeum",0.29488,0.05281,0.06886,0.3004,0.01224,0.03017,0.00647,0.22312,0,0.19731,0.78501,0.10963,1.94269,0.09793,0.2916,0.16958,0.26657,0.26723,0.09578,0.00756,0.53048,0.14302,1.05047,1.15736,0.16128,1.63182,0.06187
"Firmicutes_bacterium_CAG_83",0.4765,0.01892,0.14387,2.15787,0.17863,0.00407,0.08731,2.14286,0,0.04361,4.17141,0.29147,0.12576,0.24994,0.55986,0.17407,0,0.13874,0,5.00525,0.02154,0.16966,0.1184,0,1.87054,0.18394,0
"Desulfovibrio_piger",0,1.01285,1.09128,0,0,0,0,0,0,0,0,0,1.14548,0.28073,0,0.72413,0,0,0,0,0,0,0,0.16067,0,0,0
"Eubacterium_rectale",0,0.00803,2.4534,8.73318,0,0,0.70416,0.00267,1.23365,6.21533,0.04574,0.00931,0.25812,0.19508,0.5156,0.01179,0,0.94602,0,0.02683,0.27486,0.44413,0,0,0.00136,3.17107,0.00043
"Agathobaculum_butyriciproducens",0.14796,0.07473,1.09101,0.73122,0.05048,0.0496,0.03552,0.29958,0.51607,0.61284,0.08648,0.02337,0.03842,0.06085,0.60419,0.02465,0,0.00405,2.56575,0.12901,0.01645,0.24081,0.26279,0.00256,0.04901,1.69392,1.09972
"Bacteroides_massiliensis",0,0.31269,0.42136,0,0.2332,0,0,0,0,0.39067,0.10054,0,0.7194,0,0.03165,0,0,0.53451,0,0.56895,0.52047,0,0,0.00858,0.76214,0,0
"Parabacteroides_johnsonii",0.01559,0,0,0,0,1.87918,0,0,0,0,0,0,0,0,0.00344,0.0978,0,0,0,0,0,0,0,0,0.03947,0,0
"Veillonella_dispar",0.06352,0.00203,0,0.00586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07264,0,0,0,0,0
"Veillonella_infantium",0.05156,0.00141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03471,0,0,0,0,0
"Veillonella_atypica",0.14232,0,0,0.00321,0,0,0,0,0.00686,0,0,0,0,0.00447,0,0,0,0,0,0,0,0.54306,0,0,0,0,0.00514
"Bacteroides_finegoldii",0,0.00518,0.00379,0,0,4.46317,0,0,0,0.00085,0,0.20718,0,0,0,0.0144,0.15345,0,0,0.17977,0.19936,0,0,0.02022,0,0.01428,0
"Bifidobacterium_animalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_CAG_241",0,0.05791,0,0,0.05444,0,0,0,0,0.22471,0.00129,0.25447,0.32603,0.08355,0.00912,2.10409,0,1.338,0,0.00211,3.09963,0.02816,0.52798,0.38597,0,0.29977,0
"Bacteroides_intestinalis",1.45064,0.02371,0,0,0,0.71645,0.82945,0.00872,0,2e-04,0,0.13196,1.03747,0,0.03546,0.22371,0,1.89324,0,0.93722,0.37363,0.54711,0,0.46222,0.42059,0.08905,0
"Anaerostipes_hadrus",0.01733,0.02887,0.06925,2.60073,0.25907,0.04217,0.01259,0.52636,0,0.13404,1.30808,0.04305,0.71258,0.00432,0.73787,1.09263,0,0.19478,4.48476,0.35643,0.09892,0.10003,0.47885,0.07216,0.00122,0.96714,0.31977
"Clostridium_perfringens",0,0,0,0,0,0,0,0,0,0,0,0,0,0.01474,0,0,0,0,0,0,0,0,0,0,0,0,0.00159
"Catenibacterium_mitsuokai",0,0,0,0,0,0,0,0,0,0.23597,0,0,0,0.01776,0,0,0,0,0,0,3.60539,0,0,0,0,0,0
"Streptococcus_parasanguinis",1.35802,0.02315,0.02714,0.01897,0,0,0.00264,0.06412,0.2379,0.01268,0.09489,0.02567,0,0.56023,0.07062,0,0,0.03011,0.25564,0.01287,0.01297,0.04264,0.0026,0.19294,0.00182,0.07418,0.25241
"Butyricimonas_virosa",0.12951,0.16915,0.05101,0,0.01504,0.06916,0.09881,0.1961,0,0.19739,0,0.66627,0.30426,0.08779,0.01171,0.2013,0.25529,1.23769,0,0.11267,0.3993,0,2.03362,0.0224,2.29907,0.07923,0.23631
"Clostridium_sp_CAG_253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00538,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_ventriosum",0.02665,0.00641,0.05725,0,0.1158,0,0,0,0.02586,0.76284,0,0.00902,0.1197,0.00029,0.31832,0.00975,0,0,0,0.28259,0,0.12825,0.22512,0.04753,0.00054,0.2694,0
"Firmicutes_bacterium_CAG_238",0,0.0181,0,0,0,0,0,0,0,0.0025,0,0.01688,0,0.00225,0,0.0016,0,0.00102,0,0,0.0176,8e-04,0,0,0,0.00095,0
"Alistipes_finegoldii",0.23098,0.37606,0.00619,0.05615,0.05845,0.00467,0.08442,0.03656,0,0.02395,10.47007,0.39364,1.30164,0,0,0.18858,0,4.40589,0.20495,0,1.54083,0.0124,0.88842,0.03211,0.18846,0.00307,0.14327
"Coprococcus_catus",0.126,0.04066,0.22767,0.00021,0.01432,0.02688,0,0.09045,0,0.20637,0.05675,0.11599,0,0.06738,0.10114,0.11449,0.10306,0.06743,0,0.1788,0.24121,0.09232,0.28409,0.79931,0.01563,0.29588,0
"Eubacterium_hallii",0.05604,0.05122,0.13508,0.41137,0.0133,0.00093,0.00776,0.22325,0.12347,0.18329,0.12682,0.07741,0.79254,0.03986,0.09726,0.01565,0,0.04923,0,0.12124,0.74097,0.05344,0.06857,0.11158,0.00714,0.73528,0
"Alistipes_putredinis",1.43232,4.52681,2.84063,0,1.16786,0.8433,3.30827,0.00085,0,5.14552,1.49552,7.99784,8.59571,0.03854,0,5.39249,0,4.50066,0,0,12.4801,0,0.01352,2.25744,4.55459,4.40244,0
"Bacteroides_fragilis",1.16088,0.00742,8.04887,0.2548,0,7.30761,0,0.73493,0.59941,0.00751,3.25374,1.18071,0.01198,0.2454,0,0.00667,8.62923,5.53575,0.17828,0.15532,0.38265,0.0263,0,0,0.59434,0.04651,0
"Bacteroides_cellulosilyticus",0,0.02342,0,0,0.96418,0.1111,0,0.59768,0,0.20017,0.03875,0.0038,0.60177,0.00195,0,0.25849,1.90032,0.16917,0,0.35186,0.00151,0.13526,5.23391,0.08073,0.00275,0.0446,0.02468
"Veillonella_sp_T11011_6",0.07932,0,0,0,0,0,0,0,0,0,0,0,0,0.00173,0,0,0,0,0,0,0,0.01405,0,0,0,0,0
"Eubacterium_ramulus",0.0301,0.05258,0.30628,0.05479,0.02016,0.16168,0.00283,0.43853,0,0.08517,0.0423,0.04816,0.18452,0.01409,0.0181,0.00519,0,0.18393,0,0.1187,0.00845,0.02357,0.00334,0.08839,0.0068,0.33519,0
"Holdemanella_biformis",0.06042,0.00739,0,0,0,0,0,0,0,0.26183,0,0,0,0.04368,0.06662,0,0,0.03318,0,0,0,0,0,1.25999,0,0,0
"Lawsonibacter_asaccharolyticus",0,0.00172,0.00745,0.00139,0,0,0,0.28882,0.00184,0.03898,0.22503,0.00615,0.08954,0.00902,0.00405,0.00613,0,0.03936,0,0.04311,0.21777,0,0.01562,0,0.03828,0.00998,0
"Akkermansia_muciniphila",0.33465,0.0155,0.00677,0.08789,0.06117,0.00038,0,0.00444,0,0.00553,6.48586,25.20702,0.26393,0,0,11.29907,0,9.96896,0,0,2.08047,0.00153,0.02727,19.32638,0.0063,0,0.03676
"Eubacterium_sp_CAG_180",4.73705,14.86279,0.01071,0,3.22141,9.84307,0,0.03308,0.00866,0.00888,14.10487,18.26325,0.06911,0.02422,24.37156,1.87538,0.00393,0,0,0.01681,0.01321,1.25134,10.08837,0.02543,0,15.47203,0.01257
"Bacteroides_xylanisolvens",0.19997,0.0275,0.14119,0,2.30087,0.17424,2.18704,3.03615,0,0.11838,0.00532,0.1353,0.55714,0.00589,0.04837,0.17462,8.24018,0.37984,1.91645,0.02822,0.01745,0.0221,0.1207,0.08928,0.16078,0.07386,0.48811
"Ruminococcus_bicirculans",0,0,0,0.24635,0.02126,0.00718,0.013,0,0,0.08206,0.02103,0.00671,0.17952,0.0212,0.00243,0.17424,0,0,0,0.00205,1.50555,0,0,0,0,0.81869,0
"Monoglobus_pectinilyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49879,0,0,0
"Coprobacillus_cateniformis",0.017,0,0,0,0.02408,0,0,0,0.01589,0,0,0,0,0.00864,0,0,0.02579,0.03552,0,0,0,0,0.00264,0,0,0,0
"Alistipes_shahii",0.26606,0.35783,0.0287,0,0.4427,0.30361,0.00939,0.02047,0,0.01317,0.46854,0.00156,0.23016,0.02918,0.01127,0.00308,0.00268,0.47974,0,0,0.12341,0.14071,0.25004,0.17441,0.5046,0.21278,0
"Bifidobacterium_bifidum",0,0,0,0,0,0,0,6.18736,0,0.00051,0,0,0,0.12503,0,1.44737,0,0,0,0,0,0,0,0,0.03769,0,0
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asaccharobacter_celatus",0,0.02207,0,0.07258,0,0.0273,0,0.00019,0,0.00172,0.02305,0.03475,0.02632,0,0.04871,0.00933,0,0.15295,0,0.00562,0.08659,0.00765,0.01044,0.04464,0.00582,0.053,2e-04
"Eisenbergiella_tayi",0,0,0.95332,0,0.04978,0,0,0,0,0,0.0358,0,0.00702,0,0.00266,0.0249,0,0.24453,0,0.1536,0,0,0.18259,0,0.00693,0.00589,0
