"","train_1385","train_1391","train_1430","train_1432","train_1444","train_1691","train_1693","train_1733","train_1738","train_1741","train_1766","train_1770","train_1772","train_1775","train_1795","train_1797","train_1798","train_1799","train_1801","train_1840","train_1863","train_1872","train_1882","train_1888","train_1898"
"Streptococcus_oralis",0.00528,0,0,0,0.04809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella_pneumoniae",0.02135,0,0,0,0.14545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mitis",0.03765,0,0,0,0.07299,0,0,0,0,0,0,0,0,0.00075,0,0,0,0,0,0,0,0,0,0,0
"Ruthenibacterium_lactatiformans",0.0025,0.58325,0.15431,0.92511,0.03086,0.02672,0.00586,0.0342,0.05618,0.19359,0.04949,0.05122,0.46444,0.00353,0.07879,0.07748,0.09686,0.08985,0.39415,0.01041,0.18971,0.08225,0,0.30529,0
"Atopobium_parvulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_copri",50.47466,0,3.61607,9.81376,15.61757,1.44,0,1.51716,0,0.00177,0,55.24104,0.88872,0,34.27796,0,16.01054,49.59246,11.74955,0,0,0,78.73561,0,18.10689
"Actinomyces_sp_S6_Spd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00676,0,0,0
"Collinsella_aerofaciens",1.29703,0.81164,0.03241,0.16931,1.79396,0.61221,0.35126,0.61791,0.21069,0.43755,0.23375,0.47141,1.2051,0.48095,1.68678,0.82523,0.83498,0.6525,1.17087,0.3413,1.42567,0,0.1383,0,4.15459
"Romboutsia_ilealis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiales_bacterium_CHKCI006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_520",0,0,0,0.04835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18415,11.16725,0,0,0,0,0
"Eubacterium_siraeum",0,0.13715,1.18328,12.76631,0.0773,3.25357,0.04232,5.94707,0.14542,2.7236,0.61155,4.3817,1.76756,0.57876,0,0.05731,0.26278,0.04346,0,0.00485,0.11426,1.34074,0.31951,13.66929,0.01406
"Bacteroides_uniformis",1.2457,7.19317,3.63689,0.32804,0.75987,0.15559,15.73114,2.7377,7.92644,20.76063,3.84904,4.31848,0.74324,2.55017,0.74923,0,3.7331,0,0.47572,2.77014,34.72419,12.09009,0.03803,4.61483,1.0809
"Prevotella_sp_CAG_279",0,0,0,4.98187,1.97192,0,0,1.15687,0,0,0,0,0,0,2.38896,0,0,0,0.34255,0,0,0,0.39292,0,0
"Ruminococcus_bromii",0,17.6459,3.21715,0.01596,1.04407,2.56246,4.74772,0,1.05116,0,3.85733,0.64529,0,0.96835,1.98472,0,3.32756,1.75793,0,2.50176,4.63218,1.97811,0.10228,0.6456,7.3432
"Phascolarctobacterium_succinatutens",3.03237,0,0,0,0.74534,0,0,5.78444,0,0,0,3.71628,0,0,0.53955,0,0,0,6.84824,2.33303,0,4.15258,0,3.00914,0
"Prevotella_sp_CAG_873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81435,0,0,0,0,0
"Roseburia_inulinivorans",2.75068,0.13198,0.38182,0.00112,0.40481,0.30353,1.58466,0.62849,4.46773,2.31586,12.33394,0.31126,0.35062,0.40252,0.26239,0.90662,1.40586,0.39761,1.5141,0.58161,0.00702,3.42052,0.11937,1.57932,1.59345
"Ruminococcus_torques",0,0.448,0.01663,0.41179,0.33172,0.10822,0.0102,0.15436,0,0.6917,0.29223,0,1.18223,0,0.28653,0,0.2056,0.03291,0.1596,0.09952,0.6757,0,0.05864,0,0.19477
"Bacteroides_stercoris",1.44676,0,0,0,0,0.07358,2.9131,0.01078,0,0,0,0.21266,0,0,0.00769,0,0,0,0,0.69563,2.69741,0,0,0,0
"Eubacterium_sp_CAG_251",0,0,0,0,0,0,0,0,0,0,0.02059,0,0.96023,0.36815,0.22163,0,0,0.44531,0,0,2.54569,0.21483,0,0,0
"Alistipes_inops",0,0.53657,0,0,0.06256,0,0.10194,0,0,0.07964,0,0.00414,1.03259,0,0,0,0,4.11006,0.26609,0.09972,0,0,0,4.91537,0.17628
"Oscillibacter_sp_57_20",0,0,0.21629,2.55945,0.67497,0.44994,0.3584,1.96126,0,0,4.78681,0.46389,0.00893,0.33963,0.62654,0.00287,1.55372,1.48643,1.2599,0.57135,0,0.79699,0.165,0,0.16925
"Bacteroides_dorei",0.7534,0.73295,1.97343,0,0.19722,1.79008,8.70678,1.17141,5.05619,1.8759,8.41809,0.59494,2.76543,0,0.59514,29.44479,4.23124,0,0.75129,0.3416,10.0525,0,0.0235,2.98707,0
"Lachnospira_pectinoschiza",0,0.0401,0.20765,0,0,0.84304,0,0,0,3.52305,0,0,0.1045,0.01218,0.45649,5.17666,0.74915,0.00502,2.25526,0,1.34323,0,0,1.61377,7.24298
"Prevotella_stercorea",0,0,0,4.78362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73173,0.71757,0,0,0,0,0
"Bacteroides_caccae",0.0789,2.85528,3.04827,0,0,1.10374,2.25451,0.90091,0,1.4138,1.2571,0.19145,4.65941,1.63984,0.00653,2.91845,1.45107,0,0,0.15138,0,1.15161,0.23076,0.31022,0
"Parabacteroides_distasonis",1.17971,3.48416,2.10827,0.74721,1.37848,1.15916,2.15603,3.0882,3.25035,4.8613,6.17836,0.96842,0.46561,0.50356,1.85568,2.7294,0.90305,4.53637,0.90188,0.39218,1.02109,0.70786,0.06228,3.3401,0
"Haemophilus_parainfluenzae",0,0,0,0.0417,0.03174,0,0.0207,0.00334,0,0,0.05601,0,0,0.0332,0,0,0,0,0.17193,0,0,0,0,0,0.00453
"Odoribacter_splanchnicus",0.00858,1.18426,0.80264,0,0.38348,0.55574,0.15141,0.41961,1.20915,2.09499,2.86265,0.11875,0.90773,0.21607,0.25735,0,1.42326,0.64291,0.82386,0.39758,0.91008,0.81817,0.04509,0.65556,0.01633
"Firmicutes_bacterium_CAG_110",0,1.84511,1.38297,0,0.15481,0.07169,0.57073,0.66065,0,0,0,0.06221,3.55699,0,0,0,0.65883,0.62014,0,0.34067,0,0.01158,0.04944,0,0
"Coprococcus_eutactus",0,0,0.04062,0,0.11016,1.5977,1.07077,0,0,0,0.70111,0,0.26305,1.25082,0.0558,0,3.46535,5.66069,8.59381,10.38725,0,0,0.01623,2.82031,0.01181
"Paraprevotella_xylaniphila",0.73539,0,2.16291,0.73302,0.20864,0.04528,0,0.24836,0,0,1.86365,0.66136,0.04831,0,0.41185,0,0,0,0,0.4747,0,2.48813,0.0231,0,0
"Slackia_isoflavoniconvertens",0.22632,0,0,0,0.6429,0.22761,0.07004,0.21206,0,0,0.14601,0.07883,0.47454,0.03536,0.26471,0,0,0.01332,0.22922,0.07126,0,0.51396,0.04192,0.01631,0
"Bacteroides_ovatus",0.49694,0.03823,0.69201,1.61583,0.30183,0.09645,0.53625,0,1.1862,2.71901,1.93699,0.01079,0.11627,3.7428,0.20908,0.326,1.03922,0,0.42714,0.1112,1.00723,0.34701,0.02872,1.37792,0
"Bacteroides_sp_CAG_144",0,0.41474,0,0,0.18822,0,0,0,0,0,0,0,0.53424,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_58",0.10653,0.02917,0.00891,0,0,0,0.03416,0,0,0,0,0.05527,0,0,0,0,0,0,0,0,0.27052,0,0,0.31514,0
"Roseburia_hominis",0,0.19959,0.5586,0,0.5739,0.17331,0.71573,0.7168,0.50618,1.00773,0.14286,0.161,0.03378,0,0,0.12421,0.17868,0.52603,0.31249,0.83556,0.49948,0.78631,0.24559,1.61816,0.01999
"Dorea_longicatena",0.5155,0.16788,1.53904,8.74366,0.44616,0.29916,0.36289,0.11048,0.11788,0.60048,0.44611,0.23219,2.63577,0.09571,0.31357,0.29622,0.2397,0.19924,0.40162,1.04443,0,0.39537,0.06818,0,0.70003
"Eubacterium_sp_CAG_38",2.47527,0,0,0,0.56255,0.03105,0.26058,0.30931,0,0,1.48663,0.02625,0,0.22901,0.00407,0,0,0.13055,0.39726,0.05848,0,1.09042,0.23094,0.93548,1.25157
"Parabacteroides_merdae",0,1.52256,1.35251,0.47349,1.22783,1.94636,2.88215,1.66568,2.79206,0,1.1667,0.8814,2.06552,0.72362,0.73189,1.77121,6.20607,0,0.85237,0.92944,0,2.42286,0.09165,1.23744,0.02088
"Ruminococcus_lactaris",0.64505,0.27391,0.24574,0,0.25723,0,0.14248,0,0,0,0.55491,0.19413,3.88475,0.16437,0,0,0.2281,0.73756,0.55749,0.26914,0,0.07643,0.03871,2.08468,0.46383
"Gemmiger_formicilis",0,0.13863,0.17864,0.00739,0.52365,0.12214,0.06919,0.19495,0.06665,0,0.17581,0.33403,0.12209,0.34148,0.20955,0.07746,0.35595,0.09444,0.38126,0.07781,0.32635,0.02866,0.04423,0.22959,0.54427
"Bifidobacterium_dentium",0,0.02198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia_obeum",0.55702,0.01966,0,0.02646,0.05262,0.20009,0.74348,0.08231,0.1863,0,0.07591,0.03516,0.04937,0.00886,0.205,0.07157,0.03657,0.10701,0.16174,0.15258,0,0.1184,0.00878,0.17876,0.06589
"Firmicutes_bacterium_CAG_83",0,0.42212,0.3627,0.11705,0.64749,0.04908,0,0.12246,0.47964,0.56386,0.14104,0,0.07666,0,0.25919,0.39188,0.00435,0.05962,0.21628,0.00895,0.06196,0.00101,0.04069,0.08065,0.32492
"Desulfovibrio_piger",0,0,0,0,0.71521,0,0,0.62483,0,0,0.52436,0.47766,0.382,0,0.30074,0,0,0,0.23583,0.20532,0,0,0,1.14341,0
"Eubacterium_rectale",4.32303,0.10746,0,0,1.73992,2.88999,0.87633,14.7246,3.09487,0,0,0.33478,1.30694,6.35652,3.09802,6.28109,0.16934,3.22091,8.17817,0.00224,0.00556,0.81954,0.00384,4.46489,0.59012
"Agathobaculum_butyriciproducens",0.35948,0.02778,0,1.13833,0.07793,0.10985,0.23254,0.36877,0.16936,0.36,0.088,0.20809,0.50796,0.20504,0.01003,0.66593,0.08959,0.14591,0.22963,0.20869,0,0.19412,0.00081,0.38389,0.15394
"Bacteroides_massiliensis",2.81319,0.15536,0.12141,0,0,0,0,0,0,0,0,0,0.07562,0,0.00992,0,0.17628,0,0,0.10845,0,0,0,0,0
"Parabacteroides_johnsonii",0.07182,0.09942,0,0,0,0,0,0,0,2.36464,0,0,0,0,0.02948,0,0,0,0,0.10151,1.454,0,0,0,0
"Veillonella_dispar",0,0,0,0,0.00867,0,0.08079,0.00813,0.01185,0,0.0688,0,0,0.07249,0,0,0,0.02239,0.01208,0,0,0,0,0.01105,0
"Veillonella_infantium",0,0,0,0.01359,0.01,0,0.00883,0,0,0,0.02699,0,0,0.03062,0,0,0.00469,0,0,0,0,0,0,0,0
"Veillonella_atypica",0.00737,0,0,0.26108,0.04703,0,0.07096,0,0,0,0.00386,0,0,0.06122,0,0,0,0.01393,0.01616,0,0,0,0,0,0
"Bacteroides_finegoldii",0,0.16373,0,0,0,0,0,0,0,0,0,0.22397,0,0,0.78053,0,0,0,0,0.05933,0.50355,0,0,0,0
"Bifidobacterium_animalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10427,0,0,0,0,0,0,0,0,0,0.00659
"Oscillibacter_sp_CAG_241",0,0.06078,1.1975,3.66783,0.01906,4.39503,0,0.52801,0,0.01622,0.5187,0.19978,4.13508,0,0.02962,0.49743,0.16567,0.86193,7.17021,0.04597,0.0818,0.13065,0.04277,0.43744,0
"Bacteroides_intestinalis",0,0,0,0,0,0,0,0,0,0,0,0.00061,0,0,0,0,0.38877,0,0,0,0,0,0,0,0
"Anaerostipes_hadrus",1.28849,0.22448,0.10477,0.77615,0.03489,0.1305,0.1922,0.1731,0.39334,0.4784,0.02556,0.39948,0.15677,0.41294,0.25313,1.38316,0.15785,0.06883,0.05947,0.27498,0.70926,0.2287,0.00561,1.21744,0.55338
"Clostridium_perfringens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catenibacterium_mitsuokai",0,0,0,3.27797,0.38362,0,0,1.51239,0,0,0.08261,0,0,0,1.44882,0,0,0.58061,0.24462,0,0,0,0.03775,0,0
"Streptococcus_parasanguinis",0.0065,0,0,1.66121,0.3402,0.01727,0,0.00103,0.00912,0.00279,0.06217,0.01508,0,0.10551,0,0.01989,0,0,0.31145,0,0,0,0.01,0,0.09882
"Butyricimonas_virosa",0,0.21959,0.88009,0,0.01303,0.08255,0,0.01863,0.13267,0,0.16973,0.02284,0.44657,0.13431,0.07854,0,0,0,0.06665,0.19685,0,0.12748,0,0.5039,0
"Clostridium_sp_CAG_253",0,0,0,0,0.00695,0.02372,0.10117,0,0,0.25775,0,0,0,0.15592,0,0,0,0.17498,0,0.02865,0.05197,0,0.04907,0.03859,0
"Eubacterium_ventriosum",0,0.04471,0.03204,0,8e-04,0,0.03483,0.01734,0,0,0.41713,0.01985,0.04224,0.07447,0.00604,0.33481,0.02226,0,0,0,0.09672,0.06646,0,0,0.15758
"Firmicutes_bacterium_CAG_238",0,0.30787,0.35099,0,0.94256,0.00306,0,0.00294,0,0.00654,0,0,0.09479,0,0,0,0,0.15742,0,0.1997,0,0,0.01739,0.01189,0
"Alistipes_finegoldii",0.06197,0.04644,0.37121,0,0.05595,0.02449,0.0952,0.0032,1.33475,0.24349,0.50357,0.11136,0,0.06421,0,4.58904,0.00792,4.07748,0.07686,0.00695,0,0.46064,0.01415,2.11995,0
"Coprococcus_catus",0.1224,0.14687,0,0.13872,0.02102,0.21339,0.1904,0.14902,0.07838,0.34113,0.13033,0.08629,0.12705,0.01731,0.09816,0.20774,0.03408,0.0963,0.05902,0.04434,0.01417,0.14819,0.02001,0.18939,0.10365
"Eubacterium_hallii",0.04814,0.06291,0.06846,0.03161,0.18603,0.09091,0.07675,0.18276,0.11257,0.54077,0.17007,0.20786,0.19778,0.0313,0.3284,0.16831,0.10415,0.06996,0.21186,0.0322,0.0559,0.10022,0.0208,0.0683,0.27098
"Alistipes_putredinis",0.20939,8.83598,27.65114,0,6.69794,1.1575,3.95915,0.44011,9.34996,7.29738,0.03485,1.81629,4.78585,10.57056,0.41911,6.52156,9.15439,0,5.10356,1.94242,6.96363,5.89111,0,0.27222,0
"Bacteroides_fragilis",0.04637,0,0.2417,0,0.70689,0,0.46476,0.10163,0,0,0.00988,0,0.00085,0.02265,0,0.13837,0,0,0.22573,0,0,0,0,0.90988,0
"Bacteroides_cellulosilyticus",0,0.21607,0.0866,0,0.03104,0.00951,0,0.23091,9.00342,0,0.06928,0.07122,0,0.01909,0.03472,0,0.18,0,0.08837,0.14439,1.02114,4.14459,0,1.44079,0
"Veillonella_sp_T11011_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0.01479,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_ramulus",0,0.02543,0.00857,0.52985,0.13841,0.02011,0.03374,0.05001,0.01012,0.10115,0.14062,0.03985,0.03902,0.07529,0.0984,0.08202,0.15703,0.01891,0.00202,0.01699,0,0.01644,0.00199,0,0.06053
"Holdemanella_biformis",0,0,1.07866,1.73085,0.0594,0.11122,0.18499,0,0,0,0.3849,0,1.77909,0.19349,1.70819,0.08505,0,0,0.00982,0.07025,0,0,0,0,0
"Lawsonibacter_asaccharolyticus",0.0131,0.04355,0.01683,0,0.04739,0.03762,0.10283,0.07583,0.07356,0.47605,0,0.01368,0.08982,0,0.01109,0.2114,0.11172,0.09385,0.226,0.02153,0.42862,0.40152,0.00253,0.42141,0.0438
"Akkermansia_muciniphila",0,14.55626,0.03597,0,0,1.88935,0.97744,6.84043,0,0,2.22371,3.11169,0.02283,3.59595,0,0,12.08112,2.59832,0.9709,0.76455,0,0,0.01158,0.11927,0
"Eubacterium_sp_CAG_180",0,1.25614,11.40777,6.24902,1.52408,0,0.96199,0,0,9.95092,0,0,0,1.79966,0,0,4.45389,1.8599,0,1.14555,0,0,0.11625,0,0
"Bacteroides_xylanisolvens",0,0.00352,0,1.13853,0,0.09152,1.11774,0.012,0,0,0.06868,0.35454,0.02975,0.23127,0,0,0,0,0,0.0214,0.55198,0.10701,0.00344,0,0.08557
"Ruminococcus_bicirculans",0,0.12049,0.0905,0,0,0.04163,0.54246,0.10108,0.18994,0,0.39918,0.24242,0.12578,1.9703,0.19007,2.24065,0.26613,0.01213,0.06086,0.04927,2.634,0.01354,0,0,0.14972
"Monoglobus_pectinilyticus",0,0,0,0,0,0,0,0,0.17187,0,0,0,0,0,0,0.36971,0,0.02617,0,0,0.4475,0.15561,0,0.00399,0
"Coprobacillus_cateniformis",0,0,0,0,0,0,0,0,0,0,0,0,0.85858,0,0,0,0,0,0,0,0,0,0,0,0.04678
"Alistipes_shahii",0.00708,0.85554,0.62468,0,0.51592,0.05606,1.13925,0.12994,0.01529,0.50247,0.17855,0.04358,0.07715,0.37493,0.05982,0,0.37353,0,0,0.26,0,0.26951,0.10484,0.07863,0.00156
"Bifidobacterium_bifidum",0,1.06787,0,0,0.00451,0,0,0.8978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26816,0
"Asaccharobacter_celatus",0,0.02054,0.00248,0,0,0,0,0.0145,0.00505,0.0806,0,0,0,0,0,0.1498,0.02695,0,0,0,0.02208,0,0,0.06875,0
"Eisenbergiella_tayi",0,0.16813,0,0,0,0,0,0,0.09876,0.01372,0,0,2.61734,0,0,0.00449,0,0,0.00823,0,0.00088,0.02492,0,0.1283,0
"Adlercreutzia_equolifaciens",0,0.0065,0,0,0,0,0,0.00281,0,0.06019,0.01851,0,0,0,0,0.07746,0.0071,0,0,0,0.01541,0,0,0.01722,0
"Alistipes_onderdonkii",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_bacterium_D5",0,0.81873,0.03101,0,0,0.03019,0,0,0,0,0,0,0,0,0,0,0,0.00648,0,0.00126,0.09463,0,0,0,0
"Hungatella_hathewayi",0,0.03604,0,0,0.06717,0,0,0.01729,0.00175,0,0,0,2.6303,0,0,0,0,0,0,0,0.02259,0.00281,0,0.01131,0
"Bilophila_wadsworthia",0,0.07869,0.19173,0,0,0.0114,0.01765,0.27691,0.00076,0.13947,0.1271,0.08445,0.00073,0.07021,0.09604,0.08301,0.06764,0.16983,0,0,0,0.09338,0.00764,0.04313,0
"Holdemania_filiformis",0.00525,0,0,0,0,0.01324,0.00744,0.01187,0,0.06341,0,0,0,0,0,0.13135,0.02711,0.03832,0.00646,0.0013,0.05256,0.09235,0,0,0.01489
"Intestinimonas_butyriciproducens",0,0.01718,0,1.39581,0,0.00808,0,0,0,0.02508,0.07375,0.01916,0,0,0,0,0.00925,0,0,0,0.36182,0.01206,0,0.09789,0
"Gordonibacter_pamelaeae",0,0,0,0,0,0,0,0,0,0.02576,0,0,0,0,0,0,0,0,0,0,0.02041,0,0,0,0.04151
"Parvimonas_micra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_stercoris",0.02349,0,0,0,0.03046,0.00779,0.00186,0.00335,0,0.01177,0,0.00412,0.03022,0.00224,0.0098,0.01073,0.00171,0.01899,0.00642,0.00533,0.00496,0,0,0,0.02778
"Eubacterium_sp_CAG_274",0.32538,0,0.05554,0,0,0,0.48244,0,0.06402,0,0,0,0,0.0716,0.01996,0,0.03249,0,0,0,0,0.11044,0,0.48538,0.91509
"Anaeromassilibacillus_sp_An250",0,0,0.11717,0,0,0.05187,0.04211,0,0,0,0,0,0.01592,0,0,0,0.01967,0.04558,0.00639,0,0.07261,0.02265,0,0.01724,0
"Flavonifractor_sp_An100",0,0,0,0,0,0.00046,0,0.00423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02373,0
"Ruminococcus_obeum_CAG_39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03617,0,0,0,0,0
"Collinsella_massiliensis",0.00979,0,0,0,0.00877,0.00493,0.00103,0.00561,0,0.00757,0,0.00176,0.00088,0,0.00809,0,0,0,0,0,0.00301,0.00133,0,0,0.02086
