"","SRR5936104","ERR209404","ERR210559","ERR209286","SRR5936117","SRR5946689","SRR5947012","ERR209339","ERR210422","SRR5947029","SRR5947832","SRR5983481","SRR5947060","SRR5935936","ERR210220","SRR5936124","SRR5936229","ERR210569","SRR5947846","SRR5946757","SRR5946883","ERR210495","SRR5936200","SRR5946973","ERR209667","SRR5936084","SRR5936013","SRR5946791","SRR5935889","SRR5946725","SRR5947007","SRR5983408","SRR5946668","SRR5935811","SRR5946891","SRR5983380","ERR209223","SRR5935916","SRR5946995","SRR5935898","SRR5983325","SRR5946927","ERR209693","SRR5946940","SRR5946961","SRR5936031","SRR5935989","SRR5983437","SRR5935752","SRR5946657","SRR5946863","SRR5946862","ERR209096","ERR209069","SRR5935975","SRR5936223","SRR5946946","SRR5936035","SRR5946651","SRR5983270","SRR5935851","SRR5935833","SRR5983391","SRR5947010","ERR209433","SRR5947000","SRR5946608","SRR5983333","SRR5983418","SRR5946892","SRR5946619","SRR5946707","ERR209082","SRR5946818","SRR5983276","SRR5946829","SRR5935920","SRR5936092","SRR5935970","SRR5983277","SRR5936115","ERR209684","ERR209696","SRR5936195","SRR5936191","SRR5946962","SRR5946630","SRR5936077","SRR5936071","SRR5946800","SRR5946880","SRR5935843","SRR5947843","ERR209725","SRR5947830","SRR5935968","SRR5946751","SRR5946723","SRR5946955","ERR209300","ERR209519","ERR209405","SRR5947097","SRR5946905","ERR210591","SRR5983291","ERR210526","SRR5935789","SRR5946737","ERR209694","ERR209440","SRR5983367","SRR5936198","SRR5935941","SRR5946660","SRR5935812","SRR5947057","SRR5983327","ERR209716","ERR209745","SRR5946992","SRR5936079","SRR5936201","ERR209163","ERR210098","SRR5946612","SRR5983301","SRR5935745","SRR5947077","SRR5935771","SRR5935848","SRR5983376","SRR5947040","SRR5947090","SRR5946787","SRR5946985","SRR5946889","SRR5946799","ERR209085","SRR5947050","SRR5983406","SRR5935849","SRR5935958","SRR5983354","SRR5946844","SRR5936114","SRR5936192","SRR5946924","SRR5983403","SRR5947831","SRR5936129","ERR210531","SRR5935965","ERR209403","SRR5935953","SRR5935788","SRR5935985","SRR5946702","SRR5947017","SRR5946959","SRR5946825","SRR5946704","ERR209746","SRR5935813","SRR5946648","ERR209685","SRR5936058","ERR209764","SRR5946797","ERR209071","SRR5935923","SRR5946740","SRR5936111","SRR5946624","SRR5946762","SRR5947815","SRR5946713","SRR5936044","SRR5946845","ERR210598","SRR5946623","SRR5983282","SRR5935981","SRR5935876","SRR5946930","SRR5936197","SRR5946664","ERR209710","SRR5935768","ERR210601","SRR5935781","SRR5983422","SRR5935841"
"Prevotella_sp_P4_51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_AF34_10BH",0.27003,0.38068,0,0.00133,0.19277,0.11611,0.07454,0.28779,0,0,0,0.00602,0,0,0,0,0.77292,0.05203,0.0108,0.11659,0,0,0.24856,0,1.12859,0.69196,0.4636,3.78864,0.15582,1.16547,0,0.42026,0,0,0.34617,0.35307,0.84146,0.00496,0,0.46974,0.03219,0.05974,0.139,0,0,0.00282,0.25828,0.4031,0,3.95008,0,0,1.23996,1.33601,0.26947,0,0.01285,0.01898,0.11802,0.1369,0,0.71421,0.02027,0,1.07383,0.1625,0.42305,0.05285,0.12835,0,0,1.07369,1.36033,1.76895,0.83892,2.11139,0,1.34278,1.27052,0.0548,2.41795,0,0,0.38341,1.49391,0,0,0.06501,0,0.57081,0.03414,0.06882,0,0.21271,2.28486,0.04384,0.10775,1.12636,0.12459,0.52483,1.87498,0.41497,0.32927,1.67959,0,0.03497,0,0,0.0065,0.09956,0.04214,0.04755,1.83942,0,0,0.00623,0,0.16007,0.29042,0.00992,0.85225,0,0.69722,0,0,0,1.46281,0,0,1.06279,0,0.03794,0,0,0.38295,0.24726,2.70499,0,0.03717,0,0.96759,0.01537,0.20746,0.01748,0,0.1405,0.30709,0.65495,1.26556,0.19116,0,0,0.04523,0.36174,0,0.50314,0,0.36546,0.14514,0.37543,0.41464,0.63471,0.0076,0.02347,0,0,4.59674,0.04095,0,1.42773,0.42498,0,0,0,0.00309,0.05909,0.29529,0,0,0,0.51516,0.232,1.84191,0.18839,0.88175,0.59679,0,0.25434,0.15897,0,0.22762,0.08708,0
"GGB4569_SGB6310",0,0,0,0.6104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4750_SGB6579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05575,0,0,0,0.0057,0,0,0,0,0,0.0312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17188,0,0,0,0,0,0,0,0,0,1.80885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium_succinatutens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41324,0,0,0.26836,0,0,0,0,0,0,0,0,0,0.0175,0,0,0,0,0,0,1.2942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14943,0,0.08755,0,0,0,0,0,0,0,0,0,0,0,0,0.73617,0,0,0.47152,0,0,0,0,0,0.80529,0,0,0,0,0,0,0,0,0,0,0.56646,0,0,0,0,0,0,0,0,0,0.52658,0,0,0,0,0,0.69079,0,0,0,0,0,0,0,0,0,0,0,1.84621,0,0,0,0,0,0,0,0,0,0,0.92374,0,0,0,0,0,0,0,1.02038,0,1.46542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03027,0,0,0,0,0,0,0
"Faecalibacterium_prausnitzii",2.10489,0.98346,0,0.00464,0,6.90354,4.7535,0.40594,9.26456,0.90934,0,2.30246,0,64.62254,3.85815,0,10.21788,0,21.44185,6.00302,0,0.55738,0.46309,11.42651,1.39641,11.95858,8.22777,4.30769,6.28177,4.90386,9.81559,2.95304,9.51107,0,5.26755,1.3596,0.67307,4.37082,0,33.2415,4.59909,12.76276,2.85226,0,10.758,9.1493,0.75121,8.12719,0,0.01439,0.917,2.04938,0.51421,1.09695,0.23275,0,3.9955,0.2166,0.22254,16.43738,8.20548,1.57496,4.74323,8.62555,3.38915,7.27056,7.84042,5.95351,9.20219,19.97387,0,6.98776,2.66925,2.74392,5.18253,2.9905,0,34.41556,26.29481,3.22687,5.11135,0,0,4.70516,15.81967,3.68372,11.79247,5.08081,0,3.63559,3.00902,3.3025,14.90587,0.04071,0,0.08735,37.65374,12.40469,10.6956,0.18013,0.78602,1.11918,5.19654,16.34362,7.59135,3.82566,3.15928,3.125,0.15104,1.43507,3.13364,2.21601,4.01541,0,2.27196,0.27908,0.7624,1.93799,0,0.95958,8.49656,0,4.89976,0,6.485,2.17055,5.87011,1.06776,19.49432,19.73958,3.23901,0.06156,2.89602,10.72225,4.43552,2.11008,16.35608,0,0.26341,4.25928,5.77069,4.86125,9.00606,2.4776,32.49325,1.38953,4.26485,9.06038,7.34491,9.10939,0,0,17.12214,0.56051,0,8.78908,0.5026,5.52279,8.61086,6.80408,6.91872,13.36816,0.76511,5.13972,1.78678,0,3.33358,7.01879,0,1.60018,12.50527,14.68686,1.35756,1.38819,1.24049,30.27696,1.99852,0,1.90551,1.21584,3.76181,4.66291,6.07666,11.01497,2.2283,4.94081,7.59464,0.82198,14.31434,0,1.25634,2.78081,0
"Firmicutes_bacterium_AF16_15",0.09794,0.02428,0,0,0,0.35842,0,0.21426,0.14435,0,0,0.01135,0,0,0,0,0.00632,0,1.42236,0.117,0,0,0,0,0.03654,3.60114,0.06631,0.20924,0.06025,0.22243,0,0.03825,0,0,0.04282,10.24123,0.02036,0.13905,0,0,1.16206,0,0,0,0,0.03524,0,0.1035,0,0,0,0,1.64459,1.05652,0.00987,0,0.21805,0,0.00625,0.08344,0,0.34821,0,0,1.03359,0.27413,0.50889,0,3.55763,0,0,0.11599,1.0968,0.16221,0.13705,0.10189,0,0,0.23156,0.13805,0.02655,0,0,0.28462,0.76993,0.7583,0,0.03078,0,0.54988,0.07463,0.06655,0,0.01289,0,0.00036,0.49406,0.26223,0.06092,1.32635,0.67213,0.06705,0.3383,0.12381,0,0.02261,0.14264,0,0,0.05378,0.58118,0.26547,0.02153,0,0.31228,0,0,0.06919,0,0.71923,0.18728,0,0.25717,0,1.91732,0.06205,0.18212,0,0,0.04771,0.17037,0,0.02495,0,0.15776,0.11337,0.18094,0,0.08909,0,0.67577,0.01487,0.29929,0.04418,0,0.38703,1.41719,0.0462,0.00428,0.45742,0,0,0.4698,0.04568,0,0.39591,0,0.09258,0.11497,0.65567,0.07425,3.29156,0.69465,0.19658,0,0,0.37861,0.26438,0,1.17712,0,0,0.02941,0,2.88207,0,0.04202,0,0,0,0.0125,0.00987,0.04349,0.4163,0.032,0.10608,0,0,9.79041,0,1.21617,0,0
"Alistipes_putredinis",3.00023,1.36553,1.83692,0.62599,0,4.18717,7.83597,0.13166,4.63425,0.23699,0,0.0802,0,0,3.50211,0,0.39737,10.57279,0,0.17549,0,3.01245,0,0,0.43603,3.47263,2.04453,1.16217,2.43495,0.29767,0.02245,4.50582,0,0,2.702,0.21318,0.01445,5.3957,0,0,2.27044,0,0,0,0,0.16413,0.8942,0,0,0.04717,0.19377,0,0.46289,0.99196,2.12556,0,3.90455,0,2.62842,0.92584,0,1.00648,5.77036,0,0,3.57162,2.28993,5.7839,3.95267,0,0,4.72609,1.58246,2.63809,0.7208,1.29419,0,0,1.86629,3.90784,1.59918,1.99397,0,4.36583,0.53,0.08257,0,0.56431,0,2.58208,2.53096,6.20473,0.31167,0.25767,0,2.5855,2.23848,4.79258,0.60385,0.91102,0.69161,1.73983,4.04098,2.20758,0,2.59904,0.79375,0,2.77494,1.13266,1.8731,1.69842,11.19352,0,3.84687,0,0,1.70605,4.88564,4.27784,1.23685,0,1.47336,0.09491,1.88105,7.49207,8.46545,8.56734,0,1.43125,3.66192,4.40102,0,0,4.61885,4.20268,1.62348,0,1.71968,0,22.86046,1.66911,4.70613,4.61594,0,0.00106,0,2.96812,0.01383,0,0,0,0,1.00354,0.00468,2.2457,0,4.91525,2.91177,2.19794,4.08781,2.0529,3.64721,2.79133,0,0.57818,0.19006,1.9973,0,1.88234,0,2.14831,0,1.33397,0.14458,4.29236,1.6338,0,1.14464,6.42228,1.88042,0.0346,2.11855,6.86018,1.17401,2.13437,0,0.02267,0,0.91696,0.4399,7.09334,0
"GGB3619_SGB4894",0,0.08926,0,0.0477,0,0,0,0.01854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02375,0,0.01905,0.02168,0,0,0,0,0,0,0,0.00764,0.02018,0,0,0,0,0,0,0,0,0,0.01086,0,0,0,0,0,0.71672,0.9643,0,0,0,0,0,0,0,0.04842,0,0,0,0,0,0,0.05466,0,0,0,0.27941,0.13088,0.15689,0,0,0,0,0,0,0,0,0.00461,0,0,0,0,0,0.0047,0.10723,0,0,0,0,0,0,0,0,0.01492,0.01839,0.11559,0,0,0,0,0,0,0,0,0.01492,0,0.06951,0,0,0,0,0,0,0,0,0,0.02146,0,0,0,0,0,0,0,0,0,0,0,0,0.00141,0.04274,0,0.24396,0,0,0.01769,0,0,0,0,0,0,0.02062,0,0,0,0,0.13354,0,0,0,0,0,0,0,0.19002,0,0,0,0,0.19614,0,0,0.91487,0,0,0,0,0,0,0,0,0,0,0,0,0.01852,0,0,0,0,0,0,0,0,0,0
"Prevotella_pectinovora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
