"","SRR5946876","ERR210545","SRR5946645","ERR209072","ERR210091","SRR5935784","ERR209671","ERR210263","SRR5983317","SRR5946831","SRR5983279","SRR5947052","SRR5983355","SRR5935743","ERR209439","SRR5935905","SRR5936141","ERR209160","SRR5946864","SRR5983264","SRR5936196","SRR5946686","SRR5946947","SRR5936188","SRR5946620","SRR5946853","SRR5935777","ERR209748","ERR209432","ERR210255","SRR5946981","SRR5946625","SRR5946933","SRR5983294","SRR5946755","SRR5936099","SRR5935825","SRR5947027","SRR5935797","SRR5936098","SRR5983479","SRR5946873","SRR5983434","SRR5947028","SRR5935832","ERR209701","ERR209266","SRR5947079","SRR5946682","ERR210283","ERR209749","SRR5947070","SRR5946912","SRR5983315","SRR5946758","SRR5947879","SRR5947008","SRR5935899","ERR209164","SRR5946971","SRR5983297","SRR5936218","SRR5946935","SRR5983384","SRR5983475","ERR209162","SRR5947101","SRR5946851","SRR5947838","ERR209226","SRR5946677","SRR5935817","ERR209732","SRR5946923","SRR5983377","ERR209287","nodos","degrees","closeness","betweenness"
"Bacteroides_SGB15210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107306957077217,0,0,0,0,0,0,0,0,0,0,0,0,0.0024086,0,0,0,0,0.0020685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_373",3,0.0101010101010101,25
"GGB9495_SGB14892",0,0,0.000267400187180131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005451,0,0,0,0,0,0,0,0,0,0,0.0002218,0,0.00897179641128143,0,0,0,0,0,0,0,0,0,0,0,0,0.0016933,0,0,0,0,0.0036318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_616",3,0.0128205128205128,88
"GGB9453_SGB14845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332049867180053,0,0,0,0,0,0,0,0,0,0,0.0012932,0,0.0009463,0,0,0,0,0.0021423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1277",3,0.0147058823529412,0
"GGB3118_SGB4130",9.350918727765e-05,0,0,0.000480652021673188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000273435273150236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_143",2,0.5,1
"GGB3321_SGB4394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000289900144950072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000807304142234348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000501561354243891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_348",2,0.5,1
"GGB9818_SGB15459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107499957000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_321",2,0.0181818181818182,1
"GGB9781_SGB66170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000286499885400046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003655,0,0,0,0,0,0,0,0,0,0,4.68890288949355e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1139",2,0.0303030303030303,40
"GGB9529_SGB53518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000906099637560145,0,0,0,0,0,0,0,0,0,0,0,0,0.0003391,0,0,0,0,0.0001323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1418",2,0.0208333333333333,1
"Eubacteriales_unclassified_SGB4861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.229997508001e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.36e-05,0,0,0,0,0.0001975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1972",2,0.0212765957446809,5
"GGB79652_SGB15211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00585109765956094,0,0,0,0,0,0,0,0,0,7.62831018475767e-06,0,0,0.0016448,0,0,0,0,0.0044697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243099975690002,0,"v_368",2,0.0131578947368421,0.875
"GGB3000_SGB3991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143700071850036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00338819864472054,0,0,0,0,0,0,0,0,0,0,0,0,1.23e-05,0,0,0,0,0.0032972,0,0,0,0,0,0,2.06000020600002e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_886",2,0.0153846153846154,11.8285714285714
"GGB9694_SGB15204",0.000190471838858168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109369956252018,0,0,0,0,0,0,0,0,0,0,0,0,0.0001211,0,0,0,0,0.002833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35999906400009e-05,0,"v_1461",2,0.0140845070422535,8.41904761904762
"GGB4750_SGB6579",0,0,0,0.0083837978641789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129369935315032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00556810055681006,0,0,0,0,0,0,"v_13",1,1,0
"GGB9045_SGB13947",0,0,0,0.00763617861106829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141001014100101,0,0,0,0,0,0,"v_32",1,1,0
"GGB3627_SGB4906",0,0,0,0.00169865532601708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188930113358068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265840026584003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_86",1,1,0
"GGB9677_SGB53522",0,0,0,0.00139991288875889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185700111420067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191700019170002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_129",1,1,0
"GGB3730_SGB5060",0,0,0,0.00115112274012724,0,0,0,0,0,0.00194890097445049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135099932450034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306442492068191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000272099972790003,"v_96",1,1,0
"GGB9737_SGB15309",0,0,0,0.000865423400454871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000886699556650222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303084632579586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_209",1,1,0
"GGB2983_SGB3965",0,0,0,0.000477738138169973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000164321197434469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_168",1,0.333333333333333,0
"GGB9237_SGB14179",0,0,0,0.000594154721941279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37056380273055e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_187",1,0.333333333333333,0
"GGB9293_SGB14250",0.000144647024070115,0,0,0.00139477890353894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39999530000235e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74447354813416e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_144",1,1,0
"GGB9634_SGB15097",0.000331532573075305,0,0,0.00134635293484265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_191",1,1,0
"GGB9760_SGB15374",0.000569555958872959,0,0,0.00257337540241078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102113172599265,0.00110229944885028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00521577423567858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_158",1,1,0
"Oscillospiraceae_unclassified_SGB15256",0.000656955170845536,0,0,0.00100667737218215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000386449852030912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00513691999783806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_194",1,1,0
"GGB9747_SGB15356",0.0109021883275032,0,0,0.000863619567810024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00661295307094615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011654091667749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129099987090001,"v_183",1,1,0
"GGB9342_SGB14306",0.0101219710461553,0,0,0.000247402585058688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010773586290737,0,0,0,0,0,0.0016197,0,0,0,0.00170840017084002,0,0,0,0,0,0.00116129988387001,"v_220",1,1,0
"GGB9109_SGB14042",0,0,0,0.000730552221163203,0,0,0,0,0,0,0,0,0,0,0.000355000177500089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01844987492225e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359699964030004,"v_186",1,1,0
"GGB9759_SGB15370",0,0,0,0.000527412914081925,0,0,0,0,0,0,0,0,0,0,0.000269500134750067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_197",1,1,0
"GGB3815_SGB5180",0,0,0,9.64356683206887e-05,0,0,0,0,0,0,0,0,0,0,0.000573300286650143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000411353064545326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000470402838268546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_252",1,0.333333333333333,0
"Vescimonas_fastidiosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000188500094250047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011667505108159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000128869201995113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_388",1,0.333333333333333,0
"GGB9258_SGB14205",0,0,0,4.68996487660328e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000896100537660323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146200014620001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_289",1,1,0
"GGB9593_SGB15015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00097210058326035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216140021614002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_711",1,1,0
"Lachnoclostridium_sp_An118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31999947200021e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1795",1,0.0175438596491228,0
"GGB9611_SGB15045",0.000145045500720446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00682069727172109,0,0,0,0,0,0,0,0,0,0,0,0,0.0018492,0,0,0,0,0.0005373,0,0,0,0,0,0,0,0,0,0,3.68053667669924e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_624",1,0.00806451612903226,0
"GGB3034_SGB4030",0,0,0,0,0,0,8.68999826200035e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006695,0,0.00449439820224072,0,0,0,0,0,0,0,0,0,0,0,0,0.0006748,0,0,0,0,0.0029381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23000032300003e-05,0,0,0,0,0,0,0,"v_953",1,0.0128205128205128,0
"Anaerotruncus_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79999648000141e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1091",1,0.010989010989011,0
"Massilistercora_timonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227680908927636,0,0,0,0,0,0,0,0,0,0,0,0,0.0001968,0,0,0,0,0.0070439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1146",1,0.00806451612903226,0
