"","SRR5935893","SRR5946674","SRR5936212","SRR5936204","SRR5936213","SRR5983300","SRR5947045","SRR5947063","ERR209175","SRR5936081","SRR5947812","ERR209653","SRR5946752","SRR5983436","SRR5947076","SRR5946907","SRR5946714","SRR5935888","SRR5935976","SRR5947102","ERR209187","SRR5983329","SRR5946826","ERR209434","SRR5935971","SRR5935871","SRR5946662","SRR5936139","ERR209697","SRR5936048","SRR5936118"
"GGB4569_SGB6310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4750_SGB6579",0,0,0,0,0,0,0,0,13.32344,0,0,0,0,0,0,0,0,0,0,0,0.50513,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium_succinatutens",0,0,0,0,0,0,0,0,0.40105,0,0,0,0,0,0,0,0,0,0,0,0.48442,0,0,0,0,0,0,0,0,0,0
"Faecalibacterium_prausnitzii",5.27027,0,1.11754,5.30782,31.05552,5.86796,2.08712,1.46719,0.14236,0.33964,1.13252,0.70959,0.30297,0.05574,3.45058,0,2.66121,11.84458,7.62918,0,0.09756,4.66584,0,3.116,6.50384,4.34848,0,0,0,0,0.19015
"Firmicutes_bacterium_AF16_15",0.0069,0,0.04934,0.81387,0.16554,0.1473,0.18105,0.03729,0.04939,0,0,0.00608,0,0.42292,0,0,0,0,0.14373,0,0.04328,7.90502,0,1.0158,0,0.01371,0,0,0,0,0.00112
"Alistipes_putredinis",2.55502,0,5.32739,2.12859,7.87155,4.61855,5.67145,0,0,0,0,4.03193,0.43455,0,0,0,0,0,4.01813,0,0.34375,4.30916,0,0,6.68083,0.0069,0,0,0,0,2.83772
"GGB3619_SGB4894",0,0,0,0.03005,0,0,0,0,0,0,0,0.02234,0,0,0,0,0,0,0,0,0.10529,0,0,0,0,0,0,0,0,0,0
"Prevotella_pectinovora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4569_SGB6312",0,0,0,0,0,0,0,0,1.14033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrio_SGB5077",0,0,0,0,0,0,0,0.0835,0,0,0,0.27078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3363_SGB4448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_eggerthii",6.77238,0,0.00234,0,1.23411,0.00595,0.00424,0.00145,0,0,0,0,0,0.00772,0,0,0,0,0,0,0,0.02815,0,0,0,0,0,0,0.01883,0,0
"Roseburia_sp_AF02_12",0,0,0.31777,0,0.23468,0.43043,0.58516,0,0,0.01375,0,8.1602,0,0.00372,0,0,0,0,0,0,0,0,0,3.66915,0,0.03149,0,0,0,0,0
"Lachnospira_eligens",0.06245,0,0.046,0.33782,0.73677,0.84579,0.1238,0,0.96238,0,5.21401,3.72387,0,0,0.11063,0,0,0,0,0,2.03039,0.00486,0,0.12302,1.01383,0,0,0,0,0,0.16728
"GGB4657_SGB6444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia_wexlerae",0.04003,0,0.36351,0.18705,0.00512,0.0331,0.45741,0.06935,0.24548,0.22329,0.91761,0.35486,0,0.01547,0.31925,0,0.06426,3.86303,0.01531,0,0.06809,0.40464,0.07593,0.52938,0.02417,0.00213,0,0,8.01391,0,0.11899
"GGB4558_SGB6289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49994,0,0,0,0,0,0,0,0,0,0
"GGB9677_SGB15180",0,0,0,0,0,0,0,0,2.06766,0,0,0.13839,0,0,0,0,0,0,0,0,0.3956,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_AM22_11AC",0,0.11306,0,0.01226,0,0,0,0.11183,0,0.31931,0,0.00941,0,0.00506,0,0.33783,0.36221,0,0.03336,0,0.00367,0.12396,0,0.30558,0.01026,0.23501,0,0,2.23604,0,0
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0,0,0,0,0,0,0,0.1212,0,0,0,0,0,0,0,0,0.41541,0,0,0,0,0,0,0,0,0,0.02307
"GGB9045_SGB13947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00571,0,0,0,0,0,0,0,0,0,0
"Clostridium_SGB4648",0.00027,0,0,0.15588,0.00933,0.01724,0,0,0,0,0,0.06868,0,0,0,0,0,0,0,0,0.04279,0.20739,0,0,0,0,0,0,0,0,0
"Faecalibacillus_intestinalis",0,0,0,0.01555,0,0,0,0,0,0.00532,0,0.63574,0,0,0,0,0,0,0,0,0,0.00982,0,0.1384,0.00098,0,0,0,0,0,0
"Roseburia_inulinivorans",0.04979,0,0.11933,0.57521,0.01046,0.0647,0.00742,0.16757,0.56706,0.13853,0.01633,0.16435,0,0.07759,0,0,0,0.16576,0.00429,0,0.06026,0.16084,0,4.67842,0.05144,0,0,0,0,0,0
"GGB3612_SGB4882",0,0,0,0.51304,0,0.51054,0,0.08075,0,0,0,0,0,2.46577,0,0,0,0,0,0,0,0.04505,0,0,0,0,0,0,0,0,0
"Anaerostipes_hadrus",0.52165,0,0.22429,0.14456,0.04277,0,0.64272,0.03237,1.63498,0.06861,0.99203,0.22167,0,0.00821,0.11052,0,0.65681,0,0,0,0.04083,0.43965,0,0.10643,0.02042,0,0,0,2.91383,0,0.23593
"GGB4768_SGB6601",0,0,0,0,0,0,0,0,2.05565,0,0,0,0,0,0,0,0,0,0,0,0.09596,0,0,0,0,0,0,0,0,0,0
"GGB51269_SGB5062",0,0,0,0,0,0,0,0,0.18337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88401,0,0,0,0,0,0
"GGB6612_SGB9346",0,0,0,0,0,0,0,0,0,0,0,0.16306,0,0,0,0,0,0,0,0,0,0.01065,0,0,0,0,0,0,0,0,0
"Blautia_SGB6487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9059_SGB13976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4558_SGB6290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_AM33_3",0,0,0,0.05111,0,0.00738,0,0,0,0,0,0.00562,0,0,0,0,0,0,0,0,0,0.11182,0,0.102,0,0.00068,0,0,0.06801,0,0
"Barnesiella_intestinihominis",0,0,0,1.02562,0,0,0,0,0,0,0,3.00893,0,0,0,0,0,0,0.07659,0,0,1.95673,0,0,0,0,0,0,0.90294,0,2.92907
"Faecalibacillus_faecis",0,0,0,0,0,0,0,0,0,0,0,0.00136,0,0,0,0,0,0,0,0,0,0.09598,0,0,0,0,0,0,0,0,0
"GGB1123_SGB1437",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea_longicatena",0.86482,0.3181,0.37513,0.3127,0.01969,0.01339,0.66059,0.11872,0,0,0,0.4107,0,0,0,0.11881,0,1.24074,0.01516,0.25364,0.6281,0.17258,0.08678,0.05512,0.03577,0.01796,0,0,1.08744,0,0
"GGB79634_SGB101324",0,0,0,0,0,0,0,0,0.11462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00704,0,0,0,0,0,0
"GGB3637_SGB4930",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odoribacter_splanchnicus",1.12536,0,0.5695,0.72511,0.67013,0,0.35928,0,0.29347,0.4288,0,0.43042,0.0066,0,0,0,0,0,0,0,0.66613,0.8634,0,0.54896,0,0.0705,0,0,0.21221,0,0
"Butyricimonas_faecalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Catenibacterium_tridentinum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_xylanisolvens",1.98041,0,3.97909,0,2.80585,0.25592,4.58667,31.6826,4.61941,3.30655,0,0.17015,0.19703,17.37229,0,0.00578,0,0,6.28557,0,0,0.05333,0.00221,0.00457,0,0.40744,0,0,0.01635,0,0
"Coprococcus_comes",0,0,0,0.04864,0,0.05097,0,0.01898,0.66251,0,0,0.38697,0,0.04919,0,0,0,0,0,0,0.23075,0.05583,0,0.10661,0.01589,0,0,0,2.34932,0,0
"Coprobacter_fastidiosus",0,0,0,0,0,0,0,0,0,0,0,0.14633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91438,0,0,0.80484,0,0
"Alistipes_finegoldii",3.34554,0,1.03377,0.09013,2.49346,0.14362,1.37318,2.65186,0.14293,1.15569,0,0.07012,0,1.8151,0,0,0,0,0,0,0,0.12455,0,0,0,0,0,0,0,0,0.2186
"GGB6565_SGB9274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerobutyricum_hallii",0,0,0.04125,0,0.01748,0,0.19452,0,0,0.14429,0.15201,0.56931,0,0,0,0,0,0,0,0,0.13069,0.11124,0,0.13986,0,0,0,0,1.83327,0,0
"Clostridium_fessum",0.28519,0.42642,0.02099,0.03912,0.02876,0.08948,0,0.07018,0,0.05494,0,0.0707,0,0.0318,0,0.54012,0,0,0.00977,0.27925,0.06223,0.08096,0,0.5016,0.15225,0.14155,0,0,0,0,0
"Parabacteroides_distasonis",5.98679,11.42259,1.56391,1.05424,3.33228,3.13511,1.31189,7.226,0,0.76581,0.15594,0.72541,0.25735,18.18588,0,7.62576,0,0,1.26032,8.02727,0.43316,1.9041,0,1.6755,0,0,0,57.77386,1.3947,6.72604,2.3744
"Ruminococcus_bicirculans",0,0,0,0.52931,0,0.90228,0,0,0.08005,0,0,0,0,0,2.57189,0,0.15969,0,0.11949,0,1.22934,0.00368,0,0.36819,0.26998,0,0,0,0,0,0.08777
"Waltera_intestinalis",0,0,0,0.59223,0,0.30996,0,0.04401,1.40844,0,0,0.71988,0,0,0,0,0,0,0.0876,0,0.48965,0.06953,0,0.34222,0.02389,0,0,0,0,0,0
"Staphylococcus_SGB6340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiaceae_bacterium_AF18_31LB",0.02575,0,0,0.09482,0.00922,0,0,0,0.04694,0,0,0.03188,0,0,0,0.03825,0,0,0.04091,0,0.03288,0.08069,0,0.38081,0.07334,0.08233,0,0,0,0,0
"GGB4566_SGB6305",0,0,0,0,0,0,0,0,0,0,0,0.09432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10652
"Clostridium_sp_OM07_10AC",0,0,0,0,0,0,0,0,0.25138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiales_bacterium_KLE1615",0,0,0.01886,0.01888,0.01238,0,0.04594,0,0.13489,0.01313,0,0.13079,0,0.0117,0,0,0,0,0.00372,0,0.1643,0.34446,0,0.11298,0.02357,0,0,0,0,0,0.14801
"GGB9602_SGB15031",0,0,0,0.18128,0,0,0,0,0.20437,0,0,0.10011,0,0,0,0,0,0,0,0,0.02929,0,0,0,0,0,0,0,0,0,0
"GGB79674_SGB6837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3256_SGB4303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13848,0,0,0,0,0,0.17323,0,0,0,0,0,0,0,0,0,0
"GGB9080_SGB14004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiaceae_bacterium_Marseille_Q4143",0,0,0,0.15473,0,0,0,0.06549,0.06115,0,0,0.03394,0,0.00827,0,0,0,0,0,0,0.03255,0.06519,0,0.07091,0.05174,0.02337,0,0,0,0,0
"Clostridium_sp_AF36_4",0,0,0.01265,0.48866,0,0.07239,0,0,0.66802,0,0.55744,1.52204,0,0,0.62826,0,0,0,0.14148,0,1.29754,0.14007,0,0.54401,0.80008,0,0,0,0,0,0.02013
"GGB3111_SGB4123",0,0,0,0,0,0,0,0,2.48542,0,0,0,0,0,0,0,0,0,0,0,0.94034,0,0,0,0,0,0,0,0,0,0
"GGB9713_SGB15249",0,0,0,0.18786,0,2.73548,0,0,0,0,0,0.05254,0,0,0,0,0,0,0.13996,0,0.09236,0.20126,0,0,0.01242,0,0,0,0,0,0.35209
"GGB9758_SGB15368",0,0,0,0.10923,0,0,0,0,0.55109,0,0,0.33924,0,0,0,0,0,0,0,0,0.91775,0,0,0,0,0,0,0,0,0,0
"GGB3277_SGB4327",0,0,0,0,0,0,0,0,0,0,0.04026,0,0,0,0,0,0,0,0,0,0,0.01827,0,0,0,0,0,0,0,0,0
"Lacrimispora_celerecrescens",0,0,0,0.06613,0.07184,0.02595,0,0.0202,0,0.02871,0.51128,0,0,0,0,0,0,0,0,0,0,0.06691,0,0,0,0,0,0,0,0,0
"GGB5983_SGB70776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4659_SGB6447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_sp_BX1005",0,0,0,0,0,0,0,0,0.05186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea_formicigenerans",0.07407,0,0.02818,0.03094,0.00078,0.00876,0.05478,0,0.00268,0.04011,0.52115,0.20359,0,0,0,0,0.26208,0,0.00577,0,0.07662,0.04427,0,0,0.00476,0,0,0,0.43303,0,0
"Clostridium_sp_1001270H_150608_G6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68222,0,2.38428,0,0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_ER4",0.21939,0,0,0.17737,0.22258,0,0,0,0.11533,0,0,0.23003,0,0,0,0,0,0,0,0,0.05127,0.26853,0,0.38714,0.66706,0,0,0,0,0,0
"GGB3627_SGB4906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12818,0,0,0,0,0,0,0,0,0,0
"Bacteroides_clarus",0,0,0.00174,0,0,0,0.0026,0.00062,0,0,0,0,0,0.00561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17155,0,0
"Eubacterium_sp_AF22_8LB",0,0,0,0,0,0,0,0,0,0,0,0.00098,0,0,0,0,0,0,0,0,0.15382,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_AF27_2AA",0,0,0,0.02519,0,0,0,0,0,0.04545,0,0,0,0,0,0,0,0,0,0,0.0083,0.02897,0,0,0,0,0,0,0.14008,0,0
"GGB3321_SGB4395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68357,0,0,0,0,0,0,0,0,0,0
"GGB9691_SGB15198",0,0,0,0,0,0,0,0,0,0,0,0.06125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia_massiliensis",0,0,0.05836,0.02672,0.00663,0.00501,0.14817,0,0,0.15811,2.53187,0.0593,0,0,0,0,0,0,0.0089,0,0,0.09763,0,0,0,0,0,0,0,0,0
"GGB13818_SGB6606",0,0,0,0,0,0,0,0,4.46476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprococcus_eutactus",0,0,0,0,0,0,0,0,1.42505,0,0.05971,2.36527,0,0,0,0,0,0,0.05014,0,0.02032,0,0,0,0.6225,0,0,0,0,0,0
"GGB5980_SGB8599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3730_SGB5060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerotignum_faecicola",0,0,0,0,0,0,0,0.52314,0,0,0,0.07341,0,0.20419,0,0,0,0,0.0584,0,0,0,0,0.24548,0,0,0,0,0,0,0
"GGB9278_SGB14230",0,0,0,0,0,0,0,0,0.77512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_bacterium_OM04_12BH",0,0,0,0,0,0,0,0,0,0,0,0.0051,0,0,0,0,0,0,0,0,0,0.00019,0,0,0.00426,0,0,0,0,0,0
"Roseburia_faecis",0,0,0.04762,0.01314,0.00025,0.19471,0.21224,0,0.65925,0.23605,3.10914,0.08646,0.03777,0,0,0,0,4.99931,0.75778,0,0.00906,0.025,0.17823,4.87044,1.86551,0,0,0,0,0,0.00857
"Roseburia_intestinalis",0,0.26024,0,0.6096,0,0.07426,0.03327,0,0.13121,0.12225,22.31048,0.08523,1.02839,0.09316,0.24154,0.31995,6.92453,1.96039,1.53259,0.04526,0,0.02214,0,2.11812,1.69438,0,0,0,0,0,0
"GGB3306_SGB4373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia_luti",0,0,0,0,0,0,0,0,0.08555,0,0,0.17976,0,0,0,0,0,0,0,0,0.01372,0,0,0,0,0,0,0,0,0,0
"GGB3626_SGB4905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB79845_SGB14005",0,0,0,0,0,0,0,0,2.36704,0,0,0,0,0,0,0,0,0,0,0,0.1877,0,0,0,0,0,0,0,0,0,0
"Clostridium_SGB4750",0.01014,0.03687,0.00888,0.03116,0,0,0.00457,0.13342,0,0.00164,0,0.00233,0,0.38454,0,0.12052,0,0,0,0.02551,0.03539,0.04947,0,0.28515,0,0,0,0,0.34882,0,0
"GGB4754_SGB6584",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_AM49_4BH",0.07921,0,0,0,0.35608,0.40781,0,0,0,0,0,0.42795,0,0,0,0,0,0,0.39744,0.0598,0,0,0,0.02043,0,0,0,0,0,0,0.00823
"GGB3175_SGB4191",0,0,0,0.45334,0,0,0,0,0,0,0,0.01652,0,0,0,0,0,0,0,0,0,0.10049,0,0,0,0,0,0,0,0,0
"Eubacterium_ventriosum",0.00029,0,0.01598,0,0.05596,0,0.26063,0,0.06661,0,0,0.15813,0,0,0,0,0,0,0.03874,0,0.26883,0,0,0,0,0.00407,0,0,0,0,0
"Lachnospiraceae_bacterium_AM48_27BH",0,0,0,0.123,0,0.03348,0,0,0,0,0,0,0,0,0,0,0,0,0.00097,0,0.05835,0.04338,0,0.03022,0,0,0,0,0,0,0
"Ruminococcus_torques",0.04391,0.20459,0.19395,0.04689,0.02798,0.03729,0.02511,0.0507,0.06631,0.04342,0,0.90147,0,0.01595,0.06236,0.88965,0,1.57139,0.01988,0.29646,0.07526,0.09347,0,0,0.03208,0,0,0,1.08761,2.00937,0.15717
"GGB1505_SGB2085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillospiraceae_bacterium",0,0,0,0.28828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56473,0,0,0,0,0,0
"Candidatus_Cibionibacter_quicibialis",0.50795,0,1.08829,0,0.06461,0.21199,1.66767,0.13043,0.1193,0.04243,1.96952,0.13918,0,0.0296,0,0,0.3054,0,0.01589,0,0.66373,0,0,1.34221,0.08879,0.01014,0,0,0.35127,0,0
"Clostridium_SGB4909",0,0,0,0,0,0,0,0,0,0,0,0.00249,0,0,0,0,0,0,0,0,0.34369,0,0,0,0,0,0,0,0,0,0
"GGB9172_SGB14110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerobutyricum_soehngenii",0,0,0,0.00352,0,0,0,0,0,0,0.00373,0.01595,0,0,0.11482,0,0,0,0,0,0,0.0767,0,0.01905,0.00905,0,0,0,0,0,0.01227
"Coprococcus_SGB4669",0,0,0,0,0,0,0,0,0,0,0,0.05479,0,0,0,0,0,0,0,0,0.01877,0,0,0,0.0041,0,0,0,0,0,0
"Bacteroides_uniformis",0.4704,49.6052,6.87244,4.12261,6.8149,17.15938,1.63288,3.79004,0,15.30436,0,5.60847,0.84398,10.86867,0,21.09944,0,0,20.26441,17.45781,2.64818,3.19524,0.0277,22.51462,0,1.09141,0,0,5.12318,0,10.17313
"GGB80140_SGB15224",0,0,0,0,0,0.85382,0,0,0,0,0,0.13169,0,0,0,0,0,0,0,0,0.03213,0,0,0,0.01057,0,0,0,0,0,0
"Fusicatenibacter_saccharivorans",0,3.86748,0.02071,0.0693,0.32482,0.09973,0.03155,0.06264,0.34009,0.19884,1.13536,0.36299,0,0,0.44342,0.98215,0,3.19095,0.14822,3.51599,0.28517,0.37308,0,0.01744,0.20435,0,0,0,0.7808,0.02699,0.27577
"Blautia_stercoris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13717,0,0,0,0,0,0,0,0,0
"Parabacteroides_massiliensis",0,0,0,0,0,0,0,0,0,0.01158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB6601_SGB9333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6257,0,0
"Bacteroides_caccae",1.63992,2.32039,4.08071,1.44571,2.61592,0.00972,2.31822,0,0,1.79986,0,0.70943,2.26232,0,0,3.68136,0,0,1.36486,4.80883,2.79832,1.29684,0,0,0,0.51887,0,0,0.21676,0,3.89445
"Lacrimispora_amygdalina",0.12338,0,0.00901,0.12838,0.00215,0.00549,0,0.56325,0,0,0,0.00835,0,0.30652,0,0,0,2.50962,0.06097,0,0,0.12963,0,0.20205,0.18008,0.1758,0,0,0,0,0
"Faecalicatena_fissicatena",0,0,0,0,0,0.12211,0,0,0,0,0,0.01733,0,0,0,0,0,0,0,0,0.33349,0,0,0.16482,0.05516,0,0,0,0,0,0
"GGB9677_SGB53522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB6002_SGB8625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9636_SGB15108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05613,0,0,0,0,0,0,0,0,0,0
"Haemophilus_SGB9207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacteriaceae_bacterium",0.61618,0,0,0,0.01482,0,0,0,0.03235,0.05221,0,0.07929,0,0,0,0,0,0,0,0,0,0,0,0.05102,0,0,0,0,0,0,0
"GGB2998_SGB3988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9288_SGB14243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18953,0,0,0,0,0,0,0,0,0,0
"GGB3616_SGB4890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricimonas_virosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_sp_AF16_48",0,0,0,0.52975,0,0,0,0,0.02574,0,0,0.01965,0,0,0.13193,0,0,0,0,0,0,0.12951,0,0,0.01164,0,0,0,0,0,0.01198
"Dysosmobacter_sp_BX15",0,0,0,0.12648,0,0.87432,0,0,0,0,0,0.05894,0,0,0,0,0,0,0,0,0.0601,0.17167,0,0,2.08403,0.05895,0,0,0,0,0.09523
"GGB3109_SGB4643",0,0,0,0,0,0.18533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB79734_SGB15291",0,0,0,0,0,0,0,0,0,0,0,0.01235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3746_SGB5089",0,0.39349,0,0.51346,0,0.25025,0,0,0,0.26256,0.02499,0.13578,0,0,0.05898,0,1.31624,0.42505,0,0,0,0.05677,0,0.7783,0.02087,0,0,0,0,0,0
"GGB3118_SGB4130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04673,0,0,0,0,0,0,0,0,0,0
