"","ERR209782","SRR5983300","SRR5936030","SRR5946907","SRR5946749","SRR5946674","SRR5946714","SRR5946754","SRR5946733","SRR5983268","SRR5946862","SRR5946927","SRR5946968","SRR5947102","SRR5946702","SRR5983270","SRR5946630","SRR5936219","SRR5946963","SRR5983437","SRR5983299","SRR5983400","SRR5935865","SRR5935996","SRR5946962","SRR5946881","SRR5936167","SRR5983391","ERR210422","SRR5935777","SRR5936111","SRR5947080","SRR5935789","SRR5983326","SRR5935898","SRR5983406","SRR5946894","SRR5946716","SRR5983393","SRR5935923","SRR5946685","SRR5947834","SRR5946943","SRR5935904","SRR5935875","SRR5935931","SRR5946627","SRR5983327","SRR5947869","SRR5983446","SRR5936190","SRR5946657","SRR5983284","SRR5935767","SRR5983355","SRR5983291","SRR5936199","ERR209799","SRR5935792","SRR5946892","SRR5983403","SRR5946675","SRR5946799","SRR5947056","SRR5947846","SRR5946873","ERR209764","SRR5947025","SRR5983275","SRR5946961","SRR5983294","SRR5936092","SRR5983297","SRR5947843","SRR5983282","SRR5983264","nodos","degrees","closeness","betweenness"
"1.6.5.5",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0.000233535730966838,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0.00019293845263361,0,0,0,0.000159489633173844,0,0.000385802469135802,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0.000213371266002845,0,0,0,0.000129399585921325,0,8.08799741184083e-05,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1296",7,0.00490196078431373,72.739111999112
"1.7.1.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000149678191887442,0,0.000233535730966838,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0,0,0,0,0.000318979266347687,0,0.000192901234567901,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,7.11237553342817e-05,0,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1091",6,0.00495049504950495,5.99625652125652
"1.14.14.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000383325347388596,0,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0.00019293845263361,0,0,0,0.000159489633173844,0,0.000482253086419753,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0.000142247510668563,0.000132257637878587,0,0,0.00025879917184265,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1133",6,0.00436681222707424,21.9110866910867
"2.8.3.21",0,0,0,0,0,0,0,0,0,0.000135455469014561,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0,0,0,0,0.000478468899521531,0,9.64506172839506e-05,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,7.11237553342817e-05,0,0,0,0.000129399585921325,0,0.000161759948236817,0,0,0,0,0,0,0.000644745325596389,0,0,"v_1156",6,0.00495049504950495,84.06338994339
"4.1.3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0.000233535730966838,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0.00019293845263361,0,0,0,0.000478468899521531,0,0.000192901234567901,0,0,0,0,0,0,0.00045475216007276,0,0,0,0,0,0.000142247510668563,0,0,0,0.00025879917184265,0,0,0,0,0,0,0,0,0,0,0,"v_1188",6,0.00476190476190476,82.529365079365
"2.4.99.1",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0,0,0,0,0.000318979266347687,0,0.000289351851851852,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,7.11237553342817e-05,0,0,0,0,0,8.08799741184083e-05,0,0,0,0,0,0,0,0,0,"v_1225",6,0.00442477876106195,247.565945165945
"3.1.11.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0.000156152404747033,0.000233535730966838,0,0,0,0,0,0,0,0,0,0.000246852628980499,0,0,0,0,0,0,0,0.00019293845263361,0,0,0,0.000159489633173844,0,9.64506172839506e-05,0,0,0,0,0,0,0.00045475216007276,0,0,0,0,0,0,0,0,0,0.00025879917184265,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1236",6,0.00478468899521531,16.368204018204
"3.2.2.10",0,0,0,0,0,0,0,0,0.000193386192225875,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,0.000287494010541447,0,0,0.000233535730966838,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0,0,0,0,0.000478468899521531,0,0.000289351851851852,0,0,0,0,0,0,0.00045475216007276,0,0.000116795141322121,0,0,0,7.11237553342817e-05,0,0,0,0.00025879917184265,0,0,0,0,0,0,0,0,0,0,0,"v_1240",6,0.00523560209424084,349.589368964369
"2.7.1.19",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,0.000287494010541447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000318979266347687,0,0.000289351851851852,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,7.11237553342817e-05,0,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0,0,0,"v_1305",6,0.00480769230769231,395.045779220779
"4.1.1.102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000159489633173844,0,0.000289351851851852,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1503",6,0.00411522633744856,179.301587301587
"6.3.3.3",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,0.000287494010541447,0,0,0,0,0,0.000212585034013605,0,0,0,0,0,0,0.000246852628980499,0,0,0,0,0,0.000208376745155241,0,0.00019293845263361,0,0,0,0.000956937799043062,0,0.000482253086419753,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,7.11237553342817e-05,0.000132257637878587,0,0,0.00025879917184265,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1200",5,0.00409836065573771,77.3426850926851
"2.3.1.57",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0,0,0,0,0.000323415265200517,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0,0,0,0,0.000478468899521531,0,9.64506172839506e-05,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0,0.000264515275757175,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0.000644745325596389,0,0,"v_1222",5,0.00462962962962963,4.58172161172161
"1.2.1.71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0,0,0,0,0.000318979266347687,0,0.000675154320987654,0,0,0,0,0,0,0.00045475216007276,0,0,0,0,0,7.11237553342817e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1121",4,0.00478468899521531,73.4133838383838
"1.14.99.46",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,0.000191662673694298,0,0,0,0,0,0,0,0,0,0,0,0,0.000370278943470748,0,0,0,0,0,0,0,0,0,0,0,0.000159489633173844,0,0.000289351851851852,0,0,0,0,0.000151906425641805,0,0.00022737608003638,0,0,0,0,0,0,0.000264515275757175,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0.000644745325596389,0,0,"v_1134",4,0.00471698113207547,23.8414119214119
"2.1.1.186",0,0,0,0,0,0,0,0,0.000193386192225875,0.000135455469014561,0,0,0,0,0,0,0,0,0,0.000274649821477616,0.000191662673694298,0,0,0.000233535730966838,0,0,0,0,0,0,0,0,0,0.000246852628980499,0,0,0,0,0,0.000416753490310481,0,0.00019293845263361,0,0,0,0.000318979266347687,0,0.000192901234567901,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0.000142247510668563,0,0,0,0.000388198757763975,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1139",4,0.00436681222707424,139
"3.1.2.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15499404925387e-05,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000493705257960997,0,0,0,0,0,0.000208376745155241,0,0,0,0,0,0.000478468899521531,0,0.000385802469135802,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0.000213371266002845,0,0,0,0.0005175983436853,0,8.08799741184083e-05,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1159",4,0.00460829493087558,17.792380952381
"4.1.1.85",0,0.000135427952329361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0,0,0,0,0.000797448165869219,0,0.000482253086419753,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,7.11237553342817e-05,0,0,0,0,0,8.08799741184083e-05,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1187",4,0.00495049504950495,5.0547619047619
"3.4.21.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000318979266347687,0,0.000289351851851852,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1242",4,0.00467289719626168,182.548124098124
"3.6.1.40",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000318979266347687,0,0.000289351851851852,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,7.11237553342817e-05,0,0,0,0.00025879917184265,0,0,0,0,0,0,0,0,0,0,0,"v_1313",4,0.00432900432900433,8.53419913419913
"1.6.5.2",0,0,0,0,0,0,0,0,0.000193386192225875,0,0,0.000228675966155957,0,0,0,0,0,0,0,0.000183099880985077,9.5831336847149e-05,0,0,0,0,0,0.000212585034013605,0,0,0,0,0,0,0.000370278943470748,0,0,0,0,0,0,0,0,0,0,0,0.000478468899521531,0,0.000289351851851852,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,7.11237553342817e-05,0.000132257637878587,0,0,0.00025879917184265,0,8.08799741184083e-05,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1128",3,0.003690036900369,4.30952380952381
"3.1.4.55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191662673694298,0.000149678191887442,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0.00038587690526722,0,0,0,0.000318979266347687,0,0.000675154320987654,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0.000142247510668563,0,0,0,0.00025879917184265,0,0,0,0,0,0,0,0,0,0,0,"v_1165",3,0.004,0.5
"4.2.2.n2",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0.000233535730966838,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0.00019293845263361,0,0,0,0.000637958532695375,0,0.000771604938271605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000264515275757175,0,0,0.00025879917184265,0,0,0,0,0,0,0,0,0.000644745325596389,0,0,"v_1196",3,0.00404858299595142,66.6673881673882
"1.5.1.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0,0,0,0,0.000159489633173844,0,9.64506172839506e-05,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0.000142247510668563,0.000132257637878587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1213",3,0.00284900284900285,139
"4.1.3.38",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0.000228675966155957,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0.000233535730966838,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0,0,0,0,0.000637958532695375,0,0.000192901234567901,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0,0,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0,0,0,"v_1248",3,0.00432900432900433,38.4222111222111
"4.6.1.21",0,0,0,0,0,0,0,0,0.00038677238445175,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000246852628980499,0,0,0,0,0,0,0,0,0,0,0,0.000159489633173844,0,9.64506172839506e-05,0,0,0,0,0,0,0.00045475216007276,0,0,0,0,0,0,0.000132257637878587,0,0,0.000388198757763975,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1252",3,0.00396825396825397,75.75
"1.14.11.47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191662673694298,0,0,0.000233535730966838,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0,0,0,0,0.000478468899521531,0,0.000289351851851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0,0,0,"v_1297",3,0.00389105058365759,74.3222222222222
"1.16.3.1",0,0,0,0,0,0,0,0,0,0.000135455469014561,0,0,0,0,0,0,0,0,0,9.15499404925387e-05,9.5831336847149e-05,0,0,0,0,0,0,0.000179018976011457,0,0,0,0,0,0.000617131572451247,0,0,0,0,0,0,0,0.00019293845263361,0,0,0,0.000637958532695375,0,0.000289351851851852,0,0,0,0,0,0,0.00045475216007276,0,0,0,0,0.000139392249790912,0.000142247510668563,0.000132257637878587,0,0,0.000388198757763975,0,0,0,0,0,0,0,0,0.000644745325596389,0,0,"v_1299",3,0.00401606425702811,70
"3.1.3.73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0,0,0,0,0.000159489633173844,0,0.000385802469135802,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1308",3,0.00350877192982456,204
"1.3.3.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191662673694298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000318979266347687,0,0.000192901234567901,0,0,0,0,0,0,0,0,0,0,0,0,7.11237553342817e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1463",3,0.00367647058823529,206
"2.1.1.265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0.000208376745155241,0,0,0,0,0,0.000637958532695375,0,0,0,0,0,0,0,0,0.00022737608003638,0,0.000116795141322121,0,0,0,0.000142247510668563,0.000132257637878587,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1140",2,0.0045045045045045,0
"2.3.1.251",0,0,0,0,0,0,0,0,0.000193386192225875,6.77277345072807e-05,0,0.000228675966155957,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000246852628980499,0,0,0,0,0,0,0,0,0,0,0,0.000637958532695375,0,0.000289351851851852,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0,0.000396772913635762,0,0,0.00025879917184265,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1144",2,0.00423728813559322,11.9873015873016
"2.8.1.1",9.26354793886058e-05,0,0,0,0,0,0,0,0.000193386192225875,0.000135455469014561,0,0,0,0,0,0,0.000113327289211242,0,0,0.000183099880985077,0.000287494010541447,0,0,0,0,0,0.000212585034013605,0,0,0,0,0,0,0.000246852628980499,0,0,0,0,0,0.000208376745155241,0,0,0,0,0,0.000797448165869219,0,0.000578703703703704,0,0,0,0,0,0,0.00045475216007276,0,0.000467180565288484,0,0,0,0.000142247510668563,0.000264515275757175,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0.000644745325596389,0,0,"v_1154",2,0.0032258064516129,5.33419913419913
"3.1.1.31",0,0,0,0,0,0,0,0,0,0.000203183203521842,0,0,0,0,0,0,0,0,0,0,0.000191662673694298,0,0,0,0,0,0,0,0,0,0,0,0,0.000246852628980499,0,0,0,0,0,0.000208376745155241,0,0,0,0,0,0.000797448165869219,0,0.000385802469135802,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0,0.000132257637878587,0,0,0,0,0,0,0,0,0,0,0,0.000967117988394584,0,0,"v_1158",2,0.00380228136882129,3.61150793650794
"3.1.3.70",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0,0,0,0,0.000159489633173844,0,0,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0,0,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1163",2,0.0043859649122807,0
"4.1.1.65",0,0,0,0,0,0,0,0,0.000193386192225875,0.000135455469014561,0,0.000457351932311914,0,0,0,0,0,0,0,0.000183099880985077,9.5831336847149e-05,0,0,0.000467071461933676,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0.000208376745155241,0,0.00019293845263361,0,0,0,0.000637958532695375,0,0.000578703703703704,0,0,0,0,0,0,0.00022737608003638,0,0.000116795141322121,0,0,0,7.11237553342817e-05,0.000132257637878587,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0.000644745325596389,0,0,"v_1186",2,0.00320512820512821,4.0015873015873
"4.1.99.3",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0.000228675966155957,0,0,0,0,0,0,0,0,0.000191662673694298,0.000149678191887442,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0.000397930760047752,0,0,0,0,0,0.00019293845263361,0,0,0,0.000478468899521531,0,0.000675154320987654,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0.000213371266002845,0,0,0,0.000388198757763975,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1190",2,0.00398406374501992,0
"5.4.4.2",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0,0,0,0,0,0.000113327289211242,0,0,0.000183099880985077,0.000191662673694298,0,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0.00019293845263361,0,0,0,0.000956937799043062,0,0.000868055555555556,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,7.11237553342817e-05,0,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0.000322372662798195,0.00011154489682097,0,"v_1199",2,0.00403225806451613,0
"5.3.1.22",0,0,0,0,0,0,0,0,0.00038677238445175,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000246852628980499,0,0,0,0,0,0,0,0,0,0,0,0.000159489633173844,0,9.64506172839506e-05,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0,0,0,0,0.000388198757763975,0,0,0,0,0,0,0,0,0,0,0,"v_1255",2,0.00403225806451613,35
"2.3.1.118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000246852628980499,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64506172839506e-05,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0,0,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0,0,0,"v_1331",2,0.00396825396825397,70
"4.1.1.74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191662673694298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000159489633173844,0,0.000192901234567901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1544",2,0.00294117647058824,70
