Sample	CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria)	CMP-legionaminate biosynthesis I	CMP-legionaminate biosynthesis II
SRR5935788	0.0	0.0	25.0	2.6666666666666665
SRR5935789	0.0	0.0	12.22222222222222	1.0
SRR5935792	2.5	0.0	45.3	2.0
SRR5935793	0.0	0.0	7.428571428571429	0.0
SRR5935794	0.0	0.0	42.625	0.0
SRR5935795	2.0	0.0	40.9	3.0
SRR5935797	3.5	0.0	31.33333333333333	0.0
SRR5935798	3.5	0.0	58.5	5.333333333333333
SRR5935802	4.5	0.0	42.4	2.333333333333333
SRR5935805	1.0	0.0	22.2	2.333333333333333
SRR5935808	4.5	0.0	39.6	3.5
SRR5935810	3.0	0.0	52.5	3.0
SRR5935811	3.5	0.0	28.4	3.0
SRR5935812	3.0	0.0	51.4	2.6666666666666665
SRR5935813	3.0	0.0	62.1	3.333333333333333
SRR5935816	2.0	0.0	37.9	3.0
SRR5935817	2.5	0.0	54.6	2.6666666666666665
SRR5935820	2.6666666666666665	2.5	47.6	2.6666666666666665
SRR5935823	2.0	0.0	40.6	3.333333333333333
SRR5935825	4.0	0.0	49.4	3.5
SRR5935827	2.5	0.0	53.5	3.0
SRR5935831	2.5	0.0	29.666666666666668	0.0
SRR5935832	4.5	0.0	23.11111111111111	1.5
SRR5935833	0.0	0.0	49.8	2.6666666666666665
SRR5935841	2.5	0.0	29.5	3.0
SRR5935843	4.5	0.0	56.0	2.0
SRR5935848	3.5	0.0	66.7	7.0
SRR5935849	2.0	0.0	38.8	3.6666666666666665
SRR5935850	3.5	0.0	54.7	5.0
SRR5935851	2.5	0.0	30.4	2.0
SRR5935865	1.5	0.0	28.3	2.0
SRR5935866	3.5	0.0	52.0	6.333333333333333
SRR5935871	1.5	0.0	20.3	2.333333333333333
SRR5935875	0.0	0.0	25.9	1.6666666666666667
SRR5935876	3.5	0.0	50.7	3.5
SRR5935888	8.5	0.0	50.333333333333336	1.5
SRR5935889	4.5	0.0	58.6	2.6666666666666665
SRR5935891	0.0	0.0	12.444444444444445	0.0
SRR5935892	0.0	0.0	13.0	2.0
SRR5935893	2.5	0.0	45.6	4.333333333333333
SRR5935894	0.0	0.0	36.333333333333336	1.0
SRR5935897	5.5	0.0	49.0	1.6666666666666667
SRR5935898	3.5	0.0	25.0	1.0
SRR5935899	11.0	0.0	50.11111111111112	1.5
SRR5935900	3.5	0.0	35.9	3.0
SRR5935903	0.0	0.0	24.1	1.6666666666666667
SRR5935904	2.0	0.0	37.2	2.5
SRR5935905	0.0	0.0	20.125	0.0
SRR5935912	1.5	0.0	30.3	1.6666666666666667
SRR5935915	5.0	0.0	41.8	5.0
SRR5935916	4.0	0.0	53.8	4.0
SRR5935920	0.0	0.0	43.875	0.0
SRR5935923	4.0	0.0	30.7	1.3333333333333333
SRR5935924	2.5	0.0	45.66666666666666	1.5
SRR5935929	3.0	0.0	44.4	2.6666666666666665
SRR5935931	0.0	0.0	37.3	2.0
SRR5935936	2.5	0.0	18.4	1.5
SRR5935938	3.0	0.0	58.4	4.333333333333333
SRR5935953	2.5	0.0	26.3	4.0
SRR5935958	2.5	0.0	38.5	4.333333333333333
SRR5935963	4.0	2.5	69.9	5.333333333333333
SRR5935965	4.5	0.0	40.3	2.333333333333333
SRR5935966	4.5	0.0	53.3	3.0
SRR5935968	4.0	0.0	56.0	2.0
SRR5935970	2.5	0.0	60.6	3.6666666666666665
SRR5935971	3.0	0.0	36.0	3.0
SRR5935975	4.0	0.0	52.9	2.5
SRR5935976	1.5	0.0	41.0	2.333333333333333
SRR5935981	3.0	0.0	40.8	2.0
SRR5935984	3.0	0.0	44.7	2.5
SRR5935985	2.0	0.0	44.6	2.6666666666666665
SRR5935989	2.5	0.0	46.7	4.0
SRR5935995	6.0	0.0	56.3	3.6666666666666665
SRR5935996	2.0	0.0	23.1	1.6666666666666667
SRR5935997	0.0	0.0	15.25	0.0
SRR5936013	4.0	0.0	62.2	3.6666666666666665
SRR5936014	2.5	0.0	39.5	2.6666666666666665
SRR5936016	5.0	0.0	41.6	3.333333333333333
SRR5936019	2.5	0.0	28.5	2.6666666666666665
SRR5936020	3.6666666666666665	4.0	54.4	3.6666666666666665
SRR5936025	1.0	0.0	37.7	4.333333333333333
SRR5936030	3.0	0.0	40.6	3.5
SRR5936031	3.0	0.0	59.3	3.6666666666666665
SRR5936035	3.0	0.0	56.4	4.0
SRR5936037	4.0	0.0	48.7	3.333333333333333
SRR5936038	6.5	0.0	36.6	1.6666666666666667
SRR5936041	0.0	0.0	31.3	2.333333333333333
SRR5936043	4.5	0.0	36.8	3.0
SRR5936044	0.0	0.0	8.88888888888889	1.0
SRR5936048	1.0	0.0	14.11111111111111	0.0
SRR5936052	3.0	0.0	45.0	3.0
SRR5936056	2.0	0.0	34.3	2.6666666666666665
SRR5936058	3.0	0.0	32.6	2.6666666666666665
SRR5936062	0.0	0.0	31.2	1.0
SRR5936065	3.5	0.0	39.7	4.666666666666667
SRR5936071	3.0	0.0	29.1	1.3333333333333333
SRR5936076	7.5	0.0	48.44444444444444	1.5
SRR5936077	1.5	0.0	16.375	0.0
SRR5936079	4.0	0.0	37.8	2.333333333333333
SRR5936081	3.5	0.0	47.9	2.6666666666666665
SRR5936084	2.5	0.0	49.7	6.0
SRR5936092	2.5	0.0	36.6	2.6666666666666665
SRR5936095	3.5	0.0	64.6	6.666666666666667
SRR5936096	0.0	0.0	5.571428571428571	0.0
SRR5936097	4.5	0.0	60.0	3.0
SRR5936098	2.5	0.0	34.8	4.666666666666667
SRR5936099	2.5	0.0	67.3	6.0
SRR5936100	0.0	0.0	12.666666666666666	0.0
SRR5936104	3.5	0.0	57.6	3.0
SRR5936105	3.5	0.0	34.3	2.6666666666666665
SRR5936111	0.0	0.0	16.22222222222222	0.0
SRR5936112	3.5	0.0	51.3	4.5
SRR5936114	3.0	0.0	44.9	5.0
SRR5936115	5.5	0.0	79.2	6.0
SRR5936117	2.0	0.0	43.5	3.333333333333333
SRR5936118	3.0	0.0	46.1	2.0
SRR5936124	2.6666666666666665	2.0	32.22222222222222	0.0
SRR5936126	3.5	0.0	47.5	4.333333333333333
SRR5936128	3.0	0.0	33.5	3.0
SRR5936129	2.0	0.0	31.9	3.0
SRR5936130	3.0	0.0	32.2	3.6666666666666665
SRR5936132	5.5	0.0	64.3	4.0
SRR5936136	0.0	0.0	5.857142857142857	0.0
SRR5936138	0.0	0.0	11.875	0.0
SRR5936139	0.0	0.0	12.22222222222222	0.0
SRR5936141	0.0	0.0	21.625	2.0
SRR5936143	4.0	0.0	66.6	4.5
SRR5936146	0.0	0.0	16.0	1.3333333333333333
SRR5936156	3.0	0.0	46.5	4.666666666666667
SRR5936159	4.0	0.0	44.3	3.6666666666666665
SRR5936160	1.5	0.0	26.9	2.0
SRR5936167	4.0	0.0	32.9	2.333333333333333
SRR5936168	4.0	0.0	44.4	2.0
SRR5936173	3.0	0.0	37.8	3.0
SRR5936186	3.5	0.0	22.6	1.0
SRR5936188	0.0	0.0	28.0	3.333333333333333
SRR5936190	0.0	0.0	2.333333333333333	0.0
SRR5936191	2.5	0.0	51.9	4.666666666666667
SRR5936192	1.5	0.0	38.6	3.0
SRR5936195	5.5	0.0	65.1	5.666666666666667
SRR5936196	3.5	0.0	31.0	2.0
SRR5936197	4.5	0.0	62.4	5.0
SRR5936198	2.0	0.0	27.6	2.333333333333333
SRR5936199	4.5	0.0	49.4	2.6666666666666665
SRR5936200	2.0	0.0	31.444444444444443	2.5
SRR5936201	5.5	0.0	48.1	4.0
SRR5936204	2.5	0.0	38.0	3.0
SRR5936207	0.0	0.0	42.44444444444444	0.0
SRR5936208	0.0	0.0	17.555555555555557	0.0
SRR5936212	5.0	0.0	50.2	4.0
SRR5936213	4.5	0.0	49.7	5.0
SRR5936218	3.0	0.0	28.2	3.0
SRR5936219	1.0	0.0	24.55555555555556	1.6666666666666667
SRR5936222	6.5	0.0	39.1	1.0
SRR5936223	0.0	0.0	20.11111111111111	1.5
SRR5936229	2.5	0.0	28.1	2.6666666666666665
SRR5936231	4.0	0.0	63.6	7.0
SRR5946608	3.5	0.0	51.2	4.666666666666667
SRR5946609	5.5	0.0	50.7	3.333333333333333
SRR5946612	4.0	0.0	47.7	2.333333333333333
SRR5946617	1.5	0.0	27.1	1.6666666666666667
SRR5946619	2.0	0.0	20.5	1.6666666666666667
SRR5946620	3.5	0.0	30.9	2.5
SRR5946623	3.0	0.0	48.0	4.333333333333333
SRR5946624	0.0	0.0	11.857142857142858	0.0
SRR5946625	5.0	0.0	49.8	3.0
SRR5946627	2.0	0.0	35.4	3.0
SRR5946628	2.5	0.0	35.7	3.6666666666666665
SRR5946630	3.5	0.0	39.3	1.3333333333333333
SRR5946632	3.0	0.0	30.6	3.0
SRR5946640	3.0	0.0	29.9	2.5
SRR5946644	1.5	0.0	46.4	2.6666666666666665
SRR5946645	4.0	0.0	46.4	4.666666666666667
SRR5946648	1.0	0.0	27.666666666666668	1.6666666666666667
SRR5946650	0.0	0.0	28.25	0.0
SRR5946651	2.0	0.0	36.7	1.0
SRR5946652	4.5	0.0	50.4	3.0
SRR5946657	1.5	0.0	40.1	3.333333333333333
SRR5946659	0.0	0.0	29.7	1.0
SRR5946660	4.5	0.0	52.4	4.333333333333333
SRR5946662	0.0	0.0	21.571428571428573	0.0
SRR5946664	3.0	0.0	19.666666666666668	1.5
SRR5946666	3.0	0.0	31.2	3.0
SRR5946668	7.5	0.0	35.4	1.3333333333333333
SRR5946670	2.5	0.0	41.9	5.0
SRR5946671	2.0	0.0	39.0	2.333333333333333
SRR5946672	2.5	0.0	42.3	4.666666666666667
SRR5946673	0.0	0.0	17.4	1.3333333333333333
SRR5946674	0.0	0.0	32.5	2.5
SRR5946675	3.0	0.0	48.3	4.333333333333333
SRR5946677	0.0	0.0	45.5	0.0
SRR5946681	3.0	0.0	39.1	3.333333333333333
SRR5946682	3.0	0.0	47.2	1.0
SRR5946684	1.0	0.0	42.44444444444444	3.0
SRR5946685	2.0	0.0	34.3	3.0
SRR5946686	0.0	0.0	27.444444444444443	0.0
SRR5946689	3.5	0.0	44.8	2.0
SRR5946696	2.0	0.0	18.444444444444443	1.0
SRR5946701	2.0	0.0	26.6	3.0
SRR5946702	1.5	0.0	24.77777777777778	1.0
SRR5946704	3.5	0.0	47.7	4.333333333333333
SRR5946707	6.0	0.0	48.2	2.6666666666666665
SRR5946708	3.0	0.0	49.77777777777778	0.0
SRR5946711	2.5	0.0	37.9	3.6666666666666665
SRR5946712	3.0	0.0	34.1	1.6666666666666667
SRR5946713	0.0	0.0	29.2	4.333333333333333
SRR5946714	1.5	0.0	32.5	1.3333333333333333
SRR5946716	0.0	0.0	37.6	2.6666666666666665
SRR5946723	4.0	0.0	36.7	1.3333333333333333
SRR5946725	0.0	0.0	26.9	4.333333333333333
SRR5946730	4.5	0.0	60.4	4.0
SRR5946731	4.5	0.0	43.0	2.0
SRR5946733	3.5	0.0	33.666666666666664	0.0
SRR5946735	2.0	0.0	10.6	1.5
SRR5946737	2.0	0.0	46.11111111111112	4.0
SRR5946740	2.0	0.0	32.9	4.0
SRR5946746	2.5	0.0	37.2	2.0
SRR5946747	5.0	0.0	81.9	6.0
SRR5946748	0.0	0.0	41.8	4.0
SRR5946749	1.5	0.0	40.55555555555556	2.5
SRR5946751	3.0	0.0	32.1	2.0
SRR5946752	2.0	0.0	14.666666666666666	1.5
SRR5946754	0.0	0.0	36.0	3.0
SRR5946755	2.0	0.0	18.5	0.0
SRR5946757	1.0	0.0	23.875	0.0
SRR5946758	0.0	0.0	8.2	0.0
SRR5946760	4.0	0.0	68.7	4.333333333333333
SRR5946762	2.0	0.0	39.2	5.666666666666667
SRR5946772	1.5	0.0	26.2	2.333333333333333
SRR5946774	0.0	0.0	23.9	1.0
SRR5946776	5.0	0.0	72.6	6.0
SRR5946777	3.5	0.0	56.0	3.0
SRR5946779	1.0	0.0	26.8	2.333333333333333
SRR5946780	5.0	0.0	64.6	7.0
SRR5946787	0.0	0.0	51.5	3.0
SRR5946788	5.0	0.0	39.5	2.5
SRR5946790	0.0	0.0	25.8	2.333333333333333
SRR5946791	6.0	0.0	70.8	5.666666666666667
SRR5946797	0.0	0.0	6.857142857142857	0.0
SRR5946800	3.0	0.0	45.44444444444444	0.0
SRR5946808	0.0	0.0	28.7	2.6666666666666665
SRR5946815	4.0	0.0	64.1	5.333333333333333
SRR5946817	3.0	0.0	60.8	4.666666666666667
SRR5946818	3.6666666666666665	2.0	62.2	3.333333333333333
SRR5946821	0.0	0.0	19.77777777777778	0.0
SRR5946822	4.0	0.0	28.4	2.333333333333333
SRR5946825	1.0	0.0	41.0	3.6666666666666665
SRR5946826	1.5	0.0	14.3	1.0
SRR5946828	0.0	0.0	23.22222222222222	0.0
SRR5946829	0.0	0.0	30.3	2.6666666666666665
SRR5946831	6.0	0.0	51.3	2.6666666666666665
SRR5946834	4.0	0.0	44.1	2.6666666666666665
SRR5946844	1.0	1.0	24.8	2.333333333333333
SRR5946845	1.5	0.0	17.0	0.0
SRR5946846	6.5	0.0	62.7	3.333333333333333
SRR5946847	3.5	0.0	78.8	4.333333333333333
SRR5946851	2.5	0.0	48.0	3.0
SRR5946853	1.5	0.0	16.2	1.0
SRR5946857	5.5	0.0	58.7	3.6666666666666665
SRR5946861	4.5	0.0	46.6	3.0
SRR5946862	3.0	0.0	44.888888888888886	0.0
SRR5946863	0.0	0.0	14.125	0.0
SRR5946864	0.0	0.0	48.75	0.0
SRR5946866	3.0	0.0	30.0	4.666666666666667
SRR5946867	5.0	0.0	81.1	6.333333333333333
SRR5946868	2.5	0.0	34.0	4.0
SRR5946870	1.5	0.0	23.4	2.0
SRR5946873	1.5	0.0	35.3	1.6666666666666667
SRR5946874	0.0	0.0	30.77777777777778	2.6666666666666665
SRR5946876	5.0	0.0	83.8	9.333333333333334
SRR5946880	2.5	0.0	57.5	4.0
SRR5946881	3.5	0.0	43.8	4.0
SRR5946883	0.0	0.0	27.9	1.0
SRR5946889	3.5	0.0	73.3	5.666666666666667
SRR5946891	2.0	0.0	40.6	3.0
SRR5946892	3.0	0.0	36.44444444444444	0.0
SRR5946894	1.0	0.0	26.8	2.333333333333333
SRR5946895	0.0	1.5	19.6	3.333333333333333
SRR5946905	6.5	0.0	80.3	6.333333333333333
SRR5946907	0.0	0.0	37.8	2.5
SRR5946909	3.0	0.0	31.2	2.6666666666666665
SRR5946911	1.6666666666666667	1.5	41.8	2.333333333333333
SRR5946912	2.0	0.0	24.77777777777778	0.0
SRR5946915	3.0	0.0	24.7	2.333333333333333
SRR5946920	1.5	0.0	33.2	2.333333333333333
SRR5946921	3.0	0.0	66.7	3.6666666666666665
SRR5946923	4.5	0.0	64.1	5.333333333333333
SRR5946924	2.5	0.0	49.3	2.6666666666666665
SRR5946925	4.5	0.0	53.2	3.0
SRR5946927	4.0	0.0	28.33333333333333	0.0
SRR5946930	5.5	0.0	78.6	8.0
SRR5946931	0.0	0.0	35.8	1.3333333333333333
SRR5946933	1.0	0.0	22.1	1.6666666666666667
SRR5946935	0.0	0.0	37.5	1.0
SRR5946937	1.5	0.0	32.44444444444444	0.0
SRR5946940	1.5	0.0	20.5	1.3333333333333333
SRR5946942	0.0	0.0	42.3	2.333333333333333
SRR5946943	2.0	0.0	41.0	2.6666666666666665
SRR5946946	5.0	0.0	61.3	6.0
SRR5946947	4.5	0.0	38.5	3.0
SRR5946952	2.0	0.0	27.3	3.333333333333333
SRR5946954	2.5	0.0	27.3	2.5
SRR5946955	3.5	0.0	40.7	2.333333333333333
SRR5946958	1.6666666666666667	1.0	44.8	3.6666666666666665
SRR5946959	0.0	0.0	31.2	1.0
SRR5946961	2.5	0.0	50.11111111111112	0.0
SRR5946962	2.5	0.0	22.5	2.5
SRR5946963	1.0	0.0	7.375	0.0
SRR5946966	3.0	0.0	44.9	5.666666666666667
SRR5946967	0.0	0.0	17.22222222222222	0.0
SRR5946968	4.5	0.0	25.7	1.6666666666666667
SRR5946969	3.5	0.0	78.3	7.0
SRR5946971	4.666666666666667	3.5	52.9	4.5
SRR5946973	6.0	0.0	27.6	1.6666666666666667
SRR5946974	1.5	0.0	23.444444444444443	0.0
SRR5946981	3.5	0.0	59.6	1.5
SRR5946985	2.5	0.0	69.0	7.0
SRR5946987	2.0	0.0	29.4	3.6666666666666665
SRR5946988	0.0	0.0	29.9	2.333333333333333
SRR5946989	5.5	0.0	59.6	7.0
SRR5946992	1.5	0.0	22.6	3.0
SRR5946993	5.5	0.0	78.0	8.0
SRR5946995	3.0	0.0	44.8	3.0
SRR5946996	0.0	0.0	16.571428571428573	0.0
SRR5947000	1.5	0.0	45.8	4.5
SRR5947001	2.5	0.0	26.3	3.0
SRR5947003	0.0	0.0	2.7142857142857144	0.0
SRR5947004	2.5	0.0	51.3	6.0
SRR5947007	6.5	0.0	43.888888888888886	2.0
SRR5947008	3.5	0.0	11.77777777777778	0.0
SRR5947010	0.0	0.0	28.1	2.333333333333333
SRR5947012	2.0	0.0	25.6	1.5
SRR5947017	4.0	0.0	47.1	1.6666666666666667
SRR5947019	4.5	0.0	53.4	3.0
SRR5947022	0.0	0.0	31.4	4.666666666666667
SRR5947024	0.0	0.0	27.3	1.5
SRR5947025	0.0	0.0	32.333333333333336	0.0
SRR5947027	3.5	0.0	45.4	2.6666666666666665
SRR5947028	1.5	0.0	59.2	3.5
SRR5947029	1.5	0.0	31.4	1.5
SRR5947031	4.0	0.0	40.7	2.0
SRR5947032	5.0	0.0	43.5	3.0
SRR5947036	2.0	0.0	24.2	2.0
SRR5947040	1.0	0.0	18.6	1.0
SRR5947041	0.0	0.0	39.2	3.333333333333333
SRR5947042	3.0	0.0	28.2	2.6666666666666665
SRR5947044	2.5	0.0	38.2	3.6666666666666665
SRR5947045	3.5	0.0	55.0	3.6666666666666665
SRR5947048	0.0	0.0	28.5	4.333333333333333
SRR5947049	3.0	0.0	22.7	2.6666666666666665
SRR5947050	5.5	0.0	34.333333333333336	1.5
SRR5947052	4.0	0.0	45.6	2.333333333333333
SRR5947053	0.0	0.0	25.0	1.3333333333333333
SRR5947057	3.0	0.0	44.5	3.0
SRR5947060	1.0	0.0	11.125	0.0
SRR5947063	2.0	0.0	39.22222222222222	3.333333333333333
SRR5947069	3.0	0.0	25.9	2.0
SRR5947070	1.5	0.0	36.7	4.0
SRR5947072	5.0	0.0	73.3	7.666666666666667
SRR5947076	1.0	0.0	21.55555555555556	0.0
SRR5947077	6.5	0.0	40.0	3.5
SRR5947079	0.0	0.0	30.5	0.0
SRR5947080	2.0	0.0	12.22222222222222	0.0
SRR5947081	5.0	0.0	57.1	3.0
SRR5947085	0.0	0.0	15.77777777777778	0.0
SRR5947090	7.5	0.0	48.888888888888886	0.0
SRR5947094	2.5	0.0	8.5	1.0
SRR5947097	2.5	0.0	45.6	4.0
SRR5947101	0.0	0.0	28.1	2.333333333333333
SRR5947102	0.0	0.0	36.3	3.5
SRR5947104	3.5	0.0	51.3	3.0
SRR5947812	4.5	0.0	45.2	2.5
SRR5947813	5.5	0.0	65.1	6.0
SRR5947815	3.0	0.0	43.8	3.333333333333333
SRR5947821	3.6666666666666665	2.5	69.5	5.333333333333333
SRR5947830	0.0	0.0	22.8	2.5
SRR5947831	4.0	0.0	39.7	3.333333333333333
SRR5947832	2.5	0.0	26.4	3.0
SRR5947834	1.0	0.0	23.0	2.0
SRR5947836	0.0	0.0	19.33333333333333	1.5
SRR5947838	5.0	0.0	46.4	4.333333333333333
SRR5947843	4.5	0.0	18.2	2.6666666666666665
SRR5947846	6.5	0.0	56.7	3.5
SRR5947851	0.0	0.0	37.333333333333336	0.0
SRR5947869	3.5	0.0	61.0	4.333333333333333
SRR5947879	4.0	0.0	49.9	3.5
SRR5983264	1.5	0.0	31.1	3.6666666666666665
SRR5983265	5.5	0.0	73.6	3.333333333333333
SRR5983268	5.5	0.0	55.1	4.666666666666667
SRR5983270	2.5	0.0	44.6	3.333333333333333
SRR5983271	4.5	0.0	42.8	2.333333333333333
SRR5983272	0.0	0.0	36.1	1.6666666666666667
SRR5983275	0.0	0.0	11.9	1.0
SRR5983276	1.5	0.0	35.44444444444444	2.5
SRR5983277	2.0	0.0	36.3	1.3333333333333333
SRR5983279	0.0	0.0	26.9	1.6666666666666667
SRR5983282	2.0	0.0	45.2	2.6666666666666665
SRR5983284	0.0	0.0	38.1	2.333333333333333
SRR5983291	0.0	0.0	13.375	0.0
SRR5983294	0.0	0.0	14.3	1.0
SRR5983297	4.5	0.0	47.6	3.333333333333333
SRR5983299	3.0	0.0	33.1	2.0
SRR5983300	1.5	0.0	54.8	3.6666666666666665
SRR5983301	4.5	0.0	58.9	5.0
SRR5983315	2.0	0.0	31.0	2.333333333333333
SRR5983317	4.5	0.0	47.8	1.5
SRR5983325	0.0	0.0	40.1	3.0
SRR5983326	2.0	0.0	51.5	5.0
SRR5983327	3.5	0.0	57.4	3.0
SRR5983329	2.0	0.0	46.6	3.333333333333333
SRR5983331	2.0	0.0	25.9	3.0
SRR5983333	0.0	0.0	37.7	3.5
SRR5983335	3.5	0.0	42.0	3.0
SRR5983346	3.0	0.0	46.4	4.666666666666667
