EC_number 	 Annotation 	 GOterm
EC:1.1.1.349 	" norsolorinic acid ketoreductase activity "	GO:140393
EC:1.1.1.35 	" 3-hydroxyacyl-CoA dehydrogenase activity "	GO:3857
EC:1.1.1.352 	" 5'-hydroxyaverantin dehydrogenase activity "	GO:140396
EC:1.1.1.36 	" acetoacetyl-CoA reductase activity "	GO:18454
EC:1.1.1.361 	" glucose-6-phosphate 3-dehydrogenase activity "	GO:103074
EC:1.1.1.365 	" D-galacturonate reductase activity "	GO:102098
EC:1.1.1.366 	" L-idonate 5-dehydrogenase (NAD+) activity "	GO:102198
EC:1.1.1.37 	" L-malate dehydrogenase activity "	GO:30060
EC:1.1.1.371 	" scyllo-inositol dehydrogenase (NADP+) activity "	GO:102497
EC:1.1.1.373 	" 3-sulfolactaldehyde reductase activity "	GO:61596
EC:1.1.1.376 	" L-arabinose 1-dehydrogenase (NADP+) activity "	GO:44103
EC:1.1.1.39 	" malate dehydrogenase (decarboxylating) (NAD+) activity "	GO:4471
EC:1.1.1.395 	" 3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase activity "	GO:33792
EC:1.1.1.4 	" (R,R)-butanediol dehydrogenase activity "	GO:721
EC:1.1.1.41 	" isocitrate dehydrogenase (NAD+) activity "	GO:4449
EC:1.1.1.418 	" 4alpha-carboxy-5alpha-cholesta-7,24-dien-3beta-ol dehydrogenase/C4-decarboxylase activity "	GO:102191
EC:1.1.1.42 	" isocitrate dehydrogenase (NADP+) activity "	GO:4450
EC:1.1.1.43 	" phosphogluconate 2-dehydrogenase activity "	GO:8114
EC:1.1.1.44 	" phosphogluconate dehydrogenase (decarboxylating) activity "	GO:4616
EC:1.1.1.45 	" L-gulonate 3-dehydrogenase activity "	GO:50104
EC:1.1.1.46 	" L-arabinose 1-dehydrogenase (NAD+) activity "	GO:50022
EC:1.1.1.47 	" glucose 1-dehydrogenase [NAD(P)] activity "	GO:47936
EC:1.1.1.48 	" galactose 1-dehydrogenase activity "	GO:19151
EC:1.1.1.49 	" glucose-6-phosphate dehydrogenase activity "	GO:4345
EC:1.1.1.50 	" androsterone dehydrogenase (B-specific) activity "	GO:47042
EC:1.1.1.52 	" 3-alpha-hydroxycholanate dehydrogenase activity "	GO:47043
EC:1.1.1.53 	" androstan-3-alpha,17-beta-diol dehydrogenase activity "	GO:47044
EC:1.1.1.54 	" allyl-alcohol dehydrogenase activity "	GO:47655
EC:1.1.1.55 	" lactaldehyde reductase (NADPH) activity "	GO:50039
EC:1.1.1.56 	" ribitol 2-dehydrogenase activity "	GO:50255
EC:1.1.1.57 	" fructuronate reductase activity "	GO:8866
EC:1.1.1.58 	" tagaturonate reductase activity "	GO:9026
EC:1.1.1.59 	" 3-hydroxypropionate dehydrogenase (NAD+) activity "	GO:47565
EC:1.1.1.6 	" glycerol dehydrogenase [NAD+] activity "	GO:8888
EC:1.1.1.60 	" 2-hydroxy-3-oxopropionate reductase activity "	GO:8679
EC:1.1.1.61 	" 4-hydroxybutyrate dehydrogenase activity "	GO:47577
EC:1.1.1.62 	" estradiol 17-beta-dehydrogenase [NAD(P)] activity "	GO:4303
EC:1.1.1.64 	" testosterone 17-beta-dehydrogenase (NADP+) activity "	GO:47045
EC:1.1.1.65 	" pyridoxine:NADP 4-dehydrogenase activity "	GO:50236
EC:1.1.1.66 	" omega-hydroxydecanoate dehydrogenase activity "	GO:50153
EC:1.1.1.67 	" mannitol 2-dehydrogenase activity "	GO:50086
EC:1.1.1.69 	" gluconate 5-dehydrogenase activity "	GO:8874
EC:1.1.1.7 	" propanediol-phosphate dehydrogenase activity "	GO:50216
EC:1.1.1.71 	" alcohol dehydrogenase [NAD(P)+] activity "	GO:18455
EC:1.1.1.72 	" glycerol dehydrogenase [NADP+] activity "	GO:47956
EC:1.1.1.73 	" octanol dehydrogenase (NAD+) activity "	GO:4552
EC:1.1.1.75 	" (R)-aminopropanol dehydrogenase activity "	GO:19147
EC:1.1.1.76 	" (S,S)-butanediol dehydrogenase activity "	GO:47512
EC:1.1.1.77 	" lactaldehyde reductase activity "	GO:8912
EC:1.1.1.78 	" methylglyoxal reductase (NADH) activity "	GO:19170
EC:1.1.1.79 	" glyoxylate reductase (NADPH) activity "	GO:30267
EC:1.1.1.8 	" glycerol-3-phosphate dehydrogenase (NAD+) activity "	GO:141152
EC:1.1.1.80 	" isopropanol dehydrogenase (NADP+) activity "	GO:50009
EC:1.1.1.81 	" hydroxypyruvate reductase activity "	GO:16618
EC:1.1.1.82 	" malate dehydrogenase (NADP+) activity "	GO:46554
EC:1.1.1.83 	" D-malate dehydrogenase (decarboxylating) activity "	GO:46553
EC:1.1.1.84 	" dimethylmalate dehydrogenase activity "	GO:47867
EC:1.1.1.85 	" 3-isopropylmalate dehydrogenase activity "	GO:3862
EC:1.1.1.86 	" ketol-acid reductoisomerase activity "	GO:4455
EC:1.1.1.87 	" homoisocitrate dehydrogenase activity "	GO:47046
EC:1.1.1.88 	" hydroxymethylglutaryl-CoA reductase (NADH) activity "	GO:140643
EC:1.1.1.9 	" D-xylulose reductase activity "	GO:46526
EC:1.1.1.90 	" aryl-alcohol dehydrogenase (NAD+) activity "	GO:18456
EC:1.1.1.91 	" aryl-alcohol dehydrogenase (NADP+) activity "	GO:47681
EC:1.1.1.92 	" oxaloglycolate reductase (decarboxylating) activity "	GO:47047
EC:1.1.1.93 	" tartrate dehydrogenase activity "	GO:9027
EC:1.1.1.94 	" glycerol-3-phosphate dehydrogenase [NAD(P)+] activity "	GO:47952
EC:1.1.1.95 	" phosphoglycerate dehydrogenase activity "	GO:4617
EC:1.1.1.96 	" diiodophenylpyruvate reductase activity "	GO:47860
EC:1.1.1.97 	" 3-hydroxybenzyl-alcohol dehydrogenase activity "	GO:47048
EC:1.1.1.98 	" (R)-2-hydroxy-fatty acid dehydrogenase activity "	GO:47049
EC:1.1.1.99 	" (S)-2-hydroxy-fatty acid dehydrogenase activity "	GO:47050
EC:1.1.1.n12 	" (3R)-hydroxyacyl-CoA dehydrogenase (NAD+) activity "	GO:106386
EC:1.1.2.- 	" oxidoreductase activity, acting on the CH-OH group of donors, cytochrome as acceptor "	GO:16898
EC:1.1.2.2 	" mannitol dehydrogenase (cytochrome) activity "	GO:50087
EC:1.1.2.3 	" L-lactate dehydrogenase (cytochrome) activity "	GO:4460
EC:1.1.2.4 	" D-lactate dehydrogenase (cytochrome) activity "	GO:4458
EC:1.1.2.5 	" D-lactate dehydrogenase (cytochrome c-553) activity "	GO:47051
EC:1.1.2.6 	" polyvinyl alcohol dehydrogenase (cytochrome) activity "	GO:47059
EC:1.1.2.7 	" alcohol dehydrogenase (cytochrome c(L)) activity "	GO:52933
EC:1.1.2.8 	" alcohol dehydrogenase (cytochrome c) activity "	GO:52934
EC:1.1.3.10 	" pyranose oxidase activity "	GO:50233
EC:1.1.3.11 	" L-sorbose oxidase activity "	GO:50035
EC:1.1.3.12 	" pyridoxine 4-oxidase activity "	GO:50237
EC:1.1.3.13 	" alcohol oxidase activity "	GO:47639
EC:1.1.3.14 	" catechol oxidase (dimerizing) activity "	GO:47731
EC:1.1.3.15 	" (S)-2-hydroxy-acid oxidase activity "	GO:3973
EC:1.1.3.16 	" ecdysone oxidase activity "	GO:47875
EC:1.1.3.17 	" choline:oxygen 1-oxidoreductase activity "	GO:33713
EC:1.1.3.18 	" secondary-alcohol oxidase activity "	GO:33714
EC:1.1.3.19 	" 4-hydroxymandelate oxidase activity "	GO:47579
EC:1.1.3.20 	" long-chain-alcohol oxidase activity "	GO:46577
EC:1.1.3.21 	" glycerol-3-phosphate oxidase activity "	GO:4369
EC:1.1.3.23 	" thiamine oxidase activity "	GO:50423
EC:1.1.3.27 	" hydroxyphytanate oxidase activity "	GO:47996
EC:1.1.3.28 	" nucleoside oxidase activity "	GO:33715
EC:1.1.3.29 	" N-acylhexosamine oxidase activity "	GO:50122
EC:1.1.3.30 	" polyvinyl-alcohol oxidase activity "	GO:50209
EC:1.1.3.37 	" D-arabinono-1,4-lactone oxidase activity "	GO:3885
EC:1.1.3.38 	" vanillyl-alcohol oxidase activity "	GO:18465
EC:1.1.3.39 	" nucleoside oxidase (hydrogen peroxide-forming) activity "	GO:33716
EC:1.1.3.4 	" glucose oxidase activity "	GO:46562
EC:1.1.3.40 	" D-mannitol oxidase activity "	GO:50581
EC:1.1.3.41 	" xylitol oxidase activity "	GO:50582
EC:1.1.3.5 	" hexose oxidase activity "	GO:47979
EC:1.1.3.6 	" cholesterol oxidase activity "	GO:16995
EC:1.1.3.7 	" aryl-alcohol oxidase activity "	GO:47682
EC:1.1.3.8 	" L-gulonolactone oxidase activity "	GO:50105
EC:1.1.3.9 	" galactose oxidase activity "	GO:45480
EC:1.1.4.- 	" oxidoreductase activity, acting on the CH-OH group of donors, disulfide as acceptor "	GO:16900
EC:1.1.5.- 	" oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor "	GO:16901
EC:1.1.5.12 	" D-lactate dehydrogenase (quinone) activity "	GO:102029
EC:1.1.5.13 	" (S)-2-hydroxyglutarate dehydrogenase activity "	GO:140696
EC:1.1.5.14 	" fructose 5-dehydrogenase activity "	GO:47904
EC:1.1.5.2 	" quinoprotein glucose dehydrogenase activity "	GO:8876
EC:1.1.5.3 	" glycerol-3-phosphate dehydrogenase (quinone) activity "	GO:4368
EC:1.1.5.8 	" quinate dehydrogenase (quinone) activity "	GO:47519
EC:1.1.5.9 	" glucose dehydrogenase (FAD, quinone) activity "	GO:140762
EC:1.1.7.1 	" 4-hydroxybenzoyl-CoA reductase activity "	GO:18525
EC:1.1.98.2 	" glucose-6-phosphate dehydrogenase (coenzyme F420) activity "	GO:52749
EC:1.1.99.- 	" limonene-1,2-diol dehydrogenase activity "	GO:18466
EC:1.1.99.1 	" choline dehydrogenase activity "	GO:8812
EC:1.1.99.12 	" sorbose dehydrogenase activity "	GO:50288
