"x"
"1" "UNINTEGRATED|g__Absiella.s__Absiella_dolichum"
"28" "UNINTEGRATED|g__Anaeroglobus.s__Anaeroglobus_geminatus"
"29" "UNINTEGRATED|g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An172"
"30" "UNINTEGRATED|g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An250"
"31" "UNINTEGRATED|g__Anaerosporobacter.s__Anaerosporobacter_mobilis"
"32" "UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_caccae"
"33" "UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus"
"34" "UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_sp_494a"
"35" "UNINTEGRATED|g__Anaerotignum.s__Anaerotignum_lactatifermentans"
"36" "UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_colihominis"
"37" "UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_sp_CAG_390"
"38" "UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_sp_CAG_528"
"39" "UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus"
"40" "UNINTEGRATED|g__Atopobium.s__Atopobium_parvulum"
"41" "UNINTEGRATED|g__Atopobium.s__Atopobium_rimae"
"42" "UNINTEGRATED|g__Azospirillum.s__Azospirillum_sp_CAG_260"
"43" "UNINTEGRATED|g__Bacteroidales_unclassified.s__Bacteroidales_bacterium_KA00251"
"44" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae"
"45" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus"
"46" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_clarus"
"47" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_coprocola"
"48" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_coprophilus"
"49" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei"
"50" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii"
"51" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecichinchillae"
"52" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis"
"53" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_finegoldii"
"54" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_fluxus"
"55" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis"
"56" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis"
"57" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis"
"58" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_nordii"
"59" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_oleiciplenus"
"60" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus"
"61" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_plebeius"
"62" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_salanitronis"
"63" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_salyersiae"
"64" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sartorii"
"65" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_An322"
"66" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_1076"
"67" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_144"
"68" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_443"
"69" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_462"
"70" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_530"
"71" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_545"
"72" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_598"
"73" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_633"
"74" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_661"
"75" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_709"
"76" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_714"
"77" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_754"
"78" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_770"
"79" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_875"
"80" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_OM08_11"
"81" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercorirosoris"
"82" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris"
"83" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron"
"84" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis"
"85" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus"
"86" "UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens"
"87" "UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis"
"88" "UNINTEGRATED|g__Barnesiella.s__Barnesiella_sp_An22"
"89" "UNINTEGRATED|g__Barnesiella.s__Barnesiella_viscericola"
"90" "UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis"
"91" "UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_angulatum"
"92" "UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_animalis"
"93" "UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_asteroides"
"94" "UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_bifidum"
"95" "UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_breve"
"96" "UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_catenulatum"
"97" "UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_dentium"
"98" "UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_gallinarum"
"99" "UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum"
"100" "UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum"
"101" "UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pullorum"
"102" "UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia"
"103" "UNINTEGRATED|g__Blautia.s__Blautia_coccoides"
"104" "UNINTEGRATED|g__Blautia.s__Blautia_hansenii"
"105" "UNINTEGRATED|g__Blautia.s__Blautia_hydrogenotrophica"
"106" "UNINTEGRATED|g__Blautia.s__Blautia_obeum"
"107" "UNINTEGRATED|g__Blautia.s__Blautia_producta"
"108" "UNINTEGRATED|g__Blautia.s__Blautia_sp"
"109" "UNINTEGRATED|g__Blautia.s__Blautia_sp_AF19_10LB"
"110" "UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_257"
"111" "UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52"
"112" "UNINTEGRATED|g__Blautia.s__Blautia_sp_N6H1_15"
"113" "UNINTEGRATED|g__Blautia.s__Blautia_wexlerae"
"114" "UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus"
"115" "UNINTEGRATED|g__Blautia.s__Ruminococcus_torques"
"116" "UNINTEGRATED|g__Brachyspira.s__Brachyspira_sp_CAG_484"
"117" "UNINTEGRATED|g__Brachyspira.s__Brachyspira_sp_CAG_700"
"118" "UNINTEGRATED|g__Butyricicoccus.s__Butyricicoccus_pullicaecorum"
"119" "UNINTEGRATED|g__Butyricimonas.s__Butyricimonas_synergistica"
"120" "UNINTEGRATED|g__Butyricimonas.s__Butyricimonas_virosa"
"121" "UNINTEGRATED|g__Butyrivibrio.s__Butyrivibrio_crossotus"
"122" "UNINTEGRATED|g__Butyrivibrio.s__Butyrivibrio_sp_CAG_318"
"123" "UNINTEGRATED|g__Campylobacter.s__Campylobacter_hominis"
"124" "UNINTEGRATED|g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium"
"125" "UNINTEGRATED|g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_10"
"126" "UNINTEGRATED|g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_21"
"127" "UNINTEGRATED|g__Candidatus_Melainabacteria_unclassified.s__Candidatus_Melainabacteria_bacterium_35_41"
"128" "UNINTEGRATED|g__Candidatus_Methanomethylophilus.s__Candidatus_Methanomethylophilus_alvus"
"129" "UNINTEGRATED|g__Candidatus_Stoquefichus.s__Candidatus_Stoquefichus_sp_KLE1796"
"130" "UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai"
"131" "UNINTEGRATED|g__Citrobacter.s__Citrobacter_amalonaticus"
"132" "UNINTEGRATED|g__Citrobacter.s__Citrobacter_braakii"
"133" "UNINTEGRATED|g__Citrobacter.s__Citrobacter_freundii"
"134" "UNINTEGRATED|g__Citrobacter.s__Citrobacter_portucalensis"
"135" "UNINTEGRATED|g__Citrobacter.s__Citrobacter_youngae"
"136" "UNINTEGRATED|g__Cloacibacillus.s__Cloacibacillus_evryensis"
"137" "UNINTEGRATED|g__Cloacibacillus.s__Cloacibacillus_porcorum"
"138" "UNINTEGRATED|g__Clostridiales_unclassified.s__Bacteroides_pectinophilus"
"139" "UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA"
"140" "UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_CHKCI006"
"141" "UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_KLE1615"
"142" "UNINTEGRATED|g__Clostridioides.s__Clostridioides_difficile"
"143" "UNINTEGRATED|g__Clostridium.s__Clostridium_baratii"
"144" "UNINTEGRATED|g__Clostridium.s__Clostridium_botulinum"
"145" "UNINTEGRATED|g__Clostridium.s__Clostridium_butyricum"
"146" "UNINTEGRATED|g__Clostridium.s__Clostridium_cadaveris"
"147" "UNINTEGRATED|g__Clostridium.s__Clostridium_celatum"
"148" "UNINTEGRATED|g__Clostridium.s__Clostridium_disporicum"
"149" "UNINTEGRATED|g__Clostridium.s__Clostridium_neonatale"
"150" "UNINTEGRATED|g__Clostridium.s__Clostridium_paraputrificum"
"151" "UNINTEGRATED|g__Clostridium.s__Clostridium_perfringens"
"152" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_44_14"
"153" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_7_2_43FAA"
"154" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_AF36_4"
"155" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_AM22_11AC"
"156" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_1013"
"157" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_1024"
"158" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_1219"
"159" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_122"
"160" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_138"
"161" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_167"
"162" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_169"
"163" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_217"
"164" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_221"
"165" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_226"
"166" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_230"
"167" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_242"
"168" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_245"
"169" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_253"
"170" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_269"
"171" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_273"
"172" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_299"
"173" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_302"
"174" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_307"
"175" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_349"
"176" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_354"
"177" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_356"
"178" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_389"
"179" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_411"
"180" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_413"
"181" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_417"
"182" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_433"
"183" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_440"
"184" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_448"
"185" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_452"
"186" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_465"
"187" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_470"
"188" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_492"
"189" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_505"
"190" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_508"
"191" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_510"
"192" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_524"
"193" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_533"
"194" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_557"
"195" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_567"
"196" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_568"
"197" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_571"
"198" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_575"
"199" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_58"
"200" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_590"
"201" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_594"
"202" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_609"
"203" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_628"
"204" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_632"
"205" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_678"
"206" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_75"
"207" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_762"
"208" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_780"
"209" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_793"
"210" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_798"
"211" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_813"
"212" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_914"
"213" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_964"
"214" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_D5"
"215" "UNINTEGRATED|g__Clostridium.s__Clostridium_sp_chh4_2"
"216" "UNINTEGRATED|g__Clostridium.s__Clostridium_sporogenes"
"217" "UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens"
"218" "UNINTEGRATED|g__Collinsella.s__Collinsella_intestinalis"
"219" "UNINTEGRATED|g__Collinsella.s__Collinsella_sp_An7"
"220" "UNINTEGRATED|g__Collinsella.s__Collinsella_sp_CAG_289"
"221" "UNINTEGRATED|g__Collinsella.s__Collinsella_stercoris"
"222" "UNINTEGRATED|g__Collinsella.s__Collinsella_tanakaei"
"223" "UNINTEGRATED|g__Coprobacillus.s__Coprobacillus_cateniformis"
"224" "UNINTEGRATED|g__Coprobacillus.s__Coprobacillus_sp_CAG_698"
"225" "UNINTEGRATED|g__Coprobacter.s__Coprobacter_fastidiosus"
"226" "UNINTEGRATED|g__Coprobacter.s__Coprobacter_secundus"
"227" "UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus"
"228" "UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes"
"229" "UNINTEGRATED|g__Coprococcus.s__Coprococcus_eutactus"
"230" "UNINTEGRATED|g__Coraliomargarita.s__Coraliomargarita_sp_CAG_312"
"231" "UNINTEGRATED|g__Cryptobacterium.s__Cryptobacterium_sp_CAG_338"
"232" "UNINTEGRATED|g__Cutibacterium.s__Cutibacterium_acnes"
"233" "UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_desulfuricans"
"234" "UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_fairfieldensis"
"235" "UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_legallii"
"236" "UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_piger"
"237" "UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_sp_An276"
"238" "UNINTEGRATED|g__Desulfovibrionaceae_unclassified.s__Desulfovibrionaceae_bacterium"
"239" "UNINTEGRATED|g__Dialister.s__Dialister_invisus"
"240" "UNINTEGRATED|g__Dialister.s__Dialister_micraerophilus"
"241" "UNINTEGRATED|g__Dialister.s__Dialister_pneumosintes"
"242" "UNINTEGRATED|g__Dialister.s__Dialister_sp_CAG_357"
"243" "UNINTEGRATED|g__Dialister.s__Dialister_sp_CAG_486"
"244" "UNINTEGRATED|g__Dialister.s__Dialister_succinatiphilus"
"245" "UNINTEGRATED|g__Dielma.s__Dielma_fastidiosa"
"246" "UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans"
"247" "UNINTEGRATED|g__Dorea.s__Dorea_longicatena"
"248" "UNINTEGRATED|g__Dorea.s__Dorea_sp_CAG_317"
"249" "UNINTEGRATED|g__Dorea.s__Dorea_sp_OM02_2LB"
"250" "UNINTEGRATED|g__Dysgonomonas.s__Dysgonomonas_gadei"
"251" "UNINTEGRATED|g__Dysgonomonas.s__Dysgonomonas_mossii"
"252" "UNINTEGRATED|g__Dysgonomonas.s__Dysgonomonas_sp_37_18"
"253" "UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta"
"254" "UNINTEGRATED|g__Eggerthella.s__Eggerthella_sp_CAG_209"
"255" "UNINTEGRATED|g__Eggerthella.s__Eggerthella_sp_CAG_298"
"256" "UNINTEGRATED|g__Eikenella.s__Eikenella_corrodens"
"257" "UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_massiliensis"
"258" "UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_tayi"
"259" "UNINTEGRATED|g__Enorma.s__Enorma_massiliensis"
"260" "UNINTEGRATED|g__Enterobacter.s__Enterobacter_asburiae"
"261" "UNINTEGRATED|g__Enterobacter.s__Enterobacter_cancerogenus"
"262" "UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae"
"263" "UNINTEGRATED|g__Enterobacter.s__Enterobacter_hormaechei"
"264" "UNINTEGRATED|g__Enterobacter.s__Enterobacter_kobei"
"265" "UNINTEGRATED|g__Enterobacter.s__Enterobacter_roggenkampii"
"266" "UNINTEGRATED|g__Enterococcus.s__Enterococcus_asini"
"267" "UNINTEGRATED|g__Enterococcus.s__Enterococcus_avium"
"268" "UNINTEGRATED|g__Enterococcus.s__Enterococcus_casseliflavus"
"269" "UNINTEGRATED|g__Enterococcus.s__Enterococcus_durans"
"270" "UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecalis"
"271" "UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecium"
"272" "UNINTEGRATED|g__Enterococcus.s__Enterococcus_gallinarum"
"273" "UNINTEGRATED|g__Enterococcus.s__Enterococcus_hirae"
"274" "UNINTEGRATED|g__Enterococcus.s__Enterococcus_mundtii"
"275" "UNINTEGRATED|g__Enterococcus.s__Enterococcus_pseudoavium"
"276" "UNINTEGRATED|g__Enterococcus.s__Enterococcus_raffinosus"
"277" "UNINTEGRATED|g__Enterococcus.s__Enterococcus_saccharolyticus"
"278" "UNINTEGRATED|g__Enterococcus.s__Enterococcus_thailandicus"
"279" "UNINTEGRATED|g__Enteroscipio.s__Enteroscipio_rubneri"
"280" "UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum"
"281" "UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_spiroforme"
"282" "UNINTEGRATED|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum"
"283" "UNINTEGRATED|g__Erysipelotrichaceae_unclassified.s__Erysipelotrichaceae_bacterium_3_1_53"
"284" "UNINTEGRATED|g__Escherichia.s__Escherichia_coli"
"285" "UNINTEGRATED|g__Escherichia.s__Escherichia_fergusonii"
"286" "UNINTEGRATED|g__Escherichia.s__Escherichia_marmotae"
"287" "UNINTEGRATED|g__Eubacteriaceae_unclassified.s__Eubacteriaceae_bacterium_CHKCI005"
"288" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_callanderi"
"289" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens"
"290" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii"
"291" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus"
"292" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_36_13"
"293" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_AF17_7"
"294" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_An11"
"295" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_115"
"296" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_161"
"297" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_180"
"298" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_192"
"299" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_251"
"300" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_252"
"301" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_274"
"302" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_38"
"303" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_581"
"304" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_786"
"305" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_841"
"306" "UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum"
"307" "UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii"
"308" "UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_sp_CAG_74"
"309" "UNINTEGRATED|g__Faecalicatena.s__Faecalicatena_contorta"
"310" "UNINTEGRATED|g__Faecalicoccus.s__Faecalicoccus_pleomorphus"
"311" "UNINTEGRATED|g__Faecalitalea.s__Faecalitalea_cylindroides"
"312" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_AF16_15"
"313" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_AM10_47"
"314" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_102"
"315" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103"
"316" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_110"
"317" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_114"
"318" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124"
"319" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_129"
"320" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_137"
"321" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145"
"322" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_170"
"323" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_176"
"324" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_194"
"325" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_238"
"326" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_240"
"327" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_272"
"328" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_313"
"329" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_345"
"330" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41"
"331" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_424"
"332" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_460"
"333" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_475"
"334" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_534"
"335" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_552"
"336" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_555"
"337" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56"
"338" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_582"
"339" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_646"
