Sample	2-Aminoethylphosphonate-Degradation	Activation-Inactivation-Interconversion	All-Trans-Farnesyl-PP-Biosynthesis	Biosynthesis	Citrulline-Biosynthesis	Degradation	Detoxification	Energy-Metabolism	Fermentation	Macromolecule-Modification	Metabolic-Clusters	Photosynthesis	Respiration	Super-Pathways
ERR209118	8.0	169.66666666666669	9.0	13573.815553787457	9.75	4760.804942279942	92.66666666666667	508.14444444444445	431.10184227537167	2.0	60.44444444444444	44.916666666666664	105.63333333333334	33.5
ERR209160	9.0	89.66666666666666	5.0	7801.280921855921	0.0	2448.2949938949937	34.5	286.97196969696967	241.17121212121214	0.0	34.72222222222222	39.2	56.333333333333336	21.0
ERR209162	3.5	34.666666666666664	2.0	2660.4199490821916	2.5	744.8031746031746	9.0	98.81843434343435	83.17307692307692	1.0	10.38888888888889	11.476190476190476	17.833333333333336	10.25
ERR209163	2.0	30.666666666666668	1.5	2835.3281746031744	1.5	804.6904761904761	9.5	83.37366522366523	64.01363636363637	1.0	7.0	10.761904761904761	13.166666666666668	8.714285714285715
ERR209164	2.0	96.33333333333333	6.5	6847.210395249911	4.75	2261.2785714285715	23.833333333333332	249.84646464646465	190.04924242424244	2.0	21.77777777777778	28.357142857142858	51.66666666666667	20.107142857142858
ERR209175	5.5	81.0	2.5	5620.033694083694	0.0	2104.667304917305	22.0	203.61540404040403	168.12554112554113	0.0	24.166666666666668	23.17857142857143	42.95833333333333	14.94047619047619
ERR209187	3.0	94.33333333333333	4.5	6162.869108669109	2.75	2185.9261904761906	20.5	217.82409812409813	178.3296536796537	1.0	24.555555555555557	22.57142857142857	41.77777777777778	15.75
ERR209223	1.0	63.66666666666667	3.5	4743.4618964368965	0.0	1502.1904761904761	13.5	152.81616161616162	183.958658008658	1.0	15.61111111111111	16.607142857142858	36.111111111111114	12.0
ERR209225	5.166666666666667	104.33333333333334	6.0	8462.541349206349	0.0	2421.516919191919	30.75	335.6827200577201	249.91449041154925	0.0	36.888888888888886	32.458333333333336	46.5	22.375
ERR209226	3.0	29.333333333333336	2.5	2688.1591418187213	0.0	621.7980769230769	5.0	72.08888888888889	77.9	0.0	10.333333333333332	5.5	15.8	6.65
ERR209246	4.5	163.33333333333334	10.5	14258.380646386135	9.25	4111.499386724387	52.5	482.3090909090909	385.6166666666667	1.0	49.0	51.357142857142854	99.66666666666666	35.82142857142857
ERR209247	2.0	73.33333333333334	3.0	5943.317598343685	4.25	1815.638961038961	21.5	167.127886002886	161.6723484848485	1.0	19.72222222222222	21.933333333333334	34.333333333333336	18.392857142857142
ERR209248	4.0	76.99999999999999	4.5	5996.6741452991455	4.75	1832.45	22.5	189.77828282828284	162.42689393939395	1.0	19.72222222222222	27.233333333333334	38.208333333333336	21.5
ERR209266	0.0	16.666666666666664	0.0	1515.6468155820787	1.5	535.5601648351649	15.0	61.443939393939395	52.651098901098905	0.0	8.88888888888889	5.833333333333333	17.666666666666668	9.6
ERR209286	8.0	163.66666666666669	8.0	14368.729011855017	6.75	4652.792460317461	84.0	518.6251082251082	374.97142857142853	2.0	56.166666666666664	38.458333333333336	116.66666666666666	38.625
ERR209287	1.0	43.66666666666666	1.5	4028.752715870217	2.0	998.5134920634921	34.333333333333336	155.19264069264068	78.5909090909091	0.0	19.333333333333332	17.65	35.77777777777778	16.035714285714285
ERR209296	8.5	192.0	16.0	15910.281063863673	9.25	4518.717748917749	66.0	594.3892857142857	474.90946969696967	1.0	67.44444444444444	56.464285714285715	81.33333333333334	42.875
ERR209298	2.0	21.666666666666668	2.0	1465.886984126984	0.0	419.79624542124543	6.0	43.583333333333336	56.04047619047619	0.0	7.333333333333333	5.0	11.333333333333332	5.533333333333333
ERR209299	0.0	14.0	0.0	1705.3994450810628	0.0	407.36309523809524	4.0	44.44444444444444	48.25396825396825	0.0	11.444444444444445	3.333333333333333	11.8	3.6666666666666665
ERR209300	3.5	43.99999999999999	4.0	3529.01851037851	0.0	980.4765873015873	11.0	127.95353535353536	141.2277777777778	1.0	18.666666666666664	16.233333333333334	22.5	10.833333333333332
ERR209310	7.0	165.66666666666669	13.5	14014.192524667526	0.0	3869.00873015873	55.0	473.7618686868687	420.4791666666667	2.0	58.33333333333333	42.5	82.375	36.75
ERR209312	0.0	13.0	1.5	1020.2883116883116	0.0	210.58095238095237	2.0	35.18888888888889	28.9	0.0	5.444444444444445	3.0	4.0	1.3333333333333333
ERR209336	2.0	18.666666666666668	0.0	1345.6259669301544	1.25	471.1222222222222	3.0	39.705555555555556	37.42179487179487	0.0	6.333333333333333	6.083333333333333	8.761904761904761	4.333333333333334
ERR209339	11.5	159.66666666666666	14.0	13716.305738705738	9.5	3774.648015873016	51.83333333333333	457.30782828282827	407.2344696969697	2.0	51.27777777777778	48.68571428571428	86.44444444444444	35.625
ERR209343	0.0	33.333333333333336	2.5	3222.040057915058	1.75	963.7047619047619	12.0	102.17846320346321	102.16190476190476	0.0	9.11111111111111	15.142857142857144	25.166666666666664	14.607142857142858
ERR209354	3.0	72.66666666666666	5.0	6319.381377612271	3.4	2092.1238095238095	19.0	181.84595959595958	163.0026515151515	1.0	21.555555555555557	24.8	33.0	17.17857142857143
ERR209371	11.5	245.66666666666669	20.0	21066.050834599006	9.4	6022.9831529581525	85.0	667.9340909090909	500.3544372294372	5.0	74.16666666666666	57.55714285714286	108.11111111111111	45.5
ERR209373	0.0	4.0	0.0	366.5372950819672	0.0	105.83333333333333	0.0	2.0	2.833333333333333	0.0	1.0	1.0	3.0	1.0
ERR209375	2.5	59.33333333333332	6.0	5552.886076604555	2.75	1496.8321428571428	22.5	196.52171717171717	193.6757575757576	1.0	19.27777777777778	19.80952380952381	27.958333333333336	15.083333333333332
ERR209376	2.0	40.66666666666666	4.5	3372.0611482023455	0.0	951.0488095238095	8.0	115.14242424242424	95.60641025641026	1.0	13.5	12.166666666666666	17.0	7.0
ERR209378	1.0	35.666666666666664	1.5	2595.9377836809654	0.0	558.0464285714286	6.0	76.70202020202021	59.666666666666664	0.0	7.222222222222222	7.5	8.0	7.566666666666666
ERR209379	1.0	36.99999999999999	3.0	2657.700751879699	0.0	548.2403846153846	2.0	97.70454545454545	51.06153846153846	1.0	10.277777777777779	7.0	7.875	5.833333333333333
ERR209380	1.0	44.0	0.0	2870.3058356676	0.0	643.1754578754578	12.0	98.72582972582973	65.62121212121212	0.0	10.833333333333332	9.0	9.777777777777779	6.15
ERR209403	9.0	186.33333333333331	11.5	14434.477199611982	11.0	4446.236111111111	53.5	508.9598845598846	409.8766233766234	2.0	53.61111111111112	53.0	94.77777777777777	40.375
ERR209404	4.5	61.666666666666664	4.5	3759.4595543345545	0.0	1409.1107142857143	11.5	124.33308080808081	98.40238095238095	0.0	16.833333333333336	17.0	33.57142857142857	15.083333333333332
ERR209405	4.0	68.66666666666667	2.5	4705.914224664225	0.0	1625.1790598290597	19.0	152.0281746031746	140.00194805194806	1.0	16.944444444444443	20.6	39.125	19.833333333333336
ERR209415	17.0	169.0	9.5	13725.701245766812	8.25	4478.267712842713	62.0	485.9742784992785	370.1988636363636	4.0	46.888888888888886	43.92857142857143	81.5	41.666666666666664
ERR209431	14.5	178.99999999999997	13.5	15159.94237916555	5.8	4935.085714285714	59.333333333333336	488.2614357864358	423.3314393939394	4.0	55.833333333333336	49.8	92.0	42.625
ERR209432	6.5	68.33333333333333	4.0	6018.593810931616	3.75	1934.2011904761905	19.5	167.4579365079365	159.22840909090908	2.0	18.27777777777778	19.833333333333336	34.66666666666667	17.107142857142858
ERR209433	8.0	76.33333333333333	4.5	6231.694962042788	3.0	2041.0599206349207	26.0	200.40699855699856	139.0121212121212	2.0	17.0	21.95	36.875	19.702380952380953
ERR209434	7.5	72.66666666666666	3.5	5552.918340234644	3.0	1982.875	23.5	179.07200577200578	137.43295454545455	3.0	16.444444444444443	28.6	35.5	16.666666666666668
ERR209439	7.5	189.66666666666669	15.0	16838.27788153875	8.4	4869.055158730159	70.66666666666667	587.5272366522366	421.64096320346323	1.0	49.94444444444444	55.285714285714285	111.1111111111111	41.625
ERR209440	3.5	39.66666666666666	3.5	3383.486618936619	2.0	945.8611111111111	13.0	103.93333333333334	69.92307692307692	1.0	12.0	13.033333333333333	26.11111111111111	10.964285714285715
ERR209441	3.5	41.33333333333333	2.0	3672.7921633921633	1.8	1038.1559523809524	15.0	106.95126262626262	95.35317460317461	0.0	11.0	11.0	29.625	12.166666666666666
ERR209442	4.0	44.66666666666667	3.0	3580.366666666667	2.4	1059.2333333333333	13.5	115.02222222222223	113.5574592074592	0.0	11.88888888888889	12.066666666666666	27.0	11.785714285714285
ERR209448	2.5	68.66666666666666	6.0	5395.042002442003	3.75	1640.2082112332112	26.833333333333332	175.07474747474748	190.88593073593074	0.0	19.27777777777778	19.547619047619047	40.625	20.25
ERR209470	8.5	238.33333333333334	16.5	19510.804114635364	11.75	5225.9580447330445	59.83333333333333	674.2225468975469	509.1555735930736	5.0	81.5	73.02857142857144	114.0	46.5
ERR209487	2.0	37.33333333333333	2.5	2884.4011944275103	0.0	809.4516483516484	6.5	82.4449494949495	90.42762237762237	1.0	9.277777777777779	11.6	14.458333333333332	7.583333333333333
ERR209519	10.0	377.0	33.0	31538.40460351614	20.5	9114.442099567099	149.0	1047.8185786435786	912.2958333333333	3.0	126.61111111111111	109.33333333333334	168.9	78.30555555555556
ERR209520	0.0	39.0	3.0	3214.1626607577336	0.0	857.6333333333333	18.0	101.51897546897547	120.53268398268398	0.0	10.777777777777779	11.595238095238095	21.291666666666664	11.566666666666666
ERR209521	2.0	37.333333333333336	2.5	3363.853249913104	2.75	839.9261904761905	13.0	101.82691197691197	107.24415584415584	0.0	11.38888888888889	14.404761904761905	15.375	11.683333333333334
ERR209648	17.0	394.0	24.5	31040.953641165597	20.4	9872.426406926406	124.33333333333333	977.7851731601731	876.7791666666667	5.0	146.44444444444446	103.35	224.9333333333333	84.875
ERR209653	16.5	425.0	27.0	33855.36154738981	17.166666666666668	11556.498196248196	138.66666666666666	1279.729329004329	1009.3363095238095	2.0	147.22222222222223	112.49166666666666	238.86666666666667	100.375
ERR209667	19.5	438.33333333333337	36.5	34600.38198793077	26.25	11146.154473304474	154.0	1285.3332611832611	1101.9886904761904	5.0	164.38888888888889	118.05	249.0333333333333	90.75
ERR209671	19.5	397.6666666666667	29.0	30443.56471690319	22.25	10533.858946608947	134.5	1107.6208513708514	1017.8125	4.0	132.44444444444446	103.30833333333334	258.8666666666667	95.25
ERR209674	18.0	372.3333333333333	27.0	30920.272717926247	22.0	9885.80450937951	120.0	1132.7080808080807	906.2988095238095	6.0	128.55555555555554	86.13333333333334	209.83333333333331	77.75
ERR209679	5.666666666666667	124.0	8.0	11806.249526058737	10.0	4197.075937950938	76.75	421.21565656565656	344.164420383538	0.0	65.5	37.31666666666666	145.63333333333333	30.625
ERR209684	7.0	92.33333333333334	4.5	6457.7763542013545	0.0	2610.245879120879	30.5	207.48921356421357	166.95454545454544	2.0	28.22222222222222	18.8	47.222222222222214	20.32142857142857
ERR209685	7.5	114.66666666666667	4.0	9402.859688346884	3.5	3392.8865884115885	44.0	291.6306277056277	252.06666666666666	3.0	36.94444444444444	27.25	52.23333333333333	22.583333333333332
ERR209692	14.0	411.99999999999994	29.5	32592.83276421646	15.833333333333334	11356.479906204906	192.25	1299.5032106782107	1002.802844214609	5.0	151.55555555555554	120.28333333333333	278.73333333333335	95.25
ERR209693	15.5	445.0	28.0	34035.24337095653	17.833333333333332	12086.797113997114	144.66666666666666	1268.3848484848486	1109.8415858651153	5.0	166.44444444444446	125.60833333333333	301.56666666666666	98.375
ERR209694	25.0	408.99999999999994	31.5	34069.85224972484	21.0	11074.925685425686	125.33333333333333	1245.111038961039	958.2333333333333	4.0	152.05555555555554	119.95	267.0333333333333	86.625
ERR209696	24.5	324.66666666666663	24.0	25118.321435207305	11.166666666666666	9375.870562770562	109.5	1035.013059163059	869.9829545454545	6.0	108.33333333333333	101.68571428571428	227.66666666666663	82.0
ERR209697	32.5	430.6666666666667	30.5	34521.87657259073	15.0	12637.698088023088	156.0	1341.3612914862915	1132.7375	8.0	142.72222222222223	129.275	284.2	102.125
ERR209700	9.0	185.99999999999997	12.5	15460.355792685126	8.4	5317.306313131313	91.25	560.1222943722944	505.5208333333333	1.0	72.27777777777777	45.333333333333336	162.36666666666667	52.91666666666667
ERR209701	11.5	223.66666666666666	18.5	18912.31461872321	12.25	6500.0512626262625	111.83333333333333	712.8602813852814	631.4583333333334	1.0	86.66666666666666	73.625	185.5	54.5
ERR209706	25.5	405.3333333333333	22.5	33555.97819660259	11.857142857142858	11255.121500721501	149.33333333333334	1266.8113997113996	1007.4981601731602	7.0	130.77777777777777	120.8	300.44444444444446	99.875
ERR209707	22.0	415.3333333333333	22.5	34054.42762080914	14.833333333333334	11751.662698412698	156.16666666666666	1269.4753607503608	980.5740357681534	8.0	135.5	107.68333333333334	320.16666666666663	99.0
ERR209710	9.666666666666668	187.0	12.0	13690.404714094473	8.0	5394.627741702741	49.0	567.8153318903319	454.5836834733893	3.0	57.833333333333336	50.871428571428574	127.33333333333334	42.5
ERR209711	13.833333333333332	272.33333333333337	15.5	20005.516355938504	12.0	7540.28166000666	96.83333333333333	803.4079725829725	695.8511904761905	3.0	88.16666666666667	68.35714285714286	183.55555555555554	60.5
ERR209716	15.833333333333332	398.99999999999994	22.5	31947.437007938515	17.4	11456.5965007215	122.66666666666667	1229.0617604617605	1050.3023163111397	7.0	127.83333333333331	108.51666666666667	288.1333333333333	94.25
ERR209720	20.5	342.3333333333333	20.0	27716.367519437084	13.2	9437.65284992785	114.0	952.978354978355	809.5030303030303	6.0	106.44444444444444	96.05714285714285	236.8888888888889	82.58333333333333
ERR209722	15.5	516.6666666666667	41.5	42576.637042843366	26.4	13514.49953102453	155.58333333333334	1598.6445887445886	1257.8910714285714	3.0	181.88888888888889	122.66666666666666	274.66666666666663	118.325
ERR209725	1.0	21.666666666666668	1.5	2034.692065098644	0.0	508.42503052503054	8.166666666666666	65.04823232323233	71.83585858585859	0.0	7.833333333333333	8.1	13.75	5.6
ERR209726	17.5	424.0	32.0	33587.572508348414	22.6	11208.591161616161	128.16666666666666	1315.5062049062049	1137.7103174603174	4.0	154.77777777777777	105.33333333333333	256.7	86.0
ERR209731	8.333333333333332	249.66666666666666	15.0	19400.839841650984	10.6	7128.659668109668	91.0	751.024494949495	654.4278873087696	2.0	94.72222222222223	69.925	197.9	58.0
ERR209732	8.833333333333332	291.99999999999994	17.5	21405.79258752943	14.6	8020.995093795093	110.25	841.7318542568543	750.6661387631976	2.0	114.16666666666667	73.66666666666667	249.2	66.625
ERR209740	18.833333333333332	421.6666666666667	31.5	34128.96605023623	22.6	12154.81341991342	179.5	1234.3233405483406	1184.5291962939023	4.0	161.22222222222223	126.71666666666667	329.6333333333333	105.5
ERR209745	15.0	279.66666666666663	17.5	22828.362951179257	13.6	7459.5305916305915	96.66666666666667	879.7727633477633	694.1309523809524	4.0	88.88888888888889	71.7	167.56666666666666	67.5
ERR209746	24.0	396.0	27.5	32055.740132873263	19.6	10544.454256854257	135.0	1239.5071428571428	980.9400793650793	6.0	127.88888888888889	103.30833333333334	250.16666666666669	94.375
ERR209748	16.0	223.33333333333331	12.5	17914.110431356083	9.166666666666666	6579.6917388167385	70.0	631.8450216450217	574.3974897651368	3.0	87.0	54.666666666666664	152.9	52.625
ERR209749	17.166666666666668	307.66666666666663	15.0	24719.163979494402	11.666666666666666	8758.568650793652	97.08333333333333	913.6256493506494	756.8188536953243	3.0	112.94444444444444	73.78333333333333	207.9	71.625
ERR209764	8.5	344.3333333333333	26.0	28241.31259477238	24.5	9285.780158730158	110.66666666666667	1057.7808080808081	951.4974206349207	4.0	133.55555555555554	103.25833333333334	213.33333333333331	74.25
ERR209782	13.0	301.66666666666663	19.5	21645.146717780863	13.4	7523.420418470419	95.33333333333333	820.7409090909091	732.2166666666667	4.0	106.05555555555556	75.45	142.9	53.25
ERR209799	7.5	121.33333333333333	11.0	9444.083800946837	7.75	3079.8477633477632	49.5	360.47911255411253	312.3	1.0	39.77777777777778	35.65	81.76666666666665	27.5
ERR209810	19.0	368.0	24.0	27416.69956929036	14.6	9600.237193362193	122.16666666666666	844.6959956709957	870.6863636363636	5.0	106.38888888888889	98.97142857142858	201.44444444444446	75.875
ERR209811	2.5	71.33333333333333	6.0	5359.257844932845	4.25	1571.438011988012	23.833333333333332	169.71969696969697	162.94242424242424	1.0	18.444444444444443	20.57142857142857	40.55555555555556	18.607142857142858
ERR209812	18.5	319.0	18.0	24620.716683316685	12.8	8779.817676767676	116.5	889.9401875901876	655.000992063492	4.0	95.72222222222223	66.20833333333333	169.63333333333333	67.5
ERR209813	4.0	78.33333333333333	5.5	5874.267650103519	3.25	1859.9988095238095	24.0	168.7247474747475	128.80113636363637	2.0	12.11111111111111	23.233333333333334	39.44444444444444	17.42857142857143
ERR209846	26.0	434.3333333333333	34.0	36814.84836036057	23.0	11713.392965367966	166.0	1398.2911616161616	1091.6309523809523	4.0	151.66666666666669	124.7	278.55555555555554	101.875
ERR209854	19.0	375.3333333333333	22.0	30802.577449123834	18.2	9946.071464646464	136.0	1145.2248917748918	1010.6065476190477	5.0	122.11111111111111	99.55	264.2666666666667	90.25
ERR209891	9.0	260.0	18.5	20830.712724562418	16.5	6428.67380952381	72.5	663.6660894660895	608.1028138528138	2.0	81.94444444444444	83.35714285714286	140.22222222222223	60.75
ERR209936	0.0	2.5	0.0	235.9344827586207	0.0	30.0	0.0	2.0	1.0	0.0	0.0	1.0	3.0	0.0
ERR209953	2.0	11.0	1.0	328.4337298215803	0.0	151.0	2.0	10.25	10.0	0.0	0.0	1.0	3.0	0.0
ERR210091	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR210092	0.0	0.0	0.0	13.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR210098	0.0	0.0	0.0	17.0	0.0	13.0	1.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0
ERR210202	0.0	0.0	0.0	64.0	0.0	20.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR210220	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ERR210255	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR210263	1.0	0.0	0.0	16.0	0.0	14.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR210283	0.0	0.0	0.0	21.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR210366	0.0	1.6666666666666667	0.0	162.86666666666667	0.0	64.5	1.0	7.0	5.666666666666667	1.0	0.0	0.0	0.0	0.0
ERR210367	0.0	2.0	0.0	291.2535409035409	0.0	105.33333333333333	2.0	6.0	4.0	0.0	0.0	1.0	1.0	3.0
ERR210422	0.0	0.0	0.0	16.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR210495	0.0	2.0	0.0	52.05714285714286	0.0	15.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
ERR210519	0.0	1.0	0.0	73.0	0.0	16.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
ERR210523	0.0	1.0	0.0	111.75	0.0	25.0	1.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0
ERR210526	0.0	0.0	0.0	54.0	0.0	9.0	0.0	2.5	4.0	0.0	0.0	0.0	1.0	0.0
ERR210531	2.0	6.0	0.0	399.3777777777778	0.0	147.16666666666666	3.5	7.0	16.75	0.0	1.0	1.0	8.666666666666666	5.0
ERR210536	0.0	1.3333333333333333	0.0	100.14285714285714	0.0	40.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	3.0
ERR210545	0.0	0.0	0.0	18.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR210549	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR210558	1.0	0.0	0.0	68.5	0.0	45.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0
ERR210559	0.0	0.0	0.0	27.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR210563	0.0	0.0	0.0	33.0	0.0	10.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0
ERR210568	0.0	0.0	0.0	66.5	1.0	33.0	1.0	2.0	7.0	0.0	0.0	0.0	1.0	1.0
ERR210569	0.0	0.0	0.0	36.0	0.0	15.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
ERR210578	0.0	0.0	0.0	38.21739130434783	0.0	15.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0
ERR210591	1.0	13.333333333333332	0.0	1314.4210975646406	1.75	534.629761904762	7.25	53.95	43.063131313131315	0.0	12.88888888888889	4.934523809523809	20.61904761904762	6.238095238095238
ERR210592	1.0	3.0	0.0	189.86111111111111	0.0	81.5	0.0	5.0	14.0	0.0	2.0	0.0	8.0	0.0
ERR210594	2.0	2.333333333333333	0.0	239.91190476190476	0.0	67.83333333333333	0.0	8.083333333333332	9.0	0.0	2.0	0.0	3.0	0.0
ERR210598	0.0	0.0	0.0	43.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR210601	1.0	0.0	0.0	91.83333333333333	1.0	20.0	1.0	1.0	3.0	0.0	0.0	0.0	2.0	1.0
ERR210695	0.0	0.0	0.0	29.0	0.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5935740	15.0	233.66666666666669	15.0	19607.283130999436	12.8	6053.806818181818	71.83333333333333	745.1006493506493	568.4141774891775	4.0	62.16666666666666	67.95714285714286	162.33333333333331	61.875
SRR5935743	1.0	3.0	0.0	60.0	0.0	19.0	1.0	5.0	7.0	0.0	0.0	0.0	3.0	1.0
SRR5935745	13.0	206.66666666666666	13.5	16191.8805053642	9.0	5630.090187590187	61.66666666666667	683.1783189033189	418.1693181818182	3.0	53.11111111111112	70.45	133.33333333333334	50.625
SRR5935749	17.5	207.0	12.0	16725.419359051637	5.8	6210.510317460317	142.66666666666666	590.4200216450216	379.3848484848485	5.0	58.22222222222222	56.89285714285714	155.0	52.0
SRR5935752	2.0	38.666666666666664	2.0	3877.3908379889804	2.25	1425.0585747585747	28.25	160.11338383838384	104.12307692307692	1.0	19.055555555555557	12.833333333333332	59.666666666666664	14.0
SRR5935760	9.5	125.0	5.5	10226.171214896214	3.6	3585.854365079365	89.16666666666667	376.28679653679654	246.7595238095238	4.0	29.5	40.3	98.33333333333334	34.75
SRR5935764	5.5	165.33333333333331	10.0	12298.739072039072	11.5	4271.872474747474	58.83333333333333	462.0892857142857	373.6780303030303	1.0	48.166666666666664	49.2	113.1111111111111	38.25
SRR5935765	17.5	223.33333333333334	11.5	17088.32853033043	7.0	6646.051911976912	59.166666666666664	606.6128066378067	567.1084415584415	4.0	66.66666666666666	64.84285714285714	131.33333333333334	48.833333333333336
SRR5935767	2.0	45.66666666666667	2.5	3567.9519425019425	4.0	1105.2199328449328	17.0	109.04718614718615	105.82619047619048	2.0	12.444444444444445	17.69047619047619	21.0	10.107142857142858
SRR5935768	3.5	273.6666666666667	13.0	22048.042282090115	17.0	7587.312914862915	132.5	847.6808802308802	657.3035121741004	2.0	101.5	65.09166666666667	242.4	81.25
SRR5935769	6.833333333333333	226.0	13.5	18687.64667441262	12.8	6780.445743145743	118.25	747.8547619047619	570.0879120879121	3.0	82.61111111111111	61.391666666666666	253.13333333333333	65.0
SRR5935770	6.0	166.66666666666669	9.0	12119.618162393162	0.0	4066.632387057387	47.666666666666664	428.36338383838387	363.90909090909093	1.0	48.44444444444444	41.75714285714286	100.11111111111111	38.25
SRR5935771	13.0	204.0	13.0	17135.619762025166	9.6	5717.027777777777	115.75	555.6284992784992	457.5375	5.0	63.833333333333336	50.858333333333334	141.2	48.75
SRR5935772	17.0	254.33333333333331	14.5	19220.384193379898	9.6	6985.353318903319	86.66666666666666	784.7330447330447	527.9041666666667	6.0	61.833333333333336	65.41666666666667	165.9666666666667	59.625
SRR5935773	13.5	197.33333333333331	9.5	15506.224481074481	6.6	5661.103102453102	71.0	551.6542929292929	410.5867424242424	6.0	50.333333333333336	51.32857142857143	146.33333333333334	50.625
SRR5935774	3.5	165.33333333333334	12.5	14590.431617853717	12.0	4379.294696969697	64.5	469.48932178932176	497.7238095238095	3.0	67.66666666666666	47.233333333333334	102.2	39.875
SRR5935777	4.0	110.33333333333333	8.5	9806.984082584082	0.0	2890.9313492063493	35.5	335.0085137085137	288.27916666666664	1.0	42.22222222222222	37.5	59.46666666666667	26.25
SRR5935778	15.5	253.66666666666669	12.0	19732.682173382174	13.5	6993.997691197691	99.16666666666666	752.6253607503608	586.9117424242424	5.0	71.61111111111111	85.1	157.66666666666666	59.375
SRR5935780	7.666666666666666	104.66666666666666	5.0	9274.380694305693	4.6	3183.021031746032	32.166666666666664	291.9623376623377	228.9735294117647	3.0	26.333333333333332	39.8	66.66666666666666	28.25
SRR5935781	6.0	66.33333333333334	4.0	4751.328003663004	4.5	1580.0373015873015	22.0	154.13611111111112	122.57922077922078	2.0	10.722222222222221	20.4	36.375	15.333333333333332
SRR5935784	14.0	202.0	10.5	16796.40231048774	7.6	6008.996825396825	77.0	624.1620851370851	456.1666666666667	7.0	56.5	46.625	122.56666666666666	49.625
