"","ERR209376","ERR209378","ERR209953","ERR209336","ERR209085","ERR209164","ERR209088","ERR209298","ERR209375","ERR209310","ERR209096","ERR210202","ERR209487","ERR209118","ERR209160","ERR209266","ERR209379","ERR209415","ERR209371","ERR210263","ERR209448","ERR209354","ERR209380","ERR209296","ERR209300","ERR209373","ERR209299","ERR209286","ERR209287","ERR209223","ERR209312"
"1.1.1.267",4,2,1,5,13,12,29,4,7,22,6,1,3,21,15,0,5,14,20,1,8,6,5,15,10,1,5,13,6,18,0
"1.1.1.271",4,0,5,3,5,2,8,1,4,12,11,0,2,15,8,2,4,5,5,1,8,7,3,13,3,0,1,4,1,7,0
"1.1.1.274",5,0,0,1,4,2,12,2,2,7,3,0,1,11,3,2,0,6,3,0,3,1,0,7,1,0,2,3,2,2,1
"1.1.1.276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.290",2,1,2,0,2,2,3,1,3,4,1,0,1,3,3,2,1,2,6,0,1,3,1,4,1,0,1,5,4,0,0
"1.1.1.313",1,0,0,1,1,2,3,0,2,2,0,0,0,6,4,2,0,4,3,0,0,4,0,1,1,0,0,2,1,2,0
"1.1.1.317",0,0,0,1,4,1,3,1,0,2,0,0,0,9,2,1,0,5,4,0,2,4,0,4,1,0,1,4,0,1,0
"1.1.1.395",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1
"1.1.98.6",2,0,0,0,6,4,11,3,5,15,3,0,0,10,3,4,0,2,13,0,2,0,0,16,5,0,2,3,2,16,1
"1.2.1.3",0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"1.2.1.11",5,4,4,3,21,4,39,6,11,25,8,0,5,37,11,6,5,12,33,0,8,8,5,20,7,4,3,19,7,9,3
"1.2.1.12",5,5,5,2,24,11,40,7,8,35,20,1,8,44,13,3,12,11,35,1,11,6,13,27,11,2,7,35,8,11,5
"1.2.1.22",1,1,2,0,0,0,1,2,0,0,0,1,1,1,0,2,0,4,2,0,0,0,1,0,0,1,0,4,1,0,0
"1.2.1.38",3,0,0,2,4,8,13,6,4,15,6,0,1,11,4,2,0,7,7,0,5,1,1,15,4,0,1,3,0,12,0
"1.2.1.41",9,2,3,3,14,11,22,4,9,26,11,1,2,25,6,1,1,13,20,0,9,7,2,24,11,1,7,17,5,19,2
"1.2.1.88",1,0,2,0,3,1,5,0,3,6,1,2,0,11,2,0,0,8,10,0,2,1,0,5,0,0,0,1,2,0,0
"1.2.5.3",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.2.7.1",21,34,9,10,77,36,139,18,26,93,40,5,27,105,54,8,25,57,92,1,36,25,31,67,34,5,19,57,24,42,10
"1.2.7.4",0,0,0,0,1,0,5,0,0,5,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0
"1.2.7.10",2,1,0,0,1,0,3,1,2,1,1,0,1,0,1,0,2,0,2,0,1,0,1,1,0,0,1,0,0,1,1
"1.2.7.11",0,0,0,0,2,1,3,0,1,1,0,0,1,4,0,1,0,1,2,0,2,0,0,0,0,0,0,2,2,0,0
"1.2.99.7",0,0,0,0,0,1,7,0,0,4,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0
"1.3.1.2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.3.1.9",9,4,5,5,12,11,20,4,10,23,13,2,8,38,15,9,2,21,25,0,10,14,3,31,10,1,6,17,2,10,0
"1.3.1.12",0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,2,2,0,0,1,0,2,0,0,0,0,1,1,0
"1.3.1.14",6,3,2,3,13,8,25,2,8,22,9,0,6,17,9,1,1,15,24,0,9,3,0,22,8,0,3,15,3,14,2
"1.3.1.42",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.3.1.56",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1.3.1.74",2,0,4,3,4,5,3,2,3,4,2,2,3,10,4,2,0,8,11,1,4,7,0,8,1,0,0,5,5,1,0
"1.3.1.98",3,3,1,3,13,3,21,0,8,21,4,2,2,19,9,2,6,15,20,1,8,3,4,23,6,2,1,6,2,10,0
"1.3.1.100",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"1.3.1.108",2,2,0,0,3,2,10,0,1,6,3,0,1,9,4,1,1,2,6,0,2,1,2,5,1,0,0,3,2,2,0
"1.3.5.1",0,0,0,0,0,1,0,0,0,0,3,0,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0
"1.3.5.2",0,2,0,0,5,0,5,0,0,1,0,0,0,5,1,1,0,1,1,0,1,1,3,1,0,0,0,4,2,0,0
"1.3.7.9",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,1,0,1,0
"1.3.8.1",0,0,1,0,5,8,12,2,0,9,1,0,2,10,4,0,2,5,5,0,5,1,3,5,0,0,1,7,1,6,0
"1.3.8.7",0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,0
"1.3.99.3",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"1.4.1.1",2,0,5,1,4,5,7,1,4,8,3,2,1,15,3,2,0,10,13,0,2,6,1,11,3,0,2,11,3,3,0
"1.4.1.4",5,5,4,2,9,7,21,1,6,16,3,0,1,17,13,2,4,5,24,0,5,5,4,8,2,2,3,22,2,4,0
"1.4.1.13",3,0,0,2,6,4,6,2,1,10,6,0,1,11,4,1,0,3,7,0,3,3,1,8,4,0,0,5,3,7,0
"1.4.1.16",5,0,5,3,6,8,18,2,9,14,11,1,3,18,9,6,0,11,18,1,13,4,0,17,6,3,5,7,4,8,1
"1.4.3.5",0,0,0,0,2,1,2,0,1,2,0,0,0,2,0,2,0,2,2,0,0,2,0,3,1,0,0,2,2,0,0
"1.4.3.16",5,1,2,2,4,7,10,2,4,13,7,0,4,17,8,4,2,16,22,0,7,8,0,12,3,0,2,4,2,6,0
"1.4.4.2",3,3,1,1,21,12,34,1,10,18,6,1,3,42,13,3,3,28,22,1,8,9,2,9,3,0,3,18,6,5,0
"1.4.7.1",3,0,0,2,8,5,13,2,9,15,4,0,3,10,4,0,2,7,16,0,7,7,1,9,6,2,2,4,0,11,0
"1.5.1.2",2,0,0,0,4,5,6,2,3,6,3,0,1,6,3,0,1,7,10,0,2,0,0,8,2,0,2,3,1,9,0
"1.5.1.3",0,0,0,0,1,0,6,2,1,3,2,0,1,5,4,1,0,2,8,0,1,2,1,3,1,0,2,2,0,1,0
"1.5.1.5",4,2,0,1,7,2,13,1,4,7,3,0,2,10,6,1,2,3,6,0,1,4,3,10,3,2,2,3,1,4,1
"1.5.1.7",7,1,5,3,10,12,13,8,12,25,11,1,6,20,10,6,1,26,29,0,10,6,4,23,13,0,2,12,4,10,0
"1.5.1.20",1,0,0,0,2,1,3,0,0,4,2,0,1,2,4,2,0,2,1,0,1,3,0,8,1,0,0,1,1,3,1
"1.6.5.11",10,4,5,4,13,18,29,2,9,14,17,4,6,31,12,10,9,25,26,0,14,9,4,15,11,1,2,16,5,8,0
"1.7.1.7",0,0,0,0,1,1,3,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"1.7.1.13",2,2,4,2,7,6,11,2,3,11,5,1,2,15,7,3,4,7,10,0,4,5,1,10,3,2,2,6,3,8,0
"1.7.99.1",9,0,5,2,13,13,29,3,10,27,20,3,3,29,7,1,0,18,35,1,11,11,2,27,6,1,3,19,4,12,0
"1.8.1.4",3,2,2,1,10,2,11,2,5,6,3,1,1,11,8,4,2,7,10,0,1,2,2,3,1,1,1,6,6,0,0
"1.8.1.8",0,1,0,0,0,1,1,0,0,0,4,0,0,6,0,4,1,1,1,0,1,1,1,1,0,0,0,3,4,0,0
"1.8.1.9",7,7,2,1,19,15,43,5,11,39,8,1,7,47,16,5,10,16,38,0,12,9,10,27,2,1,2,22,11,15,7
"1.8.1.14",5,3,3,3,10,11,15,3,6,20,5,1,2,17,7,7,4,13,20,0,3,6,2,15,4,1,2,14,4,8,3
"1.8.4.8",1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
"1.8.4.11",1,1,1,0,1,4,7,3,2,6,3,1,1,8,2,0,2,6,10,0,2,4,2,4,2,1,0,4,3,1,0
"1.8.4.12",1,0,0,0,1,0,2,0,1,2,0,0,0,1,3,1,0,2,0,0,0,1,0,2,0,0,0,2,0,0,0
"1.8.4.14",1,1,1,1,2,1,3,0,3,5,3,1,0,6,0,0,1,5,6,0,3,2,0,4,1,0,0,2,0,0,0
"1.8.5.1",0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0
"1.8.99.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.11.1.6",0,0,0,3,4,1,10,0,3,2,1,0,0,13,4,3,0,9,11,0,0,3,1,9,1,0,0,9,6,0,0
"1.11.1.15",9,3,9,4,13,9,25,6,13,19,9,2,2,38,18,19,4,22,36,0,10,13,6,20,8,4,5,17,12,4,3
"1.11.1.19",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,1,0,2,0,0,0,2,0,0,0
"1.12.1.3",0,2,0,0,2,1,2,2,1,7,0,1,1,4,3,1,1,2,0,0,1,1,3,3,1,0,1,3,2,0,2
"1.12.7.2",1,7,0,0,14,6,23,1,1,20,4,0,3,28,16,0,6,14,12,0,4,2,8,17,3,0,1,17,6,5,3
"1.13.12.4",0,1,0,0,1,4,10,0,0,6,2,0,2,3,2,0,0,0,7,1,3,0,1,6,2,0,1,4,0,3,3
"1.15.1.1",2,2,2,1,3,4,7,3,4,12,8,0,0,19,11,6,1,3,10,0,5,4,1,13,6,0,2,8,8,2,0
"1.15.1.2",0,0,0,0,2,3,5,0,1,2,2,0,0,0,1,2,1,0,1,0,1,0,1,2,0,0,0,2,1,2,0
"1.16.3.2",1,2,0,0,3,2,4,0,0,2,2,0,0,7,4,1,2,6,4,0,2,2,1,4,1,0,1,8,1,1,0
"1.17.1.8",1,3,0,0,7,0,13,0,2,8,6,0,3,10,4,1,2,1,9,0,3,3,2,6,1,0,2,3,2,7,1
"1.17.1.9",0,1,0,0,5,1,7,0,0,5,8,0,0,11,4,1,2,2,1,0,0,3,0,3,1,1,0,6,2,2,0
"1.17.4.1",1,1,1,0,4,2,4,2,4,3,6,0,2,10,6,7,3,0,8,0,3,1,3,1,2,0,1,7,11,3,0
"1.17.4.2",0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
"1.17.7.1",0,2,0,0,19,3,21,5,2,18,3,0,1,15,1,0,5,8,13,0,3,4,3,12,1,0,1,5,3,9,3
"1.17.7.3",0,0,0,0,1,1,1,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"1.17.7.4",1,1,0,0,2,2,3,0,0,5,2,0,1,7,4,0,1,2,5,0,1,2,1,3,3,0,0,3,2,5,1
"1.18.1.1",4,2,0,0,5,2,13,3,3,12,5,0,3,10,8,2,3,3,11,0,1,0,1,7,3,1,1,9,5,8,2
"1.18.1.2",6,9,4,4,19,11,42,7,17,29,14,0,3,46,18,4,8,30,34,0,10,9,5,31,8,1,6,26,5,29,2
"1.18.6.1",0,0,0,0,1,0,3,0,0,1,0,1,0,1,0,0,0,1,4,0,0,0,0,1,0,0,0,1,1,1,1
"1.20.4.4",1,0,1,1,1,0,1,2,0,3,1,0,0,7,3,1,1,2,4,0,1,1,0,5,1,0,2,5,0,0,0
"1.97.1.4",2,0,0,0,2,4,6,1,3,3,2,0,4,3,2,1,1,4,13,1,4,4,0,10,5,0,1,3,2,5,1
"2.1.1.13",9,1,8,6,21,17,26,2,10,22,22,3,4,44,19,6,1,36,51,0,11,13,2,30,7,4,3,21,8,18,2
"2.1.1.14",3,0,0,0,2,7,4,3,2,6,5,0,1,12,2,0,0,9,15,0,7,1,0,13,5,0,2,0,2,7,1
"2.1.1.31",1,2,0,0,1,1,9,0,0,7,1,0,0,7,2,1,2,3,2,0,1,0,1,9,1,1,1,6,1,1,0
"2.1.1.33",5,5,0,0,7,6,11,2,2,14,6,1,2,10,5,1,3,5,21,0,5,0,3,19,5,2,2,4,3,6,2
"2.1.1.35",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"2.1.1.37",6,5,0,2,10,9,12,0,6,16,9,0,1,18,4,2,3,9,19,0,4,4,2,9,3,0,2,13,6,4,5
"2.1.1.45",3,3,3,2,6,2,10,3,2,8,3,0,3,7,2,0,0,3,8,0,1,1,3,10,1,2,2,11,2,4,0
"2.1.1.61",1,3,0,0,2,1,9,1,0,2,3,0,0,9,3,2,1,4,8,0,2,0,1,8,3,1,1,1,3,1,2
"2.1.1.63",0,3,0,0,4,3,9,0,1,4,2,0,3,11,7,1,3,5,5,0,4,3,3,7,0,0,0,7,3,3,0
"2.1.1.64",7,4,3,1,11,13,37,7,9,35,11,0,3,32,12,5,8,17,30,0,9,11,9,38,14,1,7,20,4,12,4
"2.1.1.72",7,6,6,3,14,7,25,9,6,24,8,2,5,23,11,6,2,11,20,0,5,8,3,16,12,0,11,12,8,10,2
"2.1.1.74",3,4,1,0,12,3,16,0,1,14,0,0,0,12,6,0,7,7,12,0,4,2,4,8,2,1,1,13,2,5,7
"2.1.1.80",0,0,0,1,4,3,4,1,1,5,5,0,1,4,0,1,0,1,5,0,2,0,0,2,1,0,1,0,1,3,0
"2.1.1.107",1,0,0,0,1,3,3,0,2,6,5,0,1,6,1,1,0,3,3,0,2,0,0,6,3,0,1,2,2,4,0
"2.1.1.170",5,2,0,0,5,4,13,2,3,14,4,0,0,6,2,0,1,8,14,0,0,3,1,13,4,2,1,6,1,4,0
"2.1.1.173",0,0,0,0,1,1,1,0,0,1,2,0,0,4,0,3,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0
"2.1.1.177",2,1,0,1,6,2,12,2,2,12,2,0,0,4,3,0,1,4,6,0,1,4,2,11,3,1,2,3,1,3,0
"2.1.1.178",0,0,0,0,3,1,3,0,1,10,2,0,0,5,4,0,0,1,5,0,0,0,0,2,1,0,0,3,0,6,0
"2.1.1.182",8,10,4,0,18,11,40,7,10,45,11,2,3,26,10,3,11,21,31,2,12,10,6,42,14,3,5,12,3,21,4
"2.1.1.190",0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0
"2.1.1.192",7,8,0,2,9,6,26,3,5,17,9,0,1,14,6,3,3,9,17,0,8,6,7,15,5,0,5,11,3,4,3
"2.1.1.198",4,2,1,2,15,8,19,3,7,19,7,0,4,24,8,3,4,12,22,1,2,4,3,19,2,2,1,12,3,6,1
"2.1.1.199",5,9,0,2,18,12,23,5,9,23,5,0,4,20,11,2,8,15,24,0,11,6,9,19,11,2,6,14,6,15,3
"2.1.1.207",3,7,0,1,7,3,21,3,3,14,5,0,3,17,9,0,3,5,16,0,4,1,6,16,6,1,2,9,3,7,2
"2.1.1.217",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2.1.1.228",1,0,0,0,3,0,1,1,0,0,0,0,0,1,2,0,1,0,0,0,1,0,1,0,2,0,1,1,0,0,0
"2.1.1.258",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0
"2.1.1.271",1,0,1,0,3,5,6,2,2,7,3,0,0,7,2,0,0,6,5,0,0,2,0,6,1,0,2,4,1,1,0
"2.1.1.297",7,7,1,2,18,7,36,4,8,19,6,0,3,30,16,5,6,15,22,0,10,7,4,19,4,1,3,12,2,12,1
"2.1.2.1",8,9,4,3,28,10,61,5,13,32,17,1,1,50,14,8,11,17,37,0,17,16,11,34,13,1,5,29,12,22,2
"2.1.2.2",2,2,0,0,1,3,8,0,1,6,3,0,1,5,3,0,1,3,6,0,2,2,2,5,1,0,0,3,0,2,1
"2.1.2.5",2,1,1,0,2,1,5,0,3,4,2,0,0,4,3,1,2,3,6,0,1,4,0,1,1,0,0,4,0,0,0
"2.1.2.9",3,3,1,0,11,5,22,4,5,10,3,0,4,14,5,0,6,10,11,0,6,3,4,19,2,1,5,14,0,8,4
"2.1.2.10",4,1,2,2,9,2,11,4,5,13,6,1,2,12,7,5,0,4,8,0,2,7,1,5,4,3,1,7,3,4,0
"2.1.2.11",4,0,1,1,3,4,8,1,4,10,5,1,1,14,6,3,1,10,13,0,3,5,1,10,2,0,0,6,1,8,0
"2.1.3.1",0,1,0,1,0,1,3,0,0,4,2,0,0,3,1,1,0,3,1,0,1,1,0,2,1,0,0,2,0,2,0
"2.1.3.2",7,2,2,3,17,15,26,9,7,36,11,0,5,37,9,2,3,20,28,0,11,8,2,31,9,3,4,15,6,20,3
"2.1.3.3",5,7,0,3,18,10,35,5,4,31,11,0,6,24,5,3,9,11,27,0,12,4,5,18,11,0,3,13,4,12,1
"2.1.3.9",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2.2.1.1",11,7,1,2,16,11,34,4,13,29,9,2,1,22,7,5,6,13,23,0,8,6,6,20,6,0,2,15,4,12,2
"2.2.1.2",8,1,2,0,8,10,11,0,9,15,7,0,2,14,3,5,4,11,23,1,9,7,2,14,3,2,2,16,7,5,0
"2.2.1.6",7,2,4,3,18,10,27,3,10,28,12,0,2,32,13,3,4,19,31,1,14,9,2,30,13,0,5,21,5,20,1
"2.2.1.7",10,4,2,6,24,12,42,2,17,41,12,0,4,39,21,5,5,18,40,0,22,8,3,39,12,1,3,20,5,26,2
"2.2.1.9",0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"2.3.1.1",0,0,0,0,1,1,7,1,0,4,4,0,1,3,1,2,0,1,4,0,1,1,1,7,3,0,0,1,3,1,0
"2.3.1.8",4,5,1,2,11,8,15,4,5,17,14,0,5,17,4,0,1,2,22,0,6,1,3,20,4,1,1,12,3,11,1
"2.3.1.9",0,0,1,1,8,7,7,3,2,14,4,0,3,10,1,1,1,2,8,0,3,1,0,5,5,0,1,5,2,3,0
"2.3.1.18",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2,2,0,0,0,0,0,1,0,0,0,1,3,0
"2.3.1.28",1,2,1,2,3,2,3,0,2,5,2,0,2,9,2,0,3,9,12,0,2,3,1,5,3,0,0,4,0,0,0
"2.3.1.29",5,4,4,0,14,2,16,1,2,7,4,0,1,11,7,5,1,8,10,0,3,3,5,7,2,0,0,11,2,3,0
"2.3.1.30",0,0,0,0,5,1,8,0,0,1,0,0,1,4,3,0,0,2,4,0,1,1,0,4,0,0,1,4,1,1,0
"2.3.1.35",1,0,0,0,1,0,2,0,0,2,2,0,1,2,1,0,1,1,2,0,2,0,0,3,0,0,1,0,0,0,0
"2.3.1.39",2,3,2,3,6,5,7,5,6,8,6,0,2,14,6,5,1,5,13,0,6,2,3,12,3,0,3,5,2,9,0
"2.3.1.41",5,0,1,0,4,2,6,1,2,2,3,0,1,2,1,1,1,1,6,0,3,2,1,5,5,1,1,7,2,0,1
"2.3.1.47",0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0
"2.3.1.50",3,1,5,1,7,10,15,2,3,10,5,1,2,18,6,6,2,5,7,0,5,3,2,4,3,1,1,12,6,6,0
"2.3.1.54",17,6,7,7,33,20,62,19,17,50,24,2,9,58,18,9,7,21,49,1,23,17,5,51,30,3,12,27,14,29,14
"2.3.1.79",2,1,0,1,3,6,7,3,5,6,3,0,1,11,6,3,1,12,10,0,4,5,0,14,1,0,1,10,3,4,0
"2.3.1.89",0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0
"2.3.1.117",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"2.3.1.129",4,1,3,2,7,5,10,2,4,9,8,1,3,19,4,6,0,8,12,0,6,4,0,6,5,1,2,5,2,7,0
"2.3.1.179",1,1,0,0,4,1,3,0,1,2,1,1,0,3,2,1,0,1,5,0,1,2,0,2,0,0,0,0,0,0,0
"2.3.1.180",3,1,0,1,2,1,5,1,3,2,1,1,1,6,1,0,0,3,11,0,2,0,0,2,1,0,1,1,0,1,1
"2.3.1.181",0,0,0,0,1,0,2,0,3,1,0,1,0,7,4,0,0,6,4,0,1,3,0,3,0,0,0,0,0,0,0
"2.3.1.191",0,1,0,0,2,0,1,0,0,0,1,0,0,1,1,0,0,2,1,0,1,1,1,1,1,0,0,1,1,0,0
"2.3.1.222",0,3,0,0,1,0,6,0,0,2,2,0,0,1,1,0,2,1,1,0,0,1,4,2,1,0,0,4,0,1,0
"2.3.1.234",6,6,2,1,14,7,29,5,9,18,14,0,2,27,6,1,4,16,25,0,9,1,5,25,3,0,6,13,4,10,4
