"","ERR209782","SRR5983300","SRR5936030","SRR5946907","SRR5946749","SRR5946674","SRR5946714","SRR5946754","SRR5946733","SRR5983268","SRR5946862","SRR5946927","SRR5946968","SRR5947102","SRR5946702","SRR5983270","SRR5946630","SRR5936219","SRR5946963","SRR5983437","SRR5983299","SRR5983400","SRR5935865","SRR5935996","SRR5946962","SRR5946881","SRR5936167","SRR5983391","ERR210422","SRR5935777","SRR5936111","SRR5947080","SRR5935789","SRR5983326","SRR5935898","SRR5983406","SRR5946894","SRR5946716","SRR5983393","SRR5935923","SRR5946685","SRR5947834","SRR5946943","SRR5935904","SRR5935875","SRR5935931","SRR5946627","SRR5983327","SRR5947869","SRR5983446","SRR5936190","SRR5946657","SRR5983284","SRR5935767","SRR5983355","SRR5983291","SRR5936199","ERR209799","SRR5935792","SRR5946892","SRR5983403","SRR5946675","SRR5946799","SRR5947056","SRR5947846","SRR5946873","ERR209764","SRR5947025","SRR5983275","SRR5946961","SRR5983294","SRR5936092","SRR5983297","SRR5947843","SRR5983282","SRR5983264"
"1.1.1.28",8,11,4,2,1,1,2,2,6,13,4,4,5,4,1,8,9,0,2,16,15,7,12,7,10,5,6,4,0,4,5,1,3,7,3,2,5,7,8,2,3,3,6,6,4,12,2,15,10,3,0,2,8,2,3,3,14,9,7,10,16,7,0,0,6,4,11,4,1,4,1,8,5,7,8,3
"1.1.1.31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.37",6,0,2,1,1,1,1,0,2,5,1,3,2,0,0,8,1,0,1,4,7,2,2,0,4,0,2,1,0,1,0,0,0,3,1,0,3,1,4,5,1,3,3,3,2,2,0,4,2,0,0,1,2,1,2,0,0,2,0,0,8,1,1,0,3,3,3,0,0,1,3,0,2,1,4,1
"1.1.1.38",12,13,6,6,4,6,8,2,5,17,6,9,12,6,1,10,15,3,2,15,11,13,8,7,14,5,11,10,0,4,7,2,5,9,3,2,6,7,3,9,8,15,3,5,4,16,1,16,20,8,1,7,9,3,2,8,14,8,10,10,20,10,2,0,10,3,12,9,1,13,3,12,6,1,13,2
"1.1.1.41",1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
"1.1.1.42",19,23,9,3,8,8,12,9,13,29,9,8,10,6,2,10,18,2,4,17,18,13,17,11,9,12,8,19,0,7,7,2,2,15,8,4,9,11,13,8,8,15,11,8,8,8,10,15,14,13,2,7,8,7,5,9,23,8,17,18,35,13,1,0,12,9,30,14,5,22,10,13,13,3,16,7
"1.1.1.44",7,8,6,3,5,4,9,3,5,8,10,5,1,5,2,12,7,2,0,9,11,12,9,3,8,8,5,7,1,2,5,0,3,5,1,1,7,6,6,1,5,4,3,4,5,11,3,30,4,3,0,6,6,5,9,3,8,4,6,7,14,5,2,0,10,7,3,4,0,5,4,12,7,1,10,3
"1.1.1.49",1,1,0,0,2,1,0,1,1,1,0,2,0,0,0,4,4,0,0,2,4,4,0,0,2,0,1,1,0,0,0,0,1,0,1,0,1,0,2,1,0,2,0,2,1,1,0,3,2,0,0,1,1,1,0,0,2,0,0,1,2,3,0,0,1,1,2,1,2,0,0,3,1,0,2,1
"1.1.1.67",0,1,0,0,0,0,0,1,0,3,0,0,0,1,1,2,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,2,0,0,4,1,1,0,1,0,0,0,0,3,0,0,1,1,0,2,1,0,0,3,0,1,0,0,0,0,0,0,2,2,1
"1.1.1.77",6,3,1,2,1,3,4,1,2,8,1,4,1,2,2,1,5,0,1,3,3,3,2,3,5,3,1,2,0,2,3,1,3,4,4,1,1,1,3,6,3,3,3,0,3,3,1,8,7,4,0,2,3,4,1,3,5,1,6,3,5,7,0,0,8,3,12,6,0,5,3,3,4,2,4,0
"1.1.1.85",8,9,4,0,3,4,7,3,7,12,7,6,7,4,2,7,9,1,1,18,15,7,7,5,9,9,6,8,1,4,6,2,3,7,7,0,4,4,6,8,3,7,4,4,6,6,5,14,10,3,4,3,7,2,5,7,11,14,8,8,14,9,0,0,10,10,12,7,4,11,5,12,8,5,11,6
"1.1.1.86",4,5,1,0,1,1,2,1,4,9,5,1,4,1,0,4,5,2,1,7,4,2,8,2,5,6,2,5,0,5,3,1,1,6,2,2,5,0,2,3,3,5,2,0,0,8,3,9,5,3,1,1,5,0,3,1,8,6,2,5,9,5,0,0,5,3,8,8,0,6,2,3,3,1,8,1
"1.1.1.87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.95",9,7,4,2,4,4,10,3,3,17,8,4,7,7,1,6,8,2,2,9,9,10,9,3,9,1,1,3,0,2,7,0,1,10,4,1,4,1,6,8,1,12,4,3,9,8,2,10,8,6,2,3,5,5,4,6,8,5,4,6,21,6,0,0,8,8,10,6,5,6,1,6,3,3,5,5
"1.1.1.100",22,6,3,3,2,6,6,7,10,16,8,6,9,1,0,5,16,0,2,18,13,6,6,5,9,8,9,7,0,6,6,0,3,7,5,0,3,5,6,12,4,5,11,5,6,15,1,11,10,15,0,5,4,1,2,6,18,8,10,10,23,10,0,0,14,7,11,9,2,12,8,12,5,4,5,2
"1.1.1.103",7,2,1,1,5,2,3,2,3,7,5,1,2,1,0,9,7,0,1,7,10,7,4,1,6,4,1,3,0,1,2,1,1,5,1,0,3,1,6,2,2,6,2,4,4,5,0,16,6,2,0,2,4,4,4,5,5,2,0,4,12,5,2,0,3,2,6,6,3,5,2,2,3,1,6,1
"1.1.1.107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.117",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1.1.1.125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"1.1.1.132",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1
"1.1.1.133",7,6,5,7,3,3,5,5,5,12,2,3,7,6,1,8,6,2,2,15,8,8,7,7,7,8,7,9,0,1,4,3,6,6,1,3,5,6,6,5,4,5,10,6,7,7,4,14,14,6,1,9,11,1,4,6,19,11,12,8,16,12,0,0,5,10,19,5,2,6,3,17,6,4,17,3
"1.1.1.157",1,2,1,2,0,2,3,0,1,10,3,0,4,1,0,2,2,1,0,2,3,3,1,1,0,1,2,1,0,0,0,2,0,2,1,0,0,1,2,1,0,1,1,0,1,1,0,2,2,1,0,1,1,1,0,1,1,1,2,2,6,3,1,0,8,1,1,2,0,1,3,3,2,0,3,0
"1.1.1.188",2,0,2,3,1,0,0,0,0,4,2,1,0,1,0,0,1,0,0,1,0,1,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,2,0,0,1,0,1,0,2,2,0,0,0,0,0,0,1,2,0,1,1,1,1,1,0,1
"1.1.1.193",0,2,1,0,0,1,0,0,2,1,0,1,1,0,0,0,3,1,0,2,4,1,1,1,0,0,1,1,0,0,3,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,4,0,1,0,0,3,0,0,0,2,0,3,3,0,0,0,1,0,2,1,1,0,0,2,0,0,0,0
"1.1.1.202",4,0,1,1,0,0,1,0,2,3,2,1,1,0,0,0,1,1,0,1,3,0,0,2,0,1,1,1,0,2,0,0,0,1,0,0,0,1,1,3,0,0,1,0,0,0,0,2,3,1,0,2,1,0,0,0,0,0,3,1,1,0,0,0,1,0,2,1,0,1,2,2,0,2,3,0
"1.1.1.205",41,33,14,14,11,9,20,6,15,61,23,16,19,8,9,21,50,4,10,30,38,26,24,9,29,17,17,16,0,9,6,9,6,34,11,9,15,8,14,18,14,20,18,14,30,13,13,37,37,23,3,16,21,11,16,12,21,22,26,28,51,23,3,1,35,15,45,28,11,33,15,29,27,6,25,15
"1.1.1.251",0,1,1,0,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0,1,4,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,1,3,0,3,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,2,0,0
"1.1.1.262",7,4,1,0,2,3,5,1,2,12,5,4,1,1,3,6,2,0,2,7,12,3,3,3,4,4,4,3,0,0,2,0,1,8,1,2,2,0,1,2,3,7,1,1,2,5,1,7,7,2,1,1,3,3,4,3,4,4,3,1,8,6,1,0,2,3,6,4,1,3,1,1,6,3,6,3
"1.1.1.267",15,15,8,4,5,5,10,7,16,30,11,5,10,7,8,10,18,1,2,33,17,14,16,9,9,13,11,11,0,8,12,4,3,13,9,8,3,6,10,8,6,13,12,7,16,11,5,13,18,9,2,5,16,7,7,14,14,14,17,15,32,13,1,0,12,9,28,23,4,18,9,18,10,3,18,4
"1.1.1.271",7,3,0,5,3,3,1,2,1,9,0,0,2,2,0,4,3,0,0,5,17,8,9,2,8,5,3,4,1,0,4,1,2,8,0,3,4,2,2,1,0,5,3,3,9,2,2,20,12,2,2,2,7,0,2,1,3,3,4,6,12,5,0,0,3,4,6,3,2,1,0,6,5,1,9,3
"1.1.1.274",11,5,1,3,3,1,0,0,0,6,1,1,1,1,0,4,8,1,2,7,4,2,3,0,4,3,1,4,0,1,0,0,2,4,0,0,0,1,3,2,4,3,2,3,2,2,2,5,8,1,1,3,4,0,4,1,5,2,2,5,2,2,1,0,6,5,5,8,0,3,1,2,4,3,2,0
"1.1.1.276",2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,2,0,1,0,1,0,1,0,0
"1.1.1.290",4,4,0,1,2,2,0,2,1,5,0,0,0,1,1,4,1,0,1,4,3,4,3,1,5,2,0,3,0,0,3,0,0,6,0,2,3,2,5,0,1,2,1,1,6,3,0,7,4,3,0,2,5,0,2,1,1,3,0,1,5,5,1,0,4,1,3,1,0,0,0,1,3,1,7,3
"1.1.1.313",3,3,2,2,3,1,0,1,1,3,0,0,0,1,1,6,1,0,0,7,4,5,3,1,1,0,2,3,0,0,1,0,2,5,0,0,0,1,4,0,1,1,0,2,1,3,0,6,5,3,1,0,3,0,0,1,1,0,3,1,2,3,0,0,4,1,4,0,1,1,0,0,3,3,5,3
"1.1.1.317",3,3,0,0,1,3,2,2,0,4,1,0,0,0,2,6,2,0,0,2,4,3,0,1,3,2,1,1,0,0,0,0,1,3,0,3,3,0,6,0,0,1,1,2,3,2,0,4,6,3,0,0,3,1,3,2,2,1,1,5,6,1,0,0,2,2,5,3,0,1,1,2,4,1,4,3
"1.1.1.395",0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0
"1.1.98.6",15,3,2,1,2,1,6,3,7,16,4,1,7,1,1,1,13,3,0,16,8,2,1,3,5,4,8,5,0,4,0,4,0,9,3,2,1,2,2,8,3,4,3,1,3,8,1,11,7,4,0,2,2,0,5,0,8,7,3,4,10,2,0,0,10,3,13,2,1,3,2,7,3,4,2,1
"1.2.1.3",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"1.2.1.11",23,14,3,5,5,4,13,7,5,32,10,7,11,7,4,19,23,3,3,21,24,15,21,4,20,10,5,14,0,5,8,3,3,14,5,6,8,6,10,8,7,11,6,5,18,8,6,26,19,8,1,4,10,5,7,8,16,16,14,15,31,13,2,0,22,9,29,18,4,11,7,13,15,3,16,3
"1.2.1.12",30,17,7,9,4,10,14,7,9,46,9,5,3,7,2,8,22,2,3,12,23,10,12,7,11,12,3,9,1,2,4,2,2,17,2,3,5,3,5,5,5,12,6,4,7,12,3,11,11,12,2,9,19,5,8,6,11,10,11,15,17,18,1,0,19,9,25,6,6,19,7,9,6,2,17,14
"1.2.1.22",2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,1,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1.2.1.38",9,9,6,4,4,2,3,3,11,19,7,8,10,5,4,4,11,0,1,14,7,6,4,6,2,7,3,6,0,6,2,5,4,3,0,3,4,3,2,4,2,3,6,6,4,5,5,4,11,4,1,2,4,4,4,4,15,5,7,7,16,8,0,0,6,4,18,12,1,14,6,10,5,1,7,0
"1.2.1.41",18,22,10,4,8,6,18,4,8,32,12,10,13,5,7,13,23,7,3,29,30,16,18,13,11,15,15,12,0,6,13,6,5,21,6,7,7,9,10,14,7,13,16,8,20,10,5,18,23,13,3,4,16,10,8,12,18,18,16,29,34,18,2,1,16,11,32,19,5,20,9,15,15,6,19,4
"1.2.1.88",4,3,2,2,1,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,4,2,2,0,2,3,2,2,0,0,1,0,2,3,1,0,3,2,3,2,2,6,2,1,3,1,2,5,4,1,0,3,2,1,3,1,3,0,2,0,6,2,0,0,1,1,1,3,0,1,0,5,1,1,4,5
"1.2.5.3",0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0
"1.2.7.1",93,72,31,54,32,37,58,29,36,115,64,41,49,33,20,64,81,9,16,66,82,50,53,30,47,47,37,44,2,29,35,8,16,67,54,19,29,20,54,39,36,50,50,27,47,38,25,55,66,51,9,37,42,18,39,35,61,58,59,73,118,53,3,3,66,41,81,49,25,79,40,49,48,18,73,21
"1.2.7.4",0,2,2,2,2,2,0,0,2,3,4,4,4,5,0,0,4,0,0,3,0,1,0,6,0,3,3,1,0,0,0,0,0,0,0,0,0,4,0,0,3,0,6,1,1,0,0,1,3,2,0,0,0,0,1,0,4,5,6,4,4,0,0,0,0,2,7,2,0,0,0,2,0,1,0,0
"1.2.7.10",2,1,0,0,1,1,2,0,0,2,3,1,1,0,0,0,4,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,2,1,0,1,0,2,0,0,0,2,1,0,0,1,0,2,0,1,0,1,3,1,1,0,0,0,0,1,2,1,1,2,0,1,0,2,0
"1.2.7.11",4,2,1,2,1,2,1,1,0,1,1,0,0,3,0,3,0,0,1,4,3,3,1,1,5,1,0,2,0,0,0,0,1,4,0,1,3,1,3,0,1,2,2,1,2,2,1,4,8,3,0,1,2,0,2,1,2,2,1,1,4,2,1,0,2,1,4,0,1,1,0,2,3,0,1,1
"1.2.99.7",10,1,5,0,0,0,0,0,0,0,3,3,3,1,0,1,4,0,0,1,1,0,5,5,0,2,1,2,0,0,0,0,0,0,3,0,0,0,0,3,1,0,1,1,3,0,0,0,1,1,0,1,0,0,0,0,2,5,2,3,0,3,0,0,0,0,3,3,0,7,0,3,0,0,0,1
"1.3.1.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.3.1.9",31,19,2,5,7,7,13,4,3,24,5,6,2,6,4,11,13,1,2,25,23,20,27,4,22,5,5,14,2,5,10,2,6,11,2,1,5,11,14,3,8,15,9,14,19,13,4,26,22,7,4,10,13,6,7,13,6,16,14,14,36,12,3,0,13,10,23,16,7,10,6,9,13,6,22,8
"1.3.1.12",1,1,1,1,0,0,3,1,3,4,2,2,2,0,2,1,1,1,0,2,2,2,1,3,0,3,1,2,0,0,1,1,1,1,0,1,0,2,0,3,0,0,0,0,0,0,2,0,0,1,0,1,1,1,1,0,4,3,4,1,0,2,0,0,2,0,1,1,0,2,0,3,0,0,3,0
"1.3.1.14",25,14,9,9,3,6,10,4,7,33,17,11,14,7,2,8,19,2,3,23,15,17,14,12,18,18,13,13,0,7,7,5,5,16,6,5,7,5,4,6,7,13,13,7,14,4,4,19,22,13,1,8,13,7,8,6,22,14,15,19,28,14,1,1,11,9,30,14,4,19,6,18,12,6,20,4
"1.3.1.42",1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0
"1.3.1.56",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.3.1.74",12,7,4,8,5,5,2,5,2,5,0,0,1,4,1,9,6,1,1,3,8,8,11,3,7,4,0,8,0,0,3,0,6,9,0,3,5,3,7,0,3,9,4,9,5,4,1,11,10,4,4,7,7,1,3,2,2,2,5,2,11,9,3,0,11,8,6,5,3,1,0,1,7,1,12,7
"1.3.1.98",26,12,4,5,6,6,12,3,12,27,9,1,13,6,3,8,22,1,3,25,20,12,11,9,14,14,7,9,0,4,7,3,1,15,3,5,4,7,8,9,8,11,8,10,17,6,1,17,20,9,2,5,10,2,7,8,16,7,15,15,23,13,1,0,11,5,24,10,5,12,5,13,10,4,17,5
"1.3.1.100",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1.3.1.108",7,4,1,1,2,1,2,1,1,5,1,2,3,0,1,1,7,0,0,2,2,0,0,1,2,6,2,0,0,1,0,3,0,2,2,0,0,0,1,2,3,3,4,1,3,4,0,3,1,2,0,1,1,0,0,4,6,0,2,3,3,3,0,0,3,2,4,2,1,8,0,1,3,0,4,1
"1.3.5.1",1,1,0,0,0,1,2,0,2,7,0,0,1,0,0,8,0,0,2,2,7,2,3,1,0,0,0,2,0,2,1,1,0,4,1,0,0,0,3,4,0,4,0,0,4,7,0,5,2,0,0,0,3,0,6,2,2,1,0,1,6,6,0,1,7,0,2,4,0,0,4,0,3,2,5,0
"1.3.5.2",0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,2,0,0,1,3,3,1,2,1,1,1,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,1,0,0,1,3,0,4,2,0,0,0,0,2,2,1,0,3,0,1,3,2,0,0,1,0,2,2,0,2,1,0,2,0,2,0
"1.3.7.9",4,0,2,1,0,0,1,0,2,0,3,3,1,0,0,0,2,0,0,1,2,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,2,0,3,0,3,0,0,1,0,1,0,4,2,4,1,2,0,0,0,3,0,4,0,0,3,1,1,0,1,0,0
"1.3.8.1",3,1,0,4,2,2,2,1,3,8,6,3,5,2,1,2,4,0,2,6,2,2,4,3,0,1,4,4,1,1,4,1,0,1,1,4,3,1,3,2,3,0,1,2,0,3,0,3,2,1,1,0,0,0,5,2,5,1,3,1,5,1,0,0,2,8,8,4,2,7,5,1,3,0,1,4
"1.3.8.7",1,1,0,0,0,1,1,2,0,2,2,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,2,1,1,0,3,0,0,2,1,0,3,1,1,1,0,0,0,2,0
"1.3.99.3",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1.4.1.1",9,6,1,0,4,1,0,2,1,10,3,0,0,0,0,10,8,1,2,9,10,13,9,2,7,2,1,6,0,1,4,1,4,12,2,0,6,0,2,0,2,5,1,3,9,6,1,13,9,2,1,1,10,5,1,6,3,1,2,3,4,8,1,0,6,2,5,6,4,3,1,5,3,5,9,4
"1.4.1.4",9,8,2,3,1,3,7,3,1,14,5,4,5,2,1,6,10,1,1,4,5,3,8,2,10,5,4,10,0,1,2,1,2,7,3,2,4,3,2,4,2,3,5,3,8,8,2,3,6,2,3,1,6,5,1,4,5,4,2,10,9,8,1,0,3,3,5,7,1,8,5,8,11,0,2,2
"1.4.1.13",9,2,3,2,2,1,3,1,4,17,3,6,10,6,1,4,8,2,3,7,8,4,5,1,4,5,2,4,0,5,3,2,1,7,1,0,3,2,3,3,3,3,5,4,7,9,4,6,10,2,0,0,9,2,7,6,11,3,7,6,16,7,0,0,6,4,8,4,1,6,6,4,5,3,7,1
"1.4.1.16",10,7,13,10,2,6,6,3,8,17,11,9,9,2,0,12,20,1,1,16,8,12,9,6,10,11,13,10,0,6,7,1,1,5,6,2,7,11,9,6,8,6,7,8,10,10,5,10,16,5,2,3,11,4,6,5,18,7,9,13,19,9,0,0,10,7,24,11,2,12,5,13,7,6,15,2
