Sample,T2,Prediction T2,Q,Prediction Q,Combined,Prediction Combined
Sample26b,1.9747234359445507,Healthy,10.38728976072644,Unhealthy,1.7820209529670568,Unhealthy
Sample27a,8.101279225968886,Healthy,16.97209006764832,Unhealthy,3.1067167676663434,Unhealthy
Sample27b,23.751406091547423,Healthy,22.52952712222628,Unhealthy,4.643981148723855,Unhealthy
Sample34a,4.445788260919775,Healthy,8.570340395615961,Unhealthy,1.582987399442709,Healthy
Sample34b,4.629533735517347,Healthy,8.929576795901903,Unhealthy,1.649236044202632,Healthy
Sample36a,1.4445288077138683,Healthy,7.883111144339182,Unhealthy,1.3502440740501749,Healthy
Sample36b,1.4459995827908156,Healthy,7.31156414215916,Unhealthy,1.2565965428552643,Healthy
Sample38a,4.774291223830236,Healthy,68.93025099796239,Unhealthy,11.492268144243123,Unhealthy
Sample38b,0.9901969345442025,Healthy,3.1854453879128,Healthy,0.5618752367081861,Healthy
Sample40a,8.158075049617231,Healthy,11.191487003405179,Unhealthy,2.1612465584328175,Unhealthy
Sample40b,6.157746421135463,Healthy,21.081769688318374,Unhealthy,3.7027532599340947,Unhealthy
Sample50b,1.9008445699682948,Healthy,3.348759581058436,Healthy,0.6250829936757607,Healthy
Sample50a,4.726956508680038,Healthy,4.757732979072538,Healthy,0.9691507586410573,Healthy
Sample56a,15.165716227087216,Healthy,25.19090056239295,Unhealthy,4.7368336677345635,Unhealthy
Sample56b,16.581614428358314,Healthy,32.17607976745017,Unhealthy,5.938714433364678,Unhealthy
Sample60a,11.971696437748,Healthy,66.3974226136368,Unhealthy,11.36495012749804,Unhealthy
Sample60b,4.549570715063574,Healthy,4.822347982367914,Healthy,0.9726479019641441,Healthy
Sample63a,1.398497603390362,Healthy,3.3958499770832677,Healthy,0.6127063034297018,Healthy
Sample63b,2.023995654799063,Healthy,7.274719577632886,Unhealthy,1.2736795332825577,Healthy
Sample69a,33.54215925811944,Unhealthy,42.409719437789555,Unhealthy,8.295077934261757,Unhealthy
Sample69b,7.076775856772301,Healthy,8.073726776194366,Unhealthy,1.6068237467184159,Healthy
Sample73a,0.9901969345442025,Healthy,3.1854453879128,Healthy,0.5618752367081861,Healthy
Sample73b,2.7965116699313737,Healthy,5.123997474797132,Healthy,0.9519698192638681,Healthy
Sample77a,13.603738939161312,Healthy,19.90256097681085,Unhealthy,3.8073092947713425,Unhealthy
Sample77b,34.7645133713353,Unhealthy,19.873389849801207,Unhealthy,4.649100160692507,Unhealthy
Sample78a,0.8382289642864684,Healthy,3.7417324775902294,Healthy,0.6469999704183786,Healthy
Sample78b,0.760906778321701,Healthy,3.200614844854874,Healthy,0.5551891511576592,Healthy
Sample80a,40.01508891491673,Unhealthy,13.906902394032223,Unhealthy,3.8809399806538156,Unhealthy
Sample80b,43.44852060184842,Unhealthy,14.488228876332293,Unhealthy,4.113610117962443,Unhealthy
Sample81b,8.006804604313425,Healthy,14.911000698773368,Unhealthy,2.7650170687054403,Unhealthy
Sample81a,3.355795878174896,Healthy,7.24540264524759,Unhealthy,1.3221539397115167,Healthy
Sample82a,2.1952269485795854,Healthy,2.989976747279241,Healthy,0.5780370473626226,Healthy
Sample82b,2.162247379430215,Healthy,7.4331299893111975,Unhealthy,1.3051822646359912,Healthy
Sample83a,2.072983943636391,Healthy,2.8343361561822626,Healthy,0.5476288907449263,Healthy
Sample83b,2.2026527257995636,Healthy,3.000823152191501,Healthy,0.5801124201162648,Healthy
Sample84a,2.459165356557543,Healthy,3.3312644135789578,Healthy,0.6445512157981692,Healthy
Sample84b,2.3433904555655736,Healthy,3.1788014397524265,Healthy,0.6149228041651627,Healthy
Sample90a,27.60905746900927,Unhealthy,27.424118850789423,Unhealthy,5.600792134849076,Unhealthy
Sample90b,27.054334511282914,Unhealthy,26.770222971518148,Unhealthy,5.471391830096921,Unhealthy
Sample91a,3.3290152078726503,Healthy,3.7456008181645997,Healthy,0.7472824232039665,Healthy
Sample91b,1.311112869014633,Healthy,3.9527324566007382,Healthy,0.7005124171238272,Healthy
Sample93a,1.3648356411914782,Healthy,4.062895767018104,Healthy,0.7207232038960436,Healthy
Sample93b,0.9901969345442025,Healthy,3.1854453879128,Healthy,0.5618752367081861,Healthy
Sample95a,4.816465235312224,Healthy,9.362325650418466,Unhealthy,1.7276646779358567,Unhealthy
Sample95b,4.798005940855042,Healthy,9.41525134799322,Unhealthy,1.7356034648430672,Unhealthy
Sample96b,1.0310815719602515,Healthy,6.944872264790066,Unhealthy,1.1798770976000927,Healthy
Sample96a,3.774540684302459,Healthy,11.509513642168379,Unhealthy,2.038016810351396,Unhealthy
Sample98a,5.1303905339899725,Healthy,14.842769579506285,Unhealthy,2.6387544875813296,Unhealthy
Sample98b,5.560240639357999,Healthy,16.118810641223497,Unhealthy,2.865161090615537,Unhealthy
