,Biosynthesis_of_Cofactors_and_Vitamins,Carbohydrate_metabolism,Cellular_Structure_and_Modification_of_Macromolecules,Central_metabolism_and_energy,Lipid_metabolism,Metabolism_of_Alcohols_and_Aldehydes,Metabolism_of_Aromatic_Compounds_and_Xenobiotics,Metabolism_of_Carboxylic_Acids,Metabolism_of_amino_acids_and_derivatives,None,Nucleotide_and_Nucleic_Acid_Metabolism,Signaling_and_Regulation_Metabolism,Specialized_and_Miscellaneous_Routes,group
train_27,0.00014364104,6.02625e-05,9.509619e-05,6.471707e-05,7.603513000000001e-05,0.0,7.6846e-06,9.159910000000001e-06,0.00022653686,2.8382e-05,0.00028771968,0.0,9.926067e-05,MBD
train_29,0.00049293713,0.00033598369,0.00024410169,0.00031705742,0.00016414747,7.61372e-06,2.31189e-05,0.0001190288,0.00080819488,0.00012598974000000001,0.00085278208,0.0,0.00030188643,MBD
train_30,0.00057429486,0.00025736786,0.00023021499000000002,0.00033013055,0.00023078383,1.096499e-05,2.716952e-05,0.00011419389999999999,0.000756052679,0.00013896628,0.00085806409,1.21726e-06,0.00025869158,MBD
train_32,0.00202981414,0.0010252561,0.00085394022,0.001369581144,0.00098453441,8.0340003e-05,0.00012974052,0.00051631886,0.002744214865,0.00039516893,0.0030562532999999998,1.984527e-05,0.00121551529,MBD
train_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MBD
train_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MBD
train_41,0.0,0.0,0.0,9.73611e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H
train_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H
train_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55072e-07,0.0,0.0,H
train_44,0.0,2.41293e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H
train_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H
train_52,0.0110977739,0.00632426716,0.0038984403,0.0078728178,0.00642561186,0.0009807338,0.0014435874200000001,0.00269978397,0.0139762872,0.002429401,0.01322738222,0.0001285606,0.0065251188,ID
train_53,0.0069764153,0.0036113206,0.0019254869,0.00579768853,0.0059656729,0.0005691013,0.0007724495,0.0016505914,0.00926916124,0.001508262,0.00794013124,0.0002110519,0.00404994394,ID
train_54,0.00610810615,0.00360595413,0.0025489047,0.00382119508,0.00443672112,0.0001357773,0.00019366586000000002,0.00099993266,0.00898993061,0.0011259124,0.0091222366,0.000135402,0.0033641678,ID
train_55,0.006303288,0.003160862,0.002530069,0.0038203449999999997,0.006947574,0.0,0.000241492,0.000889381,0.01013871,0.001532028,0.007951169,0.000262904,0.003614558,ID
train_56,0.0015916205,0.00095179207,0.0005868776,0.00156972209,0.00111485908,0.00011202974999999999,0.0001674236,0.00038064689,0.00265424625,0.0003724075,0.00170210095,3.8872400000000004e-05,0.00101855643,ID
train_57,0.00463802177,0.00306786655,0.001881365,0.0026292883999999997,0.005392888,2.1418e-06,0.000154906,0.00056552921,0.0074315442,0.0010879108,0.005948301,0.000170797,0.0025058774,ID
train_58,0.0088890129,0.00422367172,0.0025027830999999998,0.0077152431,0.0065882779,0.00070430067,0.00110747643,0.0018380065,0.010152098640000001,0.001769443,0.010558284835,0.00023220800000000002,0.004744746688,ID
train_59,0.0089614381,0.00480028079,0.0028003254,0.00742008562,0.0072294174,0.00068385579,0.0009551165,0.0022415825,0.01066886986,0.001672089,0.010234416,0.0001339998,0.00525662009,ID
train_60,0.00588645047,0.00301084732,0.001699945,0.00508507768,0.00520191748,0.00045848744,0.00044947475,0.0011243626,0.00713950546,0.001094191,0.0059279904,0.0001840663,0.00309612712,ID
train_61,0.0028731587,0.0015914079,0.0011608159999999998,0.0016307653,0.0031813446,2.19507e-05,7.03268e-05,0.0003393631,0.0040490099,0.0006726541,0.0034058505,0.000109948,0.0014676546,ID
train_62,0.0082076278,0.0063884778,0.0041553315,0.0082669117,0.0055015722,0.0011318089,0.0013249111,0.002642552,0.0147336595,0.0022024053000000003,0.01214667,0.0001146805,0.0056407373,ID
train_63,0.001162047,0.001551036,0.000134402,0.00136895,0.0012699857,0.000177542,0.0,0.0,0.001700364,0.0,0.002978306,0.000135328,0.000931128,ID
train_64,0.00638220361,0.00328503736,0.0032416432100000002,0.00313102849,0.0026957781,0.00012729084,0.00031545659999999997,0.0013593195,0.00827145078,0.0009806576,0.0091748721,1.482987e-05,0.00305060637,ID
train_65,0.01075690267,0.00538657419,0.0032252714999999998,0.0101094351,0.00771025406,0.0008386092,0.00158236931,0.0027310514,0.012639028081,0.00212231232,0.01145162511,0.00025740868599999996,0.005677820969,ID
train_66,0.0086276715,0.0046327862,0.0035830698,0.00718537905,0.00761934988,0.0004671114,0.00144595646,0.0017420642,0.01420763798,0.0022548045999999998,0.01823130918,8.08703e-05,0.00519745257,ID
train_67,0.0076707764,0.0048243202,0.00220495,0.0081869378,0.0063885447,0.0008366793900000001,0.00138054445,0.00225300165,0.0100207892,0.0015830205,0.008438018,0.0002268576,0.0044981127,ID
train_68,0.00277803917,0.0018975092,0.00109329121,0.00297324844,0.0020048264,0.00027967676,0.00061754174,0.0006340905,0.00406493339,0.0006694261,0.003847046,9.35909e-05,0.00207103305,ID
train_69,0.0079052668219998,0.0049582321589999,0.00433377064,0.0056505341799995,0.00188478831,0.00013349284,0.0006164298639999,0.0021652080199999,0.0131183796499995,0.0017332518399999,0.0122480511699993,5.62673e-05,0.0040001500819998,H
train_70,0.0065765610459998,0.0040224814599999995,0.0038411084399999,0.0045236962399999,0.0018791703999998,0.000141018602,0.000580692605,0.001526642855,0.0100287752479996,0.00155482174,0.0111489823099999,1.73674e-05,0.0033999425599996,H
train_71,0.006315812281,0.0038619023229998,0.0032792399,0.0043714140189998,0.002024717077,0.000138883595,0.00036272023900000004,0.0014770944299999,0.0101695838739999,0.00134989643,0.0098513122129997,3.890786e-05,0.0031188777239999,H
train_72,0.0109469320899997,0.0064104328050000004,0.0044410234099999,0.008579618539999799,0.00356813849,0.00052673968,0.0009047159499999,0.0022836631299998997,0.015865938709999798,0.0024880696199999,0.0157369581299993,0.00015127598,0.0042754289719998,H
train_73,0.0089247918489997,0.007571776133999899,0.0057459493,0.0086146988059999,0.0027612289969998,0.000285665903,0.0019980274399999,0.0016790553,0.0169827781799999,0.00302755593,0.0122924521799999,0.000127621,0.004122332261,H
train_74,0.0083663729999998,0.0054100246619999,0.00382255766,0.0065802671299999,0.0019662490299999,0.00031615771,0.0006228690299998,0.00184637612,0.0143980167499995,0.00193760292,0.0121522230999991,9.92344e-05,0.0036883277889998,H
train_75,0.0077323156879997995,0.0052749935,0.0041746274999996,0.0064762007999992,0.00252310671,0.00020714646000000002,0.0010026866609998,0.00199839373,0.0135267561999999,0.0022019881000000002,0.0119401350999994,6.813239999999999e-05,0.004125224031,H
train_76,0.0056294958989998,0.0030228560519998,0.00329327919,0.0048730852519997,0.001252158,0.000201205254,0.0008295669399999,0.00133839911,0.0093508542899997,0.00132365999,0.0109517476999993,6.0196400000000005e-05,0.0036722653939997,H
train_77,0.0048623770689999,0.003056493445,0.0025876401799999,0.0032319907669998,0.0013688023999998,0.00011314674100000001,0.00032753284999999997,0.00115940542,0.0076464284539996,0.001047370796,0.0077297117459999,3.63995e-05,0.0025205857829999,H
train_78,0.0079088878959999,0.00466387186,0.0038246602799999,0.0044048809199998,0.0029548355899999,0.0001487084258,0.00024777805999999996,0.001556596788,0.0113413874589996,0.001462486675,0.011469934429999799,3.18007e-05,0.0040457373639999,H
train_79,0.0076786736169998995,0.0058802223669999,0.0038924466799998,0.0059378042929998,0.00187433135,0.0001924420699999,0.00078830693,0.00169098772,0.0132853384899992,0.00190456465,0.0119559076999995,8.90495e-05,0.00430408803,H
train_80,0.0071194243299999,0.0051825604799997,0.0037288827299999,0.0049001335999999,0.0022621986699997,0.00010857288000000001,0.0009451739,0.0018586915599998,0.0118922514999997,0.0016374920099999,0.0112305765799993,3.49065e-05,0.00403281764,H
train_81,0.0063951665829998,0.0039804067399998,0.00314271785,0.0041272058419999,0.00228202879,0.00011426255000000001,0.0004412743,0.0017924964699998999,0.0099245608199999,0.00145690481,0.0098640073499998,2.5219283e-05,0.0035808823899998,H
train_82,0.0059017203099998,0.0033979063869999998,0.00283967804,0.0043566687339997995,0.0025394549219998,0.00016940192,0.0007876055309999,0.001231943089,0.0091694334569997,0.0012870575360000001,0.0095273108999995,3.825853e-05,0.0041029302,H
train_83,0.0084402851699996,0.005315766938,0.0037990632999997,0.0061584107249997,0.0037494846699997,0.00034713805,0.00067686651,0.002001082329,0.0127303505589996,0.0022557322799998,0.0124242985499993,0.000107101,0.0043382267449998,NP
train_84,0.0076322895699997995,0.0045011966459997,0.0036787946999998,0.004815463172,0.00246873361,0.00012461135,0.0004727383829999,0.0015150403,0.0110252687599999,0.00153897423,0.0107802397799993,2.15724e-05,0.0032631181399999,NP
train_85,0.00882548053,0.0060614283529996996,0.004447142,0.0065138851029996,0.0017555868699998,0.00024599404000000003,0.00147041428,0.00183543853,0.0143264098059998,0.00225965589,0.0128858259039994,9.91502e-05,0.00364499621,NP
train_86,0.0098967837999997,0.0061216802899996,0.0034964725389999,0.0089625939389995,0.0071212809999997,0.0008262706,0.0017367574899999,0.0025508482999997,0.0145110061099991,0.0024036371709999,0.0125651886899994,0.0001493294,0.0062001169349997,NP
train_87,0.0067620714119997,0.0043499791369998,0.0035167530899999,0.0045968194949999,0.001801925224,0.000164334291,0.00033221946,0.0017030140889999,0.0105964434349998,0.0015622942399999,0.0110530980999999,8.05401e-05,0.0034321308,NP
train_88,0.0054881545429999,0.0026292437699999,0.00275293278,0.0036825164309999,0.001620415423,0.00015210386,0.000597354506,0.0011382062199999001,0.0075803425649998,0.00098422245,0.0107663695999999,1.45672e-05,0.0030992256999998,NP
train_89,0.0097396347179996,0.0064533234399999995,0.0043891190999998,0.0065537998299999,0.0028346951559998,0.00025369841,0.00052256227,0.0020153488999998,0.0153842641899995,0.002211467601,0.0140371273999996,9.71671e-05,0.0043842467799999,NP
train_90,0.0085363623099997,0.0065650910189998,0.0039707872,0.0069216664349996,0.00173493823,0.00023388469999999998,0.001009254188,0.0019853174,0.015196686353999499,0.0021896562419999,0.0123122019999996,0.00013056,0.0042607479119997,NP
train_91,0.0078403070319996,0.0064095545699997,0.0039504596999999,0.0064334470059997,0.002427426698,0.00021726379,0.0010177021599997,0.0019023118999999,0.0139705345899997,0.0022341314199998998,0.0121845625999995,0.000139619,0.00416495435,NP
train_92,0.0056882455299997,0.0032183364099997998,0.0027605939,0.0050329493499996,0.0025875264999999,0.00022990734099989998,0.000283548392,0.0012962282099999,0.0083932442399996,0.0011366802999999,0.0098393721699997,3.07222e-05,0.0033640598399999,NP
train_93,0.0068365251279998,0.003966493037,0.0035507718769998,0.0047794646829999,0.0019448064969998999,0.00024706439,0.000383358118,0.0017957641419997,0.0108077886579996,0.0014059920099999,0.0108286375999997,7.0464435e-05,0.003469933774,NP
train_94,0.0088442098549995,0.0055932529999999005,0.0043534231359999,0.00566403722,0.002224999435,0.00018015949,0.0002589935075,0.0023195825104999,0.0132832143709995,0.0020762319219999,0.0124667077499996,9.6124533e-05,0.0041083310189998,NP
train_95,0.0062841777869998,0.0036067776799997,0.0032291361999999997,0.0040410667439999,0.0037023116559999998,0.000118054144,0.00023931614,0.0014325524229999,0.0099944408959998,0.00122396924,0.0101148653199997,2.6832e-05,0.0034181991139999998,NP
train_96,0.0098564298399996,0.0069771886799999,0.00381626146,0.0089011298599998,0.0048463219899995,0.0005218731100000001,0.000682113147,0.0022012193399999,0.0153086223999997,0.0021773829499998998,0.0128890890499996,0.00014514728,0.0045353343799999,NP
train_97,0.0118734700769996,0.0067131213509,0.0034903946299999,0.0106777447015997,0.0093648423409998,0.00097735388,0.0017192171419998,0.0030105943399998,0.0143965677099994,0.0024595128999998998,0.0120021832659996,0.0002401862802,0.0065530646069999,NP
train_98,0.0092515063239996,0.0058336539559999,0.0038653348599998,0.006800807713,0.0025283298769998,0.0003657275759,0.00057999635,0.001795939776,0.0135793188309999,0.0022955168199999,0.0132737914699997,0.000108401,0.0040421762629,NP
train_99,0.0086249284559996,0.0059702109429999,0.0038981522,0.0065888161449997,0.0021195444219999,0.0001717343,0.000989313019,0.00202076573,0.0141720567399998,0.00219186301,0.0121730855999997,8.11793e-05,0.0042479259889998,NP
train_100,0.008053711969999799,0.0051265924849997,0.0036637816699999,0.0063297549089998,0.00280560642,0.000217785556,0.0010613927899999,0.00178613045,0.0123250720459996,0.0018438226,0.0121164267599999,5.2723100000000003e-05,0.0045352488599996995,NP
train_101,0.0085634075029997,0.0048382270199997,0.0028154722,0.0069435295649995,0.0059421842999999005,0.00050850407,0.0010234041769999,0.0020362301929999,0.0111472135299995,0.001870385,0.0102165579999997,0.0001142921,0.0050363196599999,NP
train_102,0.0092275807399995,0.0059575048229999,0.0042420901999999,0.0072112188869996,0.002340330163,0.000338403706,0.0009325933930000001,0.002198248617,0.0136351086219998,0.00212071679,0.0116134667799996,0.000106524,0.003927199204,NP
train_103,0.0077630893999999,0.0046741596359998,0.0035030758699998,0.0060340896469996,0.0043161654939997,0.0003192346899999,0.0009017142499999999,0.0019736992,0.0116029885309994,0.0017836128,0.0109234433499995,7.88326e-05,0.0045674021199997,NP
train_104,0.0074364855499997,0.0053779612699998,0.0044412612999999,0.0061554875159997,0.0018111180598,0.000203472487,0.0009417612989999,0.001759531312,0.0133213206959999,0.0019158290699999,0.0123037395599996,0.000101362925,0.0041418175789999,NP
train_105,0.0069886904599998,0.0045686076999997,0.0039252260599999,0.0054859973009999,0.0022429674919998,0.00022787255900000002,0.0008747614999999,0.00181931394,0.0125120201089997,0.0015934622999997999,0.0117335528099995,6.88388e-05,0.004130461834,NP
train_106,0.0096833894999994,0.0058881675699998,0.0034510146099998,0.0082411131049996,0.0063687305799997,0.00070651241,0.000930997823,0.0025318909999999,0.0131015341259994,0.0021494709999998,0.0117275766699999,0.00018635229999999997,0.0057718542099994,NP
train_107,0.0081052189599999,0.0054703469189999,0.0033301991249999,0.007365406852,0.0028311386299999,0.00027519731,0.000291568932,0.0019005207999999,0.0124003004599997,0.00163448401,0.0123380988739995,0.0001260871,0.00368483102,NP
train_108,0.0070257274159999,0.0043880265899998,0.0031229904999998,0.0052124128799999996,0.00192819173,0.0001719529,0.00051712232,0.001600849481,0.0119547882499997,0.00160473539,0.0104370733299998,6.09017e-05,0.0036231717229999,NP
train_109,0.0075032430399996995,0.0053612401739997,0.0041916966999999,0.0068219600039995994,0.00201761122,0.000229175352,0.00120054435,0.0019819726799999,0.0144070253909994,0.0022086434999998997,0.0130312148999995,7.68855e-05,0.0048721074239998,NP
train_110,0.0059494624149998,0.0033876093109999,0.00332522941,0.0049188129499999,0.00156615286,0.000206139792,0.00058994517,0.00178550592,0.0110579983399999,0.0014068078999999,0.0119581476199998,3.27512e-05,0.00415382078,NP
train_111,0.0124482780999997,0.0072861562699995,0.0035559959599999,0.0112779816139994,0.0106954878999992,0.000946649279,0.0008555553599999,0.0028898189999999,0.0156107616899993,0.0026407872999999,0.0123268421499996,0.0001965799,0.0066015583999998,NP
train_112,0.008040695369999299,0.0051944461599999,0.00363206594,0.0059675388439999,0.00202096743,0.00022335932999999997,0.00068942532,0.00170693237,0.0134730442899995,0.0017922050999998,0.0108913805899993,6.59394e-05,0.003493862094,NP
train_113,0.0068405223619998,0.0050962159999995,0.003154602786,0.0070394041259996,0.0023571793779999,0.000395321716,0.0011765277999999,0.0014392173199999,0.0120713573969998,0.0021523731559999,0.0106851670399996,0.00010477685,0.003480236709,NP
train_114,0.0076489689599996994,0.00532924791,0.0042425243999997,0.0067384505839995995,0.001845842568,0.00020195770000000003,0.0011608403799999,0.001820427,0.01463073835,0.0021562400999999,0.0110971947399998,9.15019e-05,0.003971351,NP
train_115,0.0069657053669996,0.0051338249149998,0.0035844920149999,0.005967354751,0.0026820979739999,0.000261111492,0.0011449291489999999,0.0014774528870000001,0.0116272696949997,0.00183515805,0.0107055121999995,2.53252e-05,0.0043758288329997,NP
train_116,0.0071879088029995,0.0039490094979998,0.0036066895599999,0.0053818113759998,0.002130800574,0.0001539053699999,0.0009008630699999,0.0014752606000000001,0.0105980397499996,0.0014246176999999,0.0114001215649999,7.2684e-05,0.0038685838459999,NP
train_117,0.0076477617219998,0.0041507880649998,0.0033298030999999,0.004610297895,0.003101750761,0.00012943592,0.000711302746,0.001449941408,0.0098923277329997,0.00133020927,0.0111452494799996,0.00011639929,0.00420046881,NP
train_118,0.0078452733749997,0.005007064642,0.0038098996999997,0.0048660897449998,0.00217482792,0.00014694376,0.0006239158,0.00184953334,0.0112455058999996,0.0015801516599999999,0.012050051819999399,2.93274e-05,0.0041288947899996,NP
train_119,0.0092880498899991,0.005405858026,0.0031586014,0.0075753319199996,0.0069989014999996,0.00059770468,0.00129006049,0.0020605884,0.0118732739899991,0.0020519664999997,0.0110554203099996,0.0001583938,0.0056413693379997,NP
train_120,0.0069847795729996,0.0039199804289998,0.0031660024289998,0.003937273065,0.0030065581250000003,0.000151993608,0.000476809938,0.001525987113,0.0096986051129995,0.0011833621199998999,0.0108903257709996,4.7539640000000004e-05,0.0038007391539999,NP
train_121,0.0071188821699997,0.003440591754,0.0033112815099999,0.0040572997899997,0.003082522056,0.00013112146,0.000400928273,0.00159517089,0.0097142894,0.0012683361999999,0.0110363756699998,4.60428e-05,0.003697478023,NP
train_122,0.0100262662659994,0.0059118154249998,0.0036195891099998,0.0089443167199997,0.0067109072199997,0.000756474241,0.0020328585999996,0.0024065367,0.0144962755019998,0.0023269971,0.0124495958199991,0.0001895732,0.0063659497599998,NP
train_123,0.0086822627999997,0.0043339622499998,0.00350636011,0.0051306265499999,0.0042463148219997,0.00027331316000000003,0.000774537169,0.0013667197399999,0.0106042055119995,0.0016395803,0.0117840291899997,3.655844e-05,0.0048285825079998,NP
train_124,0.0044439277489999,0.0025816818489999,0.00288817311,0.003412010648,0.001289537828,0.0001618064,0.00050921172,0.000990767616,0.0067334159699997,0.0009993533199998,0.0089020218739997,3.6443484e-05,0.002743737148,NP
train_125,0.0077505639799997994,0.0042654358579999,0.0028027322899997,0.0054647517389999,0.0052846106399992996,0.00039612425999999997,0.000785115418,0.0015125457539999,0.0090107443439994,0.00145062503,0.0094427446599992,0.0001316612,0.0044544334099995,NP
train_126,0.0077598838599996,0.0048294960399999,0.0031073562,0.0070981693899992,0.0047922583099998,0.0003695682,0.0013284006899998,0.00170215625,0.0114394510099992,0.00185287402,0.010630731099999,7.96397e-05,0.0046420719999998,NP
train_127,0.008381631859999801,0.0054831296389999,0.0037316742,0.005835629085,0.002465903377,0.00018421949,0.00055071538,0.001859827182,0.0125706499589995,0.00187099577,0.0108084469499997,7.36761e-05,0.0032642868209999,NP
train_128,0.0080529074699999,0.0066026168479999,0.0045903196999999,0.0079080410299998,0.0023140070409999997,0.000213867891,0.0016309410519998,0.0016619889299998,0.0151033316699998,0.0026448525499998,0.0120112454599996,0.000146692,0.0042011404539999,NP
train_129,0.0073955993869998,0.0051679762869999,0.0045088962999999,0.0074061199169998,0.0027251458879999,0.00027017404,0.00155328416,0.0016034607999999,0.0143377767289992,0.0023968406800000002,0.0131077057499992,0.00011011698,0.0047732885729998,NP
train_130,0.0073285807129998,0.0041163675429998,0.0034492076299999,0.0043881438399997,0.0029477395249997,0.00013930651,0.0003461271999999,0.00145062935,0.0105564835289996,0.0013665815199998999,0.0114915389099998,1.8604e-05,0.0039157003199996,NP
train_131,0.0100183367299996,0.00638048135,0.0044376627699999,0.00616884168,0.0023714952,0.00017603140000000002,0.00022837986999999998,0.0022299748999998997,0.0162790118399995,0.0016720130899999,0.0122634843999997,6.94283e-05,0.0034500787999998997,NP
train_132,0.0069283152789999,0.0053806572399996,0.0036850351099997998,0.0070502173949995,0.0029013020419996,0.00024082854,0.001443315482,0.001567662299,0.013401074943,0.0023488270499998003,0.011346195389999699,9.48988e-05,0.0045555805365997,NP
train_133,0.00832576638,0.0051559272489999,0.0039203303,0.0057007238099998,0.0021849354259999,0.000174928407,0.00064847842,0.0022446172979999,0.0134146584599998,0.00175230088,0.0121874118499995,4.7979e-05,0.0038864357609998,NP
train_134,0.0076177321999999,0.0042887112129999,0.003290155,0.0045481661599999,0.0021042547389998997,0.0001767480366,0.000381936646,0.0018664333999999,0.0113028577259992,0.00161355046,0.0103022356699995,4.2806566000000005e-05,0.0033619419819998,NP
train_135,0.0089866511399997,0.0061061596899999,0.0037907832999999,0.0062700758299998,0.00197817681,0.0001796477,0.00029263554,0.0018743622000000001,0.0149301807,0.0019717842699999,0.0117165702999994,5.70991e-05,0.0039136075099998995,NP
train_136,0.0072627835999997,0.0035596225899998998,0.0029458884859999,0.0050667392969997,0.0043786778699999,0.000283115356,0.00047051791,0.00180680878,0.0098483008699994,0.0015171349,0.0102333685799997,5.5162000000000005e-05,0.0043278124879999,NP
train_137,0.0079826062629997,0.0048674774779998995,0.0037592566999997,0.0055905021909999,0.0021100665879999,0.000223705045,0.00040278951,0.0016664710499999,0.0122995825029998,0.0018444536199999,0.0123194281299995,0.000103407,0.00414820492,NP
train_138,0.0076784967049998995,0.0055249995049999,0.0039420019899997,0.0067652895149998,0.0023787857599998,0.00023749266,0.0010768540659999,0.001910149805,0.0129451901069998,0.00209962182,0.0122024714999996,7.06785e-05,0.0042845538399995,NP
train_139,0.0082444472399997,0.0050454661749997,0.0041892063199998,0.0079396108709995,0.0037203088869998,0.00039471317,0.0012734062269999999,0.00216236787,0.0146502070299995,0.0022661970999999998,0.0120472376699995,0.000112599498,0.0052255138119997,NP
train_140,0.0084435624949998,0.0067056613099999,0.0058731716999998,0.0085886025999998,0.0025563909969998,0.000429994571,0.0020242425199999,0.00168193576,0.0165539664009992,0.0029352348899999,0.0148782274039995,0.000129931,0.0053857179999998,NP
train_141,0.0077018845399998,0.00452576175,0.0031493518899999,0.0054692543399998,0.0027804311299999,0.00017741593,0.0008548340199999,0.0016024297699998998,0.0108758649179997,0.00147615373,0.0110937661229998,2.5215500000000003e-05,0.0038637174069997998,NP
train_142,0.0087317608499999,0.0059126560299999,0.0040441413599998,0.0059606151999997995,0.0020412495300000002,0.0001681240499999,0.0009552721799999,0.0021221731000000002,0.0144160877099997,0.001980122496,0.0114871113999998,5.20834e-05,0.003758274328,NP
train_143,0.0093246129999997,0.0059203568369998,0.0033994542699999,0.0082233026859996,0.0043764636999999,0.0004312559,0.0012130295499999,0.00216525983,0.0143859799799997,0.0020198909999998,0.0108056700999994,0.000139832,0.0048317728599999,NP
train_144,0.0080869150099998,0.0058481086119993,0.0037582493,0.00652405568,0.0024608518799999,0.00027728645,0.0011545766419999999,0.00184771358,0.0133165915639997,0.00198691474,0.0130868728,6.02024e-05,0.0044523974099998,NP
train_145,0.0079933466889997,0.0056041046099999,0.0040627206799998,0.0053083511029999,0.0035037814799999,0.0001614873999999,0.00041307391,0.00180776615,0.0122803320299996,0.0016829644409999,0.0116819112999999,3.41636e-05,0.0042008248999998,NP
train_146,0.0060411884519998,0.0033989509749999,0.0032145404339999,0.0045326473099999,0.0022907197099999,0.00015408778799999999,0.000660828982,0.001326317938,0.0102613758599997,0.00131731994,0.0108247640999995,2.069488e-05,0.0039888683319999,NP
train_147,0.00677993967,0.0038951965199999,0.0032163579999998997,0.004476459328,0.002303025127,9.2283291e-05,0.0006034759579999,0.00164596311,0.009635480799999799,0.001385017665,0.0119517071299996,3.39584e-05,0.00377502484,NP
train_148,0.0088267070429997,0.0060184987059999,0.0037133988999999,0.0063966751999998,0.0032767393599999,0.000191163821,0.000901125605,0.00183473999,0.0129477505699996,0.001796757031,0.0125117718999993,4.5394299000000004e-05,0.004329700127,NP
train_149,0.0086295910599991,0.0047709865309998,0.0034775739999999998,0.0058302734169998,0.0047735644999997995,0.00031387999,0.000440705356,0.00168104524,0.0121805890348995,0.00181972678,0.0118130583099994,7.411996940000001e-05,0.0047199498599999,NP
