Object-ID	Pathway	Common-Name	Ontology-pathway_type	Parental-Ontology-pathway_type	General_Pathway_Type
PWY-6305	superpathway_of_putrescine_biosynthesis	superpathway_of_putrescine_biosynthesis	Amide,_Amidine,_Amine,_and_Polyamine_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-6562	norspermidine_biosynthesis	norspermidine_biosynthesis	Amide,_Amidine,_Amine,_and_Polyamine_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-6565	superpathway_of_polyamine_biosynthesis_III	superpathway_of_polyamine_biosynthesis_III	Amide,_Amidine,_Amine,_and_Polyamine_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-6834	spermidine_biosynthesis_III	spermidine_biosynthesis_III	Amide,_Amidine,_Amine,_and_Polyamine_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
URSIN-PWY	ureide_biosynthesis	ureide_biosynthesis	Amide,_Amidine,_Amine,_and_Polyamine_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
ALLANTOINDEG-PWY	superpathway_of_allantoin_degradation_in_yeast	superpathway_of_allantoin_degradation_in_yeast	Amide,_Amidine,_Amine,_and_Polyamine_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
CRNFORCAT-PWY	creatinine_degradation_I	creatinine_degradation_I	Amide,_Amidine,_Amine,_and_Polyamine_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
GLCMANNANAUT-PWY	superpathway_of_<i>N</i>-acetylneuraminate,_<i>N</i>-acetylglucosamine,_and_<i>N</i>-acetylmannosamine_degradation_to_&beta;-D-fructofuranose_6-phosphate	superpathway_of_N-acetylneuraminate,_N-acetylglucosamine,_and_N-acetylmannosamine_degradation_to_beta-D-fructofuranose_6-phosphate	Amide,_Amidine,_Amine,_and_Polyamine_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
ORNDEG-PWY	superpathway_of_ornithine_degradation	superpathway_of_ornithine_degradation	Amide,_Amidine,_Amine,_and_Polyamine_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-3661	glycine_betaine_degradation_I	glycine_betaine_degradation_I	Amide,_Amidine,_Amine,_and_Polyamine_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-4722	creatinine_degradation_II	creatinine_degradation_II	Amide,_Amidine,_Amine,_and_Polyamine_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-5692	allantoin_degradation_to_glyoxylate_II	allantoin_degradation_to_glyoxylate_II	Amide,_Amidine,_Amine,_and_Polyamine_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-5705	allantoin_degradation_to_glyoxylate_III	allantoin_degradation_to_glyoxylate_III	Amide,_Amidine,_Amine,_and_Polyamine_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-7431	aromatic_biogenic_amine_degradation_(bacteria)	aromatic_biogenic_amine_degradation_(bacteria)	Amide,_Amidine,_Amine,_and_Polyamine_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY0-41	allantoin_degradation_IV_(anaerobic)	allantoin_degradation_IV_(anaerobic)	Amide,_Amidine,_Amine,_and_Polyamine_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY6666-2	dopamine_degradation	dopamine_degradation	Amide,_Amidine,_Amine,_and_Polyamine_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
URDEGR-PWY	superpathway_of_allantoin_degradation_in_plants	superpathway_of_allantoin_degradation_in_plants	Amide,_Amidine,_Amine,_and_Polyamine_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
ARGININE-SYN4-PWY	L-ornithine_biosynthesis_II	L-ornithine_biosynthesis_II	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
ARGSYN-PWY	L-arginine_biosynthesis_I_(via_L-ornithine)	L-arginine_biosynthesis_I_(via_L-ornithine)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
ARGSYNBSUB-PWY	L-arginine_biosynthesis_II_(acetyl_cycle)	L-arginine_biosynthesis_II_(acetyl_cycle)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
ASPASN-PWY	superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
CITRULBIO-PWY	L-citrulline_biosynthesis	L-citrulline_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
COMPLETE-ARO-PWY	superpathway_of_aromatic_amino_acid_biosynthesis_(from_phospho<i>enol</i>pyruvate_and_D-erythrose_4-phosphate)	superpathway_of_aromatic_amino_acid_biosynthesis_(from_phosphoenolpyruvate_and_D-erythrose_4-phosphate)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
DAPLYSINESYN-PWY	L-lysine_biosynthesis_I	L-lysine_biosynthesis_I	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
GLUTORN-PWY	L-ornithine_biosynthesis_I	L-ornithine_biosynthesis_I	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
HISTSYN-PWY	L-histidine_biosynthesis	L-histidine_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
HOMOSER-METSYN-PWY	L-methionine_biosynthesis_I	L-methionine_biosynthesis_I	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
HSERMETANA-PWY	L-methionine_biosynthesis_III	L-methionine_biosynthesis_III	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
ILEUSYN-PWY	L-isoleucine_biosynthesis_I_(from_threonine)	L-isoleucine_biosynthesis_I_(from_threonine)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
LYSINE-AMINOAD-PWY	L-lysine_biosynthesis_IV	L-lysine_biosynthesis_IV	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
P4-PWY	superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_I	superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_I	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-2941	L-lysine_biosynthesis_II	L-lysine_biosynthesis_II	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-2942	L-lysine_biosynthesis_III	L-lysine_biosynthesis_III	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-3001	superpathway_of_L-isoleucine_biosynthesis_I	superpathway_of_L-isoleucine_biosynthesis_I	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-4361	<i>S</i>-methyl-5-thio-&alpha;-D-ribose_1-phosphate_degradation_I	S-methyl-5-thio-alpha-D-ribose_1-phosphate_degradation_I	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-4981	L-proline_biosynthesis_II_(from_arginine)	L-proline_biosynthesis_II_(from_arginine)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-5004	superpathway_of_L-citrulline_metabolism	superpathway_of_L-citrulline_metabolism	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-5097	L-lysine_biosynthesis_VI	L-lysine_biosynthesis_VI	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-5101	L-isoleucine_biosynthesis_II	L-isoleucine_biosynthesis_II	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-5103	L-isoleucine_biosynthesis_III	L-isoleucine_biosynthesis_III	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-5104	L-isoleucine_biosynthesis_IV	L-isoleucine_biosynthesis_IV	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-5154	L-arginine_biosynthesis_III_(via_<i>N</i>-acetyl-L-citrulline)	L-arginine_biosynthesis_III_(via_N-acetyl-L-citrulline)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-5345	superpathway_of_L-methionine_biosynthesis_(by_sulfhydrylation)	superpathway_of_L-methionine_biosynthesis_(by_sulfhydrylation)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-5347	superpathway_of_L-methionine_biosynthesis_(transsulfuration)	superpathway_of_L-methionine_biosynthesis_(transsulfuration)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-6281	L-selenocysteine_biosynthesis_II_(archaea_and_eukaryotes)	L-selenocysteine_biosynthesis_II_(archaea_and_eukaryotes)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-6628	superpathway_of_L-phenylalanine_biosynthesis	superpathway_of_L-phenylalanine_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-6629	superpathway_of_L-tryptophan_biosynthesis	superpathway_of_L-tryptophan_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-6630	superpathway_of_L-tyrosine_biosynthesis	superpathway_of_L-tyrosine_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-6936	seleno-amino_acid_biosynthesis_(plants)	seleno-amino_acid_biosynthesis_(plants)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-724	superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_II	superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_II	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-7270	L-methionine_salvage_cycle_II_(plants)	L-methionine_salvage_cycle_II_(plants)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-7400	L-arginine_biosynthesis_IV_(archaea)	L-arginine_biosynthesis_IV_(archaea)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-7527	L-methionine_salvage_cycle_III	L-methionine_salvage_cycle_III	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-7528	L-methionine_salvage_cycle_I_(bacteria_and_plants)	L-methionine_salvage_cycle_I_(bacteria_and_plants)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-7546	diphthamide_biosynthesis_II_(eukaryotes)	diphthamide_biosynthesis_II_(eukaryotes)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY-821	superpathway_of_sulfur_amino_acid_biosynthesis_(<i>Saccharomyces_cerevisiae</i>)	superpathway_of_sulfur_amino_acid_biosynthesis_(Saccharomyces_cerevisiae)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
PWY0-1061	superpathway_of_L-alanine_biosynthesis	superpathway_of_L-alanine_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
SER-GLYSYN-PWY	superpathway_of_L-serine_and_glycine_biosynthesis_I	superpathway_of_L-serine_and_glycine_biosynthesis_I	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
THRESYN-PWY	superpathway_of_L-threonine_biosynthesis	superpathway_of_L-threonine_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
TRPSYN-PWY	L-tryptophan_biosynthesis	L-tryptophan_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
VALSYN-PWY	L-valine_biosynthesis	L-valine_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
ARGDEG-PWY	superpathway_of_L-arginine,_putrescine,_and_4-aminobutanoate_degradation	superpathway_of_L-arginine,_putrescine,_and_4-aminobutanoate_degradation	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
AST-PWY	L-arginine_degradation_II_(AST_pathway)	L-arginine_degradation_II_(AST_pathway)	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
GLUDEG-I-PWY	GABA_shunt_I	GABA_shunt_I	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
HISDEG-PWY	L-histidine_degradation_I	L-histidine_degradation_I	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
ILEUDEG-PWY	L-isoleucine_degradation_I	L-isoleucine_degradation_I	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
LEU-DEG2-PWY	L-leucine_degradation_I	L-leucine_degradation_I	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
LYSINE-DEG1-PWY	L-lysine_degradation_XI	L-lysine_degradation_XI	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
ORNARGDEG-PWY	superpathway_of_L-arginine_and_L-ornithine_degradation	superpathway_of_L-arginine_and_L-ornithine_degradation	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-5028	L-histidine_degradation_II	L-histidine_degradation_II	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-5030	L-histidine_degradation_III	L-histidine_degradation_III	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-5079	L-phenylalanine_degradation_III	L-phenylalanine_degradation_III	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-5081	L-tryptophan_degradation_VIII_(to_tryptophol)	L-tryptophan_degradation_VIII_(to_tryptophol)	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-5328	superpathway_of_L-methionine_salvage_and_degradation	superpathway_of_L-methionine_salvage_and_degradation	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-5651	L-tryptophan_degradation_to_2-amino-3-carboxymuconate_semialdehyde	L-tryptophan_degradation_to_2-amino-3-carboxymuconate_semialdehyde	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-5655	L-tryptophan_degradation_IX	L-tryptophan_degradation_IX	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-6307	L-tryptophan_degradation_X_(mammalian,_via_tryptamine)	L-tryptophan_degradation_X_(mammalian,_via_tryptamine)	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-6309	L-tryptophan_degradation_XI_(mammalian,_via_kynurenine)	L-tryptophan_degradation_XI_(mammalian,_via_kynurenine)	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-6318	L-phenylalanine_degradation_IV_(mammalian,_via_side_chain)	L-phenylalanine_degradation_IV_(mammalian,_via_side_chain)	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY0-1305	L-glutamate_degradation_IX_(via_4-aminobutanoate)	L-glutamate_degradation_IX_(via_4-aminobutanoate)	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
THREOCAT-PWY	superpathway_of_L-threonine_metabolism	superpathway_of_L-threonine_metabolism	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
TYRFUMCAT-PWY	L-tyrosine_degradation_I	L-tyrosine_degradation_I	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
VALDEG-PWY	L-valine_degradation_I	L-valine_degradation_I	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
PWY-5751	phenylethanol_biosynthesis	phenylethanol_biosynthesis	Aromatic_Compound_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-5754	4-hydroxybenzoate_biosynthesis_I_(eukaryotes)	4-hydroxybenzoate_biosynthesis_I_(eukaryotes)	Aromatic_Compound_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-6435	4-hydroxybenzoate_biosynthesis_III_(plants)	4-hydroxybenzoate_biosynthesis_III_(plants)	Aromatic_Compound_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-6763	salicortin_biosynthesis	salicortin_biosynthesis	Aromatic_Compound_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-7397	naringenin_biosynthesis_(engineered)	naringenin_biosynthesis_(engineered)	Aromatic_Compound_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY1F-823	leucopelargonidin_and_leucocyanidin_biosynthesis	leucopelargonidin_and_leucocyanidin_biosynthesis	Aromatic_Compound_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate_degradation	4-hydroxyphenylacetate_degradation	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol_degradation_to_&beta;-ketoadipate	catechol_degradation_to_beta-ketoadipate	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
GALLATE-DEGRADATION-I-PWY	gallate_degradation_II	gallate_degradation_II	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
GALLATE-DEGRADATION-II-PWY	gallate_degradation_I	gallate_degradation_I	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
HCAMHPDEG-PWY	3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation_to_2-hydroxypentadienoate	3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation_to_2-hydroxypentadienoate	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
METHYLGALLATE-DEGRADATION-PWY	methylgallate_degradation	methylgallate_degradation	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
P165-PWY	superpathway_of_purines_degradation_in_plants	superpathway_of_purines_degradation_in_plants	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
P184-PWY	protocatechuate_degradation_I_(<I>meta</I>-cleavage_pathway)	protocatechuate_degradation_I_(meta-cleavage_pathway)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
P281-PWY	3-phenylpropanoate_degradation	3-phenylpropanoate_degradation	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
P3-PWY	gallate_degradation_III_(anaerobic)	gallate_degradation_III_(anaerobic)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate_degradation_II_(ortho-cleavage_pathway)	protocatechuate_degradation_II_(ortho-cleavage_pathway)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-1361	benzoyl-CoA_degradation_I_(aerobic)	benzoyl-CoA_degradation_I_(aerobic)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-1501	mandelate_degradation_I	mandelate_degradation_I	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-5055	nicotinate_degradation_III	nicotinate_degradation_III	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-5178	toluene_degradation_IV_(aerobic)_(via_catechol)	toluene_degradation_IV_(aerobic)_(via_catechol)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-5180	toluene_degradation_I_(aerobic)_(<I>via</I>_<i>o</I>-cresol)	toluene_degradation_I_(aerobic)_(via_o-cresol)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-5181	toluene_degradation_III_(aerobic)_(via_<i>p</i>-cresol)	toluene_degradation_III_(aerobic)_(via_p-cresol)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-5183	superpathway_of_aerobic_toluene_degradation	superpathway_of_aerobic_toluene_degradation	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-5415	catechol_degradation_I_(<I>meta</I>-cleavage_pathway)	catechol_degradation_I_(meta-cleavage_pathway)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-5417	catechol_degradation_III_(ortho-cleavage_pathway)	catechol_degradation_III_(ortho-cleavage_pathway)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-5419	catechol_degradation_to_2-hydroxypentadienoate_II	catechol_degradation_to_2-hydroxypentadienoate_II	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-5420	catechol_degradation_II_(<I>meta</I>-cleavage_pathway)	catechol_degradation_II_(meta-cleavage_pathway)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-5430	<i>meta</i>_cleavage_pathway_of_aromatic_compounds	meta_cleavage_pathway_of_aromatic_compounds	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-5431	aromatic_compounds_degradation_via_3-oxoadipate	aromatic_compounds_degradation_via_3-oxoadipate	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-5647	2-nitrobenzoate_degradation_I	2-nitrobenzoate_degradation_I	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-5724	superpathway_of_atrazine_degradation	superpathway_of_atrazine_degradation	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-6071	superpathway_of_phenylethylamine_degradation	superpathway_of_phenylethylamine_degradation	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-6107	chlorosalicylate_degradation	chlorosalicylate_degradation	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-6182	superpathway_of_salicylate_degradation	superpathway_of_salicylate_degradation	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-6185	4-methylcatechol_degradation_(<i>ortho</i>_cleavage)	4-methylcatechol_degradation_(ortho_cleavage)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
