"","train_18","train_19","train_20","train_21","train_22","train_23","train_24","train_25","train_26","train_27","train_28","train_29","train_30","train_31","train_32","train_33","train_34","train_35","train_36","train_37","train_38","train_39","train_40"
"Prevotella_sp_CAG_279",0.54237,3.58636,0,0,0,0,1.67084,0,0,0,0,2.20607,0,0,1.47285,1.48213,0,0,0.05148,6.35733,0,0,0
"Ruminococcus_bromii",0.62046,2.60764,0,0.88275,2.96416,1.81164,1.18692,1.1716,0.9482,0,4.03317,2.77377,0,0.73559,1.97844,2.39708,0.04701,0.04772,0.16777,3.47376,10.49883,0,6.96371
"Phascolarctobacterium_succinatutens",0,0.74346,0,0.00407,0,0,0,0,0,0,0,1.00235,0,0,0,0,0,0,0.31733,0,0,0,1.1077
"Prevotella_sp_CAG_873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34549,0,0,0,0,0,0,0
"Roseburia_inulinivorans",0.53393,0.09145,0,0.31352,2.84573,0,0.02335,1.07553,0,0.63234,0.43834,2.59093,0,0,1.3779,0,3.40382,0.82035,0.33746,0.98536,0.15417,0.32634,0.06908
"Ruminococcus_torques",0,0.27525,0.1099,0.23779,0.48799,1.28468,0,0.73501,0.84328,0,1.86798,0.07252,1.05891,0,0.02514,0.10578,0.52151,0.19472,0.03651,0.10184,0.17798,0.07301,0.30263
"Bacteroides_stercoris",0,0,0,0,0,3.07075,0.22208,0,0,0,3.64331,0,0,0,0.09928,0,0,0.02542,0.00581,0.0184,0.17245,0,7.35774
"Eubacterium_sp_CAG_251",0,0,0,0,0,1.41672,0,0,0,0,0,0,0,0,0,0,0,0.52624,0.0607,0,0,0,0
"Alistipes_inops",0,0,4.04075,2.01196,0,0.49182,0,1.43316,0,0.19507,3.26491,0,0,0.80573,0,0,0,0.9326,0.15683,0,0,0.62262,1.23648
"Oscillibacter_sp_57_20",1.83877,2.18828,1.70899,0.54947,0.41418,0.78732,0,0,0.64477,6.41111,0.85526,0.41424,0.06401,0.07849,2.02131,4.94979,1.18202,6.95936,0.81561,0.46803,0,0.63212,0.39598
"Bacteroides_dorei",4.0928,2.69646,0,0,2.72698,10.59833,0.20883,0.03202,3.06802,0.69196,8.43865,1.65398,0,0.16146,1.08543,0.2967,0.08515,0.27293,0.21383,2.34139,0.05798,0,0.50977
"Lachnospira_pectinoschiza",0,0.31037,0,0,0,0.02462,0,0,0.48541,0,0,2.57149,0,0,0,0.47352,2.82949,0,0,0,0,0.00979,0.51177
"Prevotella_stercorea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_caccae",2.61604,0,3.84858,1.26677,2.79603,1.64121,1.72622,0,0,0.89071,5.56363,0.80978,0,0,0.24494,0.02847,0,0.58425,0.05156,0.60857,0.691,2.246,0.10209
"Parabacteroides_distasonis",3.70247,0.37574,0,1.15748,3.22514,3.22176,2.02205,5.01526,3.21471,0.58415,1.35174,0.70246,2.38557,0.42988,1.48203,0.06116,0.28889,0.20086,0.07079,0.54146,0.67968,2.11065,1.0207
"Haemophilus_parainfluenzae",0,0,0,0,0.01238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odoribacter_splanchnicus",1.12154,0.05654,1.01771,0.68725,0.52919,1.85415,0.29433,0.49431,0.66763,0,0.32949,0.46713,0.65007,0.07184,0.36724,0,0.63797,0.26006,0,0.62704,0.61588,1.11804,0.30819
"Firmicutes_bacterium_CAG_110",0,0.68164,0,0.23791,0.08258,0.30622,0,1.74579,1.4823,6.77157,1.75529,0.53977,0,0.1013,6.90346,0.3808,1.59437,4.40451,0.03475,0,0,0.10665,3.57129
"Coprococcus_eutactus",0.03145,0.35075,0,0,0,0,0,0,0,0,0,7.42518,0,0.2388,0,0,0,0,0,0,2.1619,0.03871,0.00277
"Paraprevotella_xylaniphila",0,0.09253,0,0,0.03503,1.09714,0.51575,0,0.3334,0,0,0,0,0,0,0,0,0.03578,0,0,0,0,0
"Slackia_isoflavoniconvertens",0.25177,0.39205,0,0,0.21121,0.24677,0.1013,0,0,0,0,0.11195,0,0.9652,0.4847,2.44506,0,2.52334,0,0,0,0,0
"Bacteroides_ovatus",0.83307,0,0.01906,1.73838,0.0773,0.37398,0.25169,0.08166,0.1025,0.24792,0.00371,0.08559,3.57303,0,0,0,0.90308,0,0.00328,1.21041,0.36055,0.0486,0
"Bacteroides_sp_CAG_144",0,1.48933,0,1.26583,1.2588,0.66499,0,0,0,0.75077,0,0.36971,0,0,0.07449,0,0,0,0.08695,0,0.11342,0,0.04494
"Clostridium_sp_CAG_58",0,0,0,0.18702,0,0.02123,0,0.27283,0.13028,0,0,0,0,0,0.65873,0,0.51839,0.07793,0.00975,0.13177,0.09425,0.8497,0.14781
"Roseburia_hominis",1.03793,1.29119,0.06624,0.54796,0.47164,0.20757,0.03045,0,0,2.89161,0.02098,0.10455,0,0,0.59495,0.58116,2.02045,0.61631,0.12168,2.68306,0.06446,0.27367,0.53064
"Dorea_longicatena",0,1.67872,0.29638,1.07036,0.71035,0.50161,0.05062,0,0.46209,0,0.5424,0.20915,1.92206,0,0.12488,0.16797,0.70064,0.14855,0.07943,0.90594,1.23679,0.11735,1.58262
"Eubacterium_sp_CAG_38",0,0.03739,0.07135,2.09521,3.12339,4.2044,0,0.32704,0.08275,0,0.07294,0.21533,0.042,0,0.10485,0,0,0.27156,0,0.75268,0,0,1.14914
"Parabacteroides_merdae",0.62395,0.663,0,0,0.80619,1.08678,0.95501,0.80519,0.98708,0.53088,0.92059,1.31135,9.21234,0.25217,1.27562,0,0.12575,0.25735,0.02757,0.6404,0,0.90079,1.02536
"Ruminococcus_lactaris",0,0.13467,0,0.97732,0,2.69162,0,0.55315,1.71416,1.4407,0,0.50933,0.03538,0,1.88824,0,0,0.87245,0.04863,2.88466,0,0.36694,0
"Gemmiger_formicilis",0,1.2433,0.03335,0.32605,0.26971,0.18578,0.02265,0.08313,0.06058,0.22584,0.1969,0.26183,0.04053,0.01305,0.82746,0.33405,0.08862,1.0476,0.05236,0.07129,0.3417,0.22614,0.43432
"Bifidobacterium_dentium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11155,0.05302,0,0,0,0,0.00346,0,0
"Blautia_obeum",0,1.64657,0,1.26141,0.31617,0.06891,0.09801,0,0.28677,0,0.59996,0.15007,1.81704,0,0.02507,0,0,0,0.06945,0.10471,0.16946,0,0.63087
"Firmicutes_bacterium_CAG_83",0.54396,0.40856,0.03587,0.00316,0.15491,0.02481,1.5384,0,0.03612,0.96118,0.07154,0.14337,0.14137,0.31235,1.14215,0.20622,0.02723,0.68506,1.22893,2.16633,2.76989,0.03249,0.17883
"Desulfovibrio_piger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73835,0,10.45779,0,0,0,0,0.59573
"Eubacterium_rectale",0.14456,0.10853,0.09327,1.01568,0.45951,0.03556,1.04854,17.54788,1.53725,0,0.11051,8.3489,1.63608,0,3.84132,1.46205,0.29093,1.35179,0.16625,5.41298,3.17733,0.04624,0.88869
"Agathobaculum_butyriciproducens",0,0,0.06362,0.12102,0.03795,0.46481,0.01258,0,0.12107,0.04499,0.10256,0.40654,0.12362,0.18008,0.24419,1.38078,0.12632,0.40272,0.35822,0.06426,0.44372,0,1.16408
"Bacteroides_massiliensis",0,0.35098,0,0,0,2.09248,3.79312,0,1.23662,0,0,0,0,0,0.0503,0,0,0.86317,0,0.83906,0.65413,0.09339,0.1627
"Parabacteroides_johnsonii",0,0,0,0,0.01421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185,0,0
"Veillonella_dispar",0,0,0,0.04649,0.02609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_infantium",0,0,0,0,0.02045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_atypica",0,0,0,0,0.00173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_finegoldii",0,0,0,0,5.66654,0,0.84895,0,0.15279,0,1.91133,0.32401,0,0,0.00614,0,0,0,0,0,0,0,0.09181
"Bifidobacterium_animalis",0,1.58477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_CAG_241",0,0.91275,0.50538,1.58571,1.36696,0.00886,0,0,2.74707,0,0.25159,0.57256,0.31423,3.09309,0.05417,1.92576,0.10324,1.57466,8.33052,0.11827,0.01623,0.09656,5.1566
"Bacteroides_intestinalis",0,0,0,0,0.05293,0,0.58606,0,0,0,0,0,0,0.14756,0,0,4.66814,0,0,0,0,0,0.92972
"Anaerostipes_hadrus",0,0.44902,1.23012,0.19122,0.31442,0.35187,0,0.19225,0.02605,0,0.39262,0.6404,0.10345,0,0,0,1.04727,0.04237,0.05245,0.76309,0.01154,0.10182,0.63468
"Clostridium_perfringens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catenibacterium_mitsuokai",0.15043,0,0,0,0,0,0,0,0,0,0,0.32888,0,0,0,0,0,0,0,0,0.0914,0,0
"Streptococcus_parasanguinis",0,0,0,0.01378,0.05326,0.08791,0.10659,0,0,0,0,0,0,0,0.07779,0,0,0,0,0,0.53417,0,0
"Butyricimonas_virosa",0.59092,0,0,0.03176,0.47284,0.26309,0.50218,0.06703,0,0,0,0,0,0,0,0,0,0,0,0.13526,0,0.16236,0
"Clostridium_sp_CAG_253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_ventriosum",0,0.03793,0.04679,0.00057,0.00528,0.05334,0,0,0.03964,0,0.68569,0,0.88299,0,0,0,0.15515,0,0,0.00358,0,0,0
"Firmicutes_bacterium_CAG_238",0,0.52702,0,0,0.03601,0,0,0,0,0,0,1.0178,0,0,0,0.1861,0,0,0,0,0,0,0
"Alistipes_finegoldii",3.3998,0.08766,33.43601,0.42524,0.05482,0.32998,0.34813,0.06779,0.73716,2.71194,0.15113,0.06993,3.05423,2.02007,0.10341,0,0.2706,0.52344,0,1.52176,0.6407,2.06555,0.85589
"Coprococcus_catus",0,1.20917,0,0.12057,0.20421,0.04974,0,0,0,0,0.88508,0.07446,0.28714,0,0.05238,0.23031,0,0,0.01093,0,0.13395,0,0.98962
"Eubacterium_hallii",0.30714,1.25127,0.1938,0.31549,0.72789,1.01205,0.00406,0.13802,0.17132,0,0.48522,0.31141,0.50212,0,0,0.20392,0.04676,0.23403,0.03089,0.4516,0.37005,0.12806,0.68858
"Alistipes_putredinis",4.48273,3.93781,0.0877,0.03136,6.56214,3.34818,4.12638,12.45728,4.91183,8.21858,0,5.02799,7.33733,10.45799,12.0864,0.05864,3.53959,8.47339,8.89774,0.20807,7.67079,15.66889,4.74018
"Bacteroides_fragilis",0,0,0,0.40351,0.11596,0,0,0,0.65063,0,0,0.00782,0,0.85904,0,0,0.16716,0.22038,0,0,0,0,0
"Bacteroides_cellulosilyticus",0.25878,0.75062,0,0.28309,0,1.38555,0.49411,0,2.14617,0,0,0,0,0,0.23693,0.02559,0.3071,0.4601,0,1.88383,0.52029,2.1344,0
"Veillonella_sp_T11011_6",0,0,0,0,0.00146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_ramulus",0,0.11235,0,0.1067,0.06469,0.19522,0,0,0.01137,0,0.16169,0.07854,0,0,0,0,0,0,0,0,0,0.10289,0.29281
"Holdemanella_biformis",0,0,0,0.14252,0,0.03428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04739,0,0,0.24404
"Lawsonibacter_asaccharolyticus",0,0,0.02666,0.00405,0.05191,0.11772,0.10596,1.82233,0.03839,0,0.03006,0,0,0.05893,0.11834,0,0.2866,0.25347,0.09268,0.76676,0.00305,0.04903,0.03468
"Akkermansia_muciniphila",15.95535,8.27706,8.78338,0.78519,5.93632,0.25481,3.81423,0.00395,4.61095,0,17.35496,4.18742,26.89411,30.745,4.22363,1.38237,3.47838,0,30.08196,0.88692,0,5.40403,0.02275
"Eubacterium_sp_CAG_180",16.36723,0.87517,17.67001,0,0,0,14.5266,0,11.70233,12.72105,11.72336,0,0,0,1.14529,2.2522,0,0,0,11.17517,0,0,0
"Bacteroides_xylanisolvens",0.08004,0,0,0,0.01813,0.824,0.97994,0,0,0.20116,0.81226,0.12515,0.08762,0,0.05752,0,0,0,0,2.39046,0.09463,0.36116,0.424
"Ruminococcus_bicirculans",1.29956,0,0.20953,2.54562,3.42561,0.31036,0.89783,0.21221,0.39298,0.4961,0.65138,0.05101,0.68836,0,1.93599,0,2.54343,0.08854,0.23424,0,0.0329,0,0.81105
"Monoglobus_pectinilyticus",0,0,0,0.13681,0,0,0,0,0,0,0.63255,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacillus_cateniformis",0,0,0,0,0.04673,0,0,0,0,0,0.61411,0,0,0,0,0,0,0,0,0,0.12081,0,0
"Alistipes_shahii",1.77629,0,0.88133,0,0.05803,0.0455,0.17271,0.64699,0.1797,0,0.40775,0.11252,0.32319,0.30606,0.59975,0,0.53388,0.593,0.28013,0.3936,0,3.80024,0.05614
"Bifidobacterium_bifidum",0,2.23525,0,0,0.232,0,0.11482,0,0,0,0.32426,0,0,0.91824,0,0,0,0,0,0,0.56125,0,0
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0.10623,0,0,0.61731,0,0,0.16909,0,0,0,0,0,0,0,0,0,0,0,0
"Asaccharobacter_celatus",0,0.06733,0,0.07159,0.00791,0,0,0,0,0,0.1591,0.0747,0,0.19246,0.05102,0,0.2148,0.44044,0.49411,0.03882,0.17075,0,0.23948
"Eisenbergiella_tayi",0.15665,0,0,0,0,0,0,0,0,0,0.14847,0,0,0,0,0,0,0,0.01998,0,0,0,0
"Adlercreutzia_equolifaciens",0,0.01771,0,0.0258,0.00725,0,0,0,0,0,0.06339,0,0,0.06585,0.00917,0,0.25136,0.55729,0.16525,0,0.11071,0,0.03666
"Alistipes_onderdonkii",0,0,0,0,0,0.01403,0,0,0,0,0.0605,0,0,0,0.08949,0,0,0,0,0,3.37923,0,0
"Ruminococcaceae_bacterium_D5",0,0,0,0.00409,0.03592,0,0,0,0,0,0.05104,0,0,0.1498,0.0296,0,0,0,0.0501,0,0,0,0
"Hungatella_hathewayi",0,0,0,0,0.06808,0,0,0,0,0,0.04747,0,0,0,0.24794,0,0,0,0,0,0,0,0
"Bilophila_wadsworthia",0,0,0,0.00061,0.1194,0.38645,0.04161,0,0.08577,0,0.04439,0,0.13382,0.16006,0,0,0.01969,0.0967,0,0.50069,0.03327,0.10706,0.01321
"Holdemania_filiformis",0,0,0,0,0.00139,0.02489,0,0,0,0,0.0358,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinimonas_butyriciproducens",0.31392,0,0,0,0.02347,0.03489,0.61065,0,0,0,0.01933,0,0,0.33282,0.03069,0,0.29531,0.1066,0,0.09222,0,0.05558,0
"Gordonibacter_pamelaeae",0,0,0,0.02366,0,0,0,0,0.1166,0,0.01876,0,0,0.01764,0,0.03557,0,0.12157,0.07735,0,0.07772,0,0.05
"Parvimonas_micra",0,0,0,0,0,0,0,0,0,0,0.01771,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_stercoris",0,0.11042,0,0.00201,0.0045,0.01471,0,0,0,0,0.01614,0,0,0.05522,0.04883,0.37277,0,0.06419,0.16152,0,0,0,0.00489
"Eubacterium_sp_CAG_274",0,0,0,0,0.21963,0.61031,0,0,0,0,0.01574,0,0,0,0,0,0,0,0,0,0,0,0.15546
"Anaeromassilibacillus_sp_An250",0,0,0.45859,0.01223,0,0,0,0,0,0,0.01543,0,0,0,0,0,0,0,0,0.01409,0,0,0
"Flavonifractor_sp_An100",0,0,0,0,0,0,0,0,0,0,0.01457,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_obeum_CAG_39",0,0,0,0,0,0,0,0,0,0,0.01172,0,2.10336,0,0.02081,0,0,0,0,0,0,0,0
"Collinsella_massiliensis",0,0,0,0,0.00173,0.00262,0,0,0,0,0.00759,0,0,0.05179,0,0.05212,0,0.00782,0,0,0,0,0
"Anaerotruncus_colihominis",0,0,0,0,0,0,0,0,0,0,0.00562,0,0,0,0.06909,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_471",0,0,0,0.05425,0.02751,0,0,0,0,0,0.0053,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella_morbillorum",0,0,0,0,0,0,0,0,0,0,0.00451,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_intestinalis",0,0,0,0,0.00359,0.0032,0,0,0,0,0.00295,0,0,0,0,0,0,0.02336,0.00619,0,0,0,0
"Streptococcus_milleri",0,0,0,0,0,0,0,0,0,0,0.00255,0,0,0,0,0,0,0,0,0,0,0,0
"Harryflintia_acetispora",0,0,0,0,0,0,0,0,0,0,0.00237,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium_rimae",0,0,0,0,0,0,0,0,0,0,0.00174,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0,0,0,0,0,0,0,0,0,0,0.00174,0,0,0,0,0,0,0,0,0,0,0.06057,0
"Enterorhabdus_caecimuris",0,0,0,0,0,0,0,0,0,0,0.00127,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_170",0,0.04663,0,0.01616,0.09621,0.46628,0,0,0,0,0,0,0,0,0.07566,0.42775,0,0.10561,0.83376,0,0,0,0.02661
"Bifidobacterium_adolescentis",0.3895,13.64282,0,0.05006,0.98574,0.32348,0,0,0,1.08785,0,0.47118,2.03992,11.65991,0.22918,15.4216,0,0.03106,4.66699,0.95881,11.54066,0,1.23263
"Lactobacillus_salivarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanobrevibacter_smithii",3.28473,4.14093,0,0,0.5664,0.48663,0.21628,0,0,0,0,0,1.09344,0,0,0.72556,0.9515,0,0,0.02961,0,0,0
"Coprobacter_fastidiosus",0.02644,0.04509,0,0.07873,0,0.09934,0.03128,0.24956,2.06571,0,0,0,0.0389,0,0,0,0,0,0,0.29985,0,0,0
"Bifidobacterium_scardovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06069,0,0
"Bifidobacterium_longum",0.66443,3.04711,0.28534,0,0.27903,0.0365,0.44656,0.03378,0,0,0,0,1.15856,3.79476,0,2.03553,0.38724,1.37541,1.08975,0.85155,2.78438,0.3857,0.39524
"Lactobacillus_paragasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00762,0,0
"Lactobacillus_gasseri",0,0,0,0,0,0,0.01891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parascardovia_denticolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_gastricus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mutans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
