"","train_369","train_370","train_371","train_372","train_373","train_374","train_375","train_376","train_377","train_381","train_382","train_386","train_387","train_388","train_391","train_392","train_396","train_397","train_398","train_405","train_406","train_418","train_419","train_420","train_421","train_422","train_423","train_424","train_425","train_426","train_469","train_488","train_489","train_490","train_491","train_506","train_533","train_534","train_535","train_538","train_539","train_540","train_541","train_543","train_544","train_586","train_587","train_588","train_595","train_596","train_597","train_598","train_605","train_614","train_615","train_616","train_626","train_627","train_628","train_629","train_630","train_632","train_633","train_634","train_635","train_636","train_637","train_638","train_645","train_646","train_647","train_648"
"Streptococcus_pasteurianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella_lenta",0.01117,0.07191,0.08162,0.02634,0.01558,0.08685,0.09252,0.05492,0.49891,0,0.0364899999999999,0,0,0,0,0,0.11454,0,0,0.04003,0,0,0,0,0,0,0,0,0,0,0.04347,0.16173,0.03304,0.10556,0,0,0.02601,0.04807,0.0192199999999999,0.02721,0,0.00506,0.00777,0.03826,0.01587,0,0,0,0,0,0,0,0,0.0174199999999999,0.01154,0.00172,0.00447,0,0.00652,0.00806,0,0.01172,0.87788,0.00563,0,0.04146,0.02283,0.04153,0,0.03405,0.21606,0.03323
"Dorea_sp_CAG_317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462,0.00707,0,0.0513799999999999,0,0,0,0,0,0,0.00852,0,0.0302899999999999,0,0,0,0,0,0,0,0,0,0.07307,0.00213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116,0,0,0,0,0,0
"Propionibacterium_freudenreichii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_innocuum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00278,0.0007599999999999,0,0.017,0,0,0,0,0,0,0.00877,0,0.01757,0,0,0,0.00041,0,0,0,0.00887,0,0.01761,0,0,0,0,0,0,0,0,0,0.00495,0.00316,0.00286,0,0,0,0,0,0,0.17093,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_oralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella_pneumoniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_HPA0247",0,0.0028,0,0.00366,0,0.00233,0.00104,0,0.00332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mitis",0,0,0,0,0,0.00059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052,0.00072,0,0.04191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00229,0,0.00078,0,0,0,0,0,0,0,0,0,0.00484,0,0,0,0,0.00221,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruthenibacterium_lactatiformans",0.02271,0.10384,0.08356,0.03385,0.00767,0.09131,0.09459,0.0773399999999999,0.24652,0,0,0.02209,0.01326,0.0088799999999999,0.00874,0,0.55531,0.45492,0.29223,0.08928,0.1396,1.90339,1.95257,2.01434,0.72512,0.74574,0.04679,0.03013,0,0.50753,0.03421,0.26235,0.17023,0.107,0,0,0.09647,0.12333,0.01546,0.00907,0,0.04573,0.08862,7.39367,0.54775,0.06991,0.01675,0.0673899999999999,0,0.04862,0.14184,0,0.05068,0.19185,0.21354,0.18044,0.10155,0.05142,0.03751,0.06118,0.03685,0.22721,0.52953,0.0952,0.03127,0.15243,0.03662,0.11783,0.14263,2.94331,0.25563,0.16333
"Atopobium_parvulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_copri",51.75388,30.76475,30.74585,60.03411,61.81151,31.79563,31.32011,31.43958,8.63098,78.45394,47.78221,0,0,0.00293,0,0,0,0,0.0123299999999999,15.64231,14.82493,0,0,0,0,0,0,0,0,0.01091,26.44,0,0,0,0,0,0,0,0,51.22802,63.92194,0.00522,0.01079,0.00421,0,0,0,0,0,0,0,0,0,0.00182,0.00175,0,0,0,0,0,0.00054,0.0232199999999999,0,56.98738,72.19403,20.2445,68.67105,15.54325,0,0,0.00539,0
"Actinomyces_sp_S6_Spd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179,0,0,0.00805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_aerofaciens",0.76051,0.6473,0.82037,0.4699,0.67987,0.39404,0.44357,0.49191,4.35085,0.51457,0.93419,0,0,0,0.70227,1.04369,0,0,0,1.87103,0.57558,2.86123,2.9174,4.17918,4.35616,7.06583,0.47392,0.57475,0.81406,1.11825,0.31934,0,0,0,0,1.5859,0.17431,0.32424,0.2128,0.54483,0.25121,0,0,0.41415,0.54764,1.28175,0.29574,0.3974,1.70949,0.44333,2.83297,0.341,1.95175,0,0,0,1.10825,0.29218,0.39957,0.36065,0.2069,0.42047,1.1014,0.25213,0.0710799999999999,0.22624,0.12764,0.38013,0.62088,6.39404,1.40199,0.38562
"Romboutsia_ilealis",0,0,0,0,0,0.01393,0.00794,0.00645,0,0,0,0.00958,0.00503,0,0,0,0,0,0,0,0,0.01315,0.01317,0,0,0,0,0,0,0,0,0.06917,0.0255199999999999,0.05556,0,0,0,0,0,0,0,0,0.00098,0,0.00064,0,0,0,0,0,0,0,0,0.00133,0.00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007099999999999,0,0
"Clostridiales_bacterium_CHKCI006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_siraeum",0.04803,0.03963,0.00667,0.01994,0.0075299999999999,0.47019,0.42819,0.33882,0,0,0,0.41696,0.40269,0.44761,1.94336,2.17847,0,0,0,0,0,0.218,0.22096,0.1412,2.44313,2.66927,4.2268,4.53838,4.77441,15.46222,0,0.44205,0.28274,0.04763,0,0.15646,0,0,0,0,0,0.1128,0.09038,0,0,0.06615,0.10486,0.3022,0.78243,0.30447,0.5207,0.2343,0.09043,0.33655,0.0302,0.0077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35317,0,0
"Bacteroides_uniformis",2.09298,6.27887,6.08173,0.65421,0.60487,1.51351,1.52465,1.55222,1.92744,0.05817,0.67401,7.98879,8.14335,8.84916,15.53924,17.08774,11.84509,14.31696,6.84016,7.95524,2.82075,6.65824,6.58991,6.4837,1.77161,1.63444,11.91652,12.33117,13.16083,7.04769,3.99484,0.7409,0.54964,4.13694,3.7238,12.17915,5.2982,11.01389,12.64532,2.73748,0.12706,23.39233,12.96335,3.23125,13.39252,6.70089,10.8709,15.15403,9.97393,13.38983,2.00831,14.59533,7.08557,39.98318,17.28568,27.37692,2.52659,2.21505,1.451,5.86509,5.22615,6.41869,27.07912,2.80062,1.30578,6.60076,1.48067,4.90308,9.62172,33.43812,3.85637,0.45389
"Prevotella_sp_CAG_279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_bromii",0,0,0,0,0,0,0,0,0,0.87356,1.70791,0,0,0,0,0,0.66412,0.39248,11.21298,2.22778,0.32762,2.33564,2.24836,2.0889,5.09316,5.137,1.11983,1.20851,0.81927,2.99644,0,0,0,0,0,0,2.73533,0.97505,1.51861,1.75635,2.51416,4.70052,1.33233,1.93164,0.7776,0,0,0,0,0,0,0,0,1.10319,3.74408,1.97501,0,0,0,0,0,0.01711,0,0,0,0,0,0,0,0,1.94092,0.63351
"Phascolarctobacterium_succinatutens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21551,1.70366,4.73099,3.09883,2.32818,2.90662,1.5354,0,0,0,0
"Prevotella_sp_CAG_873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_inulinivorans",0.05396,0.0245,0,0.10114,0.04615,0.01051,0.00955,0,0.01305,0.00053,0.48429,0.79084,0.75571,0.65958,2.62562,2.56068,0.03393,0,0.09003,0.25738,0.62088,0,0,0,0,0,0,0,0,0,0.10735,0.12298,0,0.1417,0.02473,0.19234,0.50784,0.29147,0.91412,0.09063,0.2084,0.34612,0.8619,0.02238,0.06672,1.43955,0.94875,1.80259,0,0,0,0.01123,0.9686,0.00806,1.24166,0.30795,0.05824,0.07766,0.25883,0.27733,0.79084,5.66322,0.24617,0.20513,0.49328,2.46115,0.32171,1.8874,1.75354,0.0817,0.36004,0.18635
