"","train_2786","train_2787","train_2788","train_2789","train_2790","train_2791","train_2792","train_2793","train_2794","train_2797","train_2798","train_2799","train_2800","train_2801","train_2803","train_2804","train_2805","train_2806","train_2807","train_2808","train_2809","train_2810","train_2811","train_2812","train_2813","train_2815","train_2816","train_2817","train_2818","train_2819","train_2824","train_2827","train_2828","train_2829","train_2830","train_2831","train_2832","train_2834","train_2835","train_2836","train_2837","train_2838","train_2839","train_2841","train_2842","train_2845","train_2846","train_2847","train_2848","train_2849","train_2850","train_2851","train_2852","train_2853","train_2854","train_2856","train_2857","train_2858","train_2859","train_2860","train_2861","train_2862","train_2864","train_2865","train_2866","train_2867","train_2868","train_2869","train_2870","train_2871","train_2872","train_2873","train_2874","train_2875","train_2876","train_2877","train_2878","train_2888","train_2890","train_2892","train_2895","train_2917","train_2921","train_2926","train_2927","train_2936","train_2940","train_2943","train_2948","train_2954","train_2957","train_2960","train_2961","train_2963","train_2964","train_2965","train_2967","train_2969","train_2970","train_2971","train_2972"
"Streptococcus_thermophilus",0,0.22498,0,0.01007,0,0,0,0.00095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister_invisus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia_sp_CAG_257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_plautii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04722,0,0,0,0,0,0,0,0,0,0,0.47126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactococcus_lactis",0.00562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02122,0.28368,0,0,0,0,0,0.1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12254,0,0,0.05333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_coli",15.27886,26.19273,2.09523,1.35891,14.97098,1.38156,0.11619,7.24668,32.66365,9.95132,0.24775,2.6847,0.03517,26.62358,4.37783,7.33199,3.99891,5.5792,0,0.23707,0.08107,1.76218,0,0.55934,1.78216,0,4.16153,0.98816,14.82521,0,0.16512,0.65412,10.65459,0.18401,0.04578,7.84399,7.00487,3.3296,0.30971,2.96712,7.08959,2.14096,12.40556,1.2634,3.13845,1.44308,0.77868,2.28247,2.17744,1.4006,2.43011,0,3.55073,0.3685,0.27197,4.81698,4.59437,0,3.72586,1.96497,0.02672,3.26423,3.56608,23.12675,0.42134,2.25653,5.07899,3.00998,7.40178,0,0.80817,0.2591,0,18.01162,0.11984,0.2073,24.2348,0.29763,0.00273,0.0084,0.27834,0,0.18655,0.70486,0.59509,10.23399,0.90436,2.33223,0.01157,4.25066,3.96767,0,2.51976,0.74695,6.56968,1.12418,5.40897,28.17015,0,0,9.25147
"Firmicutes_bacterium_CAG_94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turicibacter_sanguinis",0.00157,0,0.05846,0.08182,0.01287,0.00155,0,0.0359,0,0.00644,0,0.04473,0.00404,0,0,0,0,0.4766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridium_ramosum",0,0,0,0,0.02888,0,0,0,0,0,0,0,0,0.02195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusicatenibacter_saccharivorans",0.30625,0.82779,3.65483,2.02419,0.77255,0.33378,0.16626,1.37394,2.86902,4.5904,0.10604,1.27078,2.11173,1.64107,0.59572,0.30709,0.35433,2.05671,0.14776,0,0,0,0,0,0,0,0,0,0.01282,0.06549,0,0,0,0.0199,0,0,0,0,0,0,0.0039,0,0,0.44535,0,0,0.01908,0,0,0,0,0.00415,0.02327,0,0,0,0,0,0,0,0.01291,0,0.03803,0,0.02398,0,0,0.07505,0,0.01892,0,0,0,0,0,0.27252,0,0.34854,0,0,0,0.01829,0.31319,0,0.02187,0.15055,0.03964,0,0.56768,0.0134,0,0,0.00446,0,0.00568,0,0,0,0.02494,0,0
"Clostridium_disporicum",0.0117,0.00595,0.21251,0.23378,0.00534,0,0.00216,0,0,0,0,0,0.00125,0,0,0,0.02924,0.20516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_ICM47",0.0303,0.00231,0.10049,0.01577,0.01538,0.00029,0.00248,0.01986,0.02068,0.05328,0.00481,0.09492,0.03414,0.00256,0.01894,0.06089,0.00021,0.06153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0.03649,0.02525,0.2298,0.36495,0.23132,0.00493,0.06422,0.01632,0.00465,0.2116,0,0.02001,0.04667,0.02391,0.03889,0,0.12687,0.50778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_spiroforme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_saccharolyticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea_formicigenerans",8.41121,1.20465,3.78418,2.05371,2.06709,2.74087,1.09736,3.41113,2.35613,0.60417,0.53092,10.21708,2.81421,0.98365,1.58081,1.65067,1.23331,1.56206,0.15695,0.00597,0.11597,0.0372,0,0,0,0.21721,0,0.02593,0.11141,0.02532,0.04709,0.02823,0.03491,0.07567,0.05423,0.11842,0.48019,0.3056,0,1.10852,0.05573,0,0.09116,0.27174,0,0.08289,0.15215,0.04703,0.01527,0.1767,0.00271,0.08576,0.80498,0.02168,0.06166,0,0.14935,0,0,0.14379,0.11875,0.19002,0.12674,0.16016,0.30389,0.03269,0,0.21283,0.1688,0.1804,0.01495,0.10943,0.29631,0,0,0.35506,0.06446,0.02112,0.00141,0.02539,0,0.01846,0.07879,0,0.10006,0.50875,0.05649,0,0.02776,0,0.00209,0.01318,0.09843,0.95147,0.16002,0.07248,0,0.02199,0.04072,0,0
"Streptococcus_salivarius",0.04936,0.44672,1.12263,1.65717,0.58685,0.00196,0.44281,0.00211,0.11198,0.04876,0.57307,0.432,5.37574,0.00291,0.01317,7.70309,0.00028,0.00095,0.16675,0.02945,0,0,0,0,0,0,0.09545,0.17442,0.0041,0,0.02038,0,0,0.30969,0,1.77125,0,0,0,0,0,0,0,0.00695,0,0,0,0,0,0,0,0.42645,0,0,0,0,0,0,0,0,0.01088,0.01931,0,0,0,0.01863,0,0,0,0,0.00208,0.08303,0,0,0.14533,0.02274,0,0.10482,0.04895,0,0.03253,0.11648,0,0.05601,0.02337,0,0.53993,0.25645,0.11588,0,0.28794,0.08199,0,0.22117,0,0,0.06374,0.04563,0,0,0
"Clostridium_clostridioforme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_celatum",0,0,0,0.04075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0,0,0.00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella_lenta",0,0,0,0,0,0.0149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03434,0,0,0,0,0,0.0299,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea_sp_CAG_317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacterium_freudenreichii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_innocuum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_181",0.01503,0.01025,0.15116,0.08319,0.01427,0.00838,0,0.00412,0.02287,0.02034,0.00834,0.00068,0.00253,0,0,0,0,0.00246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_oralis",0.02101,0.00377,0.00736,0.00287,0.04175,0,0.05192,0.00848,0,0.00496,0,0.01639,0.01159,0.00014,0,0.00846,0,0,0.05942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212,0,0,0,0,0,0,0,0,0,0,0,0.22341,0.12775,0,0,0,0,0,0,0.00452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella_pneumoniae",0.04628,0.08603,1.32944,0.28396,2.03544,0.01009,0.00169,1.63219,0,0,0.0035,0.14753,0.00421,2.89651,0.12205,0.90963,0.05929,0,0,0,0,0,0,0,0,0,0.06931,0,1.53711,0,0,0,9.58429,0,0,2.5315,0.34515,0.60344,0,2.04988,0.05898,0,0.085,0,0,0.55812,0,0,0.17459,0,0,0,0.23898,0.15905,0,0,0,0,0,0.01232,0,1.53494,0.38333,5.14808,0,0,0,1.6155,0.2738,0,0.04789,1.29194,0,0,4.54927,0,1.46678,0,0,0,0,0.22772,0.02585,0.28041,0.15522,0.66997,0,0,1.25919,0,0,0,0,0,0,0.33167,0.26349,0,0,0,0
"Actinomyces_sp_HPA0247",0,0,0.03656,0.0092,0.00159,0.00829,0,0,0.01184,0.01115,0.00034,0.00181,0.00054,0,0.0157,0.00441,0,0.01729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mitis",0.01809,0.00224,0.00885,0,0.04912,0.00228,0.05359,0.00902,0.00193,0.00957,0,0.01274,0.02701,0.00026,0,0.01116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruthenibacterium_lactatiformans",0.00736,0.00119,0,0.02066,0.01592,0.09089,0,0.00545,0.01904,0,0,0.04457,5e-05,0.01386,0,0.01048,0,0.00533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12394,0,0,0,0.00392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5563,0,0,0,0,0,0.01413,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium_parvulum",0.00276,0.00395,0.00888,0.0063,0.00228,0,0.00103,0.00066,0.00023,0.00029,0,0.01116,0.00015,0,0,0.00446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_copri",2.58428,6.57692,7.16563,7.6766,5.87596,1.08954,13.25392,1.05694,0.81305,0.13086,31.61137,0.47524,2.95078,0.12851,16.70124,29.01647,38.67563,5.84199,37.70893,50.08391,8.02153,23.64525,25.06187,37.89817,0,18.37571,45.00846,29.20241,18.73916,68.04272,80.89347,34.67016,33.22383,31.05766,65.65866,22.06827,31.19305,55.4063,2.74353,16.85374,33.30836,50.07784,0.4487,3.45577,29.08222,36.27259,32.76922,82.80897,68.50771,47.54232,49.0645,50.62109,3.83202,34.97559,22.84742,37.46806,11.06987,24.96389,34.69453,52.99932,65.16783,36.81832,46.80168,3.08509,22.38635,39.58048,19.4411,25.21467,5.31934,6.42679,32.6051,54.42082,21.26601,5.46565,27.29853,21.99568,15.42509,20.12073,14.49949,51.38616,28.34189,47.04217,0,46.42022,12.48946,3.79392,32.42946,26.37116,0,24.93072,18.16724,20.5085,4.66178,4.66454,24.94848,29.15933,36.57708,15.88072,23.16326,29.70493,20.04652
