"","train_1198","train_1204","train_1230","train_1308","train_1381","train_1386","train_1388","train_1389","train_1392","train_1393","train_1394","train_1396","train_1397","train_1398","train_1400","train_1401","train_1402","train_1403","train_1405","train_1406","train_1408","train_1409","train_1410","train_1411","train_1412","train_1413","train_1415","train_1416","train_1417","train_1420","train_1421","train_1424","train_1425","train_1426","train_1428","train_1431","train_1433","train_1434","train_1435","train_1436","train_1437","train_1439","train_1441","train_1443","train_1446","train_1448","train_1449","train_1694","train_1696","train_1698","train_1703","train_1707","train_1708","train_1711","train_1712","train_1715","train_1717","train_1719","train_1720","train_1725","train_1728","train_1736","train_1742","train_1744","train_1746","train_1747","train_1748","train_1755","train_1759","train_1761","train_1765","train_1767","train_1768","train_1769","train_1773","train_1774","train_1776","train_1782","train_1783","train_1784","train_1786","train_1790","train_1796","train_1800","train_1803","train_1804","train_1805","train_1813","train_1816","train_1821","train_1828","train_1837","train_1844","train_1854","train_1855","train_1860","train_1861","train_1862","train_1873","train_1874","train_1877","train_1884","train_1890","train_1892","train_1893","train_1894","train_1901","train_1904","train_1905","train_1909","train_1910"
"Blautia_sp_CAG_257",0,0,0,0,0.06797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08761,0,0.11131,0.00729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423,0.04849,0,0,0,0,0
"Flavonifractor_plautii",0.01347,0,0.35747,0.36855,1.7144,0.00493,0.26082,0.0843,0,0.16237,0.03402,0,0.11328,0.05204,0,0.1253,0.01088,0.06764,0.01527,0,0.71407,0.0352,0.18612,0,0.01125,0.17946,0.02891,0.30681,0.13578,0.03005,0,0.14626,0.07337,0,0.0333,0,0,0.01653,0.00258,0,0.00932,0.37089,0.11763,0.47474,0.2421,0.01715,0,0,0.01576,0.01377,0,0.04971,0,0.0771,0.29455,0.00378,0.08485,1.08578,0.00195,0.04668,1.03898,0.1695,0.00657,0.10256,0,0.17141,0.0197,0.17443,0.01129,0.13023,0,0,0.00491,0.00139,0.05732,0.06477,0,0,0.00384,0.0107,0,0.00121,0,0.02607,0,0.1436,0.03632,0.02001,0.01319,0.00643,0.00209,0,0,0,0.16016,0.02564,0.17044,0.05015,0.02692,0.17416,0.00198,0.01175,0,0.00064,1.36276,0.18696,0.0072,0,0,0,0.0144
"Lactococcus_lactis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18815,0,0.00309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00717,0,0,0,0,0,0,0,0,0.03798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125,0,0,0,0,0,0,0,0,0
"Escherichia_coli",4.8699,38.20637,0,0.03596,0.05864,0,0,0.01343,0,0.00479,0,0.91415,0,0.00539,0.10898,0.03409,2.18844,0,0,0,0.00507,0,0.00647,0.02784,0.1134,0,0.21729,0,0,0.22403,0,0.01642,0,0.09719,0.01832,0,0,0,0.00325,0,13.85124,0.3349,0.04587,0,1.30713,0,0,0,0,0.26244,0.02263,0,0,0.09283,12.57905,0.18006,1.80646,1.11569,0.06501,0,0.05938,0.02931,0,0,0,0.0513,0,20.89354,0,0,0,0,0,5.43089,0.10788,0.03934,0,0,0.00293,0.03009,0,0.01891,10.71801,0,0,0,0,0,0,0,0,0,0.04719,0.16124,0,0,0,0.16289,0.00406,12.62962,0,0,0,0.09925,9.46952,0,0,0,0.01067,0.02136,0
"Firmicutes_bacterium_CAG_94",0,0.03479,0,0,0,0,0.04229,0,0,0.01152,0,0,0.02571,0,0,0,0,0.04415,0.12716,0.0677,0.00161,0,0.16335,0,0,0,0,0.00959,0,0,0,0,0.11674,0,0,0,0,0,0,0,0.02373,0,0,0.06218,0.04737,0,0,0.02099,0,0,0,0.00346,0.00505,0.01414,0.04424,0.00423,0.00068,0.13926,0,0.16494,0.02944,0.01336,0.03362,0,0,0.07636,0.00323,0,0.00706,0.14903,0.4472,0,0.04781,0,0,0.05693,0,0.20532,0,0.00112,1.4824,0.05997,0,0.55332,0,0.08126,0.19917,0,0.15241,0.013,0.07489,0.00343,0,0,0,0,0,0,0.04672,0,0.07675,0.02503,0,0,0,0,0.01189,0.28417,0.0012,0.42139,0.02672
"Turicibacter_sanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076,0,0,0,0,0,0,0,0,0.00573,0,0,0,0,0,0,0,0.0045,0,0.00938,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0.10804,0,0.00188,0.01304,0,0.00432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118,0,0,0,0,0,0.01694,0,0.00666,0,0,0,0,0,0,0,0,0,0.01817,0,0,0,0,0,0,0,0,0,0.00214,0,0,0,0,0,0,0,0,0,0,0,0.12096
"Erysipelatoclostridium_ramosum",0,0,0,0.07203,0,0,0,0.00608,0,0,0,0,0,0,0.18053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00883,0,0,0,0,0,0,0,0,0,0,0,0.06267,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8442,0,0,0,0,0,0.02065,0,0,0,0.01113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02269,0,0,0,0,0,0
"Fusicatenibacter_saccharivorans",0.13413,0.44384,0.50903,1.48406,0.08713,0.59199,1.6349,1.16627,0.15929,0.46698,0.88375,0.53213,0.76449,0.33571,0.68472,0.39232,0.15081,1.01632,0.16029,2.85712,2.04069,0.4493,0.59639,0.07312,0.32263,0.00065,0.5686,0.70411,0.00711,0.17986,0.15468,0.69757,1.26717,0.9126,0.10192,0.8782,0.95925,0.11961,1.03725,0.22632,1.30118,1.29238,0.09919,0,1.54241,0.38621,0.12192,0.08806,0.44923,0.42133,0.62162,2.25186,1.55511,5.54864,0.25489,3.74937,0.47215,0,0.1288,4.70116,3.48832,0.87431,0.92222,2.64997,0.99519,1.57811,1.43571,0.51375,0.63278,2.43281,1.00832,0.29812,0.27303,0.07854,0.68158,1.68066,0.39553,0.68039,0.57864,1.16328,2.2203,2.16791,0.83178,3.81716,0.62051,0.48961,0.93419,1.15753,1.98828,0.42768,1.63786,0.29802,0.19269,0.66092,2.21922,0.68793,0.1102,1.00163,3.98836,0.16936,0.36976,0.59209,1.66922,0.90544,0.27905,2.0057,3.12053,4.62459,0.16421,0.57441,0.19748
"Clostridium_disporicum",0.00676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00467,0,0,0,0,0,0.00966,0,0.01323,0,0,0,0,0.11997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28723,0,0,0.00733,0.1354,0,0,0,0,0,0,0,0,0,0,0,0,0.35093,0,0.15866,0.02235,0,0,0,0.02689,0.18932,0,0.02294,0,0,0.01278,0,0,0,0.03242,0.04891,0,0.06685,0,0.03327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02565,0.02567,0,0,0.167
"Actinomyces_sp_ICM47",0,0.00141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0,0,0.06284,0,0.07557,0.01,0.00786,0,0,0.00379,0,0.04148,0.22124,0.01756,0.01027,0,0,0.01501,0,0,0.01438,0.03681,0.00619,0,0.06557,0,0,0.17768,0,0.00774,0,0,0.05856,0,0,0.04553,0,0,0.00527,0,0,0,0,0.01962,0.02293,0,0.02881,0,0.01879,0,0.11559,0.18652,0.04068,0,0,0,0.03695,0.0083,0,0.02374,0.10195,0,0,0,0,0,0,0,0,0,0.09154,0.00213,0.10244,0,0,0.33591,0.35817,0,0.00357,0.02213,0.00162,0,0,0,0,0,0,0,0.00048,0,0.13813,0.00672,0.06237,0.00742,0,0.14094,0.01609,0,0.01274,0,0,0,0,0,0.0048,0,0.00994,0,0,0,0.07175
"Clostridium_spiroforme",0,0,0,0,0,0,0,0,0,0,0.00929,0,0,0,0,0,0,0.02012,0,0.03901,0.02487,0,0,0,0,0,0,0,0.00777,0,0,0,0,0,0,0,0,0.00126,0,0,0,0.02734,0,0.00897,0,0,0,0,0,0,0,0.14037,0.01281,0.03382,0,0.0248,0.00872,0,0,0.07856,0.23146,0,0,0,0,0,0,0.05301,0.00299,0,0,0,0,0,0.0294,0,0,0,0,0,0,0,0,0,0,0,0.23676,0.00921,0.0191,0,0,0,0,0,0,0,0,0,0,0,0,0.01307,0,0,0.01224,0.03604,0.03363,0,0,0.00716,0
"Clostridium_saccharolyticum",0,0,0,0,0,0,0,0.06145,0,0,0,0,0.09142,0,0,0.0085,0,0.00698,0,0,0,0,0.14893,0,0,0,0,0,0,5e-04,0,0,0.05251,0,0,0,0,0,0,0,0,0,0,0,0.05169,0,0,0,0,0,0,0.0271,0,0,0.03925,0,0.00204,0.41753,0,0,0,0.00249,0,0.14852,0,0,0,0,0.01653,0,0,0,0,0,0,0.15236,0,0.01807,0,0,0,0,0,0,0.06624,0,0.02247,0.08553,0.03974,0,0,0,0,0,0,0,0,0,0,0,0,0.02803,0,0,0,0.35232,0,0,0,0.03241,0.00516
"Dorea_formicigenerans",0.06888,0.12348,0.15309,0.08416,0.05749,0.00983,0.08216,0.10178,0.01032,0.04286,0.28936,0.13915,0.00577,0.17507,0.21769,0.0283,0.1048,0.05421,0.01043,0.10516,0.20078,0.06591,0,0.02696,0.14568,0.44871,0.15293,0.04218,0.10263,0.11099,0.18635,0.5779,0.08008,0.19637,0.0699,0.16965,0.07441,0.04854,0.05738,0.0909,0.10505,0.01421,0.2095,0.15403,0.09187,0.08179,0.15488,0.01814,0.2362,0.28252,0.19448,0.10883,0.11671,0.24849,0.05187,0.01301,0.222,0.0349,0.02903,0.24058,0.35727,0.10828,0.09759,0.1358,0.33739,0.0571,0.10435,0.03719,0.03362,0.62095,0.07168,0.04858,0.06985,0.05832,0.10849,0.08875,0.24639,0.06074,0.18578,0.1433,0.0174,0.06631,0.54283,0.09701,0.09809,0.00965,0.09464,0.23108,0.04981,0.35993,0.23243,0.03414,0.20225,0.55352,0.12387,0.00757,0.04892,0.2044,0.06018,0.59509,0.27408,0.04179,0.13732,0.20289,0.04367,0.20891,0.0871,0.03677,0.13875,0.01757,0.13967
"Streptococcus_salivarius",0,0.11327,0.02317,0.01562,0.00948,0.06091,0.13748,0.19743,0.03596,0,0.02107,0,0.10552,0.08683,0.23532,0.00462,0.04159,0.00723,0.01898,0,0.00475,0.02057,0,0.12543,0.01942,0.01862,0.01065,0,0.55939,0.02116,0,0.02044,0.43411,1.14824,0,0.00912,0.05253,0.06804,0.48998,0.48598,0.00793,0.06382,0.0462,0.09481,0.353,0,0.02385,0.00947,0.76732,0,0.02259,0.03603,0.24419,0.04132,0.13129,0.04642,0.03325,0,0.00321,0.09128,0.00467,0.00675,0.03576,0,0,0,0.40203,0.17297,0.0323,0.02201,0.02412,0.06879,1.15266,0.17512,0,0.03667,0.04222,0,0.10667,0.22937,0.02974,0.03351,0.09747,0,0.06865,0,0.00067,0.02675,0.23673,0.07482,0.02806,0.94241,0.64328,0,0.00234,0.10295,0.0153,0.577,0.00651,0.05439,0.03352,0.00309,0.22355,0,0,0.0033,0.06973,0.01708,0.00678,0.07264,0
"Clostridium_clostridioforme",0,0,0,0.04927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342,0,0,0,0,0,0,0,0.00175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01951,0.03184,0,0,0,0,0,0,0,0,0,0.0121,0,0,0,0,0,0.00936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00362,0,0,0,0,0,0,0,0,0,0,0,0,0.04934,0,0,0,0,0,0,0,0.03645,0.00324,0,0,0,0,0
"Clostridium_celatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245,0,0,0,0,0,0,0.00841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41383,0,0,0,0,0.01336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella_lenta",0,0,0.05942,0,0.10668,0,0,0,0,0,0,0,0,0.00665,0,0,0,0,0.01897,0,0,0,0.00622,0,0,0,0,0,0.00278,0,0,0.05521,0,0,0,0,0,0,0,0,0,0,0,0.0662,0.13924,0,0,0,0,0,0,0.03758,0,0.00626,0,0,0,0,0,0,0.42121,0,0.00722,0,0,0,0,0,0,0,0,0,0.00595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04479,0,0,0,0,0,0,0,0.0031,0,0,0,0,0,0,0,0.1463,0,0,0.05329,0,0,0.00162
"Dorea_sp_CAG_317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06732,0.13632,0,0,0,0,0,0,0,0,0,0,0,0,0.01857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00928,0,0,0.01543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00589,0,0,0,0,0
"Propionibacterium_freudenreichii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
