"","train_474","train_475","train_476","train_477","train_478","train_479","train_480","train_481","train_482"
"Clostridiales_bacterium_CHKCI006",0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_520",0,0,0,0,0,0,0,0,0
"Eubacterium_siraeum",0,0.47534,2.51196,0,0.80654,0.45964,0.77148,2.50611,1.36605
"Bacteroides_uniformis",0,8.7452,6.66125,0,12.90032,4.8655,12.39937,6.72795,13.43557
"Prevotella_sp_CAG_279",0,0,0,0,0,0,0,0,0
"Ruminococcus_bromii",0,0,0,0,0,0,0,0,0
"Phascolarctobacterium_succinatutens",0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_873",0,0,0,0,0,0,0,0,0
"Roseburia_inulinivorans",0,0.01703,0.0611,0,3.89095,1.34878,3.79765,2.82867,1.59955
"Ruminococcus_torques",0,0,0.03192,0,0.92324,0.77646,0.92031,1.51177,0.69063
"Bacteroides_stercoris",0,0.55737,0.59882,0,0.91056,0.74019,0.85786,1.24025,3.74677
"Eubacterium_sp_CAG_251",0,0,0,0,0,0,0,0,0
"Alistipes_inops",0,9.96269,7.25993,0,4.38243,3.58806,4.4898,5.05548,9.16741
"Oscillibacter_sp_57_20",0,2.80515,1.40634,0,0.51733,1.28778,0.50846,0.27356,0.59802
"Bacteroides_dorei",0,0,0,0,0,0,0,0,0
"Lachnospira_pectinoschiza",0,0.15045,0.0523299999999999,0,2.88168,4.67824,3.11282,1.97012,1.18606
"Prevotella_stercorea",0,0,0,0,0,0,0,0,0
"Bacteroides_caccae",0,0.34005,0.38489,0,3.10735,1.13674,3.22065,1.11171,0.84252
"Parabacteroides_distasonis",0,3.74212,1.70483,0,1.55093,1.29561,1.47941,0.86644,1.03774
"Haemophilus_parainfluenzae",0,0,0,0,0.0025399999999999,0,0.00202,0,0
"Odoribacter_splanchnicus",0,1.20226,0.86507,0,1.47534,1.0382,1.41288,1.101,1.40965
"Firmicutes_bacterium_CAG_110",0,0,0,0,0,0,0,0,0
"Coprococcus_eutactus",0,0.63512,1.35761,0,1.11667,1.17277,1.0814,4.01411,4.86244
"Paraprevotella_xylaniphila",0,0.11698,0.1887,0,1.06582,0.42264,0.96588,0.97995,0.6631
"Slackia_isoflavoniconvertens",0,0,0,0,0,0,0,0,0
"Bacteroides_ovatus",0,0.37236,0.13931,0,0.03871,0.0650299999999999,0.03549,0,0.00923
"Bacteroides_sp_CAG_144",0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_58",0,0.13321,0.12252,0,0.14307,0.14665,0.14232,0.129,0.43915
"Roseburia_hominis",0,0,0,0,0.02341,0.02797,0.02311,0,0
"Dorea_longicatena",0,1.16134,1.95669,0,0.85603,1.23157,0.83869,1.47583,1.36796
"Eubacterium_sp_CAG_38",0,0,0,0,0.0145,0.00371,0.01603,0.0237,0.00131
"Parabacteroides_merdae",0,2.29429,2.15584,0,1.0451,1.25916,1.02499,0.8086,0.91607
"Ruminococcus_lactaris",0,0,0,0,0,0,0,0,0
"Gemmiger_formicilis",0,0.23797,0.16013,0,0.50003,0.52309,0.50817,0.31095,0.61257
"Bifidobacterium_dentium",0,0,0,0,0,0,0,0,0
"Blautia_obeum",0,0.274,0.32003,0,0.17919,0.20589,0.17845,0.28589,0.28896
"Firmicutes_bacterium_CAG_83",0,0,0,0,0,0,0,0,0
"Desulfovibrio_piger",0,0,0,0,0,0,0,0,0
"Eubacterium_rectale",0,0,0,0,0.2061,0.17935,0.21103,0.02588,0.05699
"Agathobaculum_butyriciproducens",0,0.02274,0,0,0.19778,0.07193,0.20671,0.12745,0.17511
"Bacteroides_massiliensis",0,0.38083,0.21078,0,0.62731,0.38012,0.6196,0.28486,0.21897
"Parabacteroides_johnsonii",0,0.32016,0.26988,0,0.06712,0.0936299999999999,0.06104,0.09713,0.16297
"Veillonella_dispar",0,0,0,0,0,0,0,0,0
"Veillonella_infantium",0,0,0,0,0,0,0,0,0
"Veillonella_atypica",0,0,0,0,0,0,0,0,0
"Bacteroides_finegoldii",0,0.12297,0.29223,0,1.001,0.22704,1.03365,0.99843,0.6687
"Bifidobacterium_animalis",0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_CAG_241",0,0.96172,0.72045,0,0.32715,0.50586,0.33092,0.41519,0.33364
"Bacteroides_intestinalis",0,0,0,0,0,0,0,0,0
"Anaerostipes_hadrus",0,0.66601,0.75598,0,0.98319,1.49197,1.0797,2.12909,1.95474
"Clostridium_perfringens",0,0,0,0,0,0,0,0,0
"Catenibacterium_mitsuokai",0,0,0,0,0,0,0,0,0
"Streptococcus_parasanguinis",0,0.01794,0,0,0,0,0,0,0
"Butyricimonas_virosa",0,0.98058,0.75965,0,1.41077,0.74342,1.37587,0.7599,1.15364
"Clostridium_sp_CAG_253",0,0,0,0,0,0,0,0,0
"Eubacterium_ventriosum",0,0,0.02961,0,0.34675,0.1781,0.39,0.20364,0.0418
"Firmicutes_bacterium_CAG_238",0,0,0,0,0.0031899999999999,0.00261,0.00346,0,0
"Alistipes_finegoldii",0,1.07181,0.72454,0,0.39266,0.20253,0.38531,0.26248,0.68161
"Coprococcus_catus",0,0,0.07241,0,0.05955,0.0243199999999999,0.06066,0.06444,0.10557
"Eubacterium_hallii",0,1.54708,0.93022,0,0.86127,2.02986,0.89083,1.14357,0.89079
"Alistipes_putredinis",0,0.1488,0.03846,0,0.08466,0.15672,0.0764799999999999,0.04273,0.14114
"Bacteroides_fragilis",0,0,0,0,0,0,0,0,0
"Bacteroides_cellulosilyticus",0,5.65491,6.95893,0,1.57996,2.33718,1.53715,3.91683,1.3647
"Veillonella_sp_T11011_6",0,0,0,0,0,0,0,0,0
"Eubacterium_ramulus",0,0,0,0,0.09343,0.192,0.10428,0.26796,0.41459
"Holdemanella_biformis",0,0,0,0,0,0,0,0,0
"Lawsonibacter_asaccharolyticus",0,0.33884,0.3138,0,0.28313,0.30497,0.29722,0.34917,0.3958
"Akkermansia_muciniphila",0,0,0,0,7e-04,0.00646,0,0,0
"Eubacterium_sp_CAG_180",0,0,0,0,0,0,0,0,0
"Bacteroides_xylanisolvens",0,0.17634,0.70147,0,1.18364,0.59868,1.23265,0.91688,0.96414
"Ruminococcus_bicirculans",0,1.3013,0.19817,0,0.44152,1.66566,0.43214,0.0169199999999999,0.10697
"Monoglobus_pectinilyticus",0,0.62629,0.85668,0,0.02134,0.09005,0.02324,0.01534,0.01128
"Coprobacillus_cateniformis",0,0,0,0,0,0,0,0,0
"Alistipes_shahii",0,0,0,0,0.0003399999999999,0.00018,0,0,0
"Bifidobacterium_bifidum",0,0,0,0,0,0,0,0,0
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0,0,0,0,0
"Asaccharobacter_celatus",0,0.37701,0.24608,0,0.1915,0.26453,0.20474,0.19305,0.21682
"Eisenbergiella_tayi",0,0.01835,0,0,0.01645,0.00082,0.0156099999999999,0,0
"Adlercreutzia_equolifaciens",0,0.2212,0.0946,0,0.14571,0.14079,0.14972,0.12653,0.14022
"Alistipes_onderdonkii",0,0,0,0,0,0,0,0,0
"Ruminococcaceae_bacterium_D5",0,0.05149,0.003,0,0.00417,0.22782,0.00586,0.00293,0.00402
"Hungatella_hathewayi",0,0.0121599999999999,0.00055,0,0.00825,0.00278,0.00834,0,0
"Bilophila_wadsworthia",0,0.02736,0.01619,0,0.01961,0.03284,0.01846,0.00994,0.0270899999999999
"Holdemania_filiformis",0,0,0.00525,0,0.00801,0.01103,0.01055,0,0.00441
"Intestinimonas_butyriciproducens",0,0.01831,0,0,0.0261399999999999,0.05227,0.0252699999999999,0,0
"Gordonibacter_pamelaeae",0,0.21911,0.11359,0,0.11993,0.17464,0.13489,0.12097,0.14733
"Parvimonas_micra",0,0,0,0,0.00373,0.00116,0.0055299999999999,0,0
"Collinsella_stercoris",0,0.02717,0.0181199999999999,0,0.01874,0.01995,0.01978,0.03538,0.02581
"Eubacterium_sp_CAG_274",0,0,0,0,0,0,0,0,0
"Anaeromassilibacillus_sp_An250",0,0,0,0,0,0.00185,0.00013,0,0
"Flavonifractor_sp_An100",0,0,0,0,0,0,0,0,0
"Ruminococcus_obeum_CAG_39",0,0,0,0,0,0,0,0,0
"Collinsella_massiliensis",0,0,0,0,0,0,0,0,0
"Anaerotruncus_colihominis",0,0.10984,0.06715,0,0.0194599999999999,0.04145,0.01896,0.01105,0.06489
"Roseburia_sp_CAG_471",0,0,0,0,0.00015,0.00095,0,0,0.0012
"Gemella_morbillorum",0,0,0,0,9e-04,0,8e-04,0,0
"Collinsella_intestinalis",0,0.07899,0.18581,0,0.23153,0.11115,0.26762,0.35883,0.29025
"Streptococcus_milleri",0,0,0,0,0,0,0,0,0
"Harryflintia_acetispora",0,0,0.00209,0,0,0.0093099999999999,0.00074,0,0
"Atopobium_rimae",0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0,0,0,0,0,0,0.00081,0,0
"Enterorhabdus_caecimuris",0,0,0,0,0.00361,0.00352,0.00197,0,0.0003799999999999
"Firmicutes_bacterium_CAG_170",0,0,0,0,0,0,0,0,0
"Bifidobacterium_adolescentis",0,0.09289,0.52289,0,2.52318,1.16757,2.59081,0.47394,1.85475
"Lactobacillus_salivarius",0,0,0,0,0,0,0,0,0
"Methanobrevibacter_smithii",0,1.81277,1.3178,0,0.34578,1.00857,0.39931,0.86115,0.10429
"Coprobacter_fastidiosus",0,0.24925,0.29204,0,0.3331,0.05987,0.33443,0.10799,0.12943
"Bifidobacterium_scardovii",0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus_group",0,0,0,0,0,0,0,0,0
"Bifidobacterium_longum",0,0,0,0,0.0365399999999999,0.13237,0.0430899999999999,0.02304,0.01795
"Lactobacillus_paragasseri",0,0,0,0,0,0,0,0,0
"Lactobacillus_gasseri",0,0,0,0,0,0,0,0,0
"Parascardovia_denticolens",0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0,0,0,0,0,0
"Lactobacillus_gastricus",0,0,0,0,0,0,0,0,0
"Streptococcus_mutans",0,0,0,0,0,0,0,0,0
"Lactobacillus_crispatus",0,0,0,0,0,0,0,0,0
"Lactobacillus_mucosae",0,0,0,0,0,0,0,0,0
"Lactobacillus_delbrueckii",0,0,0,0,0,0,0,0,0
"Enterococcus_faecium",0,0,0,0,0,0,0,0,0
"Lactobacillus_oris",0,0,0,0,0,0,0,0,0
"Lactobacillus_fermentum",0,0,0,0,0,0,0,0,0
"Sanguibacteroides_justesenii",0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_755",0,0,0,0,0,0,0,0,0
"Bacteroides_salyersiae",0,0,0,0,0,0,0,0,0
"Barnesiella_intestinihominis",0,7.45304,4.78062,0,3.39763,5.3988,3.24789,1.99275,4.25564
"Bacteroides_eggerthii",0,4.8552,3.68519,0,3.83038,1.44582,3.7931,7.29274,1.33182
"Clostridium_sp_CAG_590",0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_403",0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_309",0,0,0,0,0.00735,0.00518,0.00907,0.00872,0.00501
"Parasutterella_excrementihominis",0,0.40602,0.23714,0,0.08157,0.13465,0.08008,0.1006,0.1788
"Roseburia_sp_CAG_182",0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_95",0,0,0,0,0,0,0.00037,0,0
"Alistipes_indistinctus",0,0.0308699999999999,0.02503,0,0.0116099999999999,0.01602,0.01211,0,0.0133699999999999
"Butyricimonas_synergistica",0,0.0428399999999999,0.0121599999999999,0,0.05565,0.04625,0.04702,0.0326199999999999,0.02289
"Clostridium_sp_CAG_167",0,0,0.0056799999999999,0,0.36804,0.06316,0.35902,0.25655,0.2656
"Streptococcus_vestibularis",0,0,0,0,0,0,0,0,0
"Coprobacter_secundus",0,0,0,0,0,0,0,0,0
"Gemella_sanguinis",0,0,0,0,0,0,0,0,0
"Clostridium_leptum",0,0.0243,0.02962,0,0.00594,0.0059,0.0055,0.18847,0.01235
"Oscillibacter_sp_PC13",0,0,0,0,0.00228,0.00775,0.00286,0,0
"Proteobacteria_bacterium_CAG_139",0,0.29948,0.20386,0,0.05044,0.0775,0.05089,0.0338899999999999,0.17648
"Clostridium_citroniae",0,0,0,0,0.00147,0.00116,0.0019,0,0
"Pseudoflavonifractor_capillosus",0,0,0,0,0,0,0,0,0
"Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0,0
"Olsenella_scatoligenes",0,0,0,0,0,0,0,0,0
"Bacteroides_faecis",0,1.97939,3.23935,0,2.43548,2.16724,2.46225,2.09093,1.14779
"Victivallis_vadensis",0,0,0,0,0,0,0,0,0
"Phascolarctobacterium_faecium",0,0.69949,0.70053,0,0.46892,0.4022,0.40834,0.42376,0.18501
"Bacteroides_clarus",0,0,0,0,0,0,0,0,0
"Actinomyces_odontolyticus",0,0,0,0,0,0,0,0,0
"Turicimonas_muris",0,0.00974,0.01805,0,0.0038799999999999,0.01462,0.00374,0,0.01499
"Bacteroides_nordii",0,0,0,0,0,0,0,0,0
"Parabacteroides_goldsteinii",0,0,0,0,0,0,0,0,0
"Clostridium_bolteae",0,0,0.0139699999999999,0,0.00132,0.0038399999999999,0.00172,0,0
"Anaerotruncus_sp_CAG_528",0,0,0,0,0,0,0,0,0
"Bacteroides_coprocola",0,0.21367,0.46043,0,0.65644,0.1587,0.65749,0.88289,0.444
"Bacteroides_faecis_CAG_32",0,1.98178,3.40604,0,2.68322,2.6451,2.63238,2.29105,1.91506
"Veillonella_parvula",0,0,0,0,0,0,0,0,0
"Bacteroides_plebeius",0,0,0,0,0,0,0,0,0
"Oxalobacter_formigenes",0,0.0466699999999999,0.13577,0,0.04885,0.14076,0.05124,0.0354,0.09629
"Bifidobacterium_angulatum",0,0,0,0,0,0,0,0,0
"Blastocystis_sp_subtype_1",0,0,0,0,0,0,0,0,0
"Bacteroides_coprophilus",0,0,0,0,0,0,0,0,0
"Prevotella_bivia",0,0,0,0,0,0,0,0,0
"Allisonella_histaminiformans",0,0,0,0,0,0,0,0,0
"Paraprevotella_clara",0,0.11697,0.18692,0,0.73431,0.35342,0.75789,0.82793,0.42633
"Sutterella_parvirubra",0,0,0,0,0.00149,0.00157,0,0,0
"Firmicutes_bacterium_CAG_555",0,0,0,0,0,0,0,0,0
"Cloacibacillus_porcorum",0,0,0,0,0,0,0,0,0
"Bacteroides_pectinophilus",0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_448",0,0,0,0,0,0,0,0,0
"Dialister_sp_CAG_357",0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_633",0,0,0,0,0,0,0,0,0
"Streptococcus_sobrinus",0,0,0,0,0,0,0,0,0
"Acidaminococcus_fermentans",0,0,0,0,0,0,0,0,0
"Klebsiella_variicola",0,0,0,0,0,0,0,0,0
"Bifidobacterium_catenulatum",0,0,0,0,0,0,0,0,0
"Streptococcus_gordonii",0,0,0,0,0,0,0,0,0
"Enterococcus_faecalis",0,0,0,0,0,0,0,0,0
"Bifidobacterium_pseudocatenulatum",0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_1185",0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_5226",0,0,0,0,0,0,0,0,0
"Parabacteroides_sp_CAG_409",0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_145",0,0,0.02475,0,0.0152,0.00848,0.01819,0.01109,0.01441
"Pseudoflavonifractor_sp_An184",0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_303",0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_1092",0,0,0,0,0,0,0,0,0
"Streptococcus_lutetiensis",0,0,0,0,0,0,0,0,0
"Butyricicoccus_pullicaecorum",0,0,0,0,0,0,0,0,0
"Absiella_dolichum",0,0,0.01704,0,0.03489,0.0117299999999999,0.03182,0.02725,0
"Eubacterium_dolichum_CAG_375",0,0,0.03544,0,0.03372,0.00869,0.03705,0.0493199999999999,0.00154
"Tyzzerella_nexilis",0,0,0,0,0,0,0,0,0
"Eisenbergiella_massiliensis",0,0.00445,0,0,0.00292,0.00397,0.00518,0,0
"Clostridium_sp_CAG_242",0,0,0,0,0,0,0,0,0
"Prevotella_sp_AM42_24",0,0,0,0,0,0,0,0,0
"Butyrivibrio_sp_CAG_318",0,0,0,0,0,0,0,0,0
"Alistipes_sp_An66",0,0,0,0,0,0,0,0,0
"Haemophilus_sp_HMSC71H05",0,0,0,0,0.00381,0,0.00403,0,0
"Megasphaera_elsdenii",0,0,0,0,0,0,0,0,0
"Acidaminococcus_intestini",0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_330",0,0,0,0,0,0,0,0,0
"Faecalitalea_cylindroides",0,0,0,0,0,0,0,0,0
"Blautia_hydrogenotrophica",0,0.10147,0.10525,0,0.00865,0.01609,0.00988,0,0.03979
"Enorma_massiliensis",0,0,0,0,0,0,0,0,0
"Anaerotignum_lactatifermentans",0,0,0,0,0,0,0,0,0
"Desulfovibrio_fairfieldensis",0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_1320",0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_617",0,0,0,0,0,0,0,0,0
"Flavonifractor_sp_An10",0,0,0,0,0,0,0,0,0
"Alistipes_timonensis",0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_299",0,0,0,0,0,0,0,0,0
"Anaerofilum_sp_An201",0,0,0,0,0,0,0,0,0
"Cloacibacillus_evryensis",0,0,0,0,0,0,0,0,0
"Enterococcus_hirae",0,0,0,0,0,0,0,0,0
"Pyramidobacter_piscolens",0,0.06336,0.08356,0,0.05887,0.17508,0.05439,0,0
"Pseudomonas_aeruginosa_group",0,0,0,0,0,0,0,0,0
"Lactobacillus_johnsonii",0,0,0,0,0,0,0,0,0
"Massiliomicrobiota_timonensis",0,0,0,0,0,0,0,0,0
"Pyramidobacter_sp_C12_8",0,0,0,0,9e-05,0.0017699999999999,0.00037,0,0
"Dialister_succinatiphilus",0,0,0,0,0,0,0,0,0
"Enterobacter_cloacae_complex",0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_488",0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_530",0,0,0,0,0,0,0,0,0
"Ruminococcus_callidus",0,0,0,0,0,0,0,0,0
"Mitsuokella_jalaludinii",0,0,0,0,0,0,0,0,0
"Phascolarctobacterium_sp_CAG_266",0,0,0,0,0,0,0,0,0
"Butyrivibrio_crossotus",0,4.91218,8.28364,0,2.91866,6.66072,2.97827,9.08612,3.57874
"Dielma_fastidiosa",0,0,0,0,0.01011,0.00534,0.00953,0,0
"Prevotella_sp_CAG_924",0,0,0,0,0,0,0,0,0
"Lactobacillus_amylovorus",0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_964",0,0,0,0,0,0,0,0,0
"Lactobacillus_kefiranofaciens",0,0,0,0,0,0,0,0,0
"Lactobacillus_acidophilus",0,0,0,0,0,0,0,0,0
"Varibaculum_cambriense",0,0,0,0,0,0,0,0,0
"Desulfovibrionaceae_bacterium",0,0.27695,0.26327,0,0.11888,0.32919,0.12876,0.30809,0.45338
"Citrobacter_koseri",0,0,0,0,0,0,0,0,0
"Lactobacillus_rhamnosus",0,0,0,0,0,0,0,0,0
"Streptococcus_sanguinis",0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_563",0,0,0,0,0,0,0,0,0
"Prevotella_corporis",0,0.10622,0,0,0.00396,0.00618,0.00594,0,0
"Mogibacterium_diversum",0,0,0,0,0,0,0,0,0
"Fretibacterium_fastidiosum",0,0,0,0,0.00041,0.00124,0,0,0
"Streptococcus_australis",0,0.00635,0,0,0.00451,0,0.00435,0,0
"Lactobacillus_ruminis",0,0,0,0,0,0,0,0,0
"Fusobacterium_sp_CAG_439",0,0,0,0,0,0,0,0,0
"Rothia_mucilaginosa",0,0,0,0,0,0,0,0,0
"Eubacterium_sp_OM08_24",0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_927",0,0,0,0,0,0,0,0,0
"Lactobacillus_rogosae",0,0,0,0,0.17112,0.10695,0.16281,0.10367,0.06117
"Hafnia_paralvei",0,0,0,0,0,0,0,0,0
"Hafnia_alvei",0,0,0,0,0,0,0,0,0
"Bacteroides_sp_43_108",0,0,0,0,0,0,0,0,0
"Clostridium_asparagiforme",0,0,0,0,0.00054,0.00191,0.00149,0,0
"Clostridium_lavalense",0,0,0,0,0.00191,0.00549,0.00138,0,0
"Lactobacillus_sakei",0,0,0,0,0,0,0,0,0
"Christensenella_minuta",0,0,0,0,0.0001899999999999,0.00893,0.00151,0,0
"Prevotella_sp_CAG_485",0,0,0,0,0,0,0,0,0
"Enterococcus_durans",0,0,0,0,0,0,0,0,0
"Bacteroides_galacturonicus",0,0,0,0,0.00286,0.01154,0.00403,0,0.01063
"Sellimonas_intestinalis",0,0,0,0,0,0,0,0,0
"Clostridium_bolteae_CAG_59",0,0,8e-04,0,0,0.0068099999999999,0.00256,0,0
"Prevotella_sp_CAG_1031",0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_413",0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_598",0,0,0,0,0,0,0,0,0
"Mitsuokella_multacida",0,0,0,0,0,0,0,0,0
"Megasphaera_sp_DISK_18",0,0,0,0,0,0,0,0,0
"Klebsiella_quasipneumoniae",0,0,0,0,0,0,0,0,0
"Alloscardovia_omnicolens",0,0,0,0,0,0,0,0,0
"Streptococcus_infantis",0,0,0,0,0.0007099999999999,0,0.0042299999999999,0,0
"Streptococcus_sp_A12",0,0,0,0,0,0,0,0,0
"Clostridium_hylemonae",0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_534",0,0,0,0,0,0,0,0,0
"Ruminococcus_champanellensis",0,0,0,0,0,0,0,0,0
"Actinomyces_graevenitzii",0,0,0,0,0,0,0,0,0
"Megamonas_hypermegale",0,0,0,0,0,0,0,0,0
"Prevotella_sp_885",0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_791",0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_462",0,0,0,0,0,0,0,0,0
"Lactobacillus_vaginalis",0,0,0,0,0,0,0,0,0
"Escherichia_marmotae",0,0,0,0,0,0,0,0,0
"Brachyspira_sp_CAG_700",0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_510",0,0,0,0,0,0,0,0,0
"Prevotella_disiens",0,0,0,0,0,0,0,0,0
"Actinomyces_turicensis",0,0,0,0,0,0,0,0,0
"Bacteroides_fluxus",0,0,0,0,0,0,0,0,0
"Fusobacterium_mortiferum",0,0,0,0,0,0,0,0,0
"Prevotella_melaninogenica",0,0,0,0,0,0,0,0,0
"Neisseria_flavescens",0,0,0,0,0,0,0,0,0
"Megasphaera_micronuciformis",0,0,0,0,0,0,0,0,0
"Prevotella_histicola",0,0,0,0,0,0,0,0,0
"Prevotella_pallens",0,0,0,0,0,0,0,0,0
"Oribacterium_sinus",0,0,0,0,0,0,0,0,0
"Neisseria_perflava",0,0,0,0,0,0,0,0,0
"Streptococcus_sp_HMSC034E03",0,0,0,0,0,0,0,0,0
"Prevotella_jejuni",0,0,0,0,0,0,0,0,0
"Prevotella_salivae",0,0,0,0,0,0,0,0,0
"Prevotella_buccae",0,0,0,0,0,0,0,0,0
"Corynebacterium_glucuronolyticum",0,0,0,0,0,0,0,0,0
"Weissella_confusa",0,0,0,0,0,0,0,0,0
"Actinomyces_sp_HMSC035G02",0,0,0,0,0,0,0,0,0
"Fusobacterium_nucleatum",0,0,0,0,0,0,0,0,0
"Eubacterium_sulci",0,0,0,0,0,0,0,0,0
"Clostridium_paraputrificum",0,0,0,0,0.02143,0,0.0257699999999999,0,0
"Helicobacter_cinaedi",0,0,0,0,0,0,0,0,0
