	Object.ID	cluster	hub	Pathway	Common.Name	Ontology.pathway_type	Parental.Ontology.pathway_type	General_Pathway_Type
17	COMPLETE-ARO-PWY	#6A3D9A	0	superpathway_of_aromatic_amino_acid_biosynthesis_(from_phospho<i>enol</i>pyruvate_and_D-erythrose_4-phosphate)	superpathway_of_aromatic_amino_acid_biosynthesis_(from_phosphoenolpyruvate_and_D-erythrose_4-phosphate)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
18	DAPLYSINESYN-PWY	#CAB2D6	2	L-lysine_biosynthesis_I	L-lysine_biosynthesis_I	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
19	DENOVOPURINE2-PWY	#E31A1C	0	superpathway_of_purine_nucleotides_<i>de_novo</i>_biosynthesis_II	superpathway_of_purine_nucleotides_de_novo_biosynthesis_II	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
20	ECASYN-PWY	#DF65B0	7	enterobacterial_common_antigen_biosynthesis	enterobacterial_common_antigen_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
21	ENTBACSYN-PWY	#DF65B0	10	enterobactin_biosynthesis	enterobactin_biosynthesis	Secondary_Metabolite_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
22	FAO-PWY	#DF65B0	2	fatty_acid_&beta;-oxidation_I_(generic)	fatty_acid_beta-oxidation_I_(generic)	Fatty_Acid_and_Lipid_Degradation	Degradation_Utilization_Assimilation	Lipid_metabolism
23	FASYN-ELONG-PWY	#33A02C	9	fatty_acid_elongation_--_saturated	fatty_acid_elongation_--_saturated	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
24	FASYN-INITIAL-PWY	#33A02C	2	superpathway_of_fatty_acid_biosynthesis_initiation	superpathway_of_fatty_acid_biosynthesis_initiation	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
25	FERMENTATION-PWY	#CAB2D6	7	mixed_acid_fermentation	mixed_acid_fermentation	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
26	FOLSYN-PWY	#D9D9D9	1	superpathway_of_tetrahydrofolate_biosynthesis_and_salvage	superpathway_of_tetrahydrofolate_biosynthesis_and_salvage	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
27	FUC-RHAMCAT-PWY	#D9D9D9	1	superpathway_of_fucose_and_rhamnose_degradation	superpathway_of_fucose_and_rhamnose_degradation	Superpathways	Superpathways	Specialized_and_Miscellaneous_Routes
28	FUCCAT-PWY	#D9D9D9	0	L-fucose_degradation_I	L-fucose_degradation_I	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
29	GALACT-GLUCUROCAT-PWY	#D9D9D9	4	superpathway_of_hexuronide_and_hexuronate_degradation	superpathway_of_hexuronide_and_hexuronate_degradation	Superpathways	Superpathways	Specialized_and_Miscellaneous_Routes
30	GALACTARDEG-PWY	#D9D9D9	2	D-galactarate_degradation_I	D-galactarate_degradation_I	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
31	GALACTUROCAT-PWY	#D9D9D9	1	D-galacturonate_degradation_I	D-galacturonate_degradation_I	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
32	GLUCARDEG-PWY	#D9D9D9	0	<i>D</i>-glucarate_degradation_I	D-glucarate_degradation_I	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
33	GLUCARGALACTSUPER-PWY	#D9D9D9	1	superpathway_of_D-glucarate_and_D-galactarate_degradation	superpathway_of_D-glucarate_and_D-galactarate_degradation	Superpathways	Superpathways	Specialized_and_Miscellaneous_Routes
34	GLUCONEO-PWY	#D9D9D9	3	gluconeogenesis_I	gluconeogenesis_I	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
35	GLUCOSE1PMETAB-PWY	#D9D9D9	3	glucose_and_glucose-1-phosphate_degradation	glucose_and_glucose-1-phosphate_degradation	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
36	GLUCUROCAT-PWY	#D9D9D9	1	superpathway_of_&beta;-D-glucuronides_degradation_(to_pyruvate)	superpathway_of_beta-D-glucuronides_degradation_(to_pyruvate)	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
37	GLUDEG-I-PWY	#D9D9D9	0	GABA_shunt_I	GABA_shunt_I	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
38	GLUTORN-PWY	#6A3D9A	3	L-ornithine_biosynthesis_I	L-ornithine_biosynthesis_I	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
39	GLYCOCAT-PWY	#D9D9D9	4	glycogen_degradation_I	glycogen_degradation_I	Glycan_Pathways	Glycan_Pathways	Cellular_Structure_and_Modification_of_Macromolecules
40	GLYCOGENSYNTH-PWY	#6A3D9A	0	glycogen_biosynthesis_I_(from_ADP-D-Glucose)	glycogen_biosynthesis_I_(from_ADP-D-Glucose)	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
41	GLYCOL-GLYOXDEG-PWY	#DF65B0	2	superpathway_of_glycol_metabolism_and_degradation	superpathway_of_glycol_metabolism_and_degradation	Alcohol_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Alcohols_and_Aldehydes
42	GLYCOLYSIS-E-D	#D9D9D9	0	superpathway_of_glycolysis_and_the_Entner-Doudoroff_pathway	superpathway_of_glycolysis_and_the_Entner-Doudoroff_pathway	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
43	GLYCOLYSIS-TCA-GLYOX-BYPASS	black	49	superpathway_of_glycolysis,_pyruvate_dehydrogenase,_TCA,_and_glyoxylate_bypass	superpathway_of_glycolysis,_pyruvate_dehydrogenase,_TCA,_and_glyoxylate_bypass	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
44	GLYOXYLATE-BYPASS	black	37	glyoxylate_cycle	glyoxylate_cycle	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
45	HCAMHPDEG-PWY	#DF65B0	5	3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation_to_2-hydroxypentadienoate	3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation_to_2-hydroxypentadienoate	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
46	HEXITOLDEGSUPER-PWY	#D9D9D9	1	superpathway_of_hexitol_degradation_(bacteria)	superpathway_of_hexitol_degradation_(bacteria)	Alcohol_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Alcohols_and_Aldehydes
47	HISDEG-PWY	#1F78B4	1	L-histidine_degradation_I	L-histidine_degradation_I	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
48	HISTSYN-PWY	#EEF071	0	L-histidine_biosynthesis	L-histidine_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
49	HOMOSER-METSYN-PWY	#D9D9D9	0	L-methionine_biosynthesis_I	L-methionine_biosynthesis_I	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
50	ILEUDEG-PWY	#D9D9D9	2	L-isoleucine_degradation_I	L-isoleucine_degradation_I	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
51	ILEUSYN-PWY	#EEF071	3	L-isoleucine_biosynthesis_I_(from_threonine)	L-isoleucine_biosynthesis_I_(from_threonine)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
52	KDO-NAGLIPASYN-PWY	black	23	superpathway_of_(Kdo)<SUB>2</SUB>-lipid_A_biosynthesis_(<i>E._coli</i>)	superpathway_of_(Kdo)2-lipid_A_biosynthesis_(E._coli)	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
53	KETOGLUCONMET-PWY	black	21	ketogluconate_metabolism	ketogluconate_metabolism	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
54	MET-SAM-PWY	#D9D9D9	3	superpathway_of_<i>S</i>-adenosyl-L-methionine_biosynthesis_from_L-aspartate	superpathway_of_S-adenosyl-L-methionine_biosynthesis_from_L-aspartate	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
55	METHANOGENESIS-PWY	#D9D9D9	2	methanogenesis_from_H<SUB>2</SUB>_and_CO<SUB>2</SUB>	methanogenesis_from_H2_and_CO2	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
56	METSYN-PWY	#D9D9D9	1	L-homoserine_and_L-methionine_biosynthesis	L-homoserine_and_L-methionine_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
57	NONMEVIPP-PWY	#D9D9D9	4	methylerythritol_phosphate_pathway_I	methylerythritol_phosphate_pathway_I	Secondary_Metabolite_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
58	NONOXIPENT-PWY	#D9D9D9	0	pentose_phosphate_pathway_(non-oxidative_branch)_I	pentose_phosphate_pathway_(non-oxidative_branch)_I	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
59	OANTIGEN-PWY	#D9D9D9	1	<i>O</i>-antigen_building_blocks_biosynthesis_(<i>E._coli</i>)	O-antigen_building_blocks_biosynthesis_(E._coli)	Metabolic_Clusters	Biosynthesis	Specialized_and_Miscellaneous_Routes
60	ORNARGDEG-PWY	#DF65B0	1	superpathway_of_L-arginine_and_L-ornithine_degradation	superpathway_of_L-arginine_and_L-ornithine_degradation	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
61	ORNDEG-PWY	#DF65B0	6	superpathway_of_ornithine_degradation	superpathway_of_ornithine_degradation	Amide,_Amidine,_Amine,_and_Polyamine_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
62	P105-PWY	black	30	TCA_cycle_IV_(2-oxoglutarate_decarboxylase)	TCA_cycle_IV_(2-oxoglutarate_decarboxylase)	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
63	P122-PWY	#DF65B0	6	heterolactic_fermentation	heterolactic_fermentation	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
64	P124-PWY	#D9D9D9	1	Bifidobacterium_shunt	Bifidobacterium_shunt	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
65	P161-PWY	#D9D9D9	0	acetylene_degradation_(anaerobic)	acetylene_degradation_(anaerobic)	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
66	P221-PWY	#DF65B0	0	octane_oxidation	octane_oxidation	Degradation_Utilization_Assimilation_-_Other	Degradation_Utilization_Assimilation	Specialized_and_Miscellaneous_Routes
67	P23-PWY	#D9D9D9	1	reductive_TCA_cycle_I	reductive_TCA_cycle_I	C1_Compound_Utilization_and_Assimilation	Degradation_Utilization_Assimilation	Central_metabolism_and_energy
68	P4-PWY	#CAB2D6	0	superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_I	superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_I	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
69	P441-PWY	#D9D9D9	1	superpathway_of_<i>N</i>-acetylneuraminate_degradation	superpathway_of_N-acetylneuraminate_degradation	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
70	P461-PWY	#D9D9D9	0	hexitol_fermentation_to_lactate,_formate,_ethanol_and_acetate	hexitol_fermentation_to_lactate,_formate,_ethanol_and_acetate	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
71	PANTO-PWY	#6A3D9A	0	phosphopantothenate_biosynthesis_I	phosphopantothenate_biosynthesis_I	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
72	PANTOSYN-PWY	#6A3D9A	1	superpathway_of_coenzyme_A_biosynthesis_I_(bacteria)	superpathway_of_coenzyme_A_biosynthesis_I_(bacteria)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
73	PEPTIDOGLYCANSYN-PWY	#EEF071	10	peptidoglycan_biosynthesis_I_(<I>meso</I>-diaminopimelate_containing)	peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	Cell_Structure_Biosynthesis	Biosynthesis	Cellular_Structure_and_Modification_of_Macromolecules
74	PHOSLIPSYN-PWY	#D9D9D9	0	superpathway_of_phospholipid_biosynthesis_III_(<i>E._coli</i>)	superpathway_of_phospholipid_biosynthesis_III_(E._coli)	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
75	PHOTOALL-PWY	#D9D9D9	0	oxygenic_photosynthesis	oxygenic_photosynthesis	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
76	POLYAMSYN-PWY	#D9D9D9	0	superpathway_of_polyamine_biosynthesis_I	superpathway_of_polyamine_biosynthesis_I	Amide,_Amidine,_Amine,_and_Polyamine_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
77	POLYISOPRENSYN-PWY	#D9D9D9	1	polyisoprenoid_biosynthesis_(<i>E._coli</i>)	polyisoprenoid_biosynthesis_(E._coli)	Polyprenyl_Biosynthesis	Biosynthesis	Lipid_metabolism
78	PWY-101	#D9D9D9	1	photosynthesis_light_reactions_I_(plastocyanin)	photosynthesis_light_reactions_I_(plastocyanin)	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
79	PWY-1622	#A6CEE3	1	formaldehyde_assimilation_I_(serine_pathway)	formaldehyde_assimilation_I_(serine_pathway)	C1_Compound_Utilization_and_Assimilation	Degradation_Utilization_Assimilation	Central_metabolism_and_energy
80	PWY-181	#A6CEE3	7	photorespiration_I	photorespiration_I	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
81	PWY-241	#CAB2D6	7	C4_photosynthetic_carbon_assimilation_cycle,_NADP-ME_type	C4_photosynthetic_carbon_assimilation_cycle,_NADP-ME_type	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
82	PWY-2723	#D9D9D9	0	trehalose_degradation_V	trehalose_degradation_V	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
83	PWY-2942	#EEF071	0	L-lysine_biosynthesis_III	L-lysine_biosynthesis_III	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
84	PWY-3781	#D9D9D9	1	aerobic_respiration_I_(cytochrome_c)	aerobic_respiration_I_(cytochrome_c)	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
85	PWY-3801	#D9D9D9	1	sucrose_degradation_II_(sucrose_synthase)	sucrose_degradation_II_(sucrose_synthase)	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
86	PWY-3841	#6A3D9A	2	folate_transformations_II_(plants)	folate_transformations_II_(plants)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
87	PWY-4242	#6A3D9A	0	coenzyme_A_biosynthesis_III_(archaea)	coenzyme_A_biosynthesis_III_(archaea)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
88	PWY-4361	#D9D9D9	0	<i>S</i>-methyl-5-thio-&alpha;-D-ribose_1-phosphate_degradation_I	S-methyl-5-thio-alpha-D-ribose_1-phosphate_degradation_I	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
89	PWY-4702	#DF65B0	15	phytate_degradation_I	phytate_degradation_I	Cyclitol_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
90	PWY-4984	#D9D9D9	0	urea_cycle	urea_cycle	Inorganic_Nutrient_Metabolism	Degradation_Utilization_Assimilation	Specialized_and_Miscellaneous_Routes
91	PWY-5022	#D9D9D9	1	4-aminobutanoate_degradation_V	4-aminobutanoate_degradation_V	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
92	PWY-5030	#1F78B4	1	L-histidine_degradation_III	L-histidine_degradation_III	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
93	PWY-5080	#D9D9D9	2	very_long_chain_fatty_acid_biosynthesis_I	very_long_chain_fatty_acid_biosynthesis_I	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
94	PWY-5097	#EEF071	3	L-lysine_biosynthesis_VI	L-lysine_biosynthesis_VI	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
95	PWY-5103	#D9D9D9	0	L-isoleucine_biosynthesis_III	L-isoleucine_biosynthesis_III	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
96	PWY-5109	#D9D9D9	0	propanoate_fermentation_to_2-methylbutanoate	propanoate_fermentation_to_2-methylbutanoate	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
97	PWY-5121	#D9D9D9	3	superpathway_of_geranylgeranyl_diphosphate_biosynthesis_II_(via_MEP)	superpathway_of_geranylgeranyl_diphosphate_biosynthesis_II_(via_MEP)	Secondary_Metabolite_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
98	PWY-5136	#DF65B0	1	fatty_acid_&beta;-oxidation_II_(plant_peroxisome)	fatty_acid_beta-oxidation_II_(plant_peroxisome)	Fatty_Acid_and_Lipid_Degradation	Degradation_Utilization_Assimilation	Lipid_metabolism
99	PWY-5156	#D9D9D9	4	superpathway_of_fatty_acid_biosynthesis_II_(plant)	superpathway_of_fatty_acid_biosynthesis_II_(plant)	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
100	PWY-5173	#DF65B0	20	Acetyl-CoA_Biosynthesis	Acetyl-CoA_Biosynthesis	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
101	PWY-5177	#D9D9D9	1	glutaryl-CoA_degradation	glutaryl-CoA_degradation	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
102	PWY-5180	#D9D9D9	2	toluene_degradation_I_(aerobic)_(<I>via</I>_<i>o</I>-cresol)	toluene_degradation_I_(aerobic)_(via_o-cresol)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
103	PWY-5182	#D9D9D9	1	toluene_degradation_II_(aerobic)_(<I>via_4-methylcatechol</i>)	toluene_degradation_II_(aerobic)_(via_4-methylcatechol)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
104	PWY-5189	#DF65B0	0	uroporphyrinogen-III_II_(from_glycine)	uroporphyrinogen-III_II_(from_glycine)	Tetrapyrrole_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
105	PWY-5345	#D9D9D9	3	superpathway_of_L-methionine_biosynthesis_(by_sulfhydrylation)	superpathway_of_L-methionine_biosynthesis_(by_sulfhydrylation)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
106	PWY-5347	#D9D9D9	2	superpathway_of_L-methionine_biosynthesis_(transsulfuration)	superpathway_of_L-methionine_biosynthesis_(transsulfuration)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
107	PWY-5367	#DF65B0	0	petroselinate_biosynthesis	petroselinate_biosynthesis	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
108	PWY-5384	#CAB2D6	0	sucrose_degradation_IV_(sucrose_phosphorylase)	sucrose_degradation_IV_(sucrose_phosphorylase)	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
109	PWY-5415	#D9D9D9	0	catechol_degradation_I_(<I>meta</I>-cleavage_pathway)	catechol_degradation_I_(meta-cleavage_pathway)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
110	PWY-5417	#D9D9D9	2	catechol_degradation_III_(ortho-cleavage_pathway)	catechol_degradation_III_(ortho-cleavage_pathway)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
111	PWY-5431	#D9D9D9	1	aromatic_compounds_degradation_via_3-oxoadipate	aromatic_compounds_degradation_via_3-oxoadipate	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
112	PWY-5464	#D9D9D9	1	superpathway_of_cytosolic_glycolysis_(plants),_pyruvate_dehydrogenase_and_TCA_cycle	superpathway_of_cytosolic_glycolysis_(plants),_pyruvate_dehydrogenase_and_TCA_cycle	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
113	PWY-5484	#D9D9D9	0	glycolysis_II_(from_fructose_6-phosphate)	glycolysis_II_(from_fructose_6-phosphate)	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
114	PWY-5531	#A6CEE3	6	3,8-divinyl-chlorophyllide_<i>a</i>_biosynthesis_(from_uroporphyrinogen-III)_II_(anaerobic)	3,8-divinyl-chlorophyllide_a_biosynthesis_(from_uroporphyrinogen-III)_II_(anaerobic)	Secondary_Metabolite_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
115	PWY-561	black	39	superpathway_of_glyoxylate_cycle_and_fatty_acid_degradation	superpathway_of_glyoxylate_cycle_and_fatty_acid_degradation	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
116	PWY-5656	#DF65B0	16	mannosylglycerate_biosynthesis_I	mannosylglycerate_biosynthesis_I	Metabolic_Regulator_Biosynthesis	Biosynthesis	Signaling_and_Regulation_Metabolism
