"","train_1913","train_1914","train_1919","train_1920","train_1926","train_1929","train_1931","train_1932","train_1933","train_1934","train_1939","train_1942","train_1944","train_1945","train_1948","train_1949","train_1950","train_1951","train_1954","train_1955","train_1957","train_1958","train_1960","train_1961","train_1963","train_1966","train_1968","train_1972","train_1973","train_1975","train_1978","train_1982","train_1984","train_1986","train_1989","train_1990","train_1991","train_1993","train_1997","train_1998","train_2000","train_2001","train_2003","train_2004","train_2005","train_2006"
"Fusicatenibacter_saccharivorans",2.65314,0.53885,0.00502,1.32849,1.36691,0.85368,0.47215,0.45202,0.16767,0.13922,0.01258,0.01045,0.5925,0.43541,0.01196,2.91272,0.12938,3.26322,0.00054,0.329,0.46626,1.76808,1.66516,0,1.09382,0.05837,1.48098,0.0081,0.49799,0.44143,0.24575,0.00799,0,0.61445,0.09234,0.33115,0.73814,0.24597,1.5706,0.10632,1.16739,0.82154,0.00139,0.00364,0.01831,0.00664
"Clostridium_disporicum",0.03992,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04717,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_ICM47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_646",0.02732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04175,0,0.02858,0,0,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0.11948,0,0
"Intestinibacter_bartlettii",0.1194,0.05083,0,0,0,0,0,0,0.00376,0,0,0.03935,0,0,0,0.03629,0.00414,0.09182,0,0,0,0,0.00537,0,0.035,0.07757,0,0,0,0.00257,0,0.2354,0,0.2245,0,0.02407,0,0,0,0,0,0,0.02795,0,0,0
"Clostridium_spiroforme",0.00802,0.04896,0.01103,0.0181,0,0,0,0,0.00584,0,0,0,0.045,0,0.02421,0.17723,0.03203,0.01302,0,0,0,0,0.0101,0,0.01077,0.05212,0,0,0,0.10251,0,0,0,0.02582,0,0.02316,0,0,0.0011,0,0,0,0.05128,0.014,0,0
"Clostridium_saccharolyticum",0.10082,0.00209,0,0,0.0513,0,0,0,0.06145,0,0,0.00263,0.0071,0,0.13644,0,0,0,0,0,0,0,0.0309,0,0,0,0,0,0.00075,0,0,0,0,0.00339,0,0.02578,0,0,0.045,0,0,0,0.26908,0,0,0
"Dorea_formicigenerans",0.05307,0.11382,0,0.15301,0.05339,0.05164,0.00663,0.03031,0.01719,0.01392,0.0758,0.06729,0,0.02352,0,0,0,0,0.02254,0.03482,0.14478,0.17536,0.03309,0,0.17803,0,0,0,0.0483,0,0.01661,0,0,0.12047,0,0,0.01387,0,0,0.02126,0.11601,0,0,0,0.02302,0.01946
"Streptococcus_salivarius",0.00913,0.05084,0.00413,0.00872,0.01312,0.00212,0.00755,0.00312,0.00568,0.00518,0.00665,0.01646,0.01434,0.0167,0.01943,0.06284,0.25815,5.18218,0.02323,0.01919,0,0.63829,0.0071,0.01509,0.00037,0.00124,0.00605,0.0043,0,0.00042,0,0,0,0.00292,0,0.01248,0.00382,0,0.00731,0,0.63206,0.34602,0.02493,0.02895,0,0
"Clostridium_clostridioforme",0,0,0,0.00099,0,0,0,0,0.00131,0,0.0424,0.00218,0.0122,0.02716,0.25138,0.05107,0.36725,1.42161,0,0,0,0,0,0.03119,0.02753,0.03697,0,0.19469,0.07575,0.06786,0,0,0.1397,0,0.30476,0,0,0.0107,0.02585,0.01854,0,0,0,0.43057,0,0.046
"Clostridium_celatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella_lenta",0.03434,0.00174,0.00976,0.01066,0.00476,0.05594,0.01477,0.02535,0.01738,0,0.00338,0,0.07282,0,0.04109,0.86713,0.01042,0.05397,0,0.00428,0,0,0,0.09276,0.08124,0.04564,0.0266,0,0.01004,0.49616,0,0,0.03553,0,0,0.05223,0.00489,0.02701,0.0132,0.02657,0,0.12094,0.10605,0.03637,0.00982,0.03549
"Dorea_sp_CAG_317",0,0,0.13124,0.00251,0,0.07715,0,0.04881,0.00288,0,0.1932,0.00466,0.04937,0.00394,0.03642,0.00298,0.01573,0,0,0.01978,0,0.07276,0.00379,0.06009,0.03846,0.02693,0,0.04765,0.19662,0.14899,0,0,0,0,0.17726,0,0,0.07703,0,0.27095,0.29735,0.00507,0,0.08545,0.01143,0.30328
"Propionibacterium_freudenreichii",0,0,0,0,0,0.03324,0,0,0,0,0,0.00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13644,0,0,0,0,0.00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_innocuum",0,0.00679,0,0,0,0,0,0,0.00068,0,0.03089,0.01788,0.00252,0,0.04528,0,0.01373,0.05076,0.04474,0,0,0,0,0,0.00879,0.03638,0.02641,0.08234,0,0.11266,0,0,0,0.01417,0,0.00674,0,0,0.0585,0.04445,0.08612,0,0.71369,0.04467,0,0
"Actinomyces_sp_oral_taxon_181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00083,0.00188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_oralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00465,0,0,0,0.01315,0,0,0,0.04884,0,0,0,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella_pneumoniae",0,0.00474,0,0,0.00346,0,0,0,0.01108,0,0,0,0.01597,0,0,0,14.74981,0.01332,1.41839,0.02946,0.02687,0,0,0,0,0.02148,0,0,0,0,0.00987,0.33559,0.07911,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mitis",0.00184,0.00708,0,0.00975,0,0,0,0,0,0,0,0,0,0.02252,0.00148,0,0,0.0058,0.00047,0,0,0.04282,0.0069,0,0,0.00209,0,0.00692,0,0.00563,0,0.00142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruthenibacterium_lactatiformans",0.03371,0.11717,0.15697,0.0534,0.0058,2.19799,0.05315,0.55996,0.06972,0.05265,0.12494,0.04521,0.09562,1.10771,0.27831,7.25171,0.66335,1.01574,0.13398,0.27938,0.33508,0.09461,0.08316,0.07305,0.21571,0.08268,2.27726,0.623,0.24751,0.09847,15.05433,1.02421,0.45703,0.02869,0.38398,0.21457,0.00684,0.0494,0.74583,0.05674,1.32588,0.01152,0.06193,1.20917,0.02406,0.4107
"Atopobium_parvulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_copri",47.04322,0.25407,0.20276,0.25139,0.00219,0,0.00669,0,0.05406,4.46974,0.10405,0,0.02694,0,0,0.00262,0.03078,0.00658,59.76824,0,51.22463,0,0,0.00018,0.28345,0,0,0.35176,0.28819,0.0311,0,0,0,0,0,0.32018,0.12832,0.2144,0.16337,0.21268,0,0.18483,0,0.21663,0.25766,0.18573
"Actinomyces_sp_S6_Spd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_aerofaciens",0.15912,0.53981,0,0.18386,0.06794,1.07922,0,0.01038,0.36158,0.23568,0.00061,0.00174,0,0,0,0,0.83604,0.00885,0,0.00202,1.18849,0,0,0,0,0.00065,1.09621,0.28088,0.12967,0,2.0432,9e-04,0.00642,0.43816,0.00495,0.00059,0.38707,0.2838,0.00194,0.08555,1.94235,0,0.02091,0.19103,0.00385,0.23121
"Romboutsia_ilealis",0.00015,0.00149,0,0,0,0,0.00216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiales_bacterium_CHKCI006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49447,0,0,0,0,0,0.00529,0,0,0.00786,0.01238,0,0,0,0,0,0,0.00916,0,0.02028,0,0.00513,0,0,0,0.02002,0,0.01189
"Eubacterium_siraeum",0.00396,0.01401,0,0.14796,0,0.05325,0.00102,5.1999,0,3.86495,1.06438,0.42671,0,0.08863,16.87983,0.15821,0,0.06373,0,8.03631,0.5903,16.54506,5.52115,0,0.01777,0.03791,0.02438,2.27719,0.39419,0,0.18973,0.02954,0.01199,0.00076,0,0.03578,0.0486,2.79991,5.8449,7.55144,2.74147,0.08459,0.02156,0,0.31513,0
"Bacteroides_uniformis",0.21739,15.81253,30.97924,10.43721,37.93365,4.97484,27.00849,48.2329,9.21914,5.67914,33.84048,7.70149,0.10957,22.91947,12.90131,0.27269,13.97573,3.31829,0.37597,4.41469,2.17953,1.78762,38.53942,10.78278,0.16829,0.34709,6.20153,3.77499,22.47338,31.46662,2.17468,43.58697,12.99473,34.11014,17.3415,0.20283,12.51871,8.40498,23.60185,32.51099,8.24209,9.4752,25.67055,8.12723,22.76541,7.42774
"Prevotella_sp_CAG_279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09876,0,3.18599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_bromii",0.01209,1.61989,0.00881,0.00979,0,0,0.82273,0.0213,0.0129,1.24853,0.88047,2.62876,1.65307,0.01937,0.01404,14.4883,2.9507,0.02744,0.0062,0.01591,0.66482,0.00809,0.00959,0,0.00546,0.01359,0,2.65421,0.71901,3.36011,0.10017,0.00668,0.00393,6.28719,0.0173,0.00501,5.10297,1.29071,0.01175,0.00375,0.05682,0,0,2.87249,0.01528,9.67602
"Phascolarctobacterium_succinatutens",0,0,0,0,0,0,0,0,0.00056,0,0,0,0,0,0,0,0.00068,0,0,0,3.00093,0,0,0,0.00248,0,0,0.94545,0.00446,0,0.83173,0,0,0,0,0.00426,0,0,0,0.00228,0.7592,0,0,0,0,0
"Prevotella_sp_CAG_873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_inulinivorans",0.44916,0.03061,0,0.66427,1.06461,0.07714,1.26208,0.1439,0.2022,0.07739,0.00242,0,13.69359,0,0,0.00202,0.05449,0.00191,1.45464,0,0.22173,0.03464,0.03381,0,1.54946,0.43625,0.01102,2.09029,1.41819,0.02395,0.0085,0.00531,0.01654,0.03144,0.01348,0.15254,2.46213,0.01194,0.00319,0.00854,0.01506,7.45142,0,0.05234,0.01313,0.15234
"Ruminococcus_torques",0.06089,0.21241,0,0.06981,0.03524,0.178,0,0,0.07667,0.22023,0,0.00915,0.00251,0.00987,0.00708,3.49447,0.00098,0.00911,0.49994,1.55296,0.11371,0,0.00051,0,0,0.00156,0.00173,0,0,0,0.04071,0,0,0.22602,0,0,0.30015,0.37818,0.28381,0.03707,0.26739,0,0,0,0,0
"Bacteroides_stercoris",0.0647,0.08985,36.69746,0.62647,0.00383,0.02313,0.01137,0.07709,11.89907,3.95189,30.18776,0.04097,1.03104,0.04602,0.03384,13.33048,0.01431,6.61342,0.04992,0.03494,0.39582,2.84378,8.61571,38.79518,0.0544,0.05302,0.01345,0.04577,0.04377,0,0.15703,0.03725,12.31872,0.06665,0.02346,0.05215,0.06721,0.05649,0.88477,17.39298,19.45199,0.08298,0.00706,0.0476,0.08343,0.16644
"Eubacterium_sp_CAG_251",0,0,0,0,0,0,0,0,0.00183,0,0,0,0,0,0,0,0.00043,0,0,0,1.44977,0,0,0,0.00857,0,0,0.00037,0.00264,0,0,0,0,0,0,0,0,0,0.40298,0,0,0.33512,0,0,0,0
"Alistipes_inops",0,0,0,0,0,0,0,0,0,0,0,0.43783,0,0.00092,0,0.00379,0,0,0,1.46199,0,1.26956,0,0.063,0.0088,0,0,9.50506,0.00897,0,0,0,0,0,0,0.00937,0,0,0.00866,0.00689,0,0,0,0,0,0
"Oscillibacter_sp_57_20",0.01026,1.69044,0.00453,0.86863,2.046,4.76562,0,0.10623,0.00012,0,0.00247,0,0.69932,0.68939,0,0,0,0.00137,0.45073,0.04863,0.03066,0,5e-04,0,0.00622,0.00102,0.42921,0.09608,0.01009,0,0.7101,1e-04,0,0.83985,0.00517,0.00516,0,13.39481,2.59472,0.00184,0.34199,3.99691,0.01961,0.018,0.00608,0.79479
"Bacteroides_dorei",0.21718,22.50168,0.125,20.7768,0.00472,0.01282,5.64593,0,0.03239,0.01282,0.04343,0.09164,16.30229,7.63378,0.08452,0.25972,16.14761,0.11566,0.02499,14.20291,0.04744,0,0.04705,0.13168,0.11368,0.05634,0.04793,5.44563,38.7739,17.90665,0.00933,0.04623,1.97488,0.86067,0,0.1163,6.16069,5.66561,17.1108,0.09606,0.15054,0.05139,0.01237,0.02833,0.08473,0.10374
"Lachnospira_pectinoschiza",0.52236,0.0059,0,0.97759,0,0,0,0.00784,0.10582,0,0.00487,0.01763,2.84996,0,1.19754,0,0.00455,0.0055,0,0,0.71928,0.13476,0.13273,0,0.38949,0.00058,0.00126,3.20041,0.00462,2.37806,0.03956,0,0,0,0,0.35453,0.35368,0,0.67075,0.00259,0,0.59594,0,0,0.0063,0
"Prevotella_stercorea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38797,0,0,0,0,0,0.00144,0,0.00218,0.00443,0.00397,0,0,0,0,0,0,0.00385,0,0,0,0,0,0,0,0.00039,0,0
"Bacteroides_caccae",0.03571,2.97171,0.51591,0.03865,2.13603,0.9017,1.31335,0.04721,2.3365,0,0.0057,18.64646,0.01411,2.71178,3.8014,0.16093,0.95989,1.01261,0.05408,1.81578,2.51003,0.72714,0.01927,2.59161,0.00601,0.01611,0.02782,2.57872,0.00445,0,0.46336,0.2252,0.01677,0.03401,0.02592,0.00715,1.94899,1.56018,0.00773,0.00429,5.87742,0,0.00604,0.05843,0.0137,6.27023
"Parabacteroides_distasonis",0.01432,0.08365,0.01097,6.41716,0,1.12443,1.68225,0.03002,0.00692,2.83253,0.04907,0.41793,7.9998,5.55427,7.25771,0.11471,0.00808,0.43317,2.58746,4.49984,2.54635,2.03923,0.00388,0,0.01326,0.0066,0.15127,4.29895,0.01426,0,0.35188,0.00523,3.61833,0.03274,4.68315,0.01754,8.67458,3.34505,5.56777,2.49224,0.88477,0.91949,0.01067,0.01918,2.73073,0.03006
"Haemophilus_parainfluenzae",0,0.01462,0,0,0.04912,0,0.00206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01187,0,0,0,0,0,0.05217,0,0,0,0.00763,0,0,0.00334,0,0,0.02378,0.00687,0,0.02919,0
"Odoribacter_splanchnicus",0.01702,1.71845,0.01288,2.41878,0,0.24202,1.61995,0.02444,0,1.2134,0.01433,1.31005,0,0.88906,0.00535,0.01462,0,0.00389,0.04225,0.79328,0.0751,2.44713,0.86097,0.81578,0.01438,0.009,0.05746,1.53194,2.96733,0,0.07073,0.00718,0.00255,2.28784,0.02152,0.01231,0.73375,1.68457,0.82577,0.81096,0.6648,0,0.00203,0.0038,1.07849,1.90546
"Firmicutes_bacterium_CAG_110",0,0,0,0,0,0,0,0,0,0,0,0.00053,0,0.00405,0.00201,0.00814,0,0.00168,0,1.61483,1.25914,0,0,0,0,0,0,0.35806,0,0,1.1796,0,0,0,0,0,0,0.18377,0,0,0.02535,0,0,0,0,2.81148
"Coprococcus_eutactus",0,0,0,0,0,0,0,0,2e-04,0,0.00988,0,0.00772,0,0,0,0.00023,0,0,0,0,0,0.00433,0,0,0.00136,0.00043,0,0,0,0.05459,0.00174,0,0,0,0,0,0,0.01639,0,0,0,0,0,0.01324,0
"Paraprevotella_xylaniphila",0,0,0,0,0,0,0,0,0,0,0,0,0,1.10973,0.00064,0,0,0.05415,0.12738,0,0,0,0.0028,0,0,0.0037,0,0,0,0,0.0891,0.00191,0,0,0,0,0,0,0,0,0.67051,0,0,0,0,0
"Slackia_isoflavoniconvertens",0,0,0,0.02624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20198,0,0,0,0,0,0.00367,0,0,0,0.95206,0,0,0.25259,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_ovatus",15.99376,0.83246,4.57249,2.72976,2.06194,2.44627,4.85985,0.05201,10.31286,0,0.01967,0.03265,0.02923,0.14654,0.42881,0.21983,4.62667,0.37534,0.0332,1.66496,0.32554,0.26588,1.62875,0.27465,4.12877,0.06239,0.0305,1.16409,16.67851,0,0.08623,0.0512,9.16317,1.48525,26.26296,0.09189,0.05099,10.43119,1.56817,7.57677,0.37178,9.09789,23.24194,5.6308,10.88034,0.11228
"Bacteroides_sp_CAG_144",0.00071,0.00227,0,0,0,0.04677,0,0,0,0,0,0.15861,0,0,0,0,0,0,0,0.54061,0,1.58825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33295,0,0,0,0,0,0,0
"Clostridium_sp_CAG_58",0.16087,0.13992,0.28852,0.00916,0,0.43363,0.07466,0.681,0.03584,0.08258,0.19392,0.07884,0.62512,0.12499,0.92202,0,0.26815,0.00138,0,0.03095,0,0.10681,0,0.42432,0.32739,0,1.09589,0.11994,0.14456,0,0.09749,0,0.03432,0.17466,0.10916,0,0.08166,0.37153,3e-04,0.33728,0.25175,0.08316,0,0.16062,0.12757,0.28138
"Roseburia_hominis",2.60724,2.37465,1.01936,0.09784,4.09151,1.03251,0.39275,0.24493,0.22499,0.02306,1.35851,0.0428,0.00204,0.03259,0,0,0.08702,0,0.00898,0,0.83347,0.52771,0.42481,0,1.01946,0.03184,0.11964,0.00359,0.11194,3.20669,0.13811,0.00649,0.00194,0.6991,0,0.00303,0.00074,0.47705,0.08325,0.00085,0.69318,0.4677,0.00265,0.02213,0.05964,0.30971
"Dorea_longicatena",0.56376,0.34828,0,0.13211,0.07403,0,0.07263,0.07285,0.26274,0.12038,0,0.08459,0.18079,0.18995,0.00609,0.02265,0.00144,5.2952,0.15018,0.02907,0.83086,0,0.01379,0,0,0,0.01827,0,0,0,0,0,0,0.55732,0,0,0.08168,0.01282,0.07471,0.00094,0.50053,0.17091,0,0,0,0
"Eubacterium_sp_CAG_38",0.00807,0.29229,0,0,0.2529,4e-04,0.10124,0.13218,0.06192,0,0,0.01042,0,0.59135,0,0.33669,0.02791,0,0,0,0,0,0,0,0.61138,0.06202,0,0,0,0,0,0,0,0,0,0.0322,0.00272,0.29726,0,0,0,0,0,0,0,0.04003
