"","train_2667","train_2668","train_2669","train_2670","train_2671","train_2672","train_2673","train_2674","train_2675","train_2676","train_2677","train_2678","train_2679","train_2680","train_2681","train_2682","train_2683","train_2684","train_2685","train_2686","train_2687","train_2688","train_2689","train_2690","train_2691","train_2692","train_2693","train_2694","train_2695","train_2696","train_2697","train_2698","train_2699","train_2700","train_2701","train_2702","train_2703","train_2704","train_2705","train_2706","train_2707","train_2708","train_2709","train_2710","train_2711","train_2712","train_2713","train_2714","train_2715","train_2716","train_2717","train_2718","train_2719","train_2720","train_2721","train_2722","train_2723","train_2724","train_2725","train_2726","train_2727","train_2728","train_2729","train_2730","train_2731","train_2732","train_2733","train_2734","train_2735","train_2736","train_2737","train_2738","train_2739","train_2740","train_2741","train_2742","train_2743","train_2744","train_2745","train_2746","train_2747","train_2748","train_2749","train_2750","train_2751","train_2752","train_2753","train_2754","train_2755","train_2756","train_2757","train_2758","train_2759","train_2760","train_2761","train_2762","train_2763","train_2764","train_2765","train_2766","train_2767","train_2768","train_2769","train_2770","train_2771","train_2772","train_2773","train_2774","train_2775","train_2776","train_2777","train_2778","train_2779","train_2780","train_2781","train_2782","train_2783","train_2784"
"Streptococcus_thermophilus",0,0,0.01063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337,0,0,0,0,0,0,0,0,0,0,0,0.00312,0,1.19071,0.00307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.01396,0,0,0,0,0,0,0,0,0.01167,0,0,0,0,0,0,0,0,0
"Dialister_invisus",0,0,0,0,0,0.03751,0,0,0,0,0,0,0,0.0025399999999999,0,0,0,0.04761,0,0,0,0,0,0.0165699999999999,0,0,0,0,0,0.0003799999999999,0,0,0,0,0,0.0563899999999999,0,0.01211,0.00467,0,0,0,0,0,0,0,0.01199,0,0.00073,0,0,0,0,0,0,0,0,0,0,0.00694,0.0018,0,0,0,0,0.01591,0,0.04556,0,0,0.00885,0,0,0.04862,0,0.00214,0,0.0527799999999999,0,0.00041,0,0.04251,0,0.00027,0,0,0,0,0.00761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036299999999999,0,0,0.0139199999999999,0,0,0,0,0,0.08094,0,0.01044,0,0,0
"Blautia_sp_CAG_257",0,0,0,0,0,0,0,0.0227,0,0,0,0.27084,0,0,0,0,0,0,0,0,0.00125,0.03627,0.01795,0,0.00663,0,0,0,0,0.00099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07633,0,0.00317,0,0,0,0,0,0,0,0,0,0,0,0.00233,0,0.03222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09668,0,0,0,0.00551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07317,0,0,0,0,0,0,0
"Flavonifractor_plautii",0.12731,0.36118,0.08177,0.04191,0.23625,0.48748,0.22828,0.4396,0.15961,0.0209099999999999,0.12746,0.13381,0.05173,0.49807,0.38456,0.19011,0.17251,0.0985299999999999,0.00215,0.0142099999999999,0.09495,0.57816,0.13939,0.06913,3.43855,0.2025,0.0278,0.35734,1.53731,1.10311,2.04061,0.12581,0.50835,0.85043,1.16041,0.0518299999999999,0.5847,0.08959,0.15836,0.0011,0.28384,0.44421,0.08163,0.60883,0.29984,0,0.48693,0.27179,0.08674,0.02905,0.81175,0,0,0.25522,0.0559999999999999,0.00863,0.4538,0.86026,0.04273,0.04817,0.0266399999999999,0.10684,0.17234,0.01913,0.25999,1.2717,0,0.50075,0.14916,0.61596,0.01348,0.01091,0.09659,0.08047,1.60021,0.40293,1.19773,0.02012,0.36186,1.03423,0.03872,0.03771,0.05148,1.80646,1.16128,0.50657,0.26832,0.97738,0.39574,0.01886,0.19934,0.68033,0.06751,0.11852,0.00685,0.18465,0.05407,0.01703,0.0085,0.0393,0.04967,0.06709,0.05194,0.0255,0.76167,0.36498,0.00489,0.06585,9.91372,0.04625,0.12104,0.54621,0.12084,0,0.66503,0.51326,0.17494,0
"Lactococcus_lactis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02363,0.00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12537,0,0,0,0.00939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_coli",0.14984,9.20891,0.00425,0.01503,0.01364,1.73243,0.68468,0.0307199999999999,3.59987,43.31073,1.47124,0.38922,0.05336,0.07552,2.00024,1.78746,0.02105,1.16152,1.12297,1.12511,57.10274,1.10872,0.05073,0.15491,2.42347,9.78325,1.02853,0.53211,0.39647,0.15961,0.50481,0.03259,0,0.13586,0,0.09067,0.12825,0.17528,0.61306,0.66825,0.37831,0.15413,0.01256,0.00168,0,3.91941,3.22416,2.2843,0.05329,0.01559,0.00454,0.01733,0.0074,0.01411,0.1426,0.14085,1.42475,1.40834,0.0421,10.27109,0.26301,2.69345,2.70783,0.01408,0.28667,4.79123,37.27701,1.43477,8.64069,0.19608,0.07543,0.28248,0.14614,1.59861,0.22978,1.84145,1.88031,3.09086,0.0648,1.14129,0.00425,0.58712,0.01172,2.1775,6.34277,0.09083,0.67683,0.36115,1.38108,0.23948,2.14329,0.01225,0.45773,0.00052,0.0376,0.0078599999999999,1.91043,0.15448,0.89853,0.19107,14.28098,0.04097,1.86901,4.12296,0.38127,0.12603,1.52154,0.32104,0.08187,2.03253,2.51376,0.12256,0.06423,0.30934,1.81303,1.42429,0.03893,1.32221
"Firmicutes_bacterium_CAG_94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turicibacter_sanguinis",0,0,0,0,0,0.0239,0.01335,0,0,0,0,0,0,0,0,0.00065,0,0,0,0,0,0,0,0,0,0,0.0047,0,0,0.00056,0.18271,0,0,0.11588,0,0.07156,0.01364,0,0,0,0,0.09333,0,0,0,0,0.02698,0.06975,0,0,0,0,0,0,0,0,0,0.01254,0,0,0,0,0,0.01676,0,0.06351,0,9e-05,0,0,0,0.03904,0,0.00241,0,0,0,0.35023,0,0,0,0,0,0,0,0,0,0,0,0.0558899999999999,0.02802,0,0,0.00456,0.05479,0.00494,0.14524,0,0,0,0,0,0,0,0,0,0,0.02713,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridium_ramosum",0.00799,0.00104,0,0.00624,0,0,0,0.01245,0.00389,0.0699,0,0.0008699999999999,0.00552,0.01409,0.0013599999999999,0.01614,0.00299,0,0,0.00045,0.1072,0.00143,0,0.01084,0.15889,0,0.17129,0.21598,0,0.11824,0.12495,0,0.02304,0.00028,0.00356,0,0,0.0747299999999999,0.00232,1.04954,0.01494,0.02251,0,0.01535,0.22934,0,0.25932,0.0960299999999999,0.03038,0,0,0.00134,0,0.11537,0,0,0.23527,0.77356,0.00387,0,0.0284,0.0147199999999999,0.08842,0,0,0.19843,0.08742,0.05247,0,0.00119,0.0014199999999999,0.66665,0,0,0,0.01593,0.05221,0,0.11231,0,0.00293,0.09748,0.0174199999999999,0.04022,0.43952,0.14254,0,0,0.16749,0.4279,0.16299,0,0.05939,5e-05,0.00808,0.02114,6.20663,0,0.04334,0.01037,0.33809,0.44869,0.30986,2.27234,0.2377,0,0.46013,0.0031,0.12048,0.04505,0.02998,0.0727299999999999,0,0,0.0016699999999999,0.18669,0.01354,0
"Fusicatenibacter_saccharivorans",0.29738,0.12098,0.51321,0.09378,0.03356,0.07691,0.12808,0.16642,0.04482,0,0,0,0.06568,0.0194599999999999,0.1206,0.02239,0.5799,0.1106,1.10451,0.27767,0.01705,0.14129,0.25045,0.10065,0,0.00401,0.54748,10.13373,0.80315,0,0.16956,0.47861,0.0345899999999999,0.16591,0.21445,0.03771,0.228,0.32973,0.27245,0.00115,0,0.07642,0.13951,0,0,0.44576,0.10292,0.26588,0.00685,0.04347,0.98268,0.3301,0,0.17173,0.13712,0.10367,0,0,1.29299,0.0780899999999999,0,1.06451,0.00095,0.01725,0.04706,0.26817,0.62057,0.52435,0.38117,0.24598,0.14529,0,0.46225,0.19215,0,0.52183,0,0.78044,0.30577,0.018,0.10295,0.7627,0.00025,2.32395,0.0011,0.12882,0.29326,0.755,0.00039,0.86617,0.18791,0.08061,0,0.11882,0.4979,0,0,0.01256,0.0221,0.02062,0,0,0,0.17184,2.87668,2.08704,0.00248,0.02676,0.00198,0,0.38902,0.22011,0.00727,0.40511,0.71862,0,0.004,0.91983
"Clostridium_disporicum",0,0,0,0,0,0.03695,0,0.0009699999999999,0,0,0,0,0,0,0.00011,0.01879,0,0.00165,0,0,0,0,0,0.00542,0,0,0,0,0.00205,0.0540799999999999,0,0.0145199999999999,0,0.14131,0,0.01398,0.00103,0,0.05486,0.02531,0.00098,0.48925,0,0,0,0,0,0.06496,0,0.00085,0,0,0,0,0,0,0,0,0.74387,0,0,0,0,0,0,0,0,0,0.04675,0,0.00059,0.06175,0,0,0,0,0,0.0812799999999999,0,0,0.0056799999999999,0,0,0,0,0,0,0,0,0,0.09508,0.00278,0,0.01004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05246,0,0,0,0,0,0,0.00045,0,0,0
"Actinomyces_sp_ICM47",0,0,0,0,0,0,0,0,0.00412,0,0,0,0,0,0,0.00031,0.00183,0,0,0,0,0,0,7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00644,0,0,0,0,0,0,6e-05,0,0,0.00904,0,0,0,0,0,0,0.01761,0,0.02324,0,0.01578,0,0,0,0,0,0.00154,0,0,0.0003799999999999,0.00957,0.03829,0.00263,0.0018899999999999,0,0,0,0.00719,0.0018399999999999,0,0,0,0,0.00163,0,0,0,0,0,0.00658,0,0,0.00332,0.00122,0,0,0,0,0.00632,0,0,0,0,0,0,0,0.00206,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318,0,0
"Intestinibacter_bartlettii",0,0.00464,0.0017699999999999,0,0,0.0288399999999999,0.07168,0.02323,0,0,0,0.03669,0.0038799999999999,0.01243,0.03856,0.10054,0,0.0148199999999999,0.01395,0,0,0.01488,0.00072,0.03321,0.00566,0,0.04967,0.0942,0.0638799999999999,0.01763,0,0.0996799999999999,0.0502899999999999,0.01286,0.05371,0.03061,0.0638,0.00436,0,1.49033,0.07365,0.18318,0.0011099999999999,0,0.01292,0,0.00996,0.16533,0,0,0,0.0138599999999999,0,0.00265,0.02516,0,0.12467,0.00162,0.46585,0,0.00549,0.0087,0.01499,0.01573,0,0.0124599999999999,0.0148,0.01489,0,0.01411,0,0.0459,0,0.1116,0,0,0.02102,0.27203,0,0.21066,0.00746,0.02973,0,0.01764,0,0.01636,0.0340699999999999,0.36201,0,0.15891,0.068,0.04575,0,0.0435399999999999,0.0045899999999999,0.00211,2.34037,0,0.00815,0,0,0,0.11818,0,0.04035,0,0.01608,0.20734,0,0,0.06742,0,0,0,0.01713,0,0,0.00938
"Clostridium_spiroforme",0,0,0,0,0,0,0,0.0038799999999999,0,0,0,0,0,0,0.03325,0,0,0,0,0,0.00021,0.0345,0,0.00147,0,0,0.01039,0,0,0,0,0,0,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0.0146,0,0,0,0,0.02828,0,0,0.00962,0,0,0,0,0,0,0,0,0,0,0,0,0.01075,0.00016,0.19576,0,0,0,0,0,0,0,0,0,0.0203199999999999,0,0,0,0,0,0.0215,0,0.0124,0,0.03067,0.0041,0,0,0,0,0,1.14215,0,0,0,0,0.20003,0,0,0,0,0,0,0.23096,0,0,0,0,0,0,0,0,0
"Clostridium_saccharolyticum",0,0,0.03963,0,0,0,0,0,0.01539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452,0,0,0,0,1.28203,0,0,0.00298,0,0,0,0,0,0,0,0,0,0.0009199999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00355,0,0,0,0,0,0,0,0,0.00282,0,0,0,0,0,0,0,0,0,0,0,0.05986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea_formicigenerans",0.10778,0.0523799999999999,0.08826,0.02473,0.0168199999999999,0.10057,0.19528,0.0562299999999999,0.03206,0,0.02647,0.35454,0,0.07219,0.07908,0.00324,0.03959,0.02978,0.12552,0.15682,0,0.00285,0.17596,0.03741,0,0.02742,0.02036,0.19207,0.11046,0,0.25923,0.00251,0,0.08236,0.14834,0.04093,0.07101,0.1066,0.06131,0,0,0.0465,0.0956,0,0.48494,0.00466,0.10641,0.0267399999999999,1.09351,0.06963,0.08589,0,0,0.06472,0,0.14442,0,0,0.53866,0.09445,0,0.15024,0,0.08119,0.07052,0,0.14634,0.05041,0.12843,0.16523,0.32577,0.07737,0,0.27346,0.14556,0.18934,0.07751,0.15915,0.13777,0.1194,0.29444,0.15997,0.05789,0.17049,0.29333,0,0.04806,7e-04,0.14317,0.05096,0.05396,0.08856,0,0.07074,0.22562,0,0,0.02763,0.23728,0.23517,0,0,0,0.00063,0.13706,0.04149,0,0.06915,0,0.0296,0.13389,0.0430199999999999,0,0.04945,0.02812,0,0,0.12468
"Streptococcus_salivarius",0.48573,0.00382,0.00932,0.04176,0.01406,0.24057,0.032,0.1083,0.65964,0.10277,1.63635,1.53328,1.44266,0.00061,0.54686,0.0057799999999999,3.1256,0.49406,0.10116,0.25093,0.01533,0,1.34146,3.03169,0.00128,0.01684,1.16869,0.04872,0.26719,0.24101,0,5.28081,0.78984,0.01966,4.02365,0.00379,0.16565,1.9346,2.13064,4.35615,0.01848,0.50237,3.03799,1.78245,1.23163,0.04672,0.39844,0.25792,1.87584,5.44289,0.0532299999999999,0.03202,13.71366,0.04783,0.19182,3.37648,7.25368,0.24902,29.10687,2.63127,2.26738,0.92912,0.06679,0.02998,1.6061,1.39234,0.43823,0.59131,0.08846,0.22383,0.54678,5.19134,6.26385,2.57671,0.2289,2.68278,0.01085,1.01389,0.05675,0.44772,1.08877,0.02995,0.97498,0.76152,3.00592,0.03862,0.64367,0.50322,0.18259,2.59689,0.0098,0.04376,1.22777,0.16451,0.32849,0.05572,1.83991,0.10821,0.71509,1.08275,0.27096,12.75016,0.0796,0.09442,1.53716,0.06994,0.69767,0.0938,0,1.45147,0.01681,0.0841399999999999,0,0.0287399999999999,0.01183,1.98464,0.01435,0.09496
