"","train_1190","train_1196","train_1207","train_1213","train_1214","train_1215","train_1216","train_1217","train_1219","train_1221","train_1222","train_1225","train_1231","train_1232","train_1233","train_1235","train_1236","train_1238","train_1239","train_1240","train_1242","train_1244","train_1250","train_1254","train_1255","train_1256","train_1259","train_1262","train_1264","train_1265","train_1268","train_1269","train_1270","train_1272","train_1273","train_1275","train_1283","train_1288","train_1290","train_1293","train_1295","train_1299","train_1301","train_1302","train_1304","train_1307","train_1309","train_1313","train_1314","train_1316","train_1327","train_1330","train_1459","train_1464","train_1465","train_1467","train_1469","train_1471","train_1476","train_1509","train_1526","train_1541","train_1552","train_1557","train_1574","train_1585","train_1593","train_1601","train_1618","train_1624","train_1625","train_1631","train_1633","train_1634","train_1636","train_1642","train_1660","train_1670","train_1678","train_1690","train_1695","train_1704","train_1706","train_1735","train_1737","train_1757","train_1758","train_1762","train_1781","train_1785","train_1788","train_1806","train_1811","train_1817","train_1818","train_1819","train_1820","train_1841","train_1849","train_1852","train_1865","train_1866","train_1867","train_1879","train_1886","train_1887"
"Streptococcus_thermophilus",0,0,0.01536,0.34484,0,0.01991,0,0,0.06054,0,0.07208,0.07969,0.01257,0.1069,0,0.10054,0,0.03224,0,0,0,0.03296,0,0.03117,0.40083,0,0,0,0.03457,0.20028,0.02936,0,0.04777,0.1127,0.12166,0.02635,0.23368,0,0.20025,0,0.05123,0.01413,0,0.15303,0.27165,0.41402,0,0.15389,0.01524,0.02452,0,0.00407,0,0.03475,0.01103,0.06802,0,0.00129,0.08,0.14232,0,0.05715,0,0,0,0.00598,0,0,0,0.1049,0.09294,0.03213,0,0.02551,0.01967,0,0.0474,0,0.00266,0.05041,0.50627,0.09328,0,0.03845,0.29336,0.22958,0.03044,0.18796,0,0,0,0.1984,0,0.0354,0,0,0,0,0.0184,0,0,0,0,0,0,0.06737
"Dialister_invisus",0,1.01894,0,0,0,0,0,0,0.81636,0,0,0,0,0.24854,0,0.59518,0,0.21762,0.46706,0,0.40476,0,0,0.19121,0,0,0,0,0,0,0,0,0.10739,0,0,0,0.45488,0.03904,1.32431,0,0,0,0,0,0,0,2.45299,0.27798,0,0,0,0,0.39767,0,0,0,0,0,0,0,0.38781,0,0,0,0.44574,0,0.44519,1.266,0,0.0348,1.37479,0.40916,0.4526,0,0,0,0.99303,1.81904,0,0,0.91192,0,0,0,0,0,0,0,0.82679,0,0,0.2431,0.38658,0.04669,0,0.26204,0,0,0,0,0,0,0,0,0,0
"Blautia_sp_CAG_257",0,0.00656,0,0,0,0,0,0,0.06408,0,0,0,0,0,0,0,0,0,0,0.03562,0,0.01705,0,0,0,0,0,0,0,0,0.18509,0,0,0.03145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02869,0,0,0,0,0,0,0,0,0,0,0,0,0.00542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02142,0,0.00521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_plautii",0.03458,0.30844,0.81978,0.00681,0.06122,0.03017,0.16741,0,0.15165,0.54473,0.08082,0,0.01842,0.16493,0.04184,0.29285,0.10655,0,2.02272,1.74139,0.02685,0.70288,0.01893,0.30567,0.0887,0.02959,1.11832,0.02412,0.10936,0.30297,0.55092,0.01555,0.00175,1.13211,0.09932,0.07232,0.08988,1.25052,1.67173,0.09785,0.10372,0,0.04036,0,0,0,1.83184,0.51679,0.00158,0.03643,0.00873,0,0.33963,0.04787,0.02364,0.15631,0,0,0.02263,0.00162,1.59086,0.12636,0.04467,0.0361,0.26028,0.10414,0.17601,0.34695,0.21757,0.24187,0.04256,0.32129,0,0.08193,0.10563,0.10727,0.33521,0.00127,0.06799,0.0177,0.49331,0,0.25407,0.00085,0.05304,0.01004,0.19213,0.05937,0.76072,0.02096,0.33742,0.00315,0.0053,0,0,0.20552,0.04844,0,0,0.35068,0.01429,0.00693,0.23975,0.61615,0,0
"Lactococcus_lactis",1.31481,0,0,0,0,0.07374,0,0,0.1121,0.54455,0,0,0,0.00152,0.00876,0,0.01959,0,0.01398,0,0,0.03966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293,0,0.00407,0,0,0,0.02261,0,0.01599,0,0,0,0,0,0,0,0,0.75495,0,0,0,0,0,0,0,0,0.06287,0,0,0,0,0,0.0033,0.02125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_coli",0,0,0,0.01496,0.09972,0,0.23352,0.21807,0.01869,0.19827,0,0,0,0,0,1.11952,0,0.04068,0.00423,0,0.01901,0.04922,0,9.33764,0,0,0.74899,0,0,0,0,0.2408,2.14037,0.07321,0,0.01915,0.10863,17.73681,0.20122,0,2.68378,0,4.17513,0.01566,0,0,0.15555,1.19768,0.08867,4.18843,0.21705,0,1.52585,0,1.05703,0.03656,0,0.01492,0,0,0,0,0.00398,0,9.71305,0.02307,0.01206,0.07083,0.01896,0,0.09501,0.44795,1.21536,0,0,0,0,0,0.07916,0.03945,0,0.003,0,0,0,0.12618,0,0.34572,1.13905,0.00674,0,0.01482,0,12.17782,0.00419,0,0.00203,0.12175,2.39391,0,0,0,0,0.04287,6.20747,0
"Firmicutes_bacterium_CAG_94",0.08388,0,0,0,0,0,0.0309,0,0,0,0,0,0,0,0.03133,0.02024,0,0,0.18688,0,0,0,0,0,0.0262,0.00132,0,0,0,0,0,0,0,0,0,0,0.27343,0.00226,0,0,0.00165,0,0,0,0,0,0,0.00173,0,0,0,0,0,0.12938,0,0.07022,0,0,0,0,0,0.00459,0,0,0.09449,0,0,0,0.08214,0,0,0,0,0,0.04551,0.19132,0,0,0,0.05403,0.08211,0.25925,0,0.28319,0,0.14471,0,0.40129,0.11844,0,0,0,0,0.00891,0,0,0.03391,0.03036,0.1551,0.14703,0,0,0,0.00307,0.0921,0.00445
"Turicibacter_sanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01411,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01732,0.01544,0,0,0,0,0,0,0,0,0.00366,0,0,0.00538,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04546,0,0.00072,0,0,0,0,0,0,0,0,0.0047,0,0,0,0,0,0,0,0,0,0.00703,0,0,0,0,0,0,0,0,0,0.00434,0,0,0,0,0,0,0,0,0.00845,0,0,0,0.10191,0,0,0.01262
"Erysipelatoclostridium_ramosum",0,0,0,0,0,0,0,0,0.01132,0.00642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00392,0,0,0,0,0,0,0.02776,0,0,0,0.05131,0,0,0,0,0,0.01878,0,0,0,0,0.04872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641,0,0,0,0,0.01156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04341,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00239,0.0228,0,0
"Fusicatenibacter_saccharivorans",0.56597,1.01802,0,0.14338,0.62726,0.14754,0.28782,0.5778,1.57975,0.36884,0.40329,1.05036,0.92951,0.75883,2.6052,0.91021,1.75576,0.69831,0.59648,0.72705,0.08275,1.03893,0.03936,0.54275,1.21655,0.23218,0,0.88122,0.78038,0.6168,0.66017,0.56638,0.12323,0.74222,0.58424,0.13867,0,0.7154,1.36019,0.54622,1.13265,1.63336,0.1103,0.28668,0.17242,0.34352,0.7657,0.01042,0.0418,0.50964,0.87862,0.05907,0.55781,0.24856,1.52419,1.18091,0.94172,0.05695,1.22468,0.54941,0.25355,1.03684,0.4886,0.30963,0.08584,0.92926,0.31637,0.76665,0.8554,2.77237,0.36913,11.70426,0.00422,1.30432,1.33195,0.66242,0.70308,0.18596,0.21697,0.22128,3.74411,0.61636,2.41665,1.78627,1.48031,0.21026,0.00905,1.59575,0.34806,0.20975,1.19494,0.60581,0.18438,0.47976,0.19935,7.8097,0.63715,0.2778,0.64926,1.90886,0.21494,0.85433,0.76666,0.00851,0.51907,0.09753
"Clostridium_disporicum",0,0,0,0.03484,0,0,0,0,0,0,0,0,0.00203,0,0,0,0,0,0,0,0,0,0,0,0.00356,0,0,0,0,0,0.00377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325,0,0,0,0,0,0,0,0,0.03041,0,0,0,0,0.10782,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00668,0,0,0.4995,0,0,0,0,0,0.02054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21062,0,0,0,0,0,0,0.0121
"Actinomyces_sp_ICM47",0,0,0,0,0,0,0,0,0.0035,7e-04,0,0,0,0,0.01016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0.50198,0,0,0,0,0,0,0,0.00368,0.02897,0,0.01584,0,0,0,0.03918,0.00074,0,0.0729,0.07879,0,0,0,0.00038,0,0.02668,0.00228,0.01351,0,0.00082,0.01193,0.06848,0.02267,0,0,0.0011,0,0.05305,0.01256,0,0.03179,0,0.10232,0,0.00563,0.04521,0,0.02024,0,0.0059,0,0,0.1256,0,0,0,0,0.037,0.0066,0,0.05989,0.03384,0.00252,0,0,0.01877,0,0,0.00912,0,8e-04,0.05214,0,0,0.01898,0.02202,0,0.02564,0,0,0,0,0.07426,0,0,0,0,0.02338,0,0,0,0.01153,0.03385,0.00052,0,0.59832,0,0.16337,0.09876,0.00171,0,0,0.00904,0.0062,0,0.07793
"Clostridium_spiroforme",0,0,0,0,0,0,0.00188,0,0.00387,0,0,0,0,0,0,0.06627,0,0,0,0.00169,0,0,0,0,0,0.00226,0,0,0,0,0,0,0,0,0.00097,0,0,0.0081,0.00053,0,0,0,0,0.00506,0,0,0.02022,0.01142,0,0,0,0,0.00962,0,0,0,0,0,0,0,0.02669,0,0.00042,0,0.01254,0,0,0,0.00337,0.00059,0,0,0,0,0.00982,0.00587,0.00054,0,0,0,0.02895,0,0,0,0,0,0,0,0,0,0,0,0,0.02507,0,0.03483,0.02164,0,0,0,0,0,0.00388,0,0,0
"Clostridium_saccharolyticum",0,0,0,0,0,0,0.06293,0,0,0,0,0,0.01893,0.1128,0.08116,0.19636,0,0,0.34564,0,0,0,0.01437,0,0,0.01093,0,0.01667,0.012,0.00871,0,0,0,0,0,0,0.09017,0.01839,0,0.0038,0,0,0,0.00793,0,0,0,0,0,0,0,0,0,0,0,0.03453,0,0,0,0,0,0.00481,0,0,0,0.02944,0,0.02863,0,0.11844,0.02417,0,0,0,0.08587,0.04096,0.00265,0,0,0,0.004,0,0,0,0,0,0,0.00194,0,0,0.12076,0.01456,0,0,0,0,0.00854,0,0,0,0,0,0,0,0,0
"Dorea_formicigenerans",0.03517,0.16876,0.4177,0.04544,0.36306,0.04991,0.18849,0.109,0,0.09425,0.07982,0.13038,0.15637,0.07323,0.01609,0.45832,0.0356,0.10048,0.09015,0.01606,0.06847,0.05338,0.01171,0.13944,0.09745,0.06367,0.1839,0.24875,0.09873,0.13436,0.14157,0.01756,0.04448,0.66567,0.09097,0.123,0,0,0.12689,0.06864,0.19494,0.14852,0.35959,0.03798,0.03321,0.14857,0.07602,0.00186,0.0548,0.20191,0.11732,0.10759,0.7912,0.08046,0.07553,0.0523,0.10858,0.04263,0.12451,0.1422,0.10909,0.04741,0.08534,0.04998,0.12878,0.12728,0.05425,0.09881,0.0927,0.1562,0.06143,0.04619,0.02939,0.09179,0.75708,0.07088,0.12084,0.02594,0.23438,0.02033,0.38476,0.05812,0.21275,0.0585,0.10209,0.05285,0.0441,0.23383,0,0.06357,0.26366,0.0887,0.05787,0.08356,0.02497,0.15689,0.11252,0.06037,0.0542,0.4786,0.10317,0.02217,0.13185,0,0.38376,0.03269
"Streptococcus_salivarius",0.02884,0,0.91038,0.0086,0,0.04706,0.04521,0,0.10346,0.10498,0,0,1.3671,0,2.21398,0.22294,0.00937,0.16824,0.02573,0.93449,0,0.00069,0.01152,2.00434,0,0,0.02411,0.00889,0.10606,0.01122,0.01336,0.06491,0.00043,0.00097,0.02098,0,0.06263,0.17576,0.00553,0,0.06515,0,0.0122,1.32058,0.00849,0.00511,0,0.0296,0,0.93394,0,0,0,0,0,0.00302,0.00473,0,0,0.01005,2.87506,0,0,0.00545,0,0.00759,0.29629,0,0.00616,0.01095,0,0.42664,0,0,6e-04,0.01926,0.01171,0.12414,0.1071,0,0,0.06406,0.03255,0.15947,0.07913,0.00636,0.00152,0.06856,0,0.01627,0.01297,0,0,0,0,0.01912,0.02409,0,0.09586,0,0.02723,0,0.00543,0.0216,0,0.14442
"Clostridium_clostridioforme",0,0.0728,0,0,0,0,0,0,0.03108,0,0,0,0,0,0,0,0,0,0,0.11989,0,0,0,0.07368,0,0,0,0,0,0.0074,0.09662,0,0,0.24837,0,0,0,0.19804,0,0,0,0,0,0,0,0,0.14276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609,0.01708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248,0,0,0,0,0,0,0.01502,0,0,0,0,0,0.00693,0,0,0,0,0,0,0,0,0
"Clostridium_celatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825,0,0,0,0,0.01637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella_lenta",0,0.01615,0.03659,0,0,0,0,0,0.19763,0,0,0.02521,0,0.01285,0,0,0.04277,0,0.03931,0,0,0.04956,0,0.05373,0,0,0,0,0,0,0.04416,0.00849,0,0.01954,0,0,0,0.22429,0.04627,0,0,0,0,0,0,0,0,0.02237,0,0,0,0,0.00326,0,0,0,0,0,0,0,0,0.00781,0.00275,0,0,0,0.00499,0,0,0.03294,0.00934,0.04082,0.0154,0.01972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2339,0,0,0,0,0,0,0.02102,0,0,0
"Dorea_sp_CAG_317",0,0.01628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08571,0,0,0,0.0665,0,0,0,0,0,0,0,0,0,0,0.0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02595,0.03685,0,0,0,0,0,0,0,0,0,0,0.10811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacterium_freudenreichii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00411,0,0,0,0,0,0,0,0,0,0.04564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_innocuum",0,0,0.00612,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0.00908,0,0,0,0,0,0,0.01597,0,0,0,0.00261,0,0,0,0,0,0,0.05312,0.02421,0,0,0,0,0,0,0,0,0.00742,0,0,0,0,0.01781,0,0.06068,0,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01582,0,0
"Actinomyces_sp_oral_taxon_181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,0,0,0,0,0,0,0,0.00862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
