"","train_3006","train_3008","train_3013","train_3015","train_3039","train_3040","train_3045","train_3056"
"Lachnospira_pectinoschiza",0,0.10576,0.10026,0,0,0,0,0.03803
"Prevotella_stercorea",0,0,0,0,0,0,0,0
"Bacteroides_caccae",2.74309,0,2.08281,1.135,0,0.03317,0.00567,1.87479
"Parabacteroides_distasonis",5.13918,0.56894,1.70089,1.08101,65.22049,4.508,1.36479,1.23969
"Haemophilus_parainfluenzae",0,0,0,0,0,0,0.00229,0.09358
"Odoribacter_splanchnicus",0.35597,0.13864,0.80347,0.74765,0,0.10108,0.45669,0.7659
"Firmicutes_bacterium_CAG_110",0,0,0,1.15255,0,0,0.65262,0.02289
"Coprococcus_eutactus",0,0,9.38867,8.31553,0,0,0,0.02666
"Paraprevotella_xylaniphila",0,0,0,0.39113,0,0,0.48671,0
"Slackia_isoflavoniconvertens",0,0.06202,0.15018,0.47238,0,0,0.02644,0.02058
"Bacteroides_ovatus",0,0.33871,0.30636,0.10219,0,0.25647,0,1.15799
"Bacteroides_sp_CAG_144",0,0,0,0,0,0,0.00428,0
"Clostridium_sp_CAG_58",0,0.23423,0,0.22737,0,0,0.25577,0.03159
"Roseburia_hominis",0,0,0.20636,0.12238,4.29428,0,0.01434,0.29527
"Dorea_longicatena",0,0.04143,0,0.28271,0,0,0.01014,0.43345
"Eubacterium_sp_CAG_38",0.17344,0,0.22973,0,2.42667,0,0,0
"Parabacteroides_merdae",0,2.80636,4.26878,3.6319,0,0.04119,0.84915,1.9777
"Ruminococcus_lactaris",0.04176,0,0,0.16463,0,0,0,0.06517
"Gemmiger_formicilis",0,0.11179,0.4801,0.28358,0.02117,0,0.0191,0.76972
"Bifidobacterium_dentium",0.33528,0,0.01982,0,0.11251,0.00242,0,0.43876
"Blautia_obeum",0,0.00979,0.04577,0.69884,0,0,0,0.26935
"Firmicutes_bacterium_CAG_83",0,0,0,0.0932,0,0.10349,0.43289,0.03094
"Desulfovibrio_piger",0,0,1.52221,1.41467,0,0,0,0
"Eubacterium_rectale",0,0,0.49872,0.05012,0,0,0,1.87131
"Agathobaculum_butyriciproducens",0.07767,0.27141,0,0.57908,0,0,0.00308,0.07003
"Bacteroides_massiliensis",0,0,0,0,0,0,0.00127,0.47099
"Parabacteroides_johnsonii",0,0,0,0,0,0,2.60426,0
"Veillonella_dispar",0,0,0,0,0,0,0,0.08229
"Veillonella_infantium",0,0,0,0,0,0,0,0.04917
"Veillonella_atypica",0,0,0,0,0,0,0,0.10376
"Bacteroides_finegoldii",0,0.38353,0,0.10934,0,0,0.34237,0.06348
"Bifidobacterium_animalis",0,0,0,0,0,0,0,0.05139
"Oscillibacter_sp_CAG_241",0,1.34807,0.63471,0,0,0.92263,0,0.26126
"Bacteroides_intestinalis",0,0.00541,2.44136,0,0,0,0,0
"Anaerostipes_hadrus",0,0,0,0.04005,0,0,0,0.01666
"Clostridium_perfringens",0,0,0,0,0,0,0,0
"Catenibacterium_mitsuokai",0,0,0,0,0,0,0,0
"Streptococcus_parasanguinis",0,0,0,0,0.00017,0,0.01114,0.75972
"Butyricimonas_virosa",0,0.01904,0.12297,0.07763,0,0.08655,0.21737,0.03963
"Clostridium_sp_CAG_253",0,0,0,0,0,0,0,0
"Eubacterium_ventriosum",0,0,0,0.00264,0,0,0,0
"Firmicutes_bacterium_CAG_238",0,0,0,0,0,0,0,0
"Alistipes_finegoldii",9.49671,1.4008,2.19622,0.50477,0,1.10608,2.51869,0.3163
"Coprococcus_catus",0,0.00911,0.06277,0.09155,0,0,0.00641,0.29513
"Eubacterium_hallii",0,0,0,0.02032,0,0,0,0.17113
"Alistipes_putredinis",0,32.95625,0.01995,4.34881,0,0.78702,61.75292,6.50465
"Bacteroides_fragilis",0,0.13239,3.23982,0,0,13.08478,0.07307,0
"Bacteroides_cellulosilyticus",0,0,0,0,0,0,0,1.36737
"Veillonella_sp_T11011_6",0,0,0,0,0,0,0,0.00219
"Eubacterium_ramulus",0,0,0.0046,0.08038,0,0,0,0.20958
"Holdemanella_biformis",0,0,0,0,0,0,0,0
"Lawsonibacter_asaccharolyticus",0,0.78699,0.16988,0.26862,0,0,0.09106,0.12651
"Akkermansia_muciniphila",2.90744,0,8.53086,6.64223,0,0,0,0
"Eubacterium_sp_CAG_180",0,4.44902,8.52116,8.21138,0,0,0.70438,2.00465
"Bacteroides_xylanisolvens",0,0,0.00232,0.03342,0,0,0.2291,0
"Ruminococcus_bicirculans",0.18807,0,0.06912,0.5707,0,0,0,0
"Monoglobus_pectinilyticus",0,0,0.02463,0,0,0,0,0
"Coprobacillus_cateniformis",0,0,0,0,0,0,0,0
"Alistipes_shahii",1.30525,0,0.73665,0.66545,0,0.23013,0.3269,0.08967
"Bifidobacterium_bifidum",0,0.06817,0,0,0,0,0,4.46441
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0,0,0,0
"Asaccharobacter_celatus",0,0,0,0.08866,0,0,0,0.04877
"Eisenbergiella_tayi",0,0.00855,0.06803,0,0.5369,0.67414,0,0.00179
"Adlercreutzia_equolifaciens",0,0,0,0.0414,0,0,0,0.01431
"Alistipes_onderdonkii",2.07788,0,0,0,0,0.1574,0,0
"Ruminococcaceae_bacterium_D5",0,0,0.43658,0,0,0.02974,0.00252,0
"Hungatella_hathewayi",0.21188,0.00754,0.00865,0,0,0.5039,0,0
"Bilophila_wadsworthia",0.21912,0.3844,0.03079,0.11945,0,1.26369,0.01935,0.24574
"Holdemania_filiformis",0,0.00698,0,0,0,0,0.0037,0
"Intestinimonas_butyriciproducens",0,0.18217,0.07609,0.3861,0,0.27144,0.15203,0
"Gordonibacter_pamelaeae",0,0,0,0,0,0.02826,0,0.00054
"Parvimonas_micra",0,0,0,0,0,0.09202,0,0
"Collinsella_stercoris",0,0.01652,0,7e-04,0,0,0,0.01786
"Eubacterium_sp_CAG_274",0,0,0,0.0073,0,0,0,0
"Anaeromassilibacillus_sp_An250",0.01871,0,0.20699,0.01055,0,0,0,0
"Flavonifractor_sp_An100",0,0.04557,0,0,0,0,0,0
"Ruminococcus_obeum_CAG_39",0,0,0,0,0,0,0,0
"Collinsella_massiliensis",0,0,0,0,0,0,0,0
"Anaerotruncus_colihominis",0.24602,0.14312,0.0699,0.02908,0.00953,0.0069,0.01312,0.00175
"Roseburia_sp_CAG_471",0,0,0,0,0,0,0,0.07992
"Gemella_morbillorum",0,0,0,0,0,0,0,0
"Collinsella_intestinalis",0,0.00193,0.00185,0,0,0,0,0.00178
"Streptococcus_milleri",0,0,0,0,0,0,0,0
"Harryflintia_acetispora",0,0.01226,0,0.00375,0,0,0,0
"Atopobium_rimae",0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0.05022,0.03759,0.01253,0,0,2.40389,0,0
"Enterorhabdus_caecimuris",0,0,0,0.00072,0,0,0,0.00055
"Firmicutes_bacterium_CAG_170",0,0,0,0,0,0,0,0.02583
"Bifidobacterium_adolescentis",0,0.3192,0,0.83952,0,0,0,0.78351
"Lactobacillus_salivarius",0,0,0,0,0,0,0,0
"Methanobrevibacter_smithii",0,0,0,0,0,0,0,0
"Coprobacter_fastidiosus",0,0.30546,0,0,0,0,0.02027,0.02145
"Bifidobacterium_scardovii",0,0,0,0,0,0,0,0
"Streptococcus_anginosus_group",0,0,0,0,0,0,0,0.00578
"Bifidobacterium_longum",0.00139,0.02601,2.5222,0.30212,0,0,0,0.0153
"Lactobacillus_paragasseri",0,0,0,0,0,0,0,0
"Lactobacillus_gasseri",0,0,0,0,0,0,0,0
"Parascardovia_denticolens",0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0,0,0,0,0
"Lactobacillus_gastricus",0,0,0,0,0,0,0,0
"Streptococcus_mutans",0,0,0,0,0,0,0,0.00619
"Lactobacillus_crispatus",0,0,0,0,0,0,0,0
"Lactobacillus_mucosae",0,0,0,0,0,0,0,0
"Lactobacillus_delbrueckii",0,0,0,0,0,0,0,0
"Enterococcus_faecium",0,0,0,0,1.77389,0,0,0
"Lactobacillus_oris",0,0,0,0,0,0,0,0
"Lactobacillus_fermentum",0,0,0,0,0,0,0,0
"Sanguibacteroides_justesenii",0,0,0,0,0,0,0.01782,0
"Prevotella_sp_CAG_755",0,0,0,0,0,0,0,0
"Bacteroides_salyersiae",0,0,0,0.4498,0,0,0.1614,0.13641
"Barnesiella_intestinihominis",0,0,0,0.82162,0,0.14631,0.49909,0.19622
"Bacteroides_eggerthii",0,0,4.66657,1.32285,0,0,0.07979,0
"Clostridium_sp_CAG_590",0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_403",0,0,0,0.7407,0,0,0,0
"Roseburia_sp_CAG_309",0,0,0,0,0,0,0,0
"Parasutterella_excrementihominis",0.11094,0,0,0.81919,0,0,0,0.43749
"Roseburia_sp_CAG_182",0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_95",0,0,0,0.07197,0,0,0.00598,0.01994
"Alistipes_indistinctus",0,0.76738,0.1865,0,0,0.15094,0.06581,0.0254
"Butyricimonas_synergistica",0,0.1305,0,0.00493,0,0,0.01592,0.13159
"Clostridium_sp_CAG_167",0,0,0.03978,0,0,0,0,0
"Streptococcus_vestibularis",0,0,0,0,0,0,0,0.00334
"Coprobacter_secundus",0,0,0.07446,0,0,0,0,0
"Gemella_sanguinis",0,0,0,0,0,0,0,0
"Clostridium_leptum",0,0.00307,0.04621,0,0,0,0,0.72933
"Oscillibacter_sp_PC13",0,0,0,0,0,0,0,0.00147
"Proteobacteria_bacterium_CAG_139",1.32447,0.013,0,0.05036,0,0,0,0.03395
"Clostridium_citroniae",0.01652,0.00515,0.01041,0,0,0.12883,0,0
"Pseudoflavonifractor_capillosus",0.01972,0.04088,0,0,0,0,0,0
"Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0
"Olsenella_scatoligenes",0,0,0,0,0,0,0,0
"Bacteroides_faecis",0,0,0,0.23505,0,0,0.09188,0
"Victivallis_vadensis",0,0,0,0,0,0,0,0
"Phascolarctobacterium_faecium",0,0,0,0,0,0,0,0.00435
"Bacteroides_clarus",0,0,0,0.24296,0,0,0.06945,0.00913
"Actinomyces_odontolyticus",0,0,0,0,0,0,0,0.02329
"Turicimonas_muris",0.04747,0,0,0.029,0,0,0,0.06485
"Bacteroides_nordii",0,0,0.00137,0,0,0,0,0
"Parabacteroides_goldsteinii",0,0,0,0.06526,0,0,0.10994,0
"Clostridium_bolteae",0.00474,0,0.00633,0.00283,0,0.25994,0,0
"Anaerotruncus_sp_CAG_528",0,0,0,0,0,0,0,0
"Bacteroides_coprocola",0,0,0,0,0,0,0,0
"Bacteroides_faecis_CAG_32",0,0,0,0.47218,0,0,0.10764,0
"Veillonella_parvula",0,0,0,0,0,0,0.03165,1.11493
"Bacteroides_plebeius",0,0,0,11.55693,0,0,0,2.34806
"Oxalobacter_formigenes",0,0,0.00675,0,0,0,0,0
"Bifidobacterium_angulatum",0,0,0,0,0,0,0,0
"Blastocystis_sp_subtype_1",0,0,0,0,0,0,0,0
"Bacteroides_coprophilus",0,0,0,0,0,0,1.09051,0
"Prevotella_bivia",0,0.01382,0,0,0,0,0,0
"Allisonella_histaminiformans",0,0,0,0,0,0,0,0.09926
"Paraprevotella_clara",0,0,0,0.00316,0,0,0,0
"Sutterella_parvirubra",0.00807,0.0061,0,0,0.00277,0,0,0.00389
"Firmicutes_bacterium_CAG_555",0,0,0,0,0,0,0,0
"Cloacibacillus_porcorum",0,0,0.46385,0,0,0,0,0
"Bacteroides_pectinophilus",0,0,0,0,0.15661,0,0,0
"Actinomyces_sp_oral_taxon_448",0,0,0,0,0,0,0,0
"Dialister_sp_CAG_357",0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_633",0,0,0,0,0,0,0,0
"Streptococcus_sobrinus",0,0,0,0,0,0,0,0
"Acidaminococcus_fermentans",0,0,0,0,0,0,0,0
"Klebsiella_variicola",2.1763,0.31985,0,0,0,0,0,0
"Bifidobacterium_catenulatum",0,0,0,0,0,0,0,0
"Streptococcus_gordonii",0,0,0,0,0,0,0,0.13121
"Enterococcus_faecalis",0,0,0,0,0.02317,0,0,0
"Bifidobacterium_pseudocatenulatum",0,0,0,0,0,0,0,0.13287
"Prevotella_sp_CAG_1185",0,0,0,0.22631,0,0,0,0
"Prevotella_sp_CAG_5226",0,0,0,0,0,0,0,0
"Parabacteroides_sp_CAG_409",0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_145",0,0.03087,0,0.00664,0,0.00443,0.00896,0
"Pseudoflavonifractor_sp_An184",0.09936,0.03075,0.20843,0,0,0,0,0
"Roseburia_sp_CAG_303",0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_1092",0,0,0,0,0,0,0,0
"Streptococcus_lutetiensis",0,0,0,0,0,0,0,0
"Butyricicoccus_pullicaecorum",0,0,0,0,0,0,0,0
"Absiella_dolichum",0,0,0,0,0,0,0,0
"Eubacterium_dolichum_CAG_375",0,0,0,0,0,0,0,0
"Tyzzerella_nexilis",0,0,0,0,0,0,0,0
"Eisenbergiella_massiliensis",0,0,0.04832,0.01253,0,0,0,0
"Clostridium_sp_CAG_242",0,0,0,0,0,0,0,0
"Prevotella_sp_AM42_24",0,0,0,0,0,0,0,0
"Butyrivibrio_sp_CAG_318",0,0,0,0.37618,0,0,0,0.25467
"Alistipes_sp_An66",0,0,0,0,0,0,0,0
"Haemophilus_sp_HMSC71H05",0,0,0,0,0,0,0,0
"Megasphaera_elsdenii",0,0,0,0,0,0,0,0
"Acidaminococcus_intestini",4.06795,0,1.21733,0,0,0,0.49433,1.02937
"Ruminococcus_sp_CAG_330",0,0,0,0,0,0,0,0
"Faecalitalea_cylindroides",0,0,0,0,0,0,0,0
"Blautia_hydrogenotrophica",0,0,0,0,0,0,0,0
"Enorma_massiliensis",0,0,0,0.01358,0,0,0,0
"Anaerotignum_lactatifermentans",0.25453,0,0,0,0,0,0.14688,0
"Desulfovibrio_fairfieldensis",0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_1320",0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_617",0,0,0,0,0,0,0,0
"Flavonifractor_sp_An10",0,0,0,0,0,0,0,0
"Alistipes_timonensis",0,0,0,0,0,0,0,0.00152
"Clostridium_sp_CAG_299",0,0,0,0,0,0,0,0
"Anaerofilum_sp_An201",0,0,0,0,0,0,0,0
"Cloacibacillus_evryensis",0,0,0,0,0,0,0,0
"Enterococcus_hirae",0,0,0,0,0,0,0,0
"Pyramidobacter_piscolens",0.89382,0,0,0,0,0,0,0.23169
"Pseudomonas_aeruginosa_group",0,0,0,0,0.83759,7.50666,0,0
"Lactobacillus_johnsonii",0,0,0,0,0,0,0,0
"Massiliomicrobiota_timonensis",0,0,0,0,0,0,0,0
"Pyramidobacter_sp_C12_8",0.02841,0,0,0,0,0,0,0.00314
"Dialister_succinatiphilus",0,0,0,0,0,0,0.00423,0
"Enterobacter_cloacae_complex",0,0,2.58895,0,0,0,0,0
"Ruminococcus_sp_CAG_488",0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_530",0,0,0,0,0,0,0,0
"Ruminococcus_callidus",0,0,0.00595,0,0,0,0,0
"Mitsuokella_jalaludinii",0,0,0,0,0,0,0,0
"Phascolarctobacterium_sp_CAG_266",0,0,0,0,0,0,0,0.22608
"Butyrivibrio_crossotus",0,0,0,0,0,0,0,0
"Dielma_fastidiosa",0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_924",0,0,0,0,0,0,0,0
"Lactobacillus_amylovorus",0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_964",0,0,1.42512,0,0,0,0,0
"Lactobacillus_kefiranofaciens",0,0,0,0,0,0,0,0
"Lactobacillus_acidophilus",0,0,0,0,0,0,0,0
"Varibaculum_cambriense",0,0,0,0,0,0,0,0
"Desulfovibrionaceae_bacterium",0,0,0.28447,0,0,0,0,0
"Citrobacter_koseri",0,0,0,0,0.00775,0,0,0
"Lactobacillus_rhamnosus",0,0,0,0,0.00335,0,0,0
"Streptococcus_sanguinis",0,0,0,0,0,0,0,0.1099
"Ruminococcus_sp_CAG_563",0,0,0,0,0,0,0,0
"Prevotella_corporis",0,0,0,0,0,0,0,0
"Mogibacterium_diversum",0,0,0,0,0,0,0,0.00287
"Fretibacterium_fastidiosum",0,0.00162,0,0,0,0,0,0.00388
"Streptococcus_australis",0,0,0,0,0,0,0,0.07495
"Lactobacillus_ruminis",0,0,0,0,0,0,0,0
"Fusobacterium_sp_CAG_439",0,0,0,0,0,0,0,0
"Rothia_mucilaginosa",0,0,0,0,0,0,0,0.06607
"Eubacterium_sp_OM08_24",0,0,0,0.07664,0,0,0,0
"Bacteroides_sp_CAG_927",0,0,0,0,0,0,0,0
"Lactobacillus_rogosae",0,0,0,0,0,0,0,0
"Hafnia_paralvei",0,0,1.40956,0,0,0,0,0
"Hafnia_alvei",0,0,0,0,0,0,0,0
"Bacteroides_sp_43_108",0,0,0,0,0,0,0,0
"Clostridium_asparagiforme",0,0,0,0,0,0,0,0
"Clostridium_lavalense",0.08103,0.05328,0.00832,0,0,0,0,0
"Lactobacillus_sakei",0,0,0,0,0,0,0,0
"Christensenella_minuta",0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_485",0,0,0,0,0,0,0,0
"Enterococcus_durans",0,0,0,0,0,0,0,0
"Bacteroides_galacturonicus",0,0,0,0,0,0,0,0
"Sellimonas_intestinalis",0.01968,0,0.06467,0,0,0,0,0
"Clostridium_bolteae_CAG_59",0,0,0,0,0,0.01772,0,0
"Prevotella_sp_CAG_1031",0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_413",0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_598",0,0,0,0,0,0,0,0
"Mitsuokella_multacida",0,0,0,0,0,0,0,0
"Megasphaera_sp_DISK_18",0,0,0,0,0,0,0,0
"Klebsiella_quasipneumoniae",2.88046,0.03682,0,0,0,0,0,0
"Alloscardovia_omnicolens",0,0,0,0,0.00093,0,0,0
"Streptococcus_infantis",0,0,0,0,0,0,0,0.05572
"Streptococcus_sp_A12",0,0,0,0,0,0,0,0
"Clostridium_hylemonae",0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_534",0,0,0,0,0,0,0,0
"Ruminococcus_champanellensis",0,0,0,0,0,0,0,0
"Actinomyces_graevenitzii",0.00589,0,0,0,0,0,0,0.00337
"Megamonas_hypermegale",0,0,0,0,0,0,0,0
"Prevotella_sp_885",0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_791",0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_462",0,0,0,0,0,0,0.03186,0
"Lactobacillus_vaginalis",0,0,0,0,0,0,0,0
"Escherichia_marmotae",0,0,0,0.02124,0,0,0,0
"Brachyspira_sp_CAG_700",0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_510",0,0,0,0,0,0,0,0
"Prevotella_disiens",0,0,0,0,0,0,0,0
"Actinomyces_turicensis",0,0,0.06692,0,0,0,0,0
"Bacteroides_fluxus",0,0.56623,0,0,0,0,0,0
"Fusobacterium_mortiferum",0,0,0,0,0,0.08421,0,0
"Prevotella_melaninogenica",0,0,0,0,0,0,0,0
"Neisseria_flavescens",0,0,0,0,0,0,0,0
"Megasphaera_micronuciformis",0,0,0,0,0,0,0,0.0611
"Prevotella_histicola",0,0,0,0,0,0,0,0
"Prevotella_pallens",0,0,0,0,0,0,0,0
"Oribacterium_sinus",0,0,0,0,0,0,0,0
"Neisseria_perflava",0,0,0,0,0,0,0,0
"Streptococcus_sp_HMSC034E03",0,0,0,0,0,0,0,0
"Prevotella_jejuni",0,0,0,0,0,0,0,0
"Prevotella_salivae",0,0,0,0,0,0,0,0
"Prevotella_buccae",0,0,0,0,0,0,0,0
"Corynebacterium_glucuronolyticum",0,0,0,0,0,0,0,0
"Weissella_confusa",0,0,0,0,0,0,0,0
"Actinomyces_sp_HMSC035G02",0,0,0,0,0,0,0,0.00938
"Fusobacterium_nucleatum",0,0,0,0,0,0,0,0
"Eubacterium_sulci",0,0,0,0,0,0,0,0
"Clostridium_paraputrificum",0,0,0,0,0,0,0,0
"Helicobacter_cinaedi",0,0,0,0,0,0,0,0
"Streptococcus_infantarius",0,0,0,0,0,0,0,0
"Prevotella_buccalis",0,0,0,0,0,0,0,0
"Finegoldia_magna",0,0,0,0,0,0,0,0
"Megamonas_funiformis",0,0,0,0,0,0,0,0
"Cutibacterium_granulosum",0,0,0,0,0,0,0,0
"Alloprevotella_tannerae",0,0,0.48988,0,0,0,0,0
"Campylobacter_jejuni",0,0,0,0,0,0,0,0
"Vibrio_cholerae",0,0,0,0,0,0,0,0
"Helicobacter_fennelliae",0,0,0,0,0,0,0,0
"Streptococcus_gallolyticus",0,0,0,0,0,0,0,0
"Haemophilus_influenzae",0,0,0,0,0,0,0,0
"Staphylococcus_haemolyticus",0,0,0,0,0,0,0,0
"Kocuria_palustris",0,0,0,0,0,0,0,0
"Staphylococcus_arlettae",0,0,0,0,0,0,0,0
"Morganella_morganii",0,0,0,0,0,0,0.01418,0
"Clostridium_butyricum",0,0,0,0,0,0,0,0
"Lawsonella_clevelandensis",0,0,0.06269,0,0,0.78409,0,0
"Bifidobacterium_kashiwanohense",0,0,0,0,0,0,0,0
"Fusobacterium_naviforme",0,0,0,0,0,0,0,0
"Prevotella_timonensis",0,0,0.24062,0,0,0,0,0
"Bacteroides_coagulans",0,0,0,0,0,0,0,0
"Negativicoccus_succinicivorans",0,0,0,0,0,0.62924,0,0
"Anaerococcus_vaginalis",0,0,0,0,0,0,0,0
"Peptoniphilus_harei",0,0,0,0,0,0,0,0
"Anaerococcus_prevotii",0,0,0,0,0,0,0,0
"Porphyromonas_sp_HMSC065F10",0,0,0,0,0,0.03078,0,0
"Facklamia_hominis",0,0,0,0,0,0,0,0
"Peptococcus_niger",0,0,0,0,0,0,0,0
"Corynebacterium_sp_NML130628",0,0,0,0,0,0,0,0
"Peptoniphilus_sp_HMSC062D09",0,0,0,0,0,0,0,0
"Actinomyces_europaeus",0,0,0,0,0,0.20826,0,0
"Bifidobacterium_breve",0,0,0,0,0,0,0,0
"Peptoniphilus_duerdenii",0,0,0,0,0,0,0,0
"Mobiluncus_curtisii",0,0,0,0,0,0,0,0
"Porphyromonas_asaccharolytica",0,0.0577,0,0,0,45.72138,0,0
"Prevotella_bergensis",0,0,0,0,0,0,0,0
"Corynebacterium_sp_NML140438",0,0,0,0,0,0,0,0
"Anaerococcus_hydrogenalis",0,0,0,0,0,0,0,0
"[Collinsella]_massiliensis",0,0.00138,0,0,0,0,0,0.0032
"Atopobium_minutum",0,0,0,0,0,0,0,0
"Acinetobacter_indicus",0,0,0,0,0,0,0,0
"Klebsiella_michiganensis",0,0,0,0,0,0,0,0.03644
"Klebsiella_oxytoca",0,0,0,0,0,0,0,12.25302
"Enterococcus_raffinosus",0,0,0,0,0,0,0,0
"Enterococcus_avium",0,0,0,0,0.12333,0,0,0
"Cutibacterium_avidum",0,0,0,0,0,0,0,0
