"","train_84","train_85","train_89","train_91","train_92","train_94","train_96","train_98","train_99","train_100","train_102","train_103","train_104","train_107","train_109","train_111","train_127","train_128","train_129","train_130","train_131","train_132","train_133","train_134","train_135","train_136","train_137","train_138","train_139","train_140","train_142","train_143","train_144","train_145","train_146","train_147","train_148","train_149","train_150","train_151","train_152","train_153","train_164","train_167","train_170","train_171","train_255","train_256","train_257","train_258","train_259","train_260","train_261","train_262","train_263","train_264","train_265","train_266","train_267","train_268","train_269","train_270","train_271","train_272","train_273","train_274","train_275","train_276","train_277","train_278","train_2998","train_2999","train_3002","train_3014","train_3016","train_3018","train_3019","train_3020","train_3021","train_3022","train_3028","train_3029","train_3043","train_3057","train_3432","train_3438","train_3448","train_3449","train_3458","train_3465","train_3471","train_3485","train_3499","train_3505","train_3510","train_3520","train_3521","train_3538","train_3544","train_3574","train_3575","train_3580","train_3581","train_3601","train_3606","train_3608","train_3609","train_3612","train_3620","train_3622","train_3623","train_3632","train_3634","train_3637","train_3659","train_3676","train_3685","train_3690","train_3703","train_3710","train_3722","train_3725","train_3727","train_3729","train_3731","train_3733","train_3735","train_3737","train_3739","train_3740","train_3746","train_3753","train_3754","train_3756","train_3761","train_3832","train_3838","train_3862","train_3863","train_3864","train_3865","train_3881","train_3882","train_3883","train_3886","train_4156","train_4159","train_4161","train_4175","train_4179","train_4180","train_4184","train_4185","train_4188","train_4191","train_4192","train_4200","train_4205","train_4207","train_4208","train_4214","train_4216","train_4217","train_4221","train_4224","train_4225","train_4229","train_4230","train_4232","train_4234","train_4242","train_4246","train_4247","train_4249","train_4256","train_4257","train_4262","train_4263","train_4269","train_4273","train_4274","train_4275","train_4279","train_4283"
"Blastocystis_sp_subtype_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_coprophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67043,0,0,0,0,0,1.14618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58624,0.21986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08381,0,0,0,0,0.00182,0,0,0.64947,0,0,0,0,0,0.00285,0,0,0,0,0,0,0.06951
"Prevotella_bivia",0,0,0,0,0.00211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02674,0,0,0,0
"Allisonella_histaminiformans",0,0,0,0,0,0,0,3e-04,0,0,0,0.00807,0,0,0,0,0,0,0,0.02043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04407,0.17117,0,0,0,0.0146699999999999,0,0.02465,0,0.07047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01584,0,0.01126,0.00746,0,0.06716,0,0,0,0.01915,0.00397,0,0.0077,0,0.02766,0,0,0,0,0.02779,0.0153,0,0,0.0451,0.00486,0,0.05463,0,0,0,0,0,0.12778,0,0,0.02222,0.00559,0.01389,0,0,0.16679,0.00052,0.00153,0.01146,0,0,0,0.00539,0,0,0,0.30647,0,0.00552,0,0,0,0.00073,0,0,0,0.00465,0,0.49887,0,0.01653,0.08038,0.07937,0,0,0,0,0.04953,0,0.00211,0,0,0,0.02251,0,0,0,0,0.00784,0.01671,0,0,0,0,0.0143,0,0,0,0.00672,0.00168,0,0,0,0,0,0,0.08791,0.00056,0,0,0
"Paraprevotella_clara",0.0097299999999999,0,0,0,0,0.00278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04495,0,0,0,0,0,0,0,0,0,0,0,0,0.0205,0,0.0329,0,0,0,0,0,0,0,0,0,0,0,0,0.02304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02779,0,0,0,0,0,0,0,0.02491,0,0,0,0,0,0,0,0,2.35873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00697,0.00838,0,0.11987,0,0.02094,0,0,0.68857,0,0,0,0.02575,0,0,0.33702,0.12385,0,0,0,0.47449,0,0,0,0,0,0,0,0.00602,0.02911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,0.04878,0,0,0.00042
"Sutterella_parvirubra",0,0,0,0,0,0.00425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02873,0.02552,0,0,0,0.0037,0,0,0.00957,0.00093,0,0,0.03468,2.13547,0,0.07214,1.16849,0.85204,0.01692,0.06548,0,0,0,0,0,0,0,0,0.03432,0.0219,0.01048,0.01205,0,0.00416,0,0,0,0,0,0,0.04763,0,0.01428,0,0,0,0.0082,0,0.10393,0,3.50446,0,0,0,0,0,0.00839,0,0.00194,0,0,0.00958,0,0,0.00638,0.01288,0,0.0068,0.00209,1.22852,0,0,0,0,0,0,0,0.02143,0.28256,0.01603,0,0,0.00895,0,0,0,0,0,0,0.0049,0,0,0,0,0,0,0,0,0.04651,0.01416,0,0,0,0,0,0,0.09512,0,0,0,0.01595
"Firmicutes_bacterium_CAG_555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05142,0,0,0
"Cloacibacillus_porcorum",0,0,0,0,0.22833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00819,0,0,0,0,0,0,0,0,0.00872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01252,0,0.11733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02399,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02826,0,0,0,0,0,0,0,0,0,0.01395,0,0,0,0,0,0,0,0,0.00649,0,0,0,0,0,0,0.04774,0,0,0,0,0.03168,0.1523,0,0,0,0.08478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98701,0,0,0,0,4.12584,0,0,0,0
"Bacteroides_pectinophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228699999999999,0,0,0,0.00606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51207,0,0.42667,0.17066,0,0,0,0,0,0,0.94113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_448",0,0,0,0.00138,0,0,0,0,0,0,0,0,0,0.00295,0.0574299999999999,0,0,0,0,0,0,0.00069,0,0,0.00528,0,0,0,0,0,0,0.00157,0,0,0,0,0,0.00954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister_sp_CAG_357",0,0,0,0,0,0,0,0,0,0,0,7.4465,0,0,0,0,0,0,0,0,0,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20609,0,0,0,0,0,6.59788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03518,0,0,0,0,0,0,0.01375,0,0,0,0,0
"Streptococcus_sobrinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09603,0,0,0,0,0,0,0,0,0,0,0,0,0.01877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01473,0.00187,0,0,0,0.00462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus_fermentans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09084,0,0,0,0,0.23533,0,0,0,0,0,0,0,0,0,0,0.26206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68483,0,0,2.17977,0,0,0.87867,0,0.91266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03407,0,0.00188,0,0,0,0.01946,0,0,0,0,0,0,0,0,0.00056,0
"Klebsiella_variicola",0,0,0,0,0,0,2.57991,0.04044,0,0,0,0,0.00203,0,0,0,0,0,0,0,0,0,0,0,0,0.00504,0,0,0.07597,0,0,11.58825,0,0,0,0,0,0.33848,0,0,0,0,1.41646,0,0,0,0,0,0.06602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03248,0.2754,0,0,0,0,0,0,0,0,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0.01047,0,0,0,0,0.10329,0.00249,0,0,0,0.05255,0.19515,0,0,0,0,0,0,0.02699,0,0,0.08101,0,0,0,0,0.05697,0.03079,0.03189,0,0,0,0.03622,0.04687,8.63288,0.02046,0.14871,2.25364,1.77167,0.63045,0,0,0,2.88684,0,0,0.30268,0,0,0,0,1.18006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_catenulatum",0,4.75613,0,0,0,0,0,0.5599,0,0,0,0,0,0,1.35075,0,0,1.40577,0,0,0,1.87855,0,0,0.00064,0,0,0,0,9.80041,0.00282,0.0449699999999999,0,0,0,0.05536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06409,1.01076,0,0,0,0.03048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17761,0,0.03481,0,0,0,0,0,0,0,0,0,0.15204,0,0,0,0,0,0,0.27584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60914
"Streptococcus_gordonii",1.68193,0,0,0.14391,0,0,0,0.20377,0.04675,0,0.00214,0,0,0.01872,0.03765,0.03257,0.01871,0.0240699999999999,0.00095,0,0,0.0041,0,0,0,0,0,0.03829,0.00113,0.02661,0.0048,0.02069,0.01882,0,0,0,0.01867,0.07076,0.14626,0.0062299999999999,0.01241,0,0,0,0,0,0,0,0.23213,0,0,0,1.34428,0,0,0,0,0,0,0,2.07795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01191,0.00065,0,0,0,0,0.06893,0,0,0,0.00979,0.00064,0,0,0,0,0.11044,0,0.06412,0,0,0.04779,0.01386,0.02661,0,0,0,0,0,0.01764,0,0,0,0,0,0,0,0,0,0.00161,0,0,0.03966,0.02746,0.00979,0,0,0.30584,0.23927,0,0.0364,0,0.18913,0.00521,0.01495,0.06112,0,0,0.04228,0,0,0,0.00541,0,0,0,0,0,0,0.40247,0,0.01151,0.01538,0.03285,0,0,0,0,0,0,0,0,0.00226,0,0.03242,0,0.01329,0.15102,0.0109,0,0.19333,0,0,0,0.0412,0,0,0.03095,0,0,0,0.02447,0,0,0,0,0
"Enterococcus_faecalis",0,1.92219,0,0,0,0,4.62753,0,0,0,0,0,0,0,1.15589,0,0,0,0,0,0,0.00777,0.00732,0.00702,0,0,0,0.00752,0,0,0.00149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12831,0,0.05209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02325,0,0.01548,0,0,0,0,0.03405,0,0.07422,0.01299,0,0,0.46651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122,0,0,0,0,0.05345,0,0.08172,0,0,0,0,0,0,0,0,0.00519,1.98959,0,0.04938,0,0.00723,2.06372,0.02566,0,0.44678,0.00572,1.69749,0,0.00989,0.38022,0,0,0,0.4133,0
"Bifidobacterium_pseudocatenulatum",0,0,0,0,0,0,0,0.02161,0,0,0.00118,0,0,0,0.25349,0,0,3.42,0,0.72725,0.00569,0,0.16658,2.48512,0,0,0,0,0.0027,11.79297,0.0001899999999999,0,0,0,0,0.00599,0,0,0,0.00089,1.16588,0,0,0,0,0,0,0.5589,0,2.73112,0,16.12819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15349,0,0,0,1.58013,0,0,0.24831,0,0,0.0921,0,0,0.00929,0,0,0.08666,0,2e-04,1.05006,0.0793,0.02771,0,0,0.8031,0.07776,0.00101,0.64128,0.76843,1.33413,0,0.04703,0.9186,1.39485,6.31043,0.03369,0,0,0,0.03424,0,0,0.01403,0,0,0.07431,0,1.0468,0.50435,0.40721,0,0,0,0.00633,0.39851,0,0,0,0,0,0.0656,0,0.08653,0,0,0,0.02106,0,2.36747,0.18836,0.18375,0.90846,0,0,1.65187,0.97195,0,0,0,0,0.00296,0,2.85983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02582,0.01085,0.33887,0,5.51193,0.09527,0,0,0,0.01133,0,7.03782,0
"Prevotella_sp_CAG_1185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00224,0,0,0.06141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04965,0,0,0,0,0.55901,0,0.05701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10759,0,0.01602,0,0.12381,0,0,0,0,0,0,0,0,0,0,0,0,0.17837,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,0,0,0
"Prevotella_sp_CAG_5226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.43068,0,0,5.08447,0,0,0,0,0,0,0,0,0,0,3.1507,0,0,0,0,0,0,0,0,9.1254,0,0,0,0,0,0,0,0,0,0,0,0,5.79773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_sp_CAG_409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02775,0,0,0,0,0,0,0.11257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52875,0,0.01111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00763,0.60224,0,0,0.00495,1.65655,0,0,0,0,0,0.15962,0,0,0,0.02758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347,0,0,0.01134,0.16229,0.89215,0,0
"Firmicutes_bacterium_CAG_145",0,0.11667,0.12822,0,0,0.0435199999999999,0,0.00243,0.01411,0,0.42178,0.00913,0.0003799999999999,0.14786,0.04591,0,0.0280899999999999,0,0.00084,0.0335,0,0.01068,0.01099,0,0.05923,0,6.81566,0.00147,0.08151,0,0.02477,0.01238,0.0502,0.06845,0,0.0116099999999999,0.0941299999999999,0.3245,0,0,0.22175,0,0,0.10592,0,0.00828,0.08372,0.02383,0,0.03723,0,0,0,0,0,0.01214,0,0,0,0,0,0,0,0,0,0,0,0.01154,0,0,0,0.26729,0,0,0,0,0.1296,0.03483,0,0,0,0,0,0,1.27363,0,0.07681,0,0,0.09125,0,0,0,0.00044,0.14362,0,0.00537,0.04652,0,0.01043,0,0.07212,0,0,0,0,0,0.03992,0,0.01056,0,0,0,0,0,0,0,0,0,0,0,0.01618,0.20384,0,0,0,0,0,0,0,0,0,0,0.03523,0,0,0,0,0,0,0.12271,0,0,0,0,0.06721,0,0.51823,0,0.12312,0.0368,0,0,0.02298,0,0,0,0,0,0,0.03292,0.01868,0.00057,0.55879,0.0061,0,0.10318,0,0.0074,0,0.03218,0,0.01808,0.06989,0.01752,0.00287,0.0777,0.01719,0.06575,0.00503,0.19264,0.00283,0,0
"Pseudoflavonifractor_sp_An184",0,0,0,0,0,0.01039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273,0,0,0,0,0.00181,0.00029,0,0,0.02389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03854,0.01142,0,0,0.02029,0,0,0,0,0,0,0,0,0,0.00892,0,0,0,0,0.4741,0.04982,0,0,0,0.00158,0,0,0,0,0,0,0,0,0,0,0,0,0.0423,0,0,0,0.00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01019,0,0,0,0,0.02022,0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_303",0,0,0.01975,0,0,0,0,0,0,0,0.00409,0,0,0,0,0,0.00907,0,0,0,0,0,0.14072,0,0,0,0,1.47299,0,0,0,0,0,0,0,0,0,0,0,0,0.10366,0.34128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2076,0,0.10967,0.38855,0,0,0,0,0.01949,0.00572,0,0,0,0,0,0,0,0,0,0,0,0,0.0247,0,0,0,0,0,0,0,0.20031,0,0.18719,0,0,0,0,0,0,0,0,0,0,0,0.03764,0,0.05706,0,0,0,0,0,0.03231,0,0.15368,0,0.02803,0.15526,0,0
"Prevotella_sp_CAG_1092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02335,0,0,0,0,0,0,0,0,0,0,1.26817,10.60236,0,0,0,0,0,0,0,0,0,0,0,0,2.03801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64953,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_lutetiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccus_pullicaecorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03816,0.02656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109,0,0,0.04118,0.24319,0,0,0.01956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Absiella_dolichum",0,0,0,0,0.04943,0,0,0.0459199999999999,0,0,0.00542,0,0,0,0,0,0.00255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01056,0,0.01979,0,0.06548,0,0,4e-04,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0.00109,0,0,0,0,0,0,0,0,0,0,0.02242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045,0,0,0,0,0,0,0,0,0,0,0.30755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00491,0,0,0,0,0,0,0,0,0,0.00218,0,0,0
