"","train_4007","train_4008","train_4009","train_4010","train_4011","train_4012","train_4013","train_4014","train_4015","train_4016","train_4017","train_4018","train_4019","train_4020","train_4021","train_4022","train_4023","train_4024","train_4025","train_4026"
"Dorea_formicigenerans",0.01772,0,0,0.09212,0,0,0.02506,0.00587,0,0,0,0.0322,0.00549,0,0.00047,0,0.00275,0.00773,0.00298,0
"Streptococcus_salivarius",0,0.00482,0,0.01147,0,0,0,0,0.03908,0,0,0,0,0,0,0,0.19841,0,0.00151,0
"Clostridium_clostridioforme",0,0,0,0,0,0,0,0,0.00937,0,0,0,0,0,0,0,0,0,0,0.00093
"Clostridium_celatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella_lenta",0.19303,0,0.00308,0,0.0023,0.00747,0.02276,0.06951,0.18802,0,0,0.01064,0,0.13184,0,0,0.53076,0,0.02926,0
"Dorea_sp_CAG_317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacterium_freudenreichii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_innocuum",0.00369,0,0,0,0,0,0,0,0.00304,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_oralis",0,0,0,0,0,0,0,0,0.00801,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella_pneumoniae",0.00786,0.04065,0,0.00851,0.21004,0.09574,3.45779,2.13778,0.03601,0.16055,0,0,14.24712,0.9147,0.02556,0.07489,0,0.01511,0,0
"Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mitis",0,0,0,0,0,0,0.0482,0,0.03653,0,0,0,0,0,0,0,0,0.01197,0,0
"Ruthenibacterium_lactatiformans",1.65239,0.38516,0,0.00246,0.03987,0.00082,0.00446,0.60425,5.24047,0.08131,0.13022,0.00101,0.03338,0.36651,0.0181,0,0.06679,0.00785,0.09042,0.01888
"Atopobium_parvulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_copri",0.04245,0.23802,84.31528,43.22338,0.02166,0.08181,42.34141,0.42562,0.26857,6.57197,0.03045,0.74404,0.18032,0.28614,0.1369,0.17821,0.09518,28.52762,0.30613,0.04659
"Actinomyces_sp_S6_Spd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_aerofaciens",17.94938,0.0826,0.24642,0.25647,0.03072,0.66571,2.91682,2.22674,0,0.04259,0.42189,0.2655,0,6.04229,0.0014,0.32936,6.95629,0.15338,0.26569,0.05986
"Romboutsia_ilealis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiales_bacterium_CHKCI006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_520",0,0,0,0.00026,0,0,0.01764,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_siraeum",0.02332,0,0,0,0.00032,0,0,0,0,0,0.63698,0,0,0.114,0,0,0,0,0,0.31701
"Bacteroides_uniformis",7.79706,5.99969,1.2767,0.50219,2.78647,7.25949,0.38649,11.90934,14.61251,2.44966,12.11076,3.02069,0.57951,0.59261,1.57401,0.80176,13.57124,3.08347,15.08764,14.49882
"Prevotella_sp_CAG_279",0,0,0.00246,4.9492,0,0,0.79012,0,0,2.34467,0,1.37061,0.0245,0,1.2496,6.62968,0,0,0.00464,0
"Ruminococcus_bromii",1.68674,0.17756,0,0.6571,0.21883,3.72875,0,0.19519,0,0,0.3856,0,0.02738,0.07266,3.42758,0.26827,0,0,0,0
"Phascolarctobacterium_succinatutens",0,0,0,2.48102,0,0,5.38796,0,0.0081,12.34353,3.75502,0.01206,0,0,0,0.02196,0,0,0.00271,0
"Prevotella_sp_CAG_873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_inulinivorans",0.0035,0.02366,0.01518,1.0051,0.00679,0.25876,0.08103,0,0.18259,0.00453,0.26997,3.12418,0.14299,0.89231,0.84433,0.02102,0.00328,0.05408,0.11097,0.18636
"Ruminococcus_torques",0.01915,0,0.0133,0.26155,0.01026,0.02215,0.06511,0,0,1.78677,0.01144,0.03986,0.01801,0,0.0065,0.02186,0,0.06482,0,0
"Bacteroides_stercoris",9.10686,29.28472,0.05259,0.27462,55.8827,25.6904,0.27939,0.07884,2.55006,0.91151,0.1387,0.8736,0.04202,1.56916,0.26415,0.70189,13.08956,2.78254,11.44256,2.10303
"Eubacterium_sp_CAG_251",0,0.01086,0.03621,0,0,0,0,0.04139,0.28874,0,0,0,0,0,0,0.03396,0,0.01488,0.05084,0
"Alistipes_inops",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_57_20",1.1875,0.68467,0.22437,4.26118,0.37036,0,0.7403,0,0.0768,1.99922,1.37061,2.02744,0.12402,3.93599,0.16503,0.26041,0,0.81007,0.27538,0
"Bacteroides_dorei",0.00782,14.17393,0.08749,0.09763,0.02583,0,0.04122,0.00707,0,0.01402,1.91431,0.03866,0.68652,17.88909,0.01113,0.00908,3.29799,0,2.26883,0.01309
"Lachnospira_pectinoschiza",0,0.04022,0,0.18994,0,0.71089,0.15529,0.44416,0,0,0.08016,0.51792,0.06493,0.56838,0,0.02965,0,0,0,0
"Prevotella_stercorea",0.01385,0.04653,0.07373,12.20607,0.00312,0,18.65789,0.24666,0.10198,7.07119,0.02186,35.22781,0.07453,0.06447,0.01102,0.05228,0.03491,0,0.08224,0.0248
"Bacteroides_caccae",0.17981,0.00091,0,0.17126,0.54059,1.03691,0.48942,0,3.08238,0.16247,0.05451,0,0.03037,0.11868,0.02729,0.00051,0.67904,0.69472,0.68052,1.00608
"Parabacteroides_distasonis",0.03475,0.66366,0.17167,0.54964,0.29207,1.20013,0.26722,2.35681,2.23528,2.18409,0.34858,0.75922,0.35842,1.40198,0.7069,0.08186,0.32236,1.04059,3.20727,1.12721
"Haemophilus_parainfluenzae",0,0,0,0.02751,0,0.04584,0.00898,0,0.00297,0,0.01162,0,0,0,0,0.006,0.0037,0.79112,0,0
"Odoribacter_splanchnicus",0.21628,0.08414,0,0.4613,0.06295,1.05515,0.11886,0,2.31362,0.09976,0.32753,0.21175,0,0.09847,0.05134,0.02668,0,2.24662,0.98885,0.45414
"Firmicutes_bacterium_CAG_110",0.03927,0,0,0.31099,0,0,0.00249,0,0,0,0.0255,0,0,0,0,0,0,0,0,0.0066
"Coprococcus_eutactus",0,0,0,0.1674,0,0,0.04382,0,0,0,0.37198,0,0,0,0,0.00763,0,0.06925,0,0.15066
"Paraprevotella_xylaniphila",0,0,0,0.02062,0.08233,0,0.00524,0,0.14875,0.18569,0.71146,0,0,0.03437,0.53479,0.02393,0.10519,0,0.85913,0.23158
"Slackia_isoflavoniconvertens",0,0,0,0.01266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_ovatus",0.06246,0.19203,0.09617,0.04372,0.13194,0.05669,0.01983,15.44724,0.4905,0.00368,0.08558,0.50023,0.02343,0.01762,0.44233,0.03821,0.06462,0.38902,0.35296,0.43341
"Bacteroides_sp_CAG_144",0,0,0,0,0,0,0,0,0,0,0,0,0,0.02691,0,0,0,0,0,0
"Clostridium_sp_CAG_58",0.17832,0,0.01017,0,0.02349,0,0.11886,0,0,0,0.01444,0,0,0.23611,0.02514,0,0,0,0.06883,0.07287
"Roseburia_hominis",8e-04,0.00028,0.03931,0.13882,0.35962,0.36489,0.16347,0,0.03928,1.20898,0.30595,0.11494,0,0.00359,0,0,0,0.00913,0,0.04984
"Dorea_longicatena",0.02773,0.05038,0,0.11294,0.00377,0.01111,0.02446,0.03493,0.01648,0.00634,0.04865,0.03398,0.02838,0,0.02362,0,0.10344,0.01618,0.02054,0
"Eubacterium_sp_CAG_38",0.01272,0,0,0,0.07817,0,0,0.01555,0.02184,0,0.05222,0,0.32361,0.01098,0.0496,0.01364,0.00105,0.48107,0.019,0.20273
"Parabacteroides_merdae",0.00679,0.00713,0.00664,1.15443,0.03414,0.20441,0.10044,0,0.50508,0.00989,0.15854,0.0505,0.00705,0.14443,0.03777,0.07086,2.59145,0.94587,3.80214,0.95227
"Ruminococcus_lactaris",0,0,0.0055,0,0,0.02594,0,0,0,0,0,0.02229,0,0,0.01729,0.00451,0,0.04427,0,0
"Gemmiger_formicilis",0.04061,0,0.05301,0.01652,0.00213,0.07799,0.06059,0,0,0.05166,0.03127,0.01675,0,0.07054,0.00521,0.16416,0,0.23738,0.00934,0.02277
"Bifidobacterium_dentium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03379,0,0,0.00062
"Blautia_obeum",0.00594,0,0,0.01334,0,0.00776,0.03604,0,0,0.03559,0,0.00107,0,0,0,0,0.35597,0.05601,0.01243,0.00641
"Firmicutes_bacterium_CAG_83",0.5294,0.1028,0.7077,0.20291,0.22995,0.29213,0.9465,0,0.1073,0,0.70222,0.25526,0.00964,16.27425,0.07594,0.00787,2.13368,0.02077,0.03144,0.25092
"Desulfovibrio_piger",0,0.55695,0,0.64594,0,0,0,0,1.11862,2.13001,0,0,0,0,0,0.02373,0,0,0,0
"Eubacterium_rectale",0.01433,0.0086,0.18558,1.43468,0.01995,1.01575,1.24727,0,0,2.66157,0.307,0.15518,0,0.03714,0.13205,1.17386,0.00198,0.69968,0.01396,2.49711
"Agathobaculum_butyriciproducens",0.00988,0,0.22842,0.00652,0.00215,0.06754,0.12508,0.03157,0.00446,0,0.00262,0.08597,0.02364,0.05694,0.02236,0.00822,0,0.05043,0.00108,0.00944
"Bacteroides_massiliensis",0,0.00349,0.00305,0.00989,5.31511,0,0.01577,0,0.3181,0,0.07148,0.92095,0,0,0.02909,0,0.00447,0,1.85352,0
"Parabacteroides_johnsonii",0.3467,0,0,0,0,0,0,0,0.00409,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_dispar",0,0,0,0,0,0,0.00747,0,0,0,0,0,0,0,0,0,0,0.00371,0,0
"Veillonella_infantium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0,0
"Veillonella_atypica",0,0.03559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01177,0,0,0
"Bacteroides_finegoldii",0.00239,0.81765,0,0.66438,0,0.32757,0.00461,5.60898,0,0.05678,0.29724,0.14601,0,0.03917,0.09403,0.01286,0,0.14126,0.51674,1.05277
"Bifidobacterium_animalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_CAG_241",0.29182,0,0,0.00525,0,0,0.00435,0,0,0,0.24655,0.00518,0,0.06046,0.00146,0,0,0.00854,0,0
"Bacteroides_intestinalis",0,0,0.00612,0.00667,0.02188,0,0,0,2.48619,0,0.0055,0,0.035,0.01625,0,0,0,0,0.05036,0
"Anaerostipes_hadrus",0.01682,0,0.00607,0.01222,0.00202,0.05129,0,0.00561,0,0.00533,0,0.00117,0,0,0,0,0.32673,0.34599,0,0.01813
"Clostridium_perfringens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catenibacterium_mitsuokai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092,0,0,0,0
"Streptococcus_parasanguinis",0,0,0,0,0,0,0,0,0.18495,0,0,0,0,0,0,0,0.09433,0,0,0
"Butyricimonas_virosa",0.07494,0.03221,0.00923,0.74376,0.00306,0.18198,0.00671,0,0.3641,0.1737,0.05825,0.00068,0,0,0.06663,0,0,0.69484,0.03987,0.07979
"Clostridium_sp_CAG_253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_ventriosum",0,0,0.03968,0.00999,0,0.0925,0,0,0,0.05422,0.0234,0,0,0,0,0,0.00773,0,0,0.00196
"Firmicutes_bacterium_CAG_238",0,0,0,0.00408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_finegoldii",0.48379,1.61373,0.00434,0.06127,0.1811,0,0.04256,0.00645,0.67824,0.19051,0.13182,0.00526,0.15906,2.0028,1.0979,0.04491,0.01228,0.49875,6.69351,1.2137
"Coprococcus_catus",0.005,0,0,0.0253,0,0.01762,0.00627,0,0,0,0.02191,0.08036,0,0,0.01928,0,0.06241,0.01927,0,0.00729
"Eubacterium_hallii",0.00317,0,0,0.01372,0,0,0.00388,0,0,0,0,0,0,0,0,0,0,0.00722,0,0
"Alistipes_putredinis",17.64791,28.07101,0.07267,6.45537,4.07533,10.65393,1.75421,0.11829,24.66403,5.62019,28.34227,14.93307,0.61152,18.62763,11.48962,1.66959,3.17263,18.61471,11.3845,16.4303
"Bacteroides_fragilis",0.09376,3.04072,0.65744,0.06359,0,0.36457,0,0.27469,0,0,0.01328,0,0,0.99391,0,0,1.92239,1.15434,0.02856,1.37344
"Bacteroides_cellulosilyticus",0.01222,0.0064,0,0,0.01664,0.06076,0,0,0,0,0,0,0,0,0.01434,0,0,0.08926,0,0.03238
"Veillonella_sp_T11011_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_ramulus",0,0,0.00161,0.02501,0,0,0,0.00766,0,0,0.00114,0,0,0,0,0,0.58634,0.01478,0,0
"Holdemanella_biformis",0,0,0,0.03565,0,0,0,0,0,0,0.01661,0,0,0,0,0,0,0,0,0
"Lawsonibacter_asaccharolyticus",0.01008,0,0.00111,0,0,0,0.02484,0,0.10592,0,0.00851,0.06538,8e-04,0.01472,0.02444,0,0.01342,0,0,0.02175
"Akkermansia_muciniphila",0.24482,0,0,0,0,0,0.17964,0,0,0,0,0,0.04082,0,0.01154,0,0,0.04919,0,0.00409
"Eubacterium_sp_CAG_180",0,0,0,0.00237,0,0.01102,0.02511,0,0,0.83739,1.4315,0,0,0.92307,0,0.04991,0.7408,0.62866,0,0
"Bacteroides_xylanisolvens",0,0.87856,0.04146,0.10328,0.05129,0.02092,0.01232,0.15344,0.12803,0.14347,0.82754,0.00665,0.01339,0.00563,0.01545,0.01204,0.01041,0.422,0.10784,0.15748
"Ruminococcus_bicirculans",0.52014,0,0.05154,0,0.00047,0,0,0,0,0,0.06186,0,0,0,0,0,0,0,0,0.03255
"Monoglobus_pectinilyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacillus_cateniformis",0,0,0,0,0,0,0,0,0.02799,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_shahii",1.48781,1.14119,0.85172,0.03089,0.1037,0.72552,0.35275,0.01067,1.32222,0.7731,1.67049,0.47475,0,0.3773,0.5487,0.06152,0.04442,0.33916,0.16013,5.42609
"Bifidobacterium_bifidum",9.02365,0.02453,0,0,0,0,0.05444,0.00464,0,0,0,0.97538,0,0.00843,0,0,0,0,0,0.01507
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asaccharobacter_celatus",0.04086,0,0,0,0,0,0.01108,0,0,0,0,0,0,0,0,0,0.12333,0,0,0.00092
"Eisenbergiella_tayi",0.02936,0,0,0,0,0,0,0,0.02468,0,0,0,0,0,0,0,0,0,0,0
"Adlercreutzia_equolifaciens",0.14178,0,0,0,0,0.00039,0.04286,0,0,0,0.00428,0,0,0,0.00181,0,0.33487,0,0,0.00995
"Alistipes_onderdonkii",0.35867,0,0,0,0,0,0,0,1.57679,0,0,0,0.0072,0,0,0,0,0,0,0
"Ruminococcaceae_bacterium_D5",0,0,0,0,0,0,0,0,0.02112,0,0.00731,0,0,0,0,0,0,0,0,0
"Hungatella_hathewayi",0.0155,0,0,0,0,0,0,0,0.32482,0,0,0,0,0,0,0,0,0.01481,0,0
"Bilophila_wadsworthia",0.13768,0.39139,0.13499,0.02448,0.07256,0.06558,0.03745,0.44852,0.22106,0.03092,0.06664,0.30396,0.03488,0.11419,0.16539,0.03703,0.39107,0.25393,0.01164,2.31831
"Holdemania_filiformis",0.00747,0,0,0.00252,0,0,0,0,0,0,0,0.00344,0,0.00316,0.00469,0,0.0323,0.00225,0,0
"Intestinimonas_butyriciproducens",0.38065,0,0.17051,0,0.02227,0,0,0,3.26869,0,0.0106,0,0,0.05324,0.07172,0,0,0,0.09147,0.12316
"Gordonibacter_pamelaeae",0.3828,0,0.007,0,0,0.00385,0,0.00365,0.03447,0,0,0,0,0.04896,0,0,0.14716,0,0,0.01529
"Parvimonas_micra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_stercoris",0.11228,0.00107,0.00055,0.00031,0,0,0.00173,0.00113,0,0,0,0,0,0.01439,0,0,0.00976,0,0,0
"Eubacterium_sp_CAG_274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaeromassilibacillus_sp_An250",0.06128,0,0,0,0,0,0,0,0.01349,0,0,0,0,0,0,0,1.8728,0,0,0
"Flavonifractor_sp_An100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_obeum_CAG_39",0.00725,0,0,0,0,0.00102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258
"Collinsella_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerotruncus_colihominis",0.17931,0,0,0,0,0,0,0,0.06059,0,0,0,0,0.01952,0,0,0,0.00336,0.02043,0
"Roseburia_sp_CAG_471",0,0,0,0,0,0,0.00303,0,0,0,0,0,0,0,0,0,0,0.00467,0,0
"Gemella_morbillorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_intestinalis",0.70909,0.17162,0,0,0,0,0,0.00349,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_milleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harryflintia_acetispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium_rimae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0,0,0,0,0,0,0,0.0062,0.06666,0,0,0,0,0,0,0,0,0,0,0
"Enterorhabdus_caecimuris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_170",0,0,0,0.95385,0,0,0,0,0,0,0.02839,0,0,0,0,0,0,0.04144,0,0
"Bifidobacterium_adolescentis",2.80978,0,0,0,0,0,0,0,0,0,0.04608,0,0,0,0.42445,0,0,0,0,0
"Lactobacillus_salivarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanobrevibacter_smithii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacter_fastidiosus",0.04364,0.10322,0.01503,0,0.02747,0.17244,0.00821,0,0.34409,0,0.06508,0,0,0.67739,0,0.00582,0,0,1.50293,0.07288
"Bifidobacterium_scardovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00424,0,0,0
"Bifidobacterium_longum",11.7099,0.75959,0.09826,0.00287,0.00069,0.03112,0,2.86556,0,0,0,0.02197,0.01645,1.56743,0.04486,0.16607,2.36935,0,0,0.13956
"Lactobacillus_paragasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_gasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parascardovia_denticolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00296,0,0,0
"Lactobacillus_gastricus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mutans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_crispatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_mucosae",0.74089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_delbrueckii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0
"Enterococcus_faecium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_fermentum",0,0,0,0,0,0,0,0,0.08895,0,0,0,0,0,0,0,0.0967,0,0,0
"Sanguibacteroides_justesenii",0,0,0,0.00548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_salyersiae",0,0,0,0.05112,0.03151,0,0,0,0.02412,0.07704,0.02811,0,0,0.26339,0,0,0,0.87342,0,0.03579
"Barnesiella_intestinihominis",0,0,0.31294,0.0117,0.01413,0,0,0,3.24391,0,0.46574,0,0.00575,0.016,0.12555,0.0128,2.71462,0.27093,0.60008,0
"Bacteroides_eggerthii",0.07345,8e-04,0.0303,0.02014,0.00043,0.35091,0.02928,0.02298,3.80621,0.00795,0.69401,0.0028,0,0.0905,0.93441,0.05085,0.03567,0,0.31053,13.03706
"Clostridium_sp_CAG_590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parasutterella_excrementihominis",0.06708,2.66663,0.01953,5.42627,0.02055,0,0.44055,0,0,2.47389,0.80649,0.17723,0.02628,0.55498,0.04546,0.05818,0.04866,0,0.21874,3.90895
"Roseburia_sp_CAG_182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01177,0,0
"Firmicutes_bacterium_CAG_95",0,0,0,0.02094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_indistinctus",0.14369,0.04278,0.43491,0.03714,0.00079,0.00058,0,0.68735,0.04823,0,0.12941,0.82693,0,0.02826,0,0,0.10072,0,0.0423,0.02547
"Butyricimonas_synergistica",0.07935,0.06336,0.00188,0.01282,0,0,0.00242,0,0,0,0,0.00304,0,0,0.04072,0,0,0,0.07483,0
"Clostridium_sp_CAG_167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_vestibularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacter_secundus",0,0,0.01512,0.00082,0,0.0017,0,0,0.00476,0,0,0,0,0,0.01284,0,0,0.02989,0,0.00172
"Gemella_sanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
