"","train_229","train_230","train_235","train_240","train_242","train_244","train_245","train_246","train_247","train_248","train_249","train_250","train_251","train_252","train_254","train_2007","train_2008","train_2009","train_2010","train_2011","train_2012","train_2013","train_2014","train_2015","train_2016","train_2017","train_2018","train_2019","train_2020","train_2021","train_2022","train_2023","train_2024","train_2025","train_2026","train_2027","train_2028","train_2029","train_2030","train_2031","train_2032","train_2033","train_2034","train_2035","train_2036","train_2037","train_2038","train_2039","train_2040","train_2041","train_2042","train_2043","train_2044","train_2045","train_2046","train_2047","train_2048","train_2049","train_2050","train_2051","train_2052","train_2053","train_2054","train_2055","train_2056","train_2057","train_2058","train_2059","train_2060","train_2061","train_2062","train_2063","train_2064","train_2065","train_2066","train_2067","train_2068","train_2069","train_2070","train_2071","train_2072","train_2075","train_2076","train_2098","train_2099","train_2100","train_2101","train_2103","train_2106","train_2107","train_2109","train_2110","train_2111","train_2112","train_2115","train_2116","train_2117","train_2120","train_2121","train_2129","train_2130","train_2133","train_2135","train_2136","train_2137","train_2138","train_2141","train_2142","train_2143","train_2144","train_2145","train_2146","train_2147","train_2148","train_2149","train_2150","train_2151","train_2152","train_2154","train_2155","train_2158","train_2159","train_2160","train_2161","train_2162","train_2163","train_2164","train_2165","train_2166","train_2167","train_2171","train_2172","train_2174","train_2175","train_2179","train_2180","train_2182","train_2183","train_2184","train_2185","train_2190","train_2192","train_2194","train_2195","train_2196","train_2197","train_2198","train_2199","train_2200","train_2201","train_2202","train_2203","train_2204","train_2205","train_2207"
"Bacteroides_coprophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01295,0.14905,0.16641,0,0,1.91895,1.37266,0,0,0,0,0,0,0.29153,0.39945,2.06257,3.6568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15996,0,0,0.42455,1.99504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23247,0.70241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07446,0,0
"Prevotella_bivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016899999999999,0.00818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01308,0,0,0,0,0,0,0,0,0.00885,0,0.0231,0.00519,0.37104,0,0,0,0,0,0,0,0,0,0,0.00197,0,0,0,0,0,0,0,0.00129,0,0,0,0,0,0,0.00374,0,0,0,0,0,0,0,0,0,0,0,0.00057,0,0,0,0,0,0,0,0,0,0.00418,0,0,0,0,0,0.0001899999999999,0,0,0,0,0,0,0,0,0,0
"Allisonella_histaminiformans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00937,0,0.00933,0,0,0,0.01211,0.06087,0.14917,0.0455,0.02326,0,0,0.01785,0.0527799999999999,0,0,0,0,0,0.01866,0,0.04973,0.0159,0,0,0,0,0,0,0,0,0.05467,0.0086,0,0,0,0,0.03324,0,0,0,0,0,0,0,0,0,0,0.0290899999999999,0.0163199999999999,0,0,0,0,0.01285,0.0704299999999999,0.01756,0.01031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02002,0.05935,0,0,0,0,0,0,0.02428,0,0,0,0,0.09885,0.12845,0.03378,0,0,0,0.02513,0.00161,0.1478,0.05907,0,0,0,0,0,0,0.00848,0.07514,0,0.0217,0.16374,0,0,0,0,0,0,0.03003,0,0,0
"Paraprevotella_clara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00793,0,0,0,0,0.00267,0.00979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00406,0.0077599999999999,0.04173,0.08355,0.07393,0.06765,0,0,0,0,0.00819,0.04457,0,0,0.01353,0.0263899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104099999999999,0,0,0,0.02586,0.04021,0,0,0,0.00379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135,0.02817,0,0,0,0.14325,0.06427,0,0,0.0430399999999999,0.07281,0.12785,0.22146,0,0,0.05337,0.0443,0.0090099999999999,0.01256,0,0,0,0,0,0,0.0261199999999999,0,0.04285,0.00557,0,0,0,0,0,0,0,0.00788,0.00426,0.0226199999999999,0.00133,0,0
"Sutterella_parvirubra",0,0,0,0,0.00317,0,0,0,0.00589,0,0,0,0,0,0,0,0,0,0,0,0.0052899999999999,0,0,0,0.0031,0,0.05363,0,0.0033799999999999,0,0,0,0,0.06929,0.0297699999999999,0,0,0,0,0,0,0.0049,0.0011099999999999,0.00403,0,0,0,0,0.01011,0.02773,0,0.00101,0,0,0,0,0.01159,0,0,0.00246,0,0,0,0.02928,0.03127,0,0,0.00464,0.00864,0,0,0.0490699999999999,0.06856,0.00684,0.01622,0,0,0,0,0,0,0,0,0.00251,0,0,0,0,0.01371,0.0022,0,0.06861,0,0,0,0,0,0,0.00098,0,0,0,0,0,0.00149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129,0,0,0.00331,0.02389,0.01949,0.00387,0,0,0.00695,0.01721,0.01151,0.01756,0.02968,0.0221199999999999,0,0.00373,0.06334,0,0,0,0,0,0,0,0,0,0,0.04129,0.04578,0,0,0.00082,0
"Firmicutes_bacterium_CAG_555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30348,0.15294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307,0.03197,0,0,0,0,0,0,0,0,0,0,0,0
"Cloacibacillus_porcorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09424,0.43802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_pectinophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79024,0.29133,0,0,0,0,0,0,0.18108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50129,3.66324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister_sp_CAG_357",0,0,0,0,0,0,1.46291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23095,0,0,0.51433,2.33663,0,0,0,0,0,0,0,0,4.03756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09465,3.43691,0,0,1.22577,0,0,0.05363,0.03183,0,0,0,0,0,0.0673,0,0,0,0,0,0,0.86929,5.38572,0,15.90531,0,0,0,0,0,0,1.74579,4.76639,0,0,0,0,0,0,0.29846,0,0
"Bacteroides_sp_CAG_633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47177,2.67131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sobrinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus_fermentans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483899999999999,0,0,0,0,0,0,0,0.08181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075,0.01159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03613,0.05574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella_variicola",0,0,0,0,0,0,0,0,0.00364,0,0,0.00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00366,5.16512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02579,0,0,0,0,0,0,0,0,0,0,0,0,0.00166,0,0.01628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_catenulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02034,0,0,0,0,0,0,0,0,0,0.01892,0,0.01818,0,0,0.0418399999999999,0.47035,0,0,0,0,0.16241,3.0464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03119,0,0,0,0,0,0,0,0.00328,0.02584,0,0,0,0,0,0.04272,0.33519,0,0,0,0,0,0,0,0,0,0,0,0.07148,0,0,0,0,0,0,0,0,0,0.04832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02865,0,0,0,0,0,0,0,0,0.0472,0,0,0,0.1166,0.03183,0,0,0,0,0,0,0,0,0,0
"Streptococcus_gordonii",0,0,0,0,0.03329,0,0,0,0,0,0,0,0,0,0,0,0.01701,0,0,0,0.01435,0,0,0,0,0,0.02544,0,0,0,0,0,0.00047,0,0,0,0,0,0,0,0,0.0055,0,0,0,0.00314,0,0,0.0108,0,0.0459199999999999,0,0,0,0,0,0.00572,0.0596299999999999,0,0,0,0,0,0,0,0.19946,0.06923,0,0,0,0,0,0,0,0.0105799999999999,0,0,0,0.01242,0,0,0,0.0264399999999999,0.0176699999999999,0.00434,0,0.16121,0.03016,0,0,0,0,0.00894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00972,0,0.04421,0.00232,0,0,0.05385,0,0,0,0.06785,0.01498,0.35313,0.0209099999999999,0.01423,0,0.0052299999999999,0.01769,0,0,0,0,0,0,0.00121,0,0,0.00652,0,0,0,0,0,0,0
"Enterococcus_faecalis",0,0,0,0,0,0,0,0,0.00587,0,0,0,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07047,0,0,0,0,0,0.07554,0,0,0,0,0,0,0,0.02355,0,0,0,0.01239,0,0,0,0,0,0,0,0,0,0,0,0.00246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030399999999999,0,0.01647,0,0,0,0.23651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_pseudocatenulatum",0,0,0,0,0.00061,0,0,0,0.00062,0,0,0,0,0.48828,0.0269699999999999,0.00779,0.37333,0,0,0,0.0527799999999999,0,0.02275,0,0,0,0,0.05118,0.01227,0,1.45577,0.05853,1.42641,0,0,0,0.24544,0,0.01104,0,0,0,0.86957,0.49654,0,0,0.05651,0.11466,0.31549,0.38382,0.01265,0.05222,0.10454,0.0744,0,0,0.05412,0.13106,0.0276399999999999,0.0597,0.50408,0,0,0,0,0,0,0,0,0,0.06039,0,0,0,0,0,0,0,0,0,0,0.10966,0,0,0,0.02217,2.83915,0,0,0.00041,0,0,0,0,0.03515,2.82905,0.20525,8.06601,1.08953,0,0,0.06113,0,0,1.59808,2.00677,0.31562,0.0504,0.48541,0,0,0,0,0,0,0.00601,0,0,0,0,0,0,0,0,0.10267,0.05524,0,1.01693,0,0,0.00688,0,0.08607,0.00782,0.68775,2.08231,0.00442,0.0953,0,0,0,0,0,0.18939,0.34964,0,0.01605,0.05071,0,0,0,0,0,0.09373,0.01728
"Prevotella_sp_CAG_1185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357,0.07189,0,0,0,0,0,0,0,0,0,0,0.01937,0.01708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03075,0.00278,0,0,0,0.00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02454,0.01132,0.04675,0.01007,0.10277,0,0,0,0,0,0,0,0,0,0,0,0,0.08915,0.05345,0,0,0,0,0,0,0,0.0135699999999999,0,0,0,0,0,0,0,0,0.00509,0.01885,0,0,0,0.00671,0.00161,0,0
"Prevotella_sp_CAG_5226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51625,1.67979,0,0,0,0,2.26195,5.68879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.88733,12.67619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.84786,11.37992,0.01146,0.00347,0,0
"Parabacteroides_sp_CAG_409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116,0.48998,0.11718,0.22508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68572,0.26889,0,0.09282,0,0,1.75018,1.07491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33364,0.43595,0,0,0,0,0.72383,1.64648,0.0735799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23321,0,0
"Firmicutes_bacterium_CAG_145",0,0,0,0,0,0,0,0,0,0,0,0.08355,0.0019,0.09312,0,0,0,0,0,0,0,0,0.0132699999999999,0,0.00113,0,0,0,0,4.09582,6.54443,0.06384,0,0,0,0,0.02145,0.74058,0.09202,0,0,0,0,0,0,0,0.35526,0.47364,0.06256,0.1002,0.18104,0.0652799999999999,0.00415,0.00894,0.09934,0,0.00018,0,0.01012,0.02437,0,0.54832,0.29764,0.0282,0.02468,0.0384399999999999,0.04019,0,0,0,0,0,0,0.00848,0.01605,0.06396,0.08519,0,0,0.14917,0.0245699999999999,0,0,0.02701,0.05147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0651,0.03143,0,0.51561,0,0.01514,0,0.00106,0.59546,0.00613,1.29007,4.15957,0,0,0,0,0,0.05529,0,0,0.03857,0,0,0,0.03438,0.13795,0.00086,0,0,0,0,0.50259,0.08904,0,0.06284,0,0.03369,0.03843,0.04382,0.21589,0.12977,0,0.0442199999999999,0.67015,0.02848,0.12225,0,0,0.07955,0.17635,0,0.21109
"Pseudoflavonifractor_sp_An184",0,0,0,0.24803,0,0,0.0295199999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231,0,0,0,0,0,0,0,0,0,0,0,0,0.00967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01215,0.03683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00454,0,0,0,0,0,0,0,0,0,0,0.57834,0,0,0,0,0,0,0,0,0.09379,0.08475,0,0,0,0,0.0002399999999999,0.0302899999999999,0.0251699999999999,0,0,0.01574,0.01427,0,0,0,0.03451,0.28074,0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18212,0,0,0,0,0,0,0,0.17889,0,0,0,0,0.20186,0,0,0,0.05456,0.00648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2305,0.35834,0,0,0,0,0.05434,0,1.09433,0,0,0,0.0039299999999999,0,0,0.02476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84378,0.0887,0,0,0,0.20571,0.74293,0,0,0,1.71558,0.06493,0,0
"Prevotella_sp_CAG_1092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_lutetiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4427,0,0,0,0,0,0,2.00954,0,0,0,0,0.00262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccus_pullicaecorum",0,0,0,0.11896,0,0,0,0,0.02744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01023,0,0,0,0.0246699999999999,0,0,0.00121,0.08035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Absiella_dolichum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00357,0,0,0,0,0,0,0,0,0,0.01619,0,0,0,0.38141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0.0036899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16401,0,0,0.01852,0.003,0,0,0.01187,0,0,0,0.0035299999999999,0,0,0,0,0,0,0,1.5271,0,0,0,0,2.38167,0.11231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17368,0,0,0,0,0.00149,0.02494,0.0297,0,0,0.01137,0.01419,0,0.0855399999999999,0,0,0.00258,0,0,0,0,0,0,0,0.0023899999999999,0,0,0
"Eubacterium_dolichum_CAG_375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505,0,0,0,0,0,0,0,0,0,0.01825,0,0,0,0.34752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01168,0,0,0,0,0.0029,0.00517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18439,0,0,0.01393,0.0017399999999999,0,0,0.01432,0,0,0,0.00372,0,0.0003399999999999,0,0,0,0,0,1.42502,0,0,0,0,2.40034,0.12445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066,0,0,0.18891,0,0,0,0,0.0035,0.01736,0.02795,0,0,0.00707,0.0091,0,0.0597799999999999,0,0,0.00462,0,0,0,0,0,0,0,0.0011099999999999,0,0,0
"Tyzzerella_nexilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00576,0.00663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294,0,0,0,0,0,0,0,0,0.00104,0.02753,0,0,0,0,0,0,0,0,0.00431,0,0,0,0,0,0,0,0,0,0,0.06823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eisenbergiella_massiliensis",0,0,0,3.27045,0,0.0464,0.01051,0.52251,0.01714,0,0.01052,1.42214,0,0.01988,0.24192,0,0.00149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04525,0.00587,0,0,0,0,0.12428,0,0,0,0,0,0,0,0.00256,0.0061,0,0,0,0.00112,0,0.17868,0.04081,0,0,0,0,0,0.05176,0,0.02228,0.0279999999999999,0,0.00851,0,0,0,0,0,0,0,0,0.05674,0.20562,0,0,0.23316,0.0849,0,0,0.00157,0,0,0,0,0,0,0.01839,0.02342,0,0,0,0.0077,0.04956,0,0,0,0,0,0,0.06192,0,0.26895,0.02405,0,0,2.33738,2.58363,0,0,1.09042,0.23282,0,0.11468,0,0,0,0,0,0,0,0,0,0,0.00488,0.00161,0.14692,0,0,0,0,0.1411,0.00412,0.06249,0.21607,0.00783,0.11711,0.0068099999999999,0,0.23269,0,0.00864,0.2049,0.05442,0.00709,0.00497,0.00359,0,0.16249,0.25963,0,0.00886
"Clostridium_sp_CAG_242",0,0,0,0.03993,0,0,0,0,0,0.00951,0.0071,0,0,0.75746,0,0.39623,0.4952,0.1676,0.1312,0,0,0,0.21875,0,0,0,0,0,0,0,1.25296,0,0,0,0,0,0,0,0.02666,0,0,0,0,0,0.15593,0.03592,0,0,0,0.04205,0.193,0.35805,0,0,0,0,0,0,0,0,0.86765,0,0,0,0,0.17108,0.38477,0,0,0,0,0,0,0.1812,0.31557,0,0.12678,0,0,2.64413,1.1943,0.17406,0.0555299999999999,0,0,0,0,0,0.28073,0.09752,0,0,0,0,0,0,0,0,0,0,0,0,0.05635,0.00448,0,0,0.51431,0.71594,0.53898,0,0,0,0,0,0,0,0,0.65866,0,0,0.16234,0.60307,0.14961,0.07972,0,0,0,0.00562,0,0,0,0,0,0.07662,0.13526,0.12703,0.30594,1.59751,0,1.45702,1.92697,0,0,0,0,0.65679,0.00095,0.01095,0,0,0,0,0.73237,0,0.19478
"Prevotella_sp_AM42_24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24297,1.73277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7799,3.93888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41439,3.15454,0.00361,0,0,0
