"","train_1382","train_1387","train_1423","train_1427","train_1699","train_1723","train_1756","train_1815","train_1822","train_1825","train_1839","train_1842","train_1845","train_1878","train_1902","train_1906"
"Lactococcus_lactis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_coli",0,35.09892,0,3.03925,0.02739,0.82895,0,0.06248,9.20758,4.23861,0,0,25.2893,0.79034,0.04191,0.13769
"Firmicutes_bacterium_CAG_94",0,0,0,0.04714,0.09745,0.02448,0,0.00823,0.03291,0,0,0.17267,0,0.17666,0,0
"Turicibacter_sanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridium_ramosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusicatenibacter_saccharivorans",0.41633,0.13711,0.27752,0.2433,1.22612,0.27509,0.25715,0.10778,0.17881,1.1387,0.87459,0.46926,0.11416,0.09361,1.89244,0.54882
"Clostridium_disporicum",0,0,0,0,0.00315,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_ICM47",0,0,0,0,0.00257,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0,0,0,0.03145,0,0,0,0,0,0,0,0,0,0.00269,0,0
"Clostridium_spiroforme",0,0,0,0,0.0028,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_saccharolyticum",0,0,0,0,0,0,0,0,0,0,0,0.13948,0,0.00195,0,0
"Dorea_formicigenerans",0.09075,0.04478,0.15178,0.03845,0.01688,0.03809,0.10619,0.076,0.03743,0.12004,0.04478,0.09843,0.28266,0.03681,0.25442,0.48159
"Streptococcus_salivarius",0.05955,0.02548,0.28351,0,0.63732,0.00154,0,0,0,0.00787,0,0,0,0.00276,0.04787,0.01175
"Clostridium_clostridioforme",0,0,0,0,0.02476,0,0,0,0.00757,0,0,0.01757,0,0.00731,0,0.02771
"Clostridium_celatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella_lenta",0,0.01321,0,0,0.00811,0,0,0,0,0,0,0,0,0.00406,0,0.04161
"Dorea_sp_CAG_317",0,0,0,0,0,0,0,0,0.01125,0,0,0,0,0,0,0
"Propionibacterium_freudenreichii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_innocuum",0,0,0,0,0,0,0,0,0,0,0,0,0,0.04169,0,0.00683
"Actinomyces_sp_oral_taxon_181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_oralis",0.00674,0,0.20179,0,0,0,0,0,0.00102,0,0,0,0,0,0,0
"Klebsiella_pneumoniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.87537,0,0
"Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mitis",0.00443,0,0.43432,0,0.00299,0,0,0,0.00744,0,0,0,0,0,0,0
"Ruthenibacterium_lactatiformans",0.01836,0.08569,0,0.26276,0.06937,0.17714,0,0.008,0.316,0.83766,0.19625,0.26814,0.52875,0.31554,0.82183,0.39845
"Atopobium_parvulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_copri",47.13553,18.36774,0,17.01325,0.01039,0,62.8106,48.03479,0,3.85123,17.60974,0,0.03897,1.15422,4.77624,0.00843
"Actinomyces_sp_S6_Spd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_aerofaciens",0.74477,0.16526,0.07767,0.59711,0,0.43729,0.30261,0.46285,0.16129,2.16889,2.24355,1.40546,0.60746,1.02336,1.86972,0.97837
"Romboutsia_ilealis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiales_bacterium_CHKCI006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_520",0,0,0,0,0,0,0,0,0,0,5.83486,0,0,0,0,0
"Eubacterium_siraeum",0.0886,0,0,0.23224,0.03321,1.25811,2.78696,0.03772,0,0.5529,2.30993,0.70508,1.01581,1.18485,0.08892,0
"Bacteroides_uniformis",0.9462,2.72196,11.787,2.63117,18.30278,13.71901,0.31547,0.84583,4.0396,6.36009,6.95062,10.65636,4.084,4.34879,1.08327,7.458
"Prevotella_sp_CAG_279",0,0,0,0,0,0,0.73673,0,0,0,4.26736,0,0.06613,0.73275,2.27586,0
"Ruminococcus_bromii",0,0,0,2.64667,0,6.28087,0.01,0,1.37246,7.66015,0.25242,7.42659,0,1.54382,3.76812,0
"Phascolarctobacterium_succinatutens",5.01982,1.69619,0,0,0,0,4.16705,0,0,3.52934,0,0,0.32913,1.28292,0,3.52746
"Prevotella_sp_CAG_873",0,0,0,10.75149,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_inulinivorans",7.63971,0.95829,1.48036,0.28437,0.83013,0,1.09447,1.14785,0.18427,1.74351,0.3419,0.16726,0.24412,0.00763,10.2802,0.16108
"Ruminococcus_torques",0.45294,0,2.89779,0.10972,0,0.51329,0.36281,0.47187,0,1.69617,0.91827,0,1.0254,0.18827,0.17299,0.63569
"Bacteroides_stercoris",0.79703,0,8.28645,0.64053,0,0,0,0.07614,24.2952,0.20768,0,0.62194,0,0,0.80213,0.3604
"Eubacterium_sp_CAG_251",0.13245,0,0,0.72007,0,11.70563,0.24459,0,0,0,0,0,0.0351,0.00527,2.17257,0
"Alistipes_inops",0.04689,2.73952,0,0.35523,0.73549,0.3435,0,0,0,0.06532,0,1.45762,0,0,0,0
"Oscillibacter_sp_57_20",0.72313,1.34511,0.06468,0.32843,0,1.37684,0.04309,0.87664,0,0.5655,1.37034,0.09417,0.1112,1.70446,1.54231,0
"Bacteroides_dorei",0,0,0,0.08546,0,2.2289,0.29635,2.46088,0,1.98501,0.24973,9.12011,0.0146,3.41103,0.99325,0
"Lachnospira_pectinoschiza",0.81944,0.93715,0.03815,0.02801,0,0.10434,0.35516,0,0,0,0,0,0,0.63192,0,0
"Prevotella_stercorea",0,0,0,0,0,0,0,0,0,0,0.49295,0,0,0,0,0
"Bacteroides_caccae",0.26445,3.02082,1.2495,0.35556,0,0.96065,0.03472,1.18359,0,0.63446,4.01026,2.31429,3.85843,0,1.77298,0
"Parabacteroides_distasonis",0.07243,1.97809,1.15851,0.17392,0,1.84048,1.30159,0.52141,2.81235,3.96117,1.55166,1.06612,2.10777,1.26625,0.41438,1.09278
"Haemophilus_parainfluenzae",0.02086,0.01997,0.82706,0,0.06478,0,0,0,0,0,0,0,0,0,0,0
"Odoribacter_splanchnicus",0.23222,3.16698,0.41109,1.71472,0,1.52204,0.18974,0.48914,0,0.9087,0.56219,1.19544,0.87878,0.89787,1.17178,1.4712
"Firmicutes_bacterium_CAG_110",0.00575,0,0,1.06426,0,1.00775,0,0.49797,0,0.34503,0.02606,0.40696,0.67173,0,1.1571,0
"Coprococcus_eutactus",1.7309,0.84386,0,3.03938,0,0.62729,2.03921,7.94543,0,1.19356,0,0,0.44119,0,0.11634,0
"Paraprevotella_xylaniphila",0.06158,0.13725,0.81302,0.48466,0,0,0.58565,0.32379,0,1.14756,0.9111,1.04232,0,0,1.17953,0
"Slackia_isoflavoniconvertens",0.05709,0,0.11564,0.01689,0.09649,0.25935,0.08335,0.07971,0,0.66802,0.4999,0,0,0.55117,0.29508,0.06718
"Bacteroides_ovatus",0.20146,0.16285,0.8,0.01631,0,0.46204,0.00189,0.00688,14.10716,0.4988,0.61435,3.20579,0,0.00239,0.07389,0
"Bacteroides_sp_CAG_144",0.01061,0,0.28664,0.01943,0,1.62181,0.14973,0,0,0,0,0,0,0.47837,0.54889,0
"Clostridium_sp_CAG_58",0,0,0.02533,0.04435,0.31772,0,0,0,0,0,0,0,0.65271,0,0,0
"Roseburia_hominis",0.39246,0.73326,0.51161,0,0.57005,0.01767,0.00936,0.39859,0.59876,0.00968,0.06694,0.09186,0.32142,0.10524,2.51128,0
"Dorea_longicatena",0.18548,0.07182,0.23772,0.29682,0.06634,0.22685,0.19831,0.20547,0,0.29976,1.05335,0.48478,0.03894,0.23498,2.89898,0.75506
"Eubacterium_sp_CAG_38",0,0,0,0.00331,0.27392,0,0,0.37606,0,0.05196,0.13821,0.53474,0,0.0897,0.17093,0
"Parabacteroides_merdae",0.10295,0,1.03809,0.27976,0,0,0.56143,0.30549,0.84681,0.46598,0.87181,1.38706,0.71275,0.67265,0.99153,0.58755
"Ruminococcus_lactaris",0.30688,0,0.16549,0,0.18585,0,0.01304,0,0,0,0.02768,0,0.44148,0,2.06182,0
"Gemmiger_formicilis",0.14648,0.00844,0.08239,0.09277,0,1.40577,0.03498,0.20902,0,0.15022,0.78031,0.02361,0.05235,0.38417,0.3573,0
"Bifidobacterium_dentium",0.04797,0.00528,0.00662,0,0.02503,0,0,0,0,0,0,0,0.06937,0,0,0.03025
"Blautia_obeum",0.05822,0,0.07677,0.01695,0.05374,0.10786,0,0.16916,0,0.45208,0.08818,0,1.06619,0.0216,0.2541,0.12399
"Firmicutes_bacterium_CAG_83",0.30292,0.31557,0.19937,0.02965,1.99929,0.04519,0,0.03654,0.11735,0.00414,0.02169,0.03018,0.45709,0,0.26688,1.11813
"Desulfovibrio_piger",0,0,0,0.0251,0,0.40851,0.2066,0.78117,0,0,1.88773,0,0.67165,0,0,0
"Eubacterium_rectale",0.84234,0,0.50126,5.01739,3.50184,0.00798,1.55084,0,4.93183,0,0.79859,2.84364,0.61058,1.52975,4.1681,5.75846
"Agathobaculum_butyriciproducens",0.0646,0.03918,0.18295,0.04393,0.26929,0.05976,0.05213,0.03691,0.07787,0.22682,0.14226,0.05012,0.40142,0,0.17768,0.27017
"Bacteroides_massiliensis",0.03123,0,0.96428,0.07501,0,0,0,0.08495,0,0.19197,0,0,0.48627,1.80519,0,5.47431
"Parabacteroides_johnsonii",0.01159,0,0,0.00744,0,0.75341,0,0,0,0,0,0,0,0,0,0
"Veillonella_dispar",0,0.09094,0.14762,0,0.11243,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_infantium",0,0.07383,0.17708,0,0.04113,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_atypica",0,0.11108,0.76809,0,0.69967,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_finegoldii",0,0,2.11887,0,0,0,0,0,0,0,0,0,0.04195,0.03062,0,0.62118
"Bifidobacterium_animalis",0,0,0.00442,0,0,0.03556,0,0,0,0,0,0,0,0.00863,0,0
"Oscillibacter_sp_CAG_241",0.17181,3.41346,0,0.2307,0,0.37702,0.00189,0.04635,0.66469,0.48703,0.04539,0.21633,12.58749,3.21484,1.15667,0
"Bacteroides_intestinalis",0,0,0,0,0,0,0.00872,0,0,0,0,0,0.07509,0,0,0
"Anaerostipes_hadrus",0.00174,0.02086,0.07918,0.00396,0.18277,0.08585,0.28387,0.07,0,0.20761,0.301,0.02904,0.09966,0.29287,0.03725,0.22289
"Clostridium_perfringens",0,2.30684,0,0,0,0,0,0,0.05472,0,0,0,0.02461,0,0,0
"Catenibacterium_mitsuokai",0.10191,0.13407,0,0.10447,0,0,0,0.07514,0,0,3.79811,0,0.08518,0,0.344,0
"Streptococcus_parasanguinis",0.30408,0.02502,2.08662,0,0.49426,0,0,0,0.03562,0.00987,0,0,0,0,0.02587,0.01443
"Butyricimonas_virosa",0.07207,1.07567,0.03537,0.2056,0.07668,0.52692,0.01305,0.03321,0.62605,0.25108,0.12899,0.48376,0.05912,0.02661,0.19872,0
"Clostridium_sp_CAG_253",0,0,0,0,0.83458,0.06917,0,0.10261,0,0,0,0,0,0,0,0
"Eubacterium_ventriosum",0,0.0629,0.06405,0,0,0,0.01627,0.04317,0,0.2106,0,0,0,0,0.1327,0
"Firmicutes_bacterium_CAG_238",0.04305,0,0,0.19553,0,0.08066,0,0.23913,0,2.95056,0.74932,0,0.32086,0,0,0
"Alistipes_finegoldii",0.03386,0.0023,0.12006,0.03174,13.34189,0.45583,0.00787,0.2975,0.00659,0.31594,0.0053,1.7162,0.26751,2.33777,0.422,1.90415
"Coprococcus_catus",0.04978,0.00988,0.28535,0.14692,0,0.54603,0.01023,0.31175,0.15178,0.34897,0.05699,0.24247,0.12134,0.03064,0.09902,0
"Eubacterium_hallii",0.04351,0.02289,0.09731,0.03324,0.09932,0.02556,0.0839,0.0444,0.02649,0.24846,0.16031,0.41389,0.12929,0.22595,0.10309,0.22782
"Alistipes_putredinis",0.54292,0,1.89797,9.29352,10.02416,6.93151,0.02782,2.61352,9.90607,0.89539,0.07215,7.04534,1.73153,10.44099,7.03139,0
"Bacteroides_fragilis",0,0.11202,0,0,7.43985,0,0,0,0.94849,0,0,0,0,0,0,0.20052
"Bacteroides_cellulosilyticus",0,0,0,0.00404,0,0.00126,0,0,0,0.45911,0,0,0,0.2539,0,0
"Veillonella_sp_T11011_6",0,0.00188,0.0233,0,0.00779,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_ramulus",0.03402,0,0.20557,0,0.03834,0.14467,0,0.02969,0,0.00835,0.06048,0,0.00241,0,0.01446,0.06463
"Holdemanella_biformis",0.09122,0,0,0,0,3.13672,0.06627,0.04867,0.00214,5.9565,0.25545,0,0,0.40446,0.42995,0.50856
"Lawsonibacter_asaccharolyticus",0.09208,0.02725,0,0.04499,0.09947,0.05006,0.09647,0.041,0.02332,0.15972,0.11104,0.15772,0.05764,0.40495,0.25592,0.01716
"Akkermansia_muciniphila",0,0,0.00488,0.39115,1.09221,17.76432,0,0.87547,0,10.64587,2.60206,0.41949,3.90067,0,0,0
"Eubacterium_sp_CAG_180",3.17307,0.79694,0,3.04117,0,0,0,0,0.09634,0,0,6.42381,1.98603,6.35414,0,0
"Bacteroides_xylanisolvens",0.06467,0.28875,0.14241,0.08247,0,0,0.11404,0.17056,0.06565,0.11311,0.02623,0,0,0.11288,0.06465,2.55221
"Ruminococcus_bicirculans",0,0.1588,0,0.19627,2.26796,0.11813,0,0.24738,0,0.10576,0,0.79416,0.82046,0.5136,1.1519,0
"Monoglobus_pectinilyticus",0,0,0,0,0.00172,0,0,0,0,0,0,0.16728,0,0,0,0
"Coprobacillus_cateniformis",0,0,0,0,0,0.0343,0,0,0,0.09106,0,0,0,0,0,0
"Alistipes_shahii",0.07254,0.35331,0.39309,0.06484,0,0,0.01522,0.17736,0,0.22076,0.05181,0,0.69574,0.32452,0.17487,0.03463
"Bifidobacterium_bifidum",0,0.1842,0,0.18262,0.15543,0,0,0,0,0,0,0.82794,0,2.61316,0,0
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0,0.15041,0,0,0,0,0,0,0,0,0,0
"Asaccharobacter_celatus",0,0,0,0,0,0,0,0.00044,0,0,0,0.0381,0,0,0,0
"Eisenbergiella_tayi",0,0,0,0.0389,0,0.38337,0,0,0,0.20077,0,0.00518,0.7209,0.12519,0,0
"Adlercreutzia_equolifaciens",0,0,0,0,0,0,0,0,0,0,0,0.04097,0,0,0,0
"Alistipes_onderdonkii",0.00535,0,0,0,0,0.40436,0,0,0,0.01301,0,0,0,0,0,0.82705
"Ruminococcaceae_bacterium_D5",0,0,0,0.00262,0,0,0,0,0,0.09025,0,0,0.58502,0,0,0
"Hungatella_hathewayi",0,0.02409,0,0.02993,0.02388,0,0,0,0.01792,0.00156,0,4e-04,0.00673,0.01869,0,0.02875
"Bilophila_wadsworthia",0,0.08195,0.03393,0,0.04986,0.00772,0.02493,0,0,0,0,0.12838,0,0.00365,0,0
"Holdemania_filiformis",0,0,0,0,0.12163,0,0.02733,0,0,0.01276,0,0,0,0,0,0.22359
"Intestinimonas_butyriciproducens",0,0,0,0,0.22037,0,0.01073,0,0.09543,0.04907,0,0.01837,0,0.00681,0.01209,0
"Gordonibacter_pamelaeae",0,0,0,0,0.01164,0,0,0,0,0,0,0,0,0.00436,0,0.00247
"Parvimonas_micra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_stercoris",0.00646,0,0.00157,0,0,0.00081,0.00715,0.00318,0,0.01901,0.03287,0.04195,0.00471,0.02036,0.02216,0.00573
"Eubacterium_sp_CAG_274",0,0,0.01291,0,0.1732,0,0,0,0,0,0,0,0,0,0.11075,0
"Anaeromassilibacillus_sp_An250",0,0,0,0,0.16188,0.02914,0,0.00651,0.12883,0,0,0.3099,0,0.37563,0.01877,0
"Flavonifractor_sp_An100",0,0,0,0.00675,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_obeum_CAG_39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_massiliensis",0,0,0,0,0,0,0,0.00284,0,0.01021,0.00422,0.02658,0.05455,0.03151,0.00395,0
"Anaerotruncus_colihominis",0,0.00085,0,0,0.02206,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_471",0,0.037,0.00078,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella_morbillorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_intestinalis",0,0,0.128,0,0,0,0,0,0,0,0,0.01023,0,0.00786,0.00381,0
"Streptococcus_milleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harryflintia_acetispora",0,0,0,0,0.02418,0,0,0,0,0,0,0,0,0.01088,0,0
"Atopobium_rimae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0,0.01861,0,0,0.16137,0,0,0,0.12222,0,0,0.02717,0,0.00967,0,0
"Enterorhabdus_caecimuris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_170",0,0,0,0,0,0.93066,0.02207,0.09007,0,0.08045,0.28295,0.02413,0.14933,3.22928,0.54986,0
"Bifidobacterium_adolescentis",0.14686,0,0,1.00455,0.49694,1.18088,0,0.44996,0,2.70841,0.00293,0.22285,0.68356,0.46454,4.29284,0
"Lactobacillus_salivarius",0,0,0.01208,0,0,0,0,0,0.02839,0,0,0,0,0,0,1.01584
"Methanobrevibacter_smithii",0,0,0,0.07459,0,0.06775,0,0.12013,0,1.17007,0.29624,0.06918,0.64899,0,0,0
"Coprobacter_fastidiosus",0.02657,0.60415,0.13728,0.03261,0,0.62514,0,0.16628,0,0.1543,0,0,0.01591,0.3161,0.0112,0
"Bifidobacterium_scardovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus_group",0,0,0.85473,0.01444,0,0,0,0,0,0,0,0,0,0,0,0.05259
"Bifidobacterium_longum",0.04558,0.07096,0.26005,0.15958,0.40646,1.23177,0.01188,0.09323,0,1.02216,0,0,0,0.31891,0.05589,0.30568
"Lactobacillus_paragasseri",0,0,0,0,0,0,0,0,0.63413,0,0,0,0,0,0,0
"Lactobacillus_gasseri",0,0,0.02023,0,0,0,0,0,0.47486,0,0,0,0,0,0,0
"Parascardovia_denticolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_gastricus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mutans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16577
"Lactobacillus_crispatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_mucosae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_delbrueckii",0,0,0,0,0.03709,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_faecium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_oris",0,0,0,0,0,0,0,0,0.48414,0,0,0,0,0,0,0.00967
"Lactobacillus_fermentum",0,0,0.00332,0,0,0,0,0,0.00682,0,0,0,0,0,0,0
"Sanguibacteroides_justesenii",0.00635,0,0,0.01412,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_755",2.16411,0,0,1.01109,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_salyersiae",0,0,0,0.00379,0,0,0.16476,0,0,0.40512,0,0,0,0.06651,0.44138,1.34228
"Barnesiella_intestinihominis",0.24131,0,0.50008,0.35585,0,3.81137,0,0.08317,0,0.57125,0,0.77408,0.73201,1.42674,0.24903,1.79133
"Bacteroides_eggerthii",0,0,0,0.07857,0,0,0,0.45076,0,0,0,0,0.01531,1.02968,0.68449,24.34383
"Clostridium_sp_CAG_590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77548,0
"Roseburia_sp_CAG_309",0,0,0,0.00393,0,0,0,0.08802,0,0,0.09052,0,0,0,0.16836,0
"Parasutterella_excrementihominis",0,0,0.01106,0,0.29573,0,0,0.0033,0,0.09347,0,0,0,0,0,0.09761
"Roseburia_sp_CAG_182",0,0,0,0.0088,0.00063,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_95",0.00311,0,0,0.0336,0.0064,0,0,0.00793,0,1.48014,0.13791,0,0.01045,0.01432,0.12984,0
"Alistipes_indistinctus",0,0,0.00674,0.01221,0,0.10734,0.133,0,0,0.00681,0.02819,0,0.02762,0.03236,0.05285,0
"Butyricimonas_synergistica",0.07825,0,0.04623,0.13191,0.0646,0,0.02326,0,0,0.00762,0,0.51549,0.04432,0.04568,0,0
"Clostridium_sp_CAG_167",0,0,0.01862,0,0,0,0,0.01461,0,0.03122,0,0,0,0,0.46149,0
"Streptococcus_vestibularis",0,0,0.58517,0,0.01066,0,0,0,0,0,0,0,0,0,0,0.00694
"Coprobacter_secundus",0,0,0.03636,0,0,0.05343,0,0,0,0,0.05824,0.06224,0,0,0,0
"Gemella_sanguinis",0,0,0.02192,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_leptum",0,0,0,0.0531,0.04004,0.00227,0,0,0.06498,0.04375,0,0.01891,0,0.06726,0,0.01539
"Oscillibacter_sp_PC13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proteobacteria_bacterium_CAG_139",0,0,0,0,1.88486,0,0,0,0,0.00404,0,0,0,0,0,0.00637
"Clostridium_citroniae",0,0.01138,0.00946,0,0.01956,0,0,0,0.00723,0,0,0,0,0,0,0.01811
"Pseudoflavonifractor_capillosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.01437,0,0
"Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0,0,0.07834,0.03504,0,0,0,0,0
"Olsenella_scatoligenes",0.00261,0,0,0,0,0,0,0,0,0,0.00768,0.03618,0,0.00957,0.0023,0
"Bacteroides_faecis",0,0,0,0,0,0,1.27068,0,0,0.09821,0,0,0,0.0228,0.45394,0
"Victivallis_vadensis",0.1925,0,0,0.33898,0,0,0.00874,0.01387,0,0.00609,0.17922,0,0,0.01036,0,0
"Phascolarctobacterium_faecium",0,0,0.44196,0,0,0.05545,0,0,0,0,0,0,0,0,0,0
"Bacteroides_clarus",0,0,0,0.01792,0,0,0.09898,0.02395,0,0,0,0,0.00637,0,0,0
"Actinomyces_odontolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turicimonas_muris",0,0,0,0,0.02667,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_nordii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_goldsteinii",0.02653,0,0,0.20636,0,0.92034,0.1219,0.10048,0,0.29252,0.02681,0,0,0,0,0
"Clostridium_bolteae",0,0.0125,0.00238,0.00291,0.01305,0,0.00048,0,0.06208,0,0,0.00913,0,0.02037,0,0.08383
"Anaerotruncus_sp_CAG_528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_coprocola",0.27946,0,3.63218,0,0,0,0,0,0,0,0,0,0,0.15097,0.06147,0
"Bacteroides_faecis_CAG_32",0,0,0,0,0,0,0.33543,0,0,0.04888,0,0,0,0.01605,0.03956,0
"Veillonella_parvula",0.08525,0.27067,6.64297,0.01317,0.2062,0,0,0,1.74208,0,0,0,0.00736,0,0,0.02699
"Bacteroides_plebeius",0.30884,0,10.66355,0,0,2.90513,0,0.87727,0,0,0,14.35141,0.00904,0.10934,0.03489,0
"Oxalobacter_formigenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_angulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blastocystis_sp_subtype_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_coprophilus",1.47469,0,0,0,0,0,0,0,0,0,0,1.7046,0,0,0.70381,0
"Prevotella_bivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allisonella_histaminiformans",0.06454,0,0,0.0278,0,0,0,0,0,0,0,0,0.00645,0.0094,0,0.08765
"Paraprevotella_clara",0,0.00385,0.01991,0.01808,0,0,0,0,0,0,0,0,0,0,0,0
"Sutterella_parvirubra",0.08713,0.00488,0.0866,0.00527,0,0,0.10891,0.06906,0,0,0,0.00196,0.00412,0,0,0.05055
"Firmicutes_bacterium_CAG_555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cloacibacillus_porcorum",0,0,0,0.03378,0,0,0,0,0,0,0,0,0,0,0,0
