"","train_1175","train_1177","train_1181","train_1182","train_1183","train_1184","train_1185","train_1186","train_1187"
"Bacteroides_dorei",0,0.0031,1.15889,0.00837,0.06281,0.55138,0.04674,0,0.55492
"Lachnospira_pectinoschiza",0.01507,0,0.90346,0,0,1.29153,0,0.64445,0.68109
"Prevotella_stercorea",0,0.0109,0,3.02929,0,0,0,0,0
"Bacteroides_caccae",0.00108,0,0.00067,0,0.00127,2.51231,0.00222,0,0.00244
"Parabacteroides_distasonis",0.02515,0.32912,2.08502,0.36544,1.13183,0.65011,0.01013,0.19436,0.32078
"Haemophilus_parainfluenzae",0,0,0.01997,0,0,0,0,0,0
"Odoribacter_splanchnicus",0.00118,0,0.41562,0.01567,0.0099,0.4442,0,0,0.01524
"Firmicutes_bacterium_CAG_110",0,0,0.00081,0.07677,1.51638,1.3265,0.00419,0,0.02079
"Coprococcus_eutactus",0.45084,0.01348,0.42935,0.00394,0,0.63319,0,0,0
"Paraprevotella_xylaniphila",0.03468,0,0.59285,0.19271,0,0,0,0,0.23309
"Slackia_isoflavoniconvertens",0.17306,0.00504,0.29257,0.38472,1.38807,0.16208,0.0106,0.00941,0.13014
"Bacteroides_ovatus",0.00931,0.0991,0.28075,0,0.02838,1.40235,0.00391,0.01338,0.03349
"Bacteroides_sp_CAG_144",0,0,0.04213,0.00435,0.03825,0,0,0,0
"Clostridium_sp_CAG_58",0.0892,0.11312,0.15716,0,0,0,0.11561,0.01371,0
"Roseburia_hominis",0.07931,0.90859,0.15345,2.0645,0.29237,0.25811,0.28204,0.09722,0.23117
"Dorea_longicatena",0.01195,0.05244,1.89735,3.43034,0.18829,1.50907,2.9783,4.86442,1.74725
"Eubacterium_sp_CAG_38",0,0.00407,0.58634,0.04828,0,0,0.17775,0,0.18903
"Parabacteroides_merdae",0.00389,0,1.04123,0.29559,0.27985,0.14199,0,0,0.1418
"Ruminococcus_lactaris",0.0579,0.50429,0.30936,0,0,0,1.20718,0.76965,0.07984
"Gemmiger_formicilis",1.30508,1.28905,0.57808,0.61434,0.76806,0.78726,4.5179,0.00153,0.61828
"Bifidobacterium_dentium",0,0.01647,0,0,0,0,0,0,0
"Blautia_obeum",0.00086,0,0.86864,0.41885,0.62507,0.38067,1.90464,0.70634,0.74086
"Firmicutes_bacterium_CAG_83",0.09869,0.03224,0.31022,0.47506,1.3,0.87358,0.98147,3e-04,1.27953
"Desulfovibrio_piger",0.50053,0,0.08747,0.34427,1.90734,0,0,0,0.16561
"Eubacterium_rectale",14.42146,1.60842,1.83555,0.04584,0.1569,0.10128,7.97867,14.55249,10.00116
"Agathobaculum_butyriciproducens",0.40177,4.3931,0.26021,0.14106,0.50198,1.30925,1.99044,1.06269,0.35913
"Bacteroides_massiliensis",0.01244,0,0.91206,0.00099,0,0.61959,0,0,0.13572
"Parabacteroides_johnsonii",0,0,0.10591,0,0,0,0,0,0
"Veillonella_dispar",0,0,0.01271,0,0,0,0,0,0
"Veillonella_infantium",0,0,0,0,0,0,0,0,0
"Veillonella_atypica",0,0,0.0169,0,0,0.01426,0,0,0
"Bacteroides_finegoldii",0,0,0.90348,0.00518,0,3.29845,0,0,0
"Bifidobacterium_animalis",0,0.01165,0.0192,0,0,0,0,0,0
"Oscillibacter_sp_CAG_241",0.05092,0,0.38274,0.11825,4.30595,2.09887,0.29254,0.00171,0.15892
"Bacteroides_intestinalis",0,0,0.06062,0,0,0.33792,0.03258,0,0
"Anaerostipes_hadrus",0.00359,0.04362,1.79585,0.07743,0.16239,0.4019,0.2125,3.04116,1.18575
"Clostridium_perfringens",0,0,0,0,0,0,0,0,0.01026
"Catenibacterium_mitsuokai",0,0.00542,0,0.61523,0,0,0,0,0
"Streptococcus_parasanguinis",0,0.03607,0.00287,0,0,0.01344,0.03693,0.02193,0.05463
"Butyricimonas_virosa",0,0,0.05392,0.00172,0,0,0,0,0.01312
"Clostridium_sp_CAG_253",0,0,0,0.00159,0,0,0,1.07751,0.37133
"Eubacterium_ventriosum",0,0.03669,0.14252,0,0,0.13419,0.12226,0.20051,0.50067
"Firmicutes_bacterium_CAG_238",0,0,0,0.11097,0,0,0,0,0
"Alistipes_finegoldii",0.01194,4.27546,0.14837,0,0.13495,0.31842,0.00287,0.01528,0.02561
"Coprococcus_catus",0.01323,0.0253,0.19109,0.69524,0,1.26841,1.2917,0.17392,0.67761
"Eubacterium_hallii",0.00291,0.952,2.00116,0.53364,0.13465,0.42478,0.40989,12.98157,2.28169
"Alistipes_putredinis",0.84059,0,3.72147,0.012,4.00368,0,0.07177,0.06655,1.33559
"Bacteroides_fragilis",0,0.00603,0.29623,0.03771,0,0,0,0.09041,0
"Bacteroides_cellulosilyticus",0,0.63947,0.13498,0,0.00612,0,0,0.04717,0.08769
"Veillonella_sp_T11011_6",0,0,0,0,0,0,0,0,0
"Eubacterium_ramulus",0.00088,0,0.08517,0.29522,0,0.52329,0.25452,1.17373,0.54255
"Holdemanella_biformis",0.00381,0,0.01121,0.0819,0.54956,0.26386,0,0.09252,0.102
"Lawsonibacter_asaccharolyticus",0.04531,0.00578,0.06507,0.00141,0.48709,0.00112,0.01623,0.0133,0.03364
"Akkermansia_muciniphila",0.68459,34.21244,6.84663,0,10.44428,0.00331,3.02905,0.00389,0
"Eubacterium_sp_CAG_180",0.00447,0,13.32107,0.55254,5.42742,0.89397,0,5.78908,6.12761
"Bacteroides_xylanisolvens",9e-04,0,0.01884,0,0.00216,0.66243,0,0,0.217
"Ruminococcus_bicirculans",0.00301,3.19973,0.49824,0.06176,3.0915,0.00311,3.80466,0.12977,4.02387
"Monoglobus_pectinilyticus",0,0.26844,0,0,0,0,0,0,0
"Coprobacillus_cateniformis",0,0,0.24864,0,0,0,0,0,0.00183
"Alistipes_shahii",0.03481,0.00118,0.10825,0.11725,0.35479,0.65696,0.00384,0,0.07372
"Bifidobacterium_bifidum",0,0,0,0,0,0.91069,0,0,0
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0,0,0,0,0
"Asaccharobacter_celatus",0.00094,1.62172,0.02144,0.00166,0.00764,0.09767,0.63549,0.07216,0.01704
"Eisenbergiella_tayi",0,0,0,0,0,0,0,0,0
"Adlercreutzia_equolifaciens",0,0.52525,0.01808,0,0,0.07557,0.34704,0.02125,0.00974
"Alistipes_onderdonkii",0,0,0,0,0,0,0,0,0
"Ruminococcaceae_bacterium_D5",0,0,0,0,0.01646,0,0,0,0
"Hungatella_hathewayi",0,0.00587,0.1254,0,0,0,0,0,0
"Bilophila_wadsworthia",0.03949,0.0016,0.01075,0,0.00712,0,0,0,0.00495
"Holdemania_filiformis",0.0029,0,0.05259,0,0,0.04518,0,0,0.01442
"Intestinimonas_butyriciproducens",0,0.14003,0.03536,0,0.04966,0,0,0,0
"Gordonibacter_pamelaeae",0.02581,0.06525,0.01573,0.00071,0.07897,0.0738,0.0073,0.00487,0.00244
"Parvimonas_micra",0,0,0,0,0,0,0,0,0
"Collinsella_stercoris",0.04552,0.02906,0.04894,0.14883,0.48827,0.03953,0.1827,0.144,0.07148
"Eubacterium_sp_CAG_274",0,0,0.20649,0,0.19722,0,0.00047,0.45727,0
"Anaeromassilibacillus_sp_An250",0,0,0.01223,0,0.38523,0,0.04367,0.00934,0
"Flavonifractor_sp_An100",0,0,0,0,0,0,0,0,0
"Ruminococcus_obeum_CAG_39",0,0,0,0,0,0,0,0,0
"Collinsella_massiliensis",0,0,0,0,0,0,0,0,0
"Anaerotruncus_colihominis",0,0,0,0,0,0.01312,0,0,0
"Roseburia_sp_CAG_471",0,0.88363,0.00372,0.02449,0,0.51069,0.00594,0.00956,0.00562
"Gemella_morbillorum",0,0,0,0,0,0,0,0,0
"Collinsella_intestinalis",0.0083,0.00403,0.00339,0.08284,0.11463,0.00672,3.21947,0.04182,0.00709
"Streptococcus_milleri",0,0,0,0,0,0,0,0,0
"Harryflintia_acetispora",0,0,0,0,0,0,0,0,0
"Atopobium_rimae",0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0,0.01904,0,0,0,0,0,0,0
"Enterorhabdus_caecimuris",0,0.09526,0.00078,0.00245,0.02075,0.0045,0.02668,0.0028,0
"Firmicutes_bacterium_CAG_170",0,0,0,0.07114,0.14459,0.06934,0.00053,0,0.0243
"Bifidobacterium_adolescentis",1.4464,0.12162,2.65479,19.3518,21.64622,4.47759,5.97154,1.65247,2.96978
"Lactobacillus_salivarius",0,0,0,0,0,0,0,0,0
"Methanobrevibacter_smithii",0,0,0.00133,0.33163,0.38959,0,0,0.00422,0.15504
"Coprobacter_fastidiosus",0,0,0.0359,0,0,0.0626,0,0,0.0061
"Bifidobacterium_scardovii",0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus_group",0,0,0.0157,0,0,0,0,0,0
"Bifidobacterium_longum",0.59736,0.00745,1.19627,3.14896,1.85654,0.70975,0,1.14706,0.45145
"Lactobacillus_paragasseri",0,0,0,0,0,0,0,0,0
"Lactobacillus_gasseri",0,0,0,0,0,0,0,0,0
"Parascardovia_denticolens",0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0,0,0,0.02093,0,0
"Lactobacillus_gastricus",0,0,0,0,0,0,0,0,0
"Streptococcus_mutans",0,0,0,0,0,0,0,0,0
"Lactobacillus_crispatus",0,0,0,0,0,0,0,0,0
"Lactobacillus_mucosae",0,0,0,0,0,0,0,0,0
"Lactobacillus_delbrueckii",0,2.43576,0,0,0,0,0,0.42722,0.00031
"Enterococcus_faecium",0,0,0,0,0,0,0,0,0
"Lactobacillus_oris",0,0,0,0,0,0,0,0,0
"Lactobacillus_fermentum",0,0,0,0,0,0,0,0,0
"Sanguibacteroides_justesenii",0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_755",0,0,0,0,0,0,0,0,0
"Bacteroides_salyersiae",0,0,0.19015,0,0.00551,0,0,0,0.0606
"Barnesiella_intestinihominis",0,0.38097,1.36865,0.002,0,0.12706,0,0.05127,0.04367
"Bacteroides_eggerthii",0.00413,0,0.09625,0.01287,0.35653,0,0.00134,0,0.00498
"Clostridium_sp_CAG_590",0,0,0,0.14203,0,0,0,0,0
"Ruminococcus_sp_CAG_403",0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_309",0,0,0.0072,0,0.00179,0,0,0,0
"Parasutterella_excrementihominis",0,0,0.12159,0,0,0,0,0.00453,0.0426
"Roseburia_sp_CAG_182",0,0,0,0,0,0,0,0,0.10078
"Firmicutes_bacterium_CAG_95",0,0.00059,0,0.57119,0,0.11391,0,0,0
"Alistipes_indistinctus",0.10279,0.03919,0.01195,0.00887,0.03744,1.25271,0,0,0.02866
"Butyricimonas_synergistica",0,0,0.00749,0,0,0,0,0,0
"Clostridium_sp_CAG_167",0,0,0.01335,0.68567,0,0,0,0,0
"Streptococcus_vestibularis",0,0,0,0,0,0,0,0,0
"Coprobacter_secundus",0,0,0.01092,0,0,0.01386,0,0,0.0014
"Gemella_sanguinis",0,0,0,0,0,0,0,0,0
"Clostridium_leptum",0.01443,0.03399,0.16831,0.01774,0,0.00479,0.10037,0.04615,0.00594
"Oscillibacter_sp_PC13",0,0,0,0,0,0,0,0,0
"Proteobacteria_bacterium_CAG_139",0,0,0.79598,0,0,0,0.00413,0,0
"Clostridium_citroniae",0,0.00449,0.00618,0,0,0.02533,0,0,0.00934
"Pseudoflavonifractor_capillosus",0,0,0,0,0,0,0,0,0
"Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0,0
"Olsenella_scatoligenes",0.00019,0,0.0032,0.14899,0.19013,0,0.00176,0.00291,0.00788
"Bacteroides_faecis",0,0,0,0,0.06587,0,0,0,0.00267
"Victivallis_vadensis",0,0,0,0.00581,0,0,0,0,0
"Phascolarctobacterium_faecium",0,0,0.27196,0,0,0,0,0,0
"Bacteroides_clarus",0,0,0,0,0,1.15156,0,0,0.04483
"Actinomyces_odontolyticus",0,0.00789,0,0,0.00445,0,0.01429,0.00018,0.00835
"Turicimonas_muris",0,0,0.00638,0,0,0,0,0,0
"Bacteroides_nordii",0,0,0,0,0,0.15516,0,0,0
"Parabacteroides_goldsteinii",0,0,0.02522,0,0,0,0,0,0
"Clostridium_bolteae",0,0.02033,0.06036,0,0,0,0,0,0
"Anaerotruncus_sp_CAG_528",0,0,0.00247,0,0,0,0,0,0
"Bacteroides_coprocola",0,0,0,0,0,0,0,0,0.00802
"Bacteroides_faecis_CAG_32",0,0,0,0,0,0,0,0,0
"Veillonella_parvula",0,0,0.05079,0,0,0.04389,0,0,0
"Bacteroides_plebeius",0.29499,0,0.53853,0.18333,0,0,0,0,0.01685
"Oxalobacter_formigenes",0,0,0,0,0,0,0,0,0
"Bifidobacterium_angulatum",0,0.01475,0.00274,4.02075,0,3.10101,0,0,0
"Blastocystis_sp_subtype_1",0,0,0,0.17258,0,0,0,0,0
"Bacteroides_coprophilus",0,0,0,0,0,0,0,0,0
"Prevotella_bivia",0,0,0,0,0,0,0,0,0
"Allisonella_histaminiformans",0.00866,0,0.13123,0.00319,0,0.13297,0,0.06733,0.00949
"Paraprevotella_clara",0,0,0.13681,0,0,0,0,0,0
"Sutterella_parvirubra",0.02937,0,0.01129,0,0,0,0,0,0.00809
"Firmicutes_bacterium_CAG_555",0,0,0,0,0,0,0,0,0
"Cloacibacillus_porcorum",0,0,0,0,0,0,0,0,0
"Bacteroides_pectinophilus",0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_448",0,0,0,0,0,0,0,0,0
"Dialister_sp_CAG_357",0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_633",0,0,0,0,0,0,0,0,0
"Streptococcus_sobrinus",0,0,0,0,0,0,0.01009,0,0
"Acidaminococcus_fermentans",0,0,0,0,0,0,0,0,0
"Klebsiella_variicola",0,0,0,0,0,0,0,0,0
"Bifidobacterium_catenulatum",0,0,0,0,0,0,0,0,0
"Streptococcus_gordonii",0,0,0,0,0,0,0,0,0.00042
"Enterococcus_faecalis",0,0,0,0,0,0,0,0,0
"Bifidobacterium_pseudocatenulatum",0,0.6754,0.10332,0,0,0,0.01699,1.80207,0
"Prevotella_sp_CAG_1185",0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_5226",0,0.00381,0,2.53893,0,0,0,0,0
"Parabacteroides_sp_CAG_409",0,0,0,0,0,0,0,0,0.00197
"Firmicutes_bacterium_CAG_145",0,0.36314,0.01027,0,0,0,0.05115,0,0
"Pseudoflavonifractor_sp_An184",0,0,0.01492,0,0,0,0,0.00216,0
"Roseburia_sp_CAG_303",0,0,0,0,0,0,0,0.11456,0
"Prevotella_sp_CAG_1092",0,0,0,0,0,0,0,0,0
"Streptococcus_lutetiensis",0,0,0,0,0,0,0,0,0
"Butyricicoccus_pullicaecorum",0,0,0,0,0,0,0,0,0
"Absiella_dolichum",0,0,0,0,0,0,0,0,0
"Eubacterium_dolichum_CAG_375",0,0,0,0,0,0,0,0,0
"Tyzzerella_nexilis",0,0,0,0,0,0,0,0,0
"Eisenbergiella_massiliensis",0,0.14436,0,0,0,0,0,0,0
"Clostridium_sp_CAG_242",0,0,0.0034,0,0,0,0,0,0
"Prevotella_sp_AM42_24",0,0,0,0,0,0,0,0,0
"Butyrivibrio_sp_CAG_318",0,0,0,2.00379,0,0,0,0,0
"Alistipes_sp_An66",0,0,0,0,0,0,0,0,0
"Haemophilus_sp_HMSC71H05",0,0,0,0,0,0,0,0,0
"Megasphaera_elsdenii",0.00261,0,0,0.55878,1.63614,0,0,0.00123,0
"Acidaminococcus_intestini",0,0,0.00031,0,0.26162,0,0.02043,0.03083,0
"Ruminococcus_sp_CAG_330",0,0,0,0.02486,0,0,0,0,0
"Faecalitalea_cylindroides",0,0,0,0,0,0,0,0,0.01235
"Blautia_hydrogenotrophica",0,0,0,0,0,0,0,0,0
"Enorma_massiliensis",0.0039,0,0.01053,0.03205,0.28061,0.00754,4.13621,0.00888,0.00616
"Anaerotignum_lactatifermentans",0,0,0,0,0,0,0,0.28801,0
"Desulfovibrio_fairfieldensis",0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_1320",0,0,4.34323,0,0,0,0,0,0
"Prevotella_sp_CAG_617",0,0,0,0,0,0,0,0,0
"Flavonifractor_sp_An10",0,0,0,0,0.00657,0,0,0,0
"Alistipes_timonensis",0,0.01735,0,0.00742,0,0,0,0,0
"Clostridium_sp_CAG_299",0,0,0,0,0,0,0,0.01106,0
"Anaerofilum_sp_An201",0,0,0,0,0,0,0,0,0
"Cloacibacillus_evryensis",0,0,0,0,0,0,0,0,0
"Enterococcus_hirae",0,0,0,0,0,0,0,0,0
"Pyramidobacter_piscolens",0,0,0,0,0,0,0,0,0
"Pseudomonas_aeruginosa_group",0,0,0,0,0,0,0,0,0
"Lactobacillus_johnsonii",0,0,0,0,0,0,0,0,0
"Massiliomicrobiota_timonensis",0,0,0.00279,0,0,0,0,0,0
"Pyramidobacter_sp_C12_8",0,0,0,0,0,0,0,0,0
"Dialister_succinatiphilus",0,0,0,0,0,0,0,0,0
"Enterobacter_cloacae_complex",0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_488",0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_530",0,0,0,0,0,0,0,0,0
"Ruminococcus_callidus",0,0,0.0124,0,0,0,0,0,0
"Mitsuokella_jalaludinii",0,0,0.05288,0,0,0,0,0,0
"Phascolarctobacterium_sp_CAG_266",0.46628,0,0.08733,0,0,0,0.03885,0.12696,0.02175
"Butyrivibrio_crossotus",0,0.03084,0.42245,4.14878,0,0.44982,0,0.00388,0.08301
"Dielma_fastidiosa",0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_924",0,0,0,0,0,0,0,0,0
"Lactobacillus_amylovorus",0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_964",0,2.11309,0,0,0,0,0,0,0
"Lactobacillus_kefiranofaciens",0,0,0,0,0,0,0,0,0
"Lactobacillus_acidophilus",0,0,0,0,0,0,0,0,0
"Varibaculum_cambriense",0,0,0,0,0,0,0,0,0
"Desulfovibrionaceae_bacterium",0.04434,0,0.01718,0.01845,0.13994,0,0,0.0014,0.02871
"Citrobacter_koseri",0,0,0,0,0,0,0,0,0
"Lactobacillus_rhamnosus",0,0,0,0,0,0,0,0,0
"Streptococcus_sanguinis",0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_563",0,0,0,0,0,0,0,0,0
"Prevotella_corporis",0,0,0,0,0,0,0,0,0.04768
"Mogibacterium_diversum",0,0,0,0,0,0,0,0,0.00204
"Fretibacterium_fastidiosum",0,0,0,0.00128,0,0,0,0,0
"Streptococcus_australis",0,0,0,0,0,0,0,0,0.02904
"Lactobacillus_ruminis",0.6255,0,0,0.60036,0.9762,0,0,0,0
"Fusobacterium_sp_CAG_439",0,0,0.20335,0,0,0,0,0,0
"Rothia_mucilaginosa",0,0.00881,0,0,0,0,0,0.00098,0
"Eubacterium_sp_OM08_24",0,0,0,0,0.26289,0,0,0,0
"Bacteroides_sp_CAG_927",0,0,0,0,0,0,0,0,0
"Lactobacillus_rogosae",0,0,0.03705,0,0,0.03768,0,0.10732,0.06214
"Hafnia_paralvei",0,0,0,0,0,0,0,0,0
"Hafnia_alvei",0,0,0,0,0,0,0,0,0
"Bacteroides_sp_43_108",0,0,0,0,0,0,0,0,0
"Clostridium_asparagiforme",0,0,0,0,0,0.01677,0,0,0
"Clostridium_lavalense",0,0.00435,0,0,0,0,0,0,0
"Lactobacillus_sakei",0,0,0,0,0,0,0,0,0
"Christensenella_minuta",0,0,0,0,0,0.00993,0,0,0
"Prevotella_sp_CAG_485",0.0249,0,0,0,0,0,0,0,0
"Enterococcus_durans",0,0,0,0,0,0,0,0,0
"Bacteroides_galacturonicus",0,0,0.13366,0,0,0,0,0.04256,0.02888
"Sellimonas_intestinalis",0,0.07471,0.00528,0,0,0,0,0.00928,0
"Clostridium_bolteae_CAG_59",0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_1031",0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_413",0,0.02074,0,5.37613,0,0,0,0,0
"Bacteroides_sp_CAG_598",0,0,0,0,0,0,0,0,0
"Mitsuokella_multacida",0,0,0.01051,0,0,0,0,0,0
"Megasphaera_sp_DISK_18",0,0,0,0,0,0,0,0,0
"Klebsiella_quasipneumoniae",0,0,0,0,0,0,0,0,0
"Alloscardovia_omnicolens",0,0,0,0,0,0,0.00368,0,0
"Streptococcus_infantis",0,0,0,0,0,0,0,0,0
"Streptococcus_sp_A12",0,0,0,0,0,0,0,0,0
"Clostridium_hylemonae",0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_534",0,0,0,0,0,0,0,0,0
"Ruminococcus_champanellensis",0,0,0,0,0,0,0,0,0
"Actinomyces_graevenitzii",0,0.00952,0,0,0,0,0.0151,0,0
"Megamonas_hypermegale",0,0,0,0,0,0,0,0,0
"Prevotella_sp_885",0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_791",0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_462",0,0,0.20066,0,0,0,0,0,0
"Lactobacillus_vaginalis",0,0,0,0,0,0,0,0,0
"Escherichia_marmotae",0,0,0.10602,0,0,0,0,0,0
"Brachyspira_sp_CAG_700",0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_510",0,0,0,0,0,0,0,0,0
"Prevotella_disiens",0,0,0,0,0,0,0,0,0
"Actinomyces_turicensis",0,0,0,0,0,0,0.01531,0,0
"Bacteroides_fluxus",0,0,0,0,0,0,0,0,0
"Fusobacterium_mortiferum",0,0,0,0,0,0,0,0,0
"Prevotella_melaninogenica",0,0,0,0,0,0,0,0,0
"Neisseria_flavescens",0,0,0,0,0,0,0,0,0
"Megasphaera_micronuciformis",0,0,0,0,0,0,0,0,0
"Prevotella_histicola",0,0,0,0,0,0,0,0,0
"Prevotella_pallens",0,0,0,0,0,0,0,0,0
"Oribacterium_sinus",0,0,0,0,0,0,0,0,0
"Neisseria_perflava",0,0,0,0,0,0,0,0,0
"Streptococcus_sp_HMSC034E03",0,0,0,0,0,0,0,0,0
"Prevotella_jejuni",0,0,0,0,0,0,0,0,0
"Prevotella_salivae",0,0,0,0,0,0,0,0,0
