"","train_4288","train_4289","train_4290","train_4291","train_4297","train_4298","train_4299","train_4300","train_4301","train_4302","train_4303","train_4304","train_4305","train_4341","train_4342","train_4343","train_4344","train_4345","train_4346","train_4347","train_4348","train_4349","train_4351","train_4354","train_4355","train_4356","train_4357","train_4358","train_4359","train_4360","train_4365","train_4366","train_4376","train_4391","train_4393","train_4394","train_4395","train_4396","train_4397"
"Intestinibacter_bartlettii",0,0.02755,0.10043,0.05305,0,0.00388,0.00223,0.0631,0,0.0399,0.00097,0.00311,0,0,0.065,0,0.06837,0.17925,0,0,0.00398,0,0.04841,0,0.02458,0,0.00212,0,0,0.00127,0,0.00634,0.06844,0.00268,0,0.00141,0.00049,0.00232,0
"Clostridium_spiroforme",0,0,0.00142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00162,0,0,0,0,0,0,0,0,0
"Clostridium_saccharolyticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea_formicigenerans",0.06457,0.02165,0.11171,0.19703,0.03699,0.06025,0.01191,0.07112,0.06063,0,0.0924,0.00985,0,2e-04,0.29337,0.16034,0.11577,0.39574,0.07438,0.01716,0.04013,0.05314,0.18158,0.33653,0.0925,0.03642,0.35259,0,0.02221,0.20121,0.05763,0.06703,0.11065,0.21572,0.001,0.03032,0.13591,0.11058,0.13507
"Streptococcus_salivarius",0,0.01102,0.01153,0.01631,0.02209,0.07152,0.00164,0.17185,0.00146,0.02238,0.09141,0.00617,0.00821,0.00207,0.09494,0.01917,0.09047,0.02254,0.00679,0,0.01704,0.00964,0,0.00916,0.52046,0.0014,0,0,0.17771,0.10737,0,0.00027,0.02126,0.25401,0,0,0.0205,0.00054,0.00704
"Clostridium_clostridioforme",0,0,0,0,0,0.00548,0,0,0,0,0,0,0.00886,0.1168,0,0,0,0,0,0,0,0,0,0,0,0.02388,0,0,0,0,0.00158,0.00141,0,0.01126,0,0,0,0,0
"Clostridium_celatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0,0,0,0,0,0.00948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206,0.0019,0,0.00584,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella_lenta",0.0039,0.01454,0.00129,0,0,0.04107,0,0.00172,0,0.0453,0.01988,0,0.07302,0.11047,0.22711,0.01226,0.00676,0.13214,0.06016,0,0.00161,0.03338,0,0.00273,0.00525,0,0,0,0,0,0.01531,0.0236,0.05293,0.02363,0,0.19035,0,0.49108,0.00813
"Dorea_sp_CAG_317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106,0,0,0,0,0,0
"Propionibacterium_freudenreichii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_innocuum",0,0,0,0.00373,0.00556,0.01181,0,0,0,0.08262,0.00347,0,0.00591,0.17128,0.13423,0,0,0.12569,0,0,0,0,0,0,0,0.02077,0,0,0,0,0,0.00944,0.00254,0,0,0.00217,0,0.03881,0.00834
"Actinomyces_sp_oral_taxon_181",0,0,0,0.00333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136,0,0,0,0,0,0,0,0,0.00644,0,0,0,0,0
"Streptococcus_oralis",0,0,0,0,0,0,0,0.00576,0,0,0,0,0,0,0.00072,0,0,0.00195,0,0,0,0,0,0,0,0,0,0,0.00444,0.00195,1.60731,0,0,0.00074,0,0.00339,0,0,0
"Klebsiella_pneumoniae",0,0.01178,0.14497,0,0.07653,0,0.01113,0.04887,0,0,0.00598,0.67138,0,0.05749,0.70382,0.11935,0.04033,3.67375,0.04079,0.00815,0,0,0,0,0.0116,0.00637,0.03899,0,0.00632,0,0.03342,0,0.00365,0.13568,0.02065,0.03113,0.03349,0.16478,0.0418
"Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mitis",0,0,0.00487,0,0,0,0,0,0,0,0,0,0,0,0.00208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177,0.16657,0,0,0,0,0,0,0,0
"Ruthenibacterium_lactatiformans",0.17207,0.18335,0.07895,0.09709,0.00692,0,0,0.08536,0,0,0.30276,0.00172,0.83055,0.30185,0.09478,0.00372,0,0.12537,0.02903,0.01201,0.0301,0.26138,0.01681,0.11247,0.02145,1.48968,0.20167,0,0,0,0.03369,0.02606,0.10299,0,0.008,0.3173,0.03397,0,0.00282
"Atopobium_parvulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_copri",0.16449,0.13969,10.7517,19.27944,0.49627,0.41964,0.45426,3.67127,89.85505,75.64242,0.14491,0.12019,0.13492,0.58874,22.87595,70.64958,51.86992,0.58344,5.54526,63.84721,0,0,0,0.41547,0.38803,0.46008,1.80722,95.92501,86.44357,0.35303,11.97274,61.72231,0.05878,0.3214,72.58153,0.14554,0.12733,0.00401,0
"Actinomyces_sp_S6_Spd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071,0,0,0,0,0,0,0.00182,0,0
"Collinsella_aerofaciens",0,0.4736,2.05282,1.03268,0.72596,0.00598,0.19093,0.68958,0.13134,1.08337,0.00634,0.00654,0.0066,0.02437,3.43836,0.03923,0.72149,0.73365,2.41447,0.26281,0.27646,0.00207,1.51218,0.03263,2.1001,0.01118,3.66541,0.04552,0.15195,0.58743,0.82815,0.35993,0,0.45949,0.01565,0.0032,0.40132,0.00795,0.07962
"Romboutsia_ilealis",0,0,0,0,0.00053,0,0,0,0,0,0.00101,0,0,0,3e-04,0,0,0.00082,0,0,0,0,0.00254,0,0,0,0,0,0,0.00182,0,0,0.00043,0,0,0,0,0,0
"Clostridiales_bacterium_CHKCI006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_520",0,0,0.00547,3.84009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12247,0.04671,0,0,0,0.00512,4.98595,0.00406,0.85442,0.00172,0.0031,0.00337,0,0,0,0,0,0,0,0,0
"Eubacterium_siraeum",0.00709,0.84004,0.01253,0.29299,0.05027,0.00078,0.00211,0.02863,0.00164,0.00205,0,0,0,0,0,0,0,0,0,0,0.10751,0.23183,0.07924,0.0753,6.06294,0.00801,0.01391,0.0054,0.00489,0.00617,0.00362,0,0,0,0.16498,0,0,0,0
"Bacteroides_uniformis",11.09952,10.13667,0.7062,8.41248,19.55491,5.25135,10.16341,3.15825,0.21665,0.14508,4.9985,26.01699,0.12001,10.85675,1.66006,0.56291,0.16113,0.09423,2.46828,0.24014,6.1514,10.42756,3.90626,17.80532,5.4118,11.8351,0.14253,0.06628,0.05401,0.61112,3.31475,1.40825,15.71417,0.04204,0.58909,31.58569,5.78249,7.68644,0.06681
"Prevotella_sp_CAG_279",0.0128,0.01058,12.4956,2.05649,0.00464,0.00097,0.00186,0.0037,0.00226,0.00183,0,0,0,0.00293,0.00557,1.79133,1.86283,0.00636,0,2.79925,0,0,0,0.00378,0.00337,0.0056,8.92709,0.00213,0.00153,6e-04,0,0,0,0,0,0,0.46834,0,0
"Ruminococcus_bromii",3.93694,0.00051,2.02488,6.81313,0.49095,0.02236,1.53404,1.39097,0.01901,0.03331,5.45491,0.01619,0.02137,0.01591,2.28672,0.0674,1.26138,0.03923,0.0357,2.58064,0,3.23027,0.00298,0.0443,2.83232,0.87761,8.79617,0.01331,0.01128,0.01978,0,3.81823,0.00095,0.00285,0.02899,3.27757,0.0198,0,0.03721
"Phascolarctobacterium_succinatutens",0,3.4748,10.28904,1.81245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039,0,0,0,0.00307,0.00235,0.00055,1.9809,0.00036,6e-04,0.00051,0,0,0,0,0.9844,3e-04,2.37193,0,0
"Prevotella_sp_CAG_873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_inulinivorans",0.05743,5.49948,0.48089,0.0681,0.32978,0.99349,0.32132,0.34346,0.28368,0.10049,6.26194,0.50764,4.20131,0.0133,0.05672,0.04389,1.61776,0.1364,0.82968,0.11173,1.59687,0.27101,1.26944,0.14867,2.02952,0.00746,0.17972,0.00616,0.05174,3.91739,0.49655,0.46857,0.1597,0.2098,0.56981,0.01886,0.03368,0.19265,2.01815
"Ruminococcus_torques",0.13425,0.29305,2.07482,0.37876,0.07188,0.00159,0.03383,0.07411,0.30479,0.005,0.59015,0.02976,0.00298,0.02251,2.25128,6.42239,0.254,4.199,1.1838,0.02787,0.86654,0.00123,0.39889,0.41849,0.04771,0.01918,0.6468,0.01649,0.0599,0.77979,0.0234,0.12998,0,0.33882,0.01047,0.22135,0.01765,0,0.47074
"Bacteroides_stercoris",2.85327,6.28008,0.17041,0.34783,0.08755,9.02813,4.4552,0.63612,0.07267,0.52109,0.04256,16.10665,0.04993,8.61898,0.13784,0.51122,0.19495,0.45101,0.56487,0.45019,3.51124,2.56731,13.52417,26.59188,0.13557,0.09188,0.14348,0.06705,0.09244,4.60742,0.78508,0.60212,9.81413,30.70272,0.03961,2.36432,31.67585,0.00575,0.68951
"Eubacterium_sp_CAG_251",0,3.99853,0,0,0.13889,0,0.10512,0.00107,0,0,0.61534,0,0,0.00245,1.13123,0.01145,0,0.00655,0,0.18981,0.29312,0,1.11641,1.56709,0.00226,0.00352,0.01265,0.00012,0.00079,0.00193,0.08418,0,0,0,0.85209,0.00028,0.03241,0,0
"Alistipes_inops",0,0,0,0,0,0,0,0,0,0,3.1225,0.00149,0.00194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_57_20",3.19619,0.00182,0.22836,0.59949,0.22513,0.00118,0.52923,0.05389,0.00118,0,0.42419,0.00463,0.00464,0.95907,0.15239,0.07999,0.28607,0,0.15572,0.08213,0.65188,0.65859,0.73643,0.69275,0.35376,0.10266,0.84432,0.00063,0,0.0035,0.74636,0,0,0,0.03441,0,0.158,0,0.07254
"Bacteroides_dorei",5.77979,0.00187,0.86249,0.58611,0.01593,0.04658,0.00957,0.11686,0.00544,0.0949,11.0675,0.01963,0.01965,0.01192,0.16309,0.41191,0.01097,0.00786,1.1891,0,2.56641,15.79795,0.01989,0.00271,1.82293,0.00083,0.00217,0.0014,0.00075,0.0014,2.66597,0.12059,0,27.03368,6.98134,4.65938,0.03241,0,0.0024
"Lachnospira_pectinoschiza",0.57477,3.39497,0.01099,0.17903,0.01449,0.0086,0.00963,0.01224,0.77346,0.01019,4.57903,0.0152,0.01988,0.00318,0.00357,0.01266,0.48595,0.00521,1.25433,0.10409,2.86814,0.02866,0.00347,0.02722,0.46243,0.03778,0.1045,0.04571,0.10846,16.60606,0,2.00043,4.4752,7.69219,0.00521,0,0,0.0019,22.05687
"Prevotella_stercorea",0.03442,0.0292,1.19756,0.10115,0.00507,0.00338,0.00436,0.00317,0.00393,0.00348,0,0,0,0.02681,0.02445,0.11007,0.02028,0.03562,0.1443,12.99282,0,0,0,0.00861,0.19481,0.00892,0.05357,0.00749,0.00492,0.00844,0.0144,0.04006,0,0.00368,0.007,0.01261,9.89293,0.0617,0
"Bacteroides_caccae",1.68691,1.37164,1.90838,0.24578,0.54372,1.48634,0.72245,0.09149,0.07878,0.01058,0.00871,1.38577,0.01264,2.47616,0.54669,0.09818,0.00397,0.09968,0.08731,0.16817,0.75883,0.99136,0.53168,0.88353,0.26604,0.00498,0.00226,0.0052,0.0037,0.80048,0.1156,0.432,0,0.00249,0.09872,0.00535,1.94431,16.37103,0.25007
"Parabacteroides_distasonis",0.31836,0,1.26235,0.70011,0.50713,4.04545,0.36792,0.25006,0.28607,0.35308,0.49547,0.18102,0.01015,0.01612,0.32289,0.5485,0.20222,0.19373,0.64218,0.32901,0.63751,2.97982,0.75206,0.13059,0.15151,30.3535,0.44814,0.07515,0.07266,0.37075,1.66827,1.02284,0.74602,1.22488,0.18116,1.47745,1.09853,7.03982,1.02967
"Haemophilus_parainfluenzae",0,0,0.04483,0,0.00791,0,0.00914,0.12984,0,0,0,0,0.00506,0.01301,0,0.00329,0,0,0.05053,0.00298,0.02109,0.01001,0.00486,0.00269,0.08837,0,0,0,0.17351,0,0.44137,0,0,0,0.07421,0,0,0,0.13966
"Odoribacter_splanchnicus",1.17393,0,0.236,1.23263,0.34082,0.00116,0.57342,0.13461,0.00313,0.00397,0.13179,0.06207,0.01114,0.57917,0.16941,0.02196,0.23694,0.00526,0.29319,0.35613,0.73161,1.36825,1.21187,0.08043,0.43812,0.00018,0.25076,0,0,0.00485,1.79894,0,0,0.00041,0.12835,0,0,0.00112,0.08713
"Firmicutes_bacterium_CAG_110",0.04027,0,0.57487,0.58057,0.11314,0,0,0.3925,0.00028,0,0.5575,0,0,0,0.08157,0.01129,0.0013,0,0.00222,0,0,0.15139,0,0.00171,0.09261,0,0.00708,0,0,0,0,0,0,0,0,0,0,0,0
"Coprococcus_eutactus",0.23279,0,1.05354,0.00314,0.0619,0,0,1.29739,0.00092,0,0,0,0,0.01171,7.23377,0.0535,1.12221,0.0098,0.0822,0.15297,1.13922,0,1.5634,1.44203,1.88078,0.00342,0.01188,0.00333,0.00234,0.0019,0.00676,0,0,0,0.13475,0,0,0,0
"Paraprevotella_xylaniphila",0.37901,0.36683,0.39602,0.12954,0.00365,1.11969,6e-04,0.19808,8e-04,0.00153,0,0,0.00156,0,0.06919,0,0.06301,0,0.14061,0,0.23833,0.03011,0,0.13297,0,0,0.02715,0,0.00649,0,0.06372,0,0,0,0.27936,0,0.37167,0,0.00584
"Slackia_isoflavoniconvertens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061,0,0,0,0,0,0,0.21978,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_ovatus",1.57615,1.7064,0.62284,0.209,1.14015,1.57965,0.05897,0.88208,0.0823,0.04426,0.37694,3.47566,24.07228,1.75291,0.23083,0.17289,0.61309,0.03235,0.12911,0.16075,0.23775,0.2944,0.23379,2.51836,3.05159,11.26759,0.08926,0.04162,0.02811,0.47464,1.51496,0.61692,0.13835,0.63417,0.22865,8.10787,10.86053,2.32125,0.09462
"Bacteroides_sp_CAG_144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_58",0.06375,0,0.00121,0.03938,0,0,0,0,0,0,0.31741,0,0,0,0,0,0,0,0,0,0.01082,0.03473,0,0.0593,0,0,0,0,0,0,0,0.02096,0,0,0,0,0.02183,0,0
"Roseburia_hominis",0.00492,1.29182,0.03769,0.15914,0.07157,0.02697,0.12345,16.49526,0.02318,0.03197,1.64277,0.0381,0.00845,0.48335,0.24004,0.05377,0.23616,0.00282,0.11143,0.06805,0.02257,0.0536,0.13789,0.03621,2.56004,1.00599,0.15897,0.00176,0.00317,0.0193,0.0763,0.06688,0.06527,0.05274,0.04227,0.0119,0.10504,0,0
"Dorea_longicatena",0.26146,0.1353,0.41845,0.71886,0.07674,0.10468,0.04519,0.48707,0.00916,0.10859,0.51567,0.05374,0.00294,0.00612,0.29394,0.45138,0.23488,0.56939,0.49205,0.04543,0.17727,0.07543,0.35289,0.07973,0.60633,0.30128,0.3782,0.00957,0.10754,0.53414,0.10982,0.12615,0,0.50084,0.11166,0.07452,0.08931,0.30618,0.21417
"Eubacterium_sp_CAG_38",0.00418,0,0.01587,0.01156,0.06041,3.6699,2.32283,1.85156,0.01665,0.02514,0.47297,0.00107,1.25185,0,0.39627,0.01001,0.00044,0.00647,1.76358,0.04767,0.09013,0,0.24344,0.06844,0.22236,0.09462,0.14373,0.04293,0.09418,6.61046,0.23644,0.15566,0.14499,0.12135,0.35331,0.07614,0,0,0.48442
"Parabacteroides_merdae",1.81927,0.06084,5.76067,3.182,0.58805,1.04075,1.75868,1.47054,0.15093,0.26056,0.01957,1.45856,0.02029,2.10228,1.01672,0.04234,0.47834,0.00823,0.80544,0.45224,0.66299,3.40965,0.00996,0.35475,0.56123,0.00775,0.0136,0.05022,0.0039,1.79954,7.40777,2.14316,0.00229,0.00407,0.27437,3.3088,0.1725,3.93455,0.27802
"Ruminococcus_lactaris",1.44375,0.02262,0,0,0,0,0,0,0,0,0.08003,0.00095,0.001,0,0,0,0.06711,0,0,0,0,0.00739,0,0,0.27074,0.07537,0,0,0,0,0.04955,0,0,0,0.00356,0,0,0,0
"Gemmiger_formicilis",0.07169,0.0652,0.16014,0.16225,0.17673,0.00139,0.13875,0.26364,0.01452,0.08024,0.17944,0.18908,0.00203,0.00683,0.67813,0.10304,0.23153,0.36649,0.16548,0.01573,0.19492,0.29689,0.2334,0.54039,0.95494,0.01316,0.32393,0.00967,0.03951,0.04516,0.04913,0.04164,0.06105,0.0052,0.00274,0,0.00087,0.14314,0
"Bifidobacterium_dentium",0,0.01025,0.04112,0.00324,0,0,0,0.03223,0,0,0.00922,0,0,0,0,0,0.00097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia_obeum",0.01673,0.02139,0.01912,0.18289,0.13284,0,0.03556,0.052,0.03029,0.00167,0.14303,0,0,0.0015,0.25617,0.33633,0.04835,0.06688,0.27706,0.02912,0.16,0.17351,0.40245,0.10178,0.49072,0,0.34382,0.00348,0.03875,0.1145,0.24529,0.01621,0.06518,0.02231,0.00051,0.02589,0.11582,0,0.03412
"Firmicutes_bacterium_CAG_83",0.66345,1.0228,1.40026,0.88383,0.06082,0,0.24106,0.93574,0.00081,0.0096,1.80186,0.01304,0.00473,0.00574,0.03512,0,0.02997,0,0.0143,0.01207,0.03575,1.24371,1.11897,0.01957,0.03216,0,0.44666,0,0.0291,0,0.57743,0.97109,0,0,0.01616,0.49848,0.11754,0,0.00527
"Desulfovibrio_piger",0,0,0.00092,2.34997,0,0,0,0,0,0,0,0,0,0.04827,0,0,0,0,0,0,0,0,0,0,0,0,0.45844,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_rectale",1.05916,0.00643,0.61749,1.26518,2.23426,0.02803,3.81368,0.42389,0.43362,0.01286,0.6167,0.98767,0.02781,0.02052,0.67931,2.41884,0.70067,0.01294,1.29573,0.31165,0.00349,0.80366,3.11073,0.02436,6.61778,0.03234,0.44357,0.02766,1.23971,0.0171,1.15978,1.87603,2.47237,0.82111,0.12651,0.3135,1.74946,1.20044,0.06421
"Agathobaculum_butyriciproducens",0.11758,0.02324,0.11643,0.14643,0.0433,0.07355,0.01333,0.10104,0.03724,0.05222,0.08361,0.00017,0,0.09781,0.38008,0.39844,0.12545,0.19617,0.06039,0.05102,0.04436,0.03088,0.05276,0.11128,0.23793,0.13401,0.10267,0.0021,0.02033,0.12782,0.07248,0.18592,0.09861,0.07572,0.01332,0.05388,0.05779,0.25469,0.01331
"Bacteroides_massiliensis",0,0,0.5092,0.28785,0.00329,0,0.74729,0.00568,0.002,0,0,0,0,0,0.23542,0,0.07333,0,0,0,1.18454,0,1.42143,0.00195,0.00208,0.00225,0.00658,0,0,0.00045,0,0.00221,0.00391,0,0.48796,0.00551,0.00597,0,0.2096
