"","train_1189","train_1248","train_1296","train_1363","train_1379","train_1380","train_1383","train_1384","train_1390","train_1395","train_1399","train_1404","train_1407","train_1414","train_1418","train_1419","train_1422","train_1429","train_1438","train_1440","train_1442","train_1445","train_1447","train_1460","train_1689","train_1702","train_1709","train_1713","train_1716","train_1750","train_1763","train_1791","train_1802","train_1826","train_1831","train_1835","train_1848","train_1850","train_1856","train_1900","train_1903","train_1912"
"Streptococcus_thermophilus",0,0,0.00702,0.0211,0,0.05473,0,0,0,0,0.31782,0,0,0,0,0.01733,0.01706,0.027,0,0,0.33752,0,0.00462,0.01109,0.19831,0.02879,0.03687,0,0.00502,0.06077,0,0,0,0,0.26794,0.02529,0,0,0,0,0,0
"Dialister_invisus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83818,0,0,0.25143,0,0,0,0,0.88817,0.97293,0,0,0,0,0.91975,0,0,0,0,0,0.37401,0,0
"Blautia_sp_CAG_257",0,0,0.04661,0,0,0.01808,0,0,0,0,0,0.01322,0,0,0,0,0,0,0,0,0,0,0,0.06185,0,0,0.0176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_plautii",4.45974,0,1.38892,0.00614,0.11128,0.39708,0.03782,0.22969,0,0.14925,0.03854,0.38133,0.07502,0.0279,0.06306,0.19778,0,0,0.66256,0.18351,0,0.3339,0.07094,0.52288,0.0409,0.15514,0.51398,0.02681,0.3566,0.0502,0,0.018,0.02122,0.07088,0.01865,0.00451,0,0.00156,0,0.02905,0,0.4531
"Lactococcus_lactis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00874,0,0,0,0,0,0,0,0,0,0,0,0,0.00147,0,0,0,0,0,0
"Escherichia_coli",2.50692,14.32214,0,0.71189,0,0,0,0.30493,0.20586,0,0.07479,0.02624,22.75641,0,0.03798,7.21971,0,0.93505,0.11803,4.39629,0,2.65836,0.99332,0,0.00308,0.02695,0.0347,22.72219,0,3.15565,48.75065,0.46235,12.52352,0,0,0.22577,49.00631,0,1.15888,13.81651,0.4942,0
"Firmicutes_bacterium_CAG_94",0,0,0,0.04915,0.00232,0.01065,0,0,0,0,0,0,0,0.00737,0.00604,0,0,0,0,0.16949,0,0,0,0.03051,0.00301,0,0.01445,0.01094,0.02031,0.00551,0,0.01101,0.06024,0.0113,0,0.0081,0,0,0.07853,0.03397,0.10286,0.09146
"Turicibacter_sanguinis",0,0,0,0,0.00541,0,0.39435,0,0,0,0.00738,0,0.00949,0.01842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01885,0,0,0.05988,0,0,0.00646,0,0,0.33167,0,0,0,0
"Erysipelatoclostridium_ramosum",0.02838,0.01984,0.07787,0,0,0,0,0,0,0,0.03214,0,0,0,0,0,0,0,0,0,0,0,0,0.01181,0,0,0.00363,0,0,0,0,0,1.13331,0,0,0,0,0,0,0,0,0
"Fusicatenibacter_saccharivorans",0,0.66109,1.48568,1.55017,0.14439,0.86786,0.54848,1.11251,0.13443,0.29408,1.45573,0.51322,0.57533,0.19173,0.64207,0.08503,0.0096,0.52659,0.01216,1.76007,0.03259,0.12605,0.36178,1.6141,1.64361,0.46355,0.55632,1.04268,1.25992,0.67149,0.15727,0.57225,0.2311,1.40169,0.11556,0.627,1.52202,0.29891,0.15047,0.24084,1.8592,0.26748
"Clostridium_disporicum",0,0,0,0,0,0,0,0,0,0,0.00821,0,0,0.04338,0,0,0,0,0,0,0.00193,0,0,0,0,0,0,0,0,0,0,0,0.03313,0,0,0,0,0,0,0,0.03341,0
"Actinomyces_sp_ICM47",0,0,0.04208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0,0,0.00733,0,0.0144,0.02194,0,0,0,0,0.01883,0,0,0.03741,0,0,0.01921,0,0,0,0.02758,0,0,0.04098,0,0,0.00675,0,0.09748,0,0,0.01874,0,0,0,0,0,0,0,0,0,0
"Clostridium_spiroforme",0.02468,0,0,0,0,0,0,0,0,0,0,0.00608,0.09227,0,0.0069,0,0,0,0,0,0,0,0,0.00274,0.00516,0,0,0,0,0,0,0.01307,0,0.00635,0,0,0,0,0,0,0,0
"Clostridium_saccharolyticum",0.34576,0,0.24783,0,0.01379,0,0.01512,0,0,0,0,0.00358,0,0,0,0,0,0,0,2.22586,0,0,0,0.77551,0,0.01048,0.50969,0.04715,0,0,0,0,0.04015,0.09187,0,0,0,0,0.00215,0.0044,0,0.12308
"Dorea_formicigenerans",0,0.01995,0.30107,0.10942,0.02616,0.03992,0.04595,0.12077,0.3589,0.03845,0.09278,0.15696,0.08647,0.02628,0.10771,0.09271,0.12857,0.32447,0.33838,0.01062,0.02887,0.90592,0.44185,0.21374,0.18524,0.06594,0.06678,0.02537,0.59873,0.10707,0.07214,0.11229,0.18165,0.11024,0.00603,0.06469,0.06296,0.02245,0.15227,0.03278,0.24142,0.05037
"Streptococcus_salivarius",0.01382,0,0.91218,0.3881,0.01378,0.20312,0.01633,0.01168,0,0.06092,0.13085,0.41171,0.13936,0.05053,0.84988,0.01473,0.03773,2.31376,0.74349,0.27324,0.17243,0.93285,0.31404,0,0.03284,0,0,0.01366,0.02975,0,0.02192,0.08397,0,0,0,0.06906,0,0,0.03783,0,0.1062,0
"Clostridium_clostridioforme",0,0.00535,0.03573,0,0,0.00177,0,0,0,0,0,0,0.00595,0,0,0,0,0,0,6.25858,0,0,0,0,0,0.03589,0.00712,0,0,0,0.01241,0,0,0,0,0,0,0,0,0.00305,0,0
"Clostridium_celatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella_lenta",0.58304,0.0028,0.03125,0,0,0,0,0.02322,0,0,0,0.22626,0,0,0,0,0,0,0.06329,1.36831,0,0,0,0,0,0,0.01765,0,0,0,0,0,0,0.01729,0,0,0,0,0,0,0,0
"Dorea_sp_CAG_317",0,0,0,0.01255,0,0.14984,0,0,0,0,0,0,0.09206,0,0,0,0,0,0,0,0,0,0,0.07837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacterium_freudenreichii",0,0,0.01343,0.0032,0,0,0,0,0,0,0,0,0.01551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00224,0,0,0,0,0,0
"Clostridium_innocuum",0.02073,0,0.00082,0,0,0,0,0,0,0,0,0,0.6026,0,0,0.00886,0,0,0,0.03198,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0.00594,0,0,0,0,0
"Actinomyces_sp_oral_taxon_181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_oralis",0,0,0.03053,0,0,0,0,0,0,0,0,0,0,0,0,0.0136,0,0.11683,0.13534,0,0,0.32761,0.03844,0.03087,0,0,0,0,0,0,0,0,0,0,0,0.0437,0,0,0,0,0,0
"Klebsiella_pneumoniae",0.5393,0,0.54074,0,0,0,0,0,0,0,0,0,0,0,0.87888,0.79107,0,0.40689,0,0,0,0.05036,0,10.36249,0,0,0,0,0,0,0.23187,0.04975,0,0,0,0.02905,0,0,0,0,0,0
"Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An118",0.00252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mitis",0,0,0.0191,0,0,0.01046,0,0,0,0,0,0,0,0,0,0,0,0.044,0.08019,0,0,0.05607,0.01145,0,0,0,0,0,0,0,0.00471,0,0,0,0,0,0,0,0,0,0,0
"Ruthenibacterium_lactatiformans",0.10125,0.12897,0.0953,0.08517,0.18243,0.07886,0.02634,0.08698,0.09315,0.02668,0.08889,0.02653,3.14247,0.01648,0.15117,0.09284,0,0.0257,0.00627,2.93841,0.11063,0.31257,0.08175,0.20143,0.11565,0.02024,0.22317,0.01478,0.07905,0.92242,0.02714,0.0629,0.15969,0.56474,0.00189,0.02859,0.06801,0,0.00491,0.08071,0.11276,0.04264
"Atopobium_parvulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_copri",0,0,0,0,61.13008,0,0,0,24.35807,18.74457,0.00141,20.06658,0,0.00801,0,4.4845,63.00305,12.39129,3.50545,0.00401,63.70059,11.63434,0,0,0,5.79122,0,0,0,0.09304,3.81426,0,0,0,84.75926,43.35399,4.22715,55.64224,50.73039,0,0.38746,0
"Actinomyces_sp_S6_Spd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_aerofaciens",0.64849,1.38232,1.59148,0.09926,0.19319,0,0.37131,0.65216,1.17622,2.21297,0.55232,0,3.57365,0.22903,0.94451,0.44088,0.26162,0.24015,0.10023,0.00553,0.13239,1.9045,0.35444,0,0.77074,0.69236,2.04982,0.54375,1.04947,1.20391,0.25028,0.57628,0.37034,2.27951,0.16717,0.33463,0.16103,0.26561,0.6045,0.35926,1.10681,0.57401
"Romboutsia_ilealis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiales_bacterium_CHKCI006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_520",0,0,0,0,0,0,0,0,4.58504,0,0,0,0,0,0,0,6.7494,0,0,0,2.83282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_siraeum",0,0.54962,0,0.29676,0.04384,4.01807,0,0,0.09664,0,0.99072,0,0,0.03676,0.00924,0.51684,0.14803,0.01815,0.00098,0,1.15808,1.16946,0.04224,0.32228,0.02042,1.68547,1.38685,0.02817,0,0.16944,0.03723,3.59361,0,1.70005,0.00773,0.15888,0.14716,0.12376,0.20841,5.06851,1.34615,1.64962
"Bacteroides_uniformis",0.13821,11.30128,8.30077,7.47707,1.32731,6.75959,7.79274,8.92098,0.25202,5.90556,8.52523,4.6862,12.92654,5.5698,7.84093,2.92799,0,1.34664,29.49609,14.44846,0.27601,2.88937,11.9535,43.98445,8.38903,3.95472,28.56401,0.8311,7.07562,0.73044,2.23728,10.2141,9.02779,5.57447,0.61518,4.70888,3.99581,0.14521,0.75032,3.53093,0.66647,38.16991
"Prevotella_sp_CAG_279",0,2.99075,0,0,0,0,3.97537,6.33741,0.4757,0,0,0,0.00768,0,0,0,0.13143,3.06236,8.46278,0,0.56894,1.71431,3.40376,0,0,0,0,0,0,0,0.58444,0,0,0,0,0,0,2.21065,0,6.26734,1.23772,0
"Ruminococcus_bromii",0,1.87131,0,1.68671,0.07795,2.27048,3.77221,0.53495,0,3.26132,3.79765,0,0,2.04512,3.31048,0.88996,0,0,3.21444,0,0.14947,0.02569,1.9454,1.79435,1.48074,0,1.88627,2.19671,0,2.96699,0.15852,2.11386,1.13632,0,0,1.21969,0.56654,0.6637,0,0,5.05223,0
"Phascolarctobacterium_succinatutens",0,0,0,0,0,0,0,1.71594,0.28435,0,1.94873,0,0.55796,2.08706,0,1.18421,0.43188,7.06623,0,0,3.06137,1.50246,0,0,0,0,1.8243,0,0,0,0,1.65755,0,0,3.02907,0,2.46685,0,0,0,4.307,0
"Prevotella_sp_CAG_873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_inulinivorans",0,0.0117,8.35036,0.38261,0.57939,0,2.70927,0,3.59204,2.40196,0.72575,1.15718,0.01175,2.26025,1.16082,0.38426,0.74246,3.02367,0,0,0.88163,4.02592,1.05329,4.60584,0.02275,0.43153,1.0004,1.67091,2.61794,3.51658,0.9797,0.71544,4.07179,0.2705,0.11914,0.00749,0.20046,1.00079,0.07939,0.34394,0.19396,0.2505
"Ruminococcus_torques",0,0.12749,0.00654,0.08221,0.08455,0,0.06296,0.65193,1.31254,0,0.51268,0.49252,0.05908,0.08356,0.03896,0.5446,0.05312,0.25273,0.20264,0,0.23636,0.49263,1.388,0,0.41965,0.26721,0,0.07773,0.09273,0.67535,0.01898,0.02135,0.00356,0.00919,0,0.20816,0.26229,0.07404,0.05437,0.0664,0.47355,0.0875
"Bacteroides_stercoris",30.1275,0,0,0,0,0,4.63065,0,0.2374,2.50398,0,0,0.5054,3.71264,0,0.03236,0,0,0,0,0,5.57447,0,0,0,0,0,0,0,0.51758,0.06136,0,13.38476,4.55094,0,0,0.04755,0.00604,0.15888,1.21202,0.12983,0.21217
"Eubacterium_sp_CAG_251",0,0,0,0,0,0.29627,0.30067,0,0,0,0,0,0,0,0,0.02153,0.49384,0.55796,0,0,0.90874,0,0,0,0.56806,0,0,0,0,0,0,0,0,0,0.08616,0,0,0,0,0,3.64257,0
"Alistipes_inops",0,9.56535,0,0.38458,0.28964,1.3378,0,0,0,0,0.56227,0.01916,0,0.36248,0,0,0,0.24547,0.47993,0,0,0,0,3.99885,0.06654,0,0,0.12035,1.37205,0,0,0,8.17363,0,0,0.11277,0,0,0.05217,0,0.04275,0.03027
"Oscillibacter_sp_57_20",0,0.10119,0,0,0,0.56712,0.00479,0.79782,1.72894,0.84735,0.53359,0.01741,0,0,0.35836,0.65102,0.32688,2.58981,0,0,0.07617,0.02468,0.3989,0,0,0,2.21343,1.00671,0.76359,3.75087,2.2235,0.38974,0,4.79984,0.04081,0.6774,0.37383,0,0,1.72864,1.4188,0
"Bacteroides_dorei",7.09863,0,0.02125,8.81318,0,22.0222,0.64947,11.35038,0.13377,3.05814,1.48228,4.59324,0,0,0.00083,23.2287,0,1.24064,0,5.26252,0,1.63329,2.0744,0,1.87645,10.81421,0,6.60695,11.67522,0,0.0581,0,3.92323,17.87108,0,0.0605,4.31529,0.33459,0.82839,5.02035,0.99384,4.62311
"Lachnospira_pectinoschiza",0,0,0,0.96504,0.79088,0,0,0,1.40026,0,0.58071,0.01907,0,2.07336,0.13216,1.29125,0,0,0,0,2.91385,0,0,2.81451,0.6693,0,1.4278,0,5.55109,0.22188,0,3.49437,1.22696,0,0,0,0,2.3165,1.63578,0,0.30166,0
"Prevotella_stercorea",0,0,0,0,0,0,0,0,0.36304,0,0,0,0,0,0,0,0.71533,0,0,0,0.20802,2.68908,0,0,0,0,0,0,0,0,0.01762,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_caccae",0,0,0.30885,0.12681,0.51848,0,2.29403,1.01818,0,0,0.56169,0.00588,3.25841,1.78699,0.92704,2.13691,0,3.49432,0.31905,3.37042,0,2.21147,0.59018,0,2.00267,0.38935,1.42675,0,0.96998,1.11146,1.59516,0,0.07134,0,0.49276,0.6072,1.81899,0.09238,0.26139,0.15712,0.02168,0.35604
"Parabacteroides_distasonis",5.78741,1.71708,3.31496,4.05115,0.46601,3.18062,0.63286,0.69942,0.50627,4.32687,0.09101,7.22314,0.66253,0.07799,3.79962,4.24855,0,2.10198,5.93732,3.08056,0,1.16062,1.08971,9.89393,2.36585,4.77883,3.1329,2.91411,2.24087,0.97943,1.63442,2.44146,1.79241,1.56646,0.19938,2.01216,2.41879,0.32881,0.57907,1.12614,1.13755,1.45459
"Haemophilus_parainfluenzae",0,0,0.47272,0,0,0.01239,0,0,0,0,0.02156,0,0,0,0.2429,0.02988,0.0146,0.20224,0.00901,0,0.17545,0.32243,0.00853,0.02651,0,0.13296,0,0,0.0184,0,0.0054,0.32409,0,0,0,0,0,0.04152,0,0,0.01606,0
"Odoribacter_splanchnicus",0,0.6934,2.09722,0.97859,0.87604,0.88731,0.49731,1.03603,0.06876,0,0.72453,0.38977,0.30636,0.5819,1.13478,2.80681,0,1.81968,0.21277,0.94597,0.00119,3.03911,0.76304,0,0.96251,1.65424,0.69153,1.57546,1.28068,0.81213,0.04201,0.6535,0.56311,0.39778,0.04548,2.58298,0.80159,0.4351,0.49485,0.53211,1.50608,0.4175
"Firmicutes_bacterium_CAG_110",0,0.7356,0,0.38325,0,0,0,0,0.0311,0,0.45791,0,0,0,0,0.04389,0.06046,0.09412,0,0,0,0,0,0,0.8348,0,0,0,0,1.34136,0.09729,0.00898,0,0,0,0.34068,0.04938,0.03758,0.02881,1.19563,0.45049,0
"Coprococcus_eutactus",0,0,0,0,0.60197,0,0,0,0.14602,2.61734,3.86685,0,0,0.20143,0,0,0.15346,6.05954,0,0,0,0,0,0,0,0,0,7.57818,0,0.63506,0.08961,0,0,0,0.06757,3.3949,0.13066,0,3.41311,0,0.36329,0
"Paraprevotella_xylaniphila",0,0,0,0,0.24334,2.67089,0,0,0.05186,0,0,0,0.12524,0,0,0,0,0.46491,0,0,0,0.51468,0.65652,0,0,0,0,0,0.87386,0.25557,0.1076,0,0.44069,0,0.04531,0.58426,0.06342,0,0.49297,0.83119,0.77175,0
"Slackia_isoflavoniconvertens",0,0.10729,0,0.32679,0.00425,0,0,0,0.06512,0.12196,0.49007,0,0.22525,0,0.0649,0,0.01314,0.13724,0,0,0.03389,0.98029,0.19609,0,0,0.08707,0.06106,0,0,0.2214,0.11003,0,0.00701,0,0,0.05806,0.19449,0.13188,0.04648,0,0.24054,0
"Bacteroides_ovatus",5.17535,0.33818,2.30487,0.17091,0.12585,0,0.82171,1.43885,0.09644,1.01179,0.51371,0.78414,0.06069,0.65545,1.22151,0.15952,0,0.03836,0.65474,0.57247,0.00206,0.44954,0.51806,0,0.278,0.2787,2.42234,2.18996,0.79802,0.3681,0.01195,0.26121,2.05956,0.68522,0.19402,0,0,0.23562,0.02798,1.08139,0.06974,1.07117
"Bacteroides_sp_CAG_144",0,0,0,0,0.67936,0,0,0,0.06476,0,1.55591,0,0,0,0,0,0,0,0,0,0,0.02315,0,0,0,0,0,0,0,0.4278,0,0,0,0,0,0,0,0,0.16198,1.14761,0,0
"Clostridium_sp_CAG_58",0,0,0,0.12672,0,0.54594,0,0,0.32972,0,0.24146,0.27012,0.15596,0.11795,0,0,0,0,0,0,0,0,0.1683,0,0.21583,0,0,0.01398,0.17076,0,0.10971,0.12957,0.05479,0.67448,0.00039,0.00066,0.01703,0,0.0249,0.11636,0,0.00247
"Roseburia_hominis",0,0.17323,0.03484,0.00582,0,0.3341,0.62702,0,0.05604,0.30915,0.40002,0.01456,0,0.13377,0.00732,0.09801,0.02003,0.06893,0,0,0.00372,1.0133,1.309,0,0.87498,3.88172,0.18769,0.10653,0.32455,0,0.07941,0.09579,3.44903,0.25557,0.00215,0.12814,0.15621,0.07416,0.11523,0.45145,1.40187,0.54079
"Dorea_longicatena",0,0.0947,1.09206,0.43991,0.11893,0.18628,0.16715,0.39721,0.44993,0.33416,0.41689,0.51888,0.50459,0.09474,0.19711,0.16581,0.16806,0.28959,0.15158,0,0.12261,1.42926,0.4706,0,0.4261,0.23798,0.42909,0.3878,0.38499,0.25612,0.20527,0.27224,0.11921,0.46144,0.01756,0.10176,0.21485,0.29073,0.05897,0.09781,1.25396,0.24144
"Eubacterium_sp_CAG_38",0,0.00104,2.61095,0.18414,0.01069,0.22113,1.11464,0.01617,0,0,0.37909,0,0.02039,1.13291,1.21213,0.00064,0.13643,0.10892,0,0,0.67555,0,1.21154,2.20859,0.04641,0,0,0.14103,0,0.01386,0.28264,2.98961,0.14901,0.00734,0,0.17882,0.01467,0.32597,0.10767,0.3893,0.09149,0.83498
"Parabacteroides_merdae",0,1.4927,5.29509,0.5709,1.25653,0.56262,2.21038,1.8813,0.23855,0,1.09212,0,0.86417,2.30385,2.55145,0.01036,0,0.54362,0.55031,0,0.17755,1.61638,1.42953,0,0,0,3.32795,0,0,1.40223,0.01662,3.22275,1.50113,0.00882,0.59435,0.20635,2.55415,0.07082,0.78755,0.17441,0.41429,2.94417
"Ruminococcus_lactaris",0,0,0,0,0.08695,0,0.12979,0.4216,0,0,0.16792,1.02841,0,0,0,0,0,0.75373,0,0,0,0,0,0,0.56427,0,0,0.53095,0.58678,1.73042,0,0.07607,0.60761,0.13832,0,0,0.52213,0.73129,0,0.05574,0.80606,0
"Gemmiger_formicilis",0,0.14179,0.02954,0.0062,0.06305,0.19523,0.40632,0.21034,0.09836,0.18638,0.04045,0.19042,0.11572,0.0246,0.98429,0.05073,0.04407,0.29499,0.11072,0,0.02443,0.02888,0.24657,0,0.48695,0.67154,0.14037,0.18185,0.43912,0.44357,0.00807,0.09444,0.01267,0.0632,0.03581,0.34137,0.04514,0.12103,0.14168,2.48398,0.05616,0.05807
"Bifidobacterium_dentium",0.1806,0,0.0155,0,0.00717,0,0,0,0,0,0.00339,0,0.05918,0,0,0,0.00549,0.04036,0,0.07103,0.33226,0.05367,0.06689,0.07758,0,0,0,0,0,0,0,0,0,0,0,0.03476,0,0,0,0,0,0
"Blautia_obeum",0,0.03247,0.02389,1.12026,0.0261,0.11375,0.05857,0.12842,0.02673,0.06546,0.21062,0.00196,0.1509,0.15332,0.07426,0,0.01978,0.18495,0.20377,0,0,0.08454,0.06323,0,0.07216,0.01081,0,0.45191,0.09161,0.94611,0.02701,0.03133,0.02705,0.1834,0.05523,0.12627,0.35622,0.08417,0.02511,0.07586,0.52933,0.19297
"Firmicutes_bacterium_CAG_83",0,0.13797,0.24166,0,0,1.84397,2.17599,0.12661,0.04918,0.47818,0.11686,0.07179,0.03469,0.02891,0.02724,0.0263,0.03559,0.04676,1.49278,3.27084,0.49652,0.3833,0.02894,0,0.07104,0,0.37868,1.48939,1.52353,0.04046,0.54167,0.01873,0,4.34933,0.41379,0,0.02874,0,0.02078,0,0.22282,0
"Desulfovibrio_piger",0,0,0,0,0,0.64464,0.10172,0,0.81709,0,0.2379,0,0.59225,0,0,0,0.21142,0.38834,0,0,0,0,0,0,0,0,0,0,0,0.03402,0,0,0.99286,0,0,0,0.20724,0,0.30269,0,0.91785,0.18813
"Eubacterium_rectale",0,0.01919,0,0.10142,0.21224,0,5.98748,0.14699,5.47962,7.2861,3.88647,0.38901,0.00353,6.55205,3.29666,0.55273,2.66624,0.32253,0,0,0.90665,0.39619,2.54821,0,4.01775,4.49837,0.66383,1.66495,1.82837,0.10445,7.13986,3.21863,0.28332,0.0016,1.34834,0.20283,0.83942,3.4958,1.349,0.03167,0.94924,0
