Sample	CMP-Legionaminate-Biosynthesis	CMP-N-Acetylneuraminate-Biosynthesis	CMP-pseudaminate biosynthesis	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)	gibberellin biosynthesis II (early C-3 hydroxylation)	gibberellin biosynthesis IV (<i>Gibberella fujikuroi</i>)	gibberellin biosynthesis V	inosine-5'-phosphate biosynthesis I	inosine-5'-phosphate biosynthesis II	inosine-5'-phosphate biosynthesis III
ERR209300	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
ERR209310	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209312	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR209336	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209339	2.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209343	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209354	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209371	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR209375	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
ERR209376	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209378	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209379	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
ERR209380	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
ERR209403	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209404	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209405	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209415	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209431	2.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209432	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209433	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209434	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209439	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209440	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209441	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
ERR209442	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
ERR209448	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209470	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209487	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209519	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209520	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209521	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209648	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209653	2.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209667	2.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209671	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209674	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209679	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ERR209684	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209685	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209692	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209693	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209694	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209696	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209697	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209700	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ERR209701	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ERR209706	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209707	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209710	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209711	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
ERR209716	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209720	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209722	2.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209725	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209726	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
ERR209731	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209732	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209740	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ERR209745	2.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209746	2.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209748	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209749	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209764	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209782	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209799	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209810	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209811	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209812	2.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209813	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209846	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209854	2.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209891	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR209953	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR210092	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR210202	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR210283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR210366	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR210367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ERR210422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR210495	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR210523	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR210526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR210531	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
ERR210558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ERR210559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR210563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR210568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR210569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR210591	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
ERR210592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ERR210594	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR210601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR210695	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5935740	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935745	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935749	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935752	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
SRR5935760	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935764	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935765	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935767	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935768	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5935769	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5935770	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935771	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5935772	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935773	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935774	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5935777	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935778	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935780	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935781	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935784	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935788	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935789	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935792	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935793	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
SRR5935794	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5935795	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935797	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935798	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935802	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935805	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935808	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935810	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935811	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935812	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935813	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935816	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935817	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935820	2.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935823	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935825	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935827	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935831	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5935832	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
SRR5935833	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935841	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935843	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935848	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
SRR5935849	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935850	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
SRR5935851	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
SRR5935865	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935866	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935871	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935875	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935876	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935888	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5935889	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935891	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
SRR5935892	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935893	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935894	2.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5935897	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
SRR5935898	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935899	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5935900	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935903	2.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5935904	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935905	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
SRR5935912	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935915	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935916	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935920	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
SRR5935923	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935924	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935929	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935931	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5935936	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935938	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935953	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935958	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935963	2.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935965	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935966	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935968	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935970	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935971	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
SRR5935975	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935976	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935981	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935984	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935985	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935989	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935995	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935996	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5935997	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
SRR5936013	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936014	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936016	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
SRR5936019	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936020	2.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936025	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936030	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936031	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
SRR5936035	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936037	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936038	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5936041	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936043	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936044	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
SRR5936048	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936052	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936056	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936058	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936062	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5936065	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936071	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
SRR5936076	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5936077	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936079	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5936081	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936084	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936092	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936095	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936096	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
SRR5936097	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936098	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936099	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936100	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0
SRR5936104	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936105	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936111	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936112	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936114	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936115	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936117	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5936118	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936124	1.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
SRR5936126	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936128	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936129	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5936130	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936132	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936136	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
SRR5936138	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
SRR5936139	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
SRR5936141	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936143	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936146	2.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5936156	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936159	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936160	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936167	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936168	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936173	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936186	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR5936188	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
SRR5936190	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
SRR5936191	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936192	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936195	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936196	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936197	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936198	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936199	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936200	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
SRR5936201	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
